year,gr_id,wp_en_name,wp_en_author_page_url,wp_en_countries,wp_en_languages,wp_en_citation,wp_en_genres,wp_fa_name,wp_fa_author_page_url,wp_fa_countries,wp_fa_languages,wp_fa_citation,wp_fa_genres,wp_image_url,wp_countries_flags,gr_name,gr_image_url,gr_author_page_url,gr_fans_count,gr_author_followers_count,gr_works_count,gr_gender,gr_hometown,gr_born_at,gr_died_at,gr_about,gr_books_ids,ik_about,ik_image_url,ik_page_url,
1901,3119996,Sully Prudhomme,/wiki/Sully_Prudhomme,France,French,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""[14]
","poetry, essay
",سولی پرودوم,/wiki/%D8%B3%D9%88%D9%84%DB%8C_%D9%BE%D8%B1%D9%88%D8%AF%D9%88%D9%85,فرانسه,زبان فرانسوی,"«در به رسمیت شناختن ویژه ترکیب‌های شاعرانه اش، که گواهی از آرمان‌گرایی می‌دهد، هنرمندی کامل و یک ترکیب نادر از کیفیت‌های قلب و عقل.»[۱۶]
","شعر، نوشتار
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Sully-Prudhomme.jpg/75px-Sully-Prudhomme.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931958%29.svg/23px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931958%29.svg.png,Sully Prudhomme,https://images.gr-assets.com/authors/1373386368p5/3119996.jpg,https://www.goodreads.com/author/show/3119996.Sully_Prudhomme,24,24,66,male,Paris,1839/03/16,1907/09/06,"René François Armand (Sully) Prudhomme 16 March 1839 – 6 September 1907) was a French poet and essayist, winner of the first Nobel Prize in Literature, in 1901.<br />Born in Paris, Prudhomme originally studied to be an engineer, but turned to philosophy and later to poetry; he declared it as his intent to create scientific poetry for modern times. In character sincere and melancholic, he was linked to the Parnassus school, although, at the same time, his work displays characteristics of its own.<br />Prudhomme attended the Lycée Bonaparte, but eye trouble interrupted his studies. He worked for a while in the Creusot region for the Schneider steel foundry, and then began studying law in a notary's office. The favourable reception of his early poems by the Conférence La Bruyère (a student society) encouraged him to begin a literary career.<br />His first collection, Stances et Poèmes (""Stanzas and Poems"", 1865), was praised by Sainte-Beuve. It included his most famous poem, Le vase brisé. He published more poetry before the outbreak of the Franco-Prussian War. This war, which he discussed in Impressions de la guerre (1872) and La France (1874), permanently damaged his health.<br />During his career, Prudhomme gradually shifted from the sentimental style of his first books towards a more personal style which unified the formality of the Parnassian school with his interest in philosophical and scientific subjects. The inspiration was clearly Lucretius's De rerum natura, for the first book of which he made a verse translation. His philosophy was expressed in La Justice (1878) and Le Bonheur (1888). The extreme economy of means employed in these poems has, however, usually been judged as compromising their poetical quality without advancing their claims as works of philosophy. He was elected to the Académie française in 1881. Another distinction, Chevalier de la Légion d’honneur, was to follow in 1895.<br />After, Le Bonheur, Prudhomme turned from poetry to write essays on aesthetics and philosophy. He published two important essays: L'Expression dans les beaux-arts (1884) and Réflexions sur l'art des vers (1892), a series of articles on Blaise Pascal in La Revue des Deux Mondes (1890), and an article on free will (La Psychologie du Libre-Arbitre, 1906) in the Revue de métaphysique et de morale.<br />The first writer to receive the Nobel Prize for Literature (given ""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""), he devoted the bulk of the money he received to the creation of a poetry prize awarded by the Société des gens de lettres. He also founded, in 1902, the Société des poètes français with Jose-Maria de Heredia and Leon Dierx.<br />At the end of his life, his poor health (which had troubled him ever since 1870) forced him to live almost as a recluse at Châtenay-Malabry, suffering attacks of paralysis while continuing to work on essays. He died suddenly on 6 September 1907, and was buried at Père-Lachaise in Paris.","19105375,1240546,18588639,23002808,9895102,7287122,25039192,43544166,17314507,20434896",,,,
1902,268329,Theodor Mommsen,/wiki/Theodor_Mommsen,Germany,German,"""the greatest living master of the art of historical writing, with special reference to his monumental work A History of Rome""[15]
","history, law
",تئودور مومسن,/wiki/%D8%AA%D8%A6%D9%88%D8%AF%D9%88%D8%B1_%D9%85%D9%88%D9%85%D8%B3%D9%86,آلمان,زبان آلمانی,"«به خاطر زندگی عالی استاد نوشته‌های هنری تاریخی، با منابع خاص کاری که نمی‌توان از آن گذشت، تاریخ روم»[۱۷]
","تاریخ، حقوق
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/T-mommsen-2.jpg/75px-T-mommsen-2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_the_German_Empire.svg/23px-Flag_of_the_German_Empire.svg.png,Theodor Mommsen,https://images.gr-assets.com/authors/1341343725p5/268329.jpg,https://www.goodreads.com/author/show/268329.Theodor_Mommsen,50,50,312,male,"Garding, Schleswig",1817/11/30,1903/11/01,"awarded the Nobel Prize in Literature, in 1902, for being ""the greatest living master of the art of historical writing, with special reference to his monumental work, A History of Rome.""","4148167,813217,479937,813216,1447223,3952447,19061086,1447184,1013115,813221",,,,
1903,648081,Bjørnstjerne Bjørnson,/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson,Norway,Norwegian,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""[16]
","poetry, novel, drama
",بیورنستیرنه بیورنسون,/wiki/%D8%A8%DB%8C%D9%88%D8%B1%D9%86%D8%B3%D8%AA%DB%8C%D8%B1%D9%86%D9%87_%D8%A8%DB%8C%D9%88%D8%B1%D9%86%D8%B3%D9%88%D9%86,نروژ,زبان نروژی,"«در تکریم اصالت، بزرگی و تطبیق‌پذیری اشعار، که همیشه با تازگی الهام و خلوص نادر روحش برجسته شده‌است.»[۱۸]
","شعر، رمان، درام
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Portrett_av_Bj%C3%B8rnstjerne_Bj%C3%B8rnson%2C_1909_-_no-nb_digifoto_20150129_00043_bldsa_BB0791_-_Restoration.jpg/75px-Portrett_av_Bj%C3%B8rnstjerne_Bj%C3%B8rnson%2C_1909_-_no-nb_digifoto_20150129_00043_bldsa_BB0791_-_Restoration.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/21px-Flag_of_Norway.svg.png,Bjørnstjerne Bjørnson,https://images.gr-assets.com/authors/1259875521p5/648081.jpg,https://www.goodreads.com/author/show/648081.Bj_rnstjerne_Bj_rnson,60,60,232,male,Kvikne,1832/12/08,1910/04/26,"Bjørnstjerne Martinus Bjørnson was a Norwegian writer and the 1903 Nobel Prize in Literature laureate ""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit.""<br />Bjørnson is the author of the lyrics to the Norwegian National Anthem, ""Ja, vi elsker dette landet"".","6639688,1933742,3748014,15784836,18107996,1350451,12908,12366760,1342173,6236008",بیورنستیرنه مارتینیوس بیورنسون (به نروژی: Bjørnstjerne Martinius Bjørnson) متولد ۸ دسامبر ۱۸۳۲–۲۶ آوریل ۱۹۱۰ نویسندهٔ نروژی بود که در سال ۱۹۰۳ میلادی موفق شد جایزه نوبل ادبیات را به دست آورد. از بیورنسون به عنوان حلقه‌ای از چهار ادیب بزرگ نروژ یاد می‌شود؛ سه حلقهٔ دیگر گروه عبارت بودند از: هنریک ایبسن، جونز لای، و الکساندر کیلند. بیورنسون بیشتر به خاطر سرود ملی نروژ که از نوشته‌های اوست شهرت یافته‌است.,https://www.iranketab.ir/Images/ProfileImages/7a5dfa263379423384869bff0392c43b.jpg,https://www.iranketab.ir/profile/9779-bj%c3%b8rnstjerne-bj%c3%b8rnson,
1904,966415,Frédéric Mistral,/wiki/Fr%C3%A9d%C3%A9ric_Mistral,France,Provençal,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist""[17]
","poetry, philology
",فردریک میسترال,/wiki/%D9%81%D8%B1%D8%AF%D8%B1%DB%8C%DA%A9_%D9%85%DB%8C%D8%B3%D8%AA%D8%B1%D8%A7%D9%84,فرانسه,زبان اکسیتان,"«به خاطر اشعارش و برای انتقل اندیشه‌هایش لهجه جنوب فرانسه را برگزید. تلاشهای او سبب دمیدن جانی تازه در این زبان شد. به سبب ابتکار و نبوغ و اصالت هنری آثارش که انعکاس واقعی طبیعت و زندگی مردم زادگاهش زبان اکسیتان.»[۱۹]
","شعر، لغت‌شناسی
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Frederic_Mistral_portrait_photo.jpg/75px-Frederic_Mistral_portrait_photo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931958%29.svg/23px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931958%29.svg.png,Frédéric Mistral,https://images.gr-assets.com/authors/1259771954p5/966415.jpg,https://www.goodreads.com/author/show/966415.Fr_d_ric_Mistral,14,14,42,,"Maillane, Provence",1830/09/08,1914/03/25,"Frédéric Mistral (1830-1914) came from an old and well-to-do family of landowners that had settled in Provence in the sixteenth century. He was deeply influenced by his early years in the leisurely and patriarchal manor of his father. Mistral read law, but after taking his degree devoted himself entirely to writing poetry in Provençal, the passion for which had been aroused during his school days by one of his masters, the Provençal poet Joseph Roumanille. Mistral's aim was to make neo-Provençal a literary language conforming to fixed standards of purity. For this purpose he spent many years on the compilation of the Trésor dóu Félibrige, a dictionary of Provençal published by the «Felibrige», a literary society that Mistral had founded.<br /><br />Mistral was both an epic and a lyrical poet. His work is determined by Provence, not only in language, but in content and feeling. Provence is the true hero of all his poems. His first great success was Miréio (1859), a story of two star-crossed lovers. It was followed by Calendau (1867), a fantastic narrative poem about a Provençal fisherman. Other works include Lis Isclo d'or (1876) [Islands of Gold], a collection of poems; «Nerto» (1884), a narrative poem based on a chronicle of the Avignon Popes; La Rèino Jano (1890); and Lou pouémo dóu rose (1897) [The Song of the Rhone]. A five-volume edition of his works appeared between 1887 and 1910; three volumes of unpublished works appeared posthumously (1926-30). Mistral wrote an autobiography Moun espelido: Memori è raconte (1906) [Memoirs of Mistral]. His efforts to revive Provençal were at various times supported by the Academie Française and the Institut de France.","7198071,691685,17314758,13017351,9392742,32430981,26354955,18535231,26678094,16278269",,,,
1905,25619,Henryk Sienkiewicz,/wiki/Henryk_Sienkiewicz,Poland,Polish,"""because of his outstanding merits as an epic writer""[18]
","novel
",هنریک سینکیه‌ویچ,/wiki/%D9%87%D9%86%D8%B1%DB%8C%DA%A9_%D8%B3%DB%8C%D9%86%DA%A9%DB%8C%D9%87%E2%80%8C%D9%88%DB%8C%DA%86,لهستان,زبان لهستانی,"«به خاطر رمان‌هایش و خدمت و شایستگی برجستهٔ وی به عنوان یک نویسندهٔ حماسی.»[۲۰]
","رمان
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Henryk_Sienkiewicz_02.jpg/75px-Henryk_Sienkiewicz_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg/23px-Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg.png,Henryk Sienkiewicz,https://images.gr-assets.com/authors/1209072961p5/25619.jpg,https://www.goodreads.com/author/show/25619.Henryk_Sienkiewicz,447,447,224,male,Wola Okrzejska,1846/05/05,1916/11/15,"Henryk Adam Aleksander Pius Sienkiewicz (also known as ""Litwos""; May 5, 1846–November 15, 1916) was a Polish journalist and Nobel Prize-winning novelist. He was one of the most popular Polish writers at the turn of the 19th and 20th centuries, and received the Nobel Prize in Literature in 1905 for his ""outstanding merits as an epic writer.""<br /><br />Born into an impoverished gentry family in the Podlasie village of Wola Okrzejska, in Russian-ruled Poland, Sienkiewicz wrote historical novels set during the Rzeczpospolita (Polish Republic, or Commonwealth). His works were noted for their negative portrayal of the Teutonic Order in The Teutonic Knights (Krzyżacy), which was remarkable as a significant portion of his readership lived under German rule. Many of his novels were first serialized in newspapers, and even today are still in print. In Poland, he is best known for his historical novels ""With Fire and Sword"", ""The Deluge"", and ""Fire in the Steppe"" (The Trilogy) set during the 17th-century Polish-Lithuanian Commonwealth, while internationally he is best known for Quo Vadis, set in Nero's Rome. Quo Vadis has been filmed several times, most notably the 1951 version.<br /><br />Sienkiewicz was meticulous in attempting to recreate the authenticity of historical language. In his Trilogy, for instance, he had his characters use the Polish language as he imagined it was spoken in the seventeenth century (in reality it was far more similar to 19th-century Polish than he imagined). In The Teutonic Knights, which relates to the Battle of Grunwald in 1410, he even had his characters speak a variety of medieval Polish which he recreated in part from archaic expressions then still common among the highlanders of Podhale.<br /><br />In 1881, Sienkiewicz married Maria Szetkiewicz (1854-1885). They had two children, Henryk Józef (1882-1959) and Jadwiga Maria (1883–1969).","538845,1904724,168696,538860,759212,3221683,6306854,13437577,2413896,17256622",هنریک آدام الکساندر پیوس سینکیه‌ویچ (Henryk Adam Aleksander Pius Sienkiewicz) (زادهٔ ۵ مه ۱۸۴۶ – درگذشته ۱۶ نوامبر ۱۹۱۶)، روزنامه‌نگار و رمان‌نویس لهستانیِ برندهٔ جایزهٔ ادبی نوبل است. بنیاد نوبل علت اعطای جایزهٔ نوبل در ادبیات به وی را، «خدمت و شایستگی برجستهٔ وی به عنوان یک نویسندهٔ حماسی» اعلام کرده‌است.,https://www.iranketab.ir/Images/ProfileImages/6404b1d87bf44b2696675ba8b5d9ea66.jpg,https://www.iranketab.ir/profile/6459-henryk-sienkiewicz,
1906,570804,Giosuè Carducci,/wiki/Giosu%C3%A8_Carducci,Italy,Italian,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""[19]
","poetry
",جوسوئه کاردوچی,/wiki/%D8%AC%D9%88%D8%B3%D9%88%D8%A6%D9%87_%DA%A9%D8%A7%D8%B1%D8%AF%D9%88%DA%86%DB%8C,ایتالیا,زبان ایتالیایی,"«نه تنها به خاطر توجه به فراگیری عمیق و تحقیق منتقدانه، بلکه بالاتر از آن به عنوان تکریم یک انرژی خلاقانه، تازگی سبک، و نیروی شاعرانه که به اشعار شاهکارانه اش شخصیت می‌بخشد.»[۲۱]
","شعر
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Carducci.jpg/75px-Carducci.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Italy_%281861-1946%29_crowned.svg/23px-Flag_of_Italy_%281861-1946%29_crowned.svg.png,Giosuè Carducci,https://images.gr-assets.com/authors/1292347400p5/570804.jpg,https://www.goodreads.com/author/show/570804.Giosu_Carducci,26,26,176,male,"Pietrasanta, Tuscany",1835/07/27,1907/02/16,"Awarded the Nobel Prize in Literature in 1906, ""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces.""","9718274,8174402,6617247,16081908,14288775,17794844,10513445,9733888,16158663,37493466",,,,
1907,6989,Rudyard Kipling,/wiki/Rudyard_Kipling,United Kingdom,English,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration that characterize the creations of this world-famous author""[20]
","novel, short story, poetry
",رودیارد کیپلینگ,/wiki/%D8%B1%D9%88%D8%AF%DB%8C%D8%A7%D8%B1%D8%AF_%DA%A9%DB%8C%D9%BE%D9%84%DB%8C%D9%86%DA%AF,بریتانیا,زبان انگلیسی,"«به خاطر داستان‌ها، رمان‌ها و اشعارش و قدرت مشاهده و تخیل پیشرو و اثر به اوج رسیده مفاهیم و هنر توصیف که وجه بارز آفرینشهای این نویسنده برجسته است.»[۲۲]
","رمان، داستان کوتاه، شعر
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kiplingcropped.jpg/75px-Kiplingcropped.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png,Rudyard Kipling,https://images.gr-assets.com/authors/1550677494p5/6989.jpg,https://www.goodreads.com/author/show/6989.Rudyard_Kipling,2323,2323,2106,male,Bombay,1865/12/30,1936/01/18,"Joseph Rudyard Kipling was a journalist, short-story writer, poet, and novelist.<br /><br />Kipling's works of fiction include <i>The Jungle Book</i> (1894), <i>Kim</i> (1901), and many short stories, including <i>The Man Who Would Be King</i> (1888). His poems include <i>Mandalay</i> (1890), <i>Gunga Din</i> (1890), <i>The Gods of the Copybook Headings</i> (1919), <i>The White Man's Burden</i> (1899), and <i>If—</i> (1910). He is regarded as a major innovator in the art of the short story; his children's books are classics of children's literature; and one critic described his work as exhibiting ""a versatile and luminous narrative gift"".<br /><br />Kipling was one of the most popular writers in the United Kingdom, in both prose and verse, in the late 19th and early 20th centuries. Henry James said: ""Kipling strikes me personally as the most complete man of genius (as distinct from fine intelligence) that I have ever known."" In 1907, at the age of 41, he was awarded the Nobel Prize in Literature, making him the first English-language writer to receive the prize, and its youngest recipient to date. He was also sounded out for the British Poet Laureateship and on several occasions for a knighthood, both of which he declined.<br /><br />Awarded the Nobel Prize in Literature in 1907 ""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author.""<br /><br />Kipling kept writing until the early 1930s, but at a slower pace and with much less success than before. On the night of 12 January 1936, Kipling suffered a haemorrhage in his small intestine. He underwent surgery, but died less than a week later on 18 January 1936 at the age of 70 of a perforated duodenal ulcer. Kipling's death had in fact previously been incorrectly announced in a magazine, to which he wrote, ""I've just read that I am dead. Don't forget to delete me from your list of subscribers.""","41684,77270,34053,210834,34057,577542,103086,571197,128518,140285",جوزف رادیرد کیپلینگ (به انگلیسی: Joseph Rudyard Kipling) (زاده ۳۰ دسامبر ۱۸۶۵ - درگذشته ۱۸ ژانویهٔ ۱۹۳۶) نویسنده، داستان‌نویس، رمان‌نویس و خبرنگار بریتانیایی برنده جایزه ادبی نوبل در سال ۱۹۰۷ بود. وی به دلیل اشعار، داستان‌های کوتاه و رمان‌هایش به دریافت این نایل شد.,https://www.iranketab.ir/Images/ProfileImages/5cbfd02ccaa1479da1f775827c34b2f0.jpg,https://www.iranketab.ir/profile/9771-rudyard-kipling,
1908,12132278,Rudolf Christoph Eucken,/wiki/Rudolf_Christoph_Eucken,Germany,German,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""[21]
","philosophy
",رودولف کریستف یوکن,/wiki/%D8%B1%D9%88%D8%AF%D9%88%D9%84%D9%81_%DA%A9%D8%B1%DB%8C%D8%B3%D8%AA%D9%81_%DB%8C%D9%88%DA%A9%D9%86,آلمان,زبان آلمانی,"«نه تنها در توجه به یادگیری عمیق و تحقیق‌های منتقدانه، بلکه بالاتر از همه برای تکریم انرژی خلاقانه، سبک تازه و نیروی شاعرانه‌ای که به شاهکارهای شاعرانه شخصیت می‌بخشد.»[۲۳]
","فلسفه
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rudolf_Christoph_Eucken.jpg/75px-Rudolf_Christoph_Eucken.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_the_German_Empire.svg/23px-Flag_of_the_German_Empire.svg.png,Rudolf Christoph Eucken,https://images.gr-assets.com/authors/1448451669p5/12132278.jpg,https://www.goodreads.com/author/show/12132278.Rudolf_Christoph_Eucken,13,13,82,male,"Aurich, Kingdom of Hanover",1846/01/05,1926/09/15,"Rudolf Christoph Eucken (German: [ˈɔʏkn̩]; 5 January 1846 – 15 September 1926) was a German philosopher. He received the 1908 Nobel Prize for Literature ""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"".","21245741,3170744,3170754,14294578,31963724,18624566,17314945,9983444,42828071,8352175",,,,
1909,38266,Selma Lagerlöf,/wiki/Selma_Lagerl%C3%B6f,Sweden,Swedish,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""[22]
","novel, short story
",سلما لاگرلوف,/wiki/%D8%B3%D9%84%D9%85%D8%A7_%D9%84%D8%A7%DA%AF%D8%B1%D9%84%D9%88%D9%81,سوئد,زبان سوئدی,"«در تقدیر آرمان‌گرایی، تصویرسازی‌های زنده و ادراک روحانی که به نوشته‌هایش شخصیت می‌بخشد.»[۲۴]
","رمان، داستان کوتاه
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Selma_Lagerl%C3%B6f.jpg/75px-Selma_Lagerl%C3%B6f.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/23px-Flag_of_Sweden.svg.png,Selma Lagerlöf,https://images.gr-assets.com/authors/1237932710p5/38266.jpg,https://www.goodreads.com/author/show/38266.Selma_Lagerl_f,402,402,433,female,"Mårbacka, Värmland",1858/11/20,1940/03/06,"Selma Ottilia Lovisa Lagerlöf (1858-1940) was a Swedish author. In 1909 she became the first woman to ever receive the Nobel Prize in Literature, ""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"". She later also became the first female member of the Swedish Academy. <br /><br />Born in the forested countryside of Sweden she was told many of the classic Swedish fairytales, which she would later use as inspiration in her magic realist writings. Since she for some of her early years had problems with her legs (she was born with a faulty hip) she would also spend a lot of time reading books such as the Bible.<br /><br />As a young woman she was a teacher in the southern parts of Sweden for ten years before her first novel <i>Gösta Berling's Saga</i> was published. As her writer career progressed she would keep up a correspondance with some of her former female collegues for almost her entire life. <br /><br />Lagerlöf never married and was almost certainly a lesbian (she never officially stated that she was, but most later researchers believe this to be the case). For many years her constant companion was fellow writer Sophie Elkan, with whom she traveled to Italy and the Middle East. Her visit to Palestine and a colony of Christians there, would inspire her to write <i>Jerusalem</i>, her story of Swedish farmers converting into a evangelical Christian group and travelling to ""The American Colony"" in Jerusalem.<br /><br />Lagerlöf was involved in both women issues as well as politics. She would among other things help the Jewish writer Nelly Sachs to come to Sweden and donated her Nobel medal to the Finnish war effort against the Soviet union. <br /><br />Outside of Sweden she's perhaps most widely known for her children's book <i>Nils Holgerssons underbara resa genom Sverige</i> (<i>The Wonderful Adventures of Nils</i>).","771287,67859,1056172,1056153,2908578,4926516,1056157,6303979,6303980,15839731",سِلما لاگرلوف (به زبان سوئدی: Selma Ottilia Lovisa Lagerlöf) (متولد ۲۰ نوامبر ۱۸۵۸؛ درگذشته ۱۶ مارس ۱۹۴۰)، نویسنده سوئدی و اولین زن برنده جایزه نوبل در ادبیات است.[۱] لاگرلوف در ۱۹۱۴ اولین زنی بود که به عضویت آکادمی سوئد درآمد.,https://www.iranketab.ir/Images/ProfileImages/9147d97437ec48b3839096f44a0a515d.jpg,https://www.iranketab.ir/profile/7636-selma-lagerl%c3%b6f,
1910,290845,Paul von Heyse,/wiki/Paul_Heyse,Germany,German,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""[23]
","poetry, drama, novel, short story
",پاول هایزه,/wiki/%D9%BE%D8%A7%D9%88%D9%84_%D9%87%D8%A7%DB%8C%D8%B2%D9%87,آلمان,زبان آلمانی,"«به عنوان تکریم هنرمندی تمام و کمال، نفوذ با آرمانگرایی، که در طول زندگی حرفه‌ای اش به عنوان شاعر، نمایشنامه نویس، رمان‌نویس و نویسنده مشهور داستان‌های کوتاه نشان می‌دهد.»[۲۵]
","شعر، درام، رمان، داستان کوتاه
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Die_Gartenlaube_%281867%29_b_565.jpg/75px-Die_Gartenlaube_%281867%29_b_565.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_the_German_Empire.svg/23px-Flag_of_the_German_Empire.svg.png,Paul von Heyse,https://images.gr-assets.com/authors/1341345143p5/290845.jpg,https://www.goodreads.com/author/show/290845.Paul_von_Heyse,15,15,94,male,Berlin,1830/03/15,1914/04/02,"Paul Johann Ludwig von Heyse (15 March 1830 – 2 April 1914) was a distinguished German writer and translator. A member of two important literary societies, the Tunnel über der Spree in Berlin and Die Krokodile in Munich, he wrote novels, poetry, 177 short stories, and about sixty dramas. The sum of Heyse's many and varied productions made him a dominant figure among German men of letters.<br /><br />Awarded the Nobel Prize in Literature in 1910 ""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories.""","7335928,3584150,18338238,7902712,5526941,18664360,12966339,18664365,9207611,23398443",,,,
