id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
4148167,268329,A History of Rome (Abridged),,,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,,,eng,The Folio Society,false,4195413,124,1410,931,212,24,5:125|4:56|3:23|2:5|1:3|total:212,1855,,,4.39,158,12,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],"The classical historian Theodor Mommsen (1817 1903) published his monumental History of Rome between 1854 and 1856. His work was received with widespread acclaim by the scholarly community and the reading public. In 1902 Mommsen was awarded the Nobel Prize for Literature and acclaimed as 'the greatest living master of the art of historical writing'. Mommsen rejected traditional Enlightenment accounts, which glorified ancient Rome; instead, guided by a new and rigorous criticism of sources, Mommsen began the demythologisation of Roman history. In a vivacious and engaging style, Mommsen drew bold parallels between the nineteenth century and classical Rome. <br /><br />Information about this Folio Society edition (taken from the Editorial Note):<br /><br />Theodor Mommsen’s <i>Römische Geschichte</i> was first published in three volumes between 1854 and 1856, and was subsequently revised several times. The text of the present volume is derived from William Purdie Dickson’s translation, first published in four volumes by Richard Bentley in London in 1868, of the fourth German edition.<br /><br />The text printed in the ensuing pages preserves slightly less than half of the 1868 edition’s three-quarters of a million words. In abridging a work of such magnitude, strict guiding principles tend to be honoured as much in their breach as in their observance. With that caveat in mind, therefore, the intention in this edition has been to provide, within a single volume, a continuous narrative of the history of Rome, from the origins of the city down to the Civil War that resulted in the sole rule of Julius Caesar (c.753—46BC). At the same time, it is hoped that the selection represents the essential character of Mommsen’s historical vision, and can be read with both pleasure and profit by a non-specialist audience.<br /><br />In pursuit of these goals, the relative amount of space devoted to each of the main periods of Roman history has been preserved, and Mommsen’s own book divisions and titles retained. Similarly, the original chapter titles and breaks—and indeed even the paragraphing—has been followed as closely as possible. Wirth some obvious exceptions, marginal precedence has been given to social and constitutional developments, and to political events and conflicts in Rome and Italy, over foreign policy and the detailed narration of overseas wars. Consequently, the significant amount of background information that Mommsen provided concerning the foreign nations with which Rome came into violent contact—Etruscans, Celts, Carthaginians and the peoples of the Hellenistic eastern Mediterranean among them—has been almost entirely excised. And the summaries on literature and the arts that were tacked on to the end of each book have also had to be omitted. Within these broad parameters, however, every effort has been made to ensure that the full spectrum of Mommsen's themes, methodology, and style is portrayed.<br /><br />So that the text retains its readability, all cuts have been made silently, without the distraction of frequent ellipses. Where it has proved impossible to provide a continuous narrative in Mommsen’s own words, then editorial linking passages, printed in smaller type than the rest of the text, have been supplied. These confine themselves to the bare essentials and take a deliberately conservative line in order to sit more comfortably with the main narrative. the new maps and extensive chronology are also intended to compensate for information otherwise excised. A handful of editorial footnotes and other brief interpolations have been added where essential for sense. All such additions to the original text, as well as any other localised rewordings necessitated by the cuts, are contained within square brackets. Most of Mommsen’s analogies to subsequent historical events, which are one of the many delights of his work, require no explanation for an educated readership.<br /><br />Any attempt to update Mommsen’s scholarship would be presumptuous, if not completely foolhardy, and so all points of fact and interpretation have been allowed to stand without comment. thus, for example, Mommsen’s belief that Caesar was probably born in 102BC—rather than 100 BC, as is now generally accepted—has not been amended. Nor has it been deemed necessary to bring into line with current accepted norms either the spelling of proper nouns or Disckon’s faithful equivalents of Mommsen’s deliberately idiosyncratic and anachronistic rendition of Latin terms. Of these, the most noticeable is undoubtedly the word ‘burgess’ instead of ‘citizen’. While proving that few things date faster than modernity, they also provide an important reminder that Mommsen wrote his history with the pressing political and national issues facing both pre-unification Germany and the rest of the mid-nineteenth0century Europe directly in mind."
14687715,268329,Res Gestae Divi Augusti: Ex Monumentis Ancyrano Et Apolloniensi Iterum Edidit Theodor Mommsen,351100358X,9783511003586,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,12,31,,Scientia Verlag,false,889947,20,442,737,203,14,5:39|4:74|3:69|2:18|1:3|total:203,14,,,3.63,0,0,"['463464', '268329']","['Augustus', 'Theodor Mommsen']","['3.72', '4.15']",[],[],[],
813217,268329,"The History of Rome, Vol 1: The Period Anterior to the Abolition of the Monarchy",1406905283,9781406905281,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,11,3,eng,Hard Press,false,799153,51,299,256,70,16,5:20|4:20|3:19|2:8|1:3|total:70,1854,,,3.66,45,10,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],"This is an EXACT reproduction of a book published before 1923. This IS NOT an OCR'd book with strange characters, introduced typographical errors, and jumbled words. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book."
479937,268329,"The History of Rome, Vol 2: From the Abolition of the Monarchy in Rome to the Union of Italy",1406905291,9781406905298,US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566280702l/479937._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566280702l/479937._SX50_.jpg,,,,eng,,false,468337,59,159,187,47,2,5:15|4:20|3:8|2:4|1:0|total:47,1854,,,3.98,27,1,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],"This is an EXACT reproduction of a book published before 1923. This IS NOT an OCR'd book with strange characters, introduced typographical errors, and jumbled words. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book."
813216,268329,"The History of Rome, Vol 3: From the Union of Italy to the Subjugation of Carthage & the Greek States",1406905305,9781406905304,US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566280359l/813216._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566280359l/813216._SX50_.jpg,,,,eng,,false,799152,38,128,148,35,3,5:17|4:11|3:5|2:2|1:0|total:35,1854,,,4.23,24,3,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],
3952447,268329,"The History of Rome, Vol 5",1406594288,9781406594287,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,2,22,eng,Dodo Press,false,22166257,30,82,106,23,2,5:15|4:7|3:1|2:0|1:0|total:23,1854,,,4.61,16,2,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],"Christian Matthias Theodor Mommsen (1817-1903) was a German classical scholar, historian, jurist, journalist, politician, archaeologist and writer, generally regarded as the greatest classicist of the 19th century. His work regarding Roman history is still of fundamental importance for contemporary research. He received the Nobel Prize in Literature in 1902, and was also a prominent German politician, as a member of the Prussian and German parliaments. His works on Roman law and on the law of obligations had a significant impact on the German civil code (BGB). Mommsen published over 1,500 works, and effectively established a new framework for the systematic study of Roman history. He pioneered epigraphy, the study of inscriptions in material artifacts. Although the unfinished History of Rome has been widely considered as his main work, the work most relevant today is perhaps the Corpus Inscriptionum Latinarum, a collection of Roman inscriptions he contributed to the Berlin Academy. He also published the fundamental collections in Roman law: the Corpus Luris Civilis and the Codex Theodosianus."
1447223,268329,The Provinces of the Roman Empire,0760701458,9780760701454,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1996,3,18,eng,Barnes & Noble Books (NYC),false,1437925,9,176,98,26,2,5:7|4:8|3:9|2:2|1:0|total:26,1885,,,3.77,24,2,"['268329', '2068930', '3179734']","['Theodor Mommsen', 'William P. Dickson', 'Francis Haverfield']","['4.15', '3.90', '3.80']",[],[],[],"The Provinces of the Roman Empire from Caesar to Diocletian, published as volume 5 of his History of Rome, is a description of all Roman regions during the early imperial period.<br /> Altho we tend to view the Roman Empire' history as that of Rome itself, Mommsen argues that the true destiny &amp; drama of the Roman ideal was enacted in the provinces, rippling out from the city thru Italy &amp; into the whole Mediterranean world. Roman ideals of civilization were realized thru conquest &amp; expansion, creating a two-way street in which Roman law &amp; custom were tempered &amp; changed by outside contact. Describing the widening sphere of Roman influence, he 1st examines the acquisiton &amp; control of Gaul, Spain, Britain &amp; the lands along the Danube, as well as Greece &amp; Asia Minor. Then he discusses Rome's more difficult domination of the present-day Middle East, N. Africa &amp; the frontiers along the Euphrates. He reminds us that great poets &amp; philosophers, as well as several emperors, came from the provinces, demonstrating that the imperial glory played itself out well beyond the city's borders."
1447184,268329,"The History of Rome, Vol 4: The Revolution",142800517X,9781428005174,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,1437886,48,79,81,18,2,5:11|4:5|3:2|2:0|1:0|total:18,1854,,,4.50,10,0,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],"This is an EXACT reproduction of a book published before 1923. This IS NOT an OCR'd book with strange characters, introduced typographical errors, and jumbled words. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book."
18905184,268329,The History of Rome Vol. 1-5 (Annotated),,,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,80961809,16,123,75,17,2,5:12|4:2|3:1|2:2|1:0|total:17,,,,4.41,8,1,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],
19061086,268329,The History of Rome (Annotated),,,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,80961843,2,57,63,15,0,5:6|4:6|3:3|2:0|1:0|total:15,,,,4.20,10,0,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],
1013115,268329,Imperial Lives and Letters of the Eleventh Century,0231121210,9780231121217,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,6,22,eng,Columbia University Press,false,1437924,3,45,50,14,0,5:2|4:6|3:4|2:2|1:0|total:14,2000,6,1,3.57,12,0,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],"Although numerous texts are available in translation that illustrate the papal side of the Investiture Controversy, few accounts exist that convey the position of secular leaders. Imperial Lives and Letters fills this gap, offering the full text of ""The Deeds of Conrad II"" (1024-1139) by Wipo, ""Life of Emperor the Henry IV"" (1056-1106) and the Letters of Henry IV."
