id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
28849075,648081,The King of the Golden River,1347742522,9781347742525,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2015,12,7,,Palala Press,false,1127963,233,2889,4049,1071,107,5:300|4:365|3:303|2:77|1:26|total:1071,1851,,,3.78,0,0,"['1606', '648081', '6378']","['John Ruskin', 'Bjørnstjerne Bjørnson', 'Hans Christian Andersen']","['3.76', '3.38', '4.12']",[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
6639688,648081,Synnøve Solbakken,0559967349,9780559967344,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,1,24,,BiblioLife,false,2032682,69,960,1741,538,27,5:58|4:140|3:229|2:93|1:18|total:538,1857,,,3.24,424,14,['648081'],['Bjørnstjerne Bjørnson'],['3.38'],[],[],[],This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.
13630641,648081,Fiksi Lotus Vol. 1,,9789792283532,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335939276l/13630641._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335939276l/13630641._SX50_.jpg,2012,5,,ind,Gramedia Pustaka Utama,false,19238581,1,452,868,231,53,5:50|4:94|3:72|2:11|1:4|total:231,2012,5,,3.76,231,53,"['800173', '1126', '13387', '648081', '8993', '6076026', '19879', '1455', '5031025', '13388', '24956', '5223', '5835922', '1466', '4176632']","['Maggie Tiojakin', 'Walter de la Mare', 'John Collier', 'Bjørnstjerne Bjørnson', 'O. Henry', 'Saki', 'Stephen Crane', 'Ernest Hemingway', 'Anton Chekhov', 'Shirley Jackson', 'Dorothy Parker', 'Franz Kafka', 'Naguib Mahfouz', 'Jean-Paul Sartre', 'W. Somerset Maugham']","['3.86', '3.99', '3.95', '3.38', '4.08', '3.94', '3.41', '3.83', '3.96', '3.95', '4.08', '3.89', '3.93', '3.99', '4.04']",[],[],[],"Seorang pria membeli ramuan di tengah malam buta untuk menaklukkan hati sang kekasih... John Collier<br /><br />Dua orang musuh bebuyutan terjerembab di malam pekat, menunggu nasib menentukan siapa di antara mereka yang akan selamat... Saki<br /><br />Seorang prajurit menemukan namanya dicetak di atas koran dan tak sabar mengumumkannya ke semua orang... Anton Chekhov<br /><br />Sang Kaisar sekarat, ia mengutus seorang kurir untuk mengantarkan pesan penting... Franz Kafka<br /><br />Dua orang pelayan berdebat tentang fungsi sebuah kafe... Ernest Hemingway<br /><br />Dan cerita pendek klasik lainnya terangkum di sini. Bermula dengan situs sederhana, Fiksi Lotus menghadirkan koleksi cerita pendek klasik dunia yang menarik dan tak jarang menggelitik bagi pembaca Indonesia. Keempat belas cerita yang telah dipilih untuk dihadirkan dalam volume perdana ini merupakan karya-karya besar sejumlah penulis ternama seperti Dorothy Parker, O. Henry, Naguib Mahfouz, dan masih banyak lainnya."
1933742,648081,A Happy Boy,1414234228,9781414234229,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,1936204,69,636,852,251,37,5:45|4:65|3:94|2:38|1:9|total:251,1860,,,3.39,143,19,['648081'],['Bjørnstjerne Bjørnson'],['3.38'],[],[],[],
18804085,648081,75 Short Masterpieces: Stories from the World's Literature,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384457298l/18804085._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384457298l/18804085._SY75_.jpg,1961,4,,eng,"Bantam Books, Inc",false,1322700,8,376,472,129,20,5:29|4:48|3:35|2:13|1:4|total:129,1961,4,1,3.66,3,2,"['363568', '18803622', '17220', '18553013', '224568', '600374', '14403', '648081', '18207444', '1630', '1980788', '17326', '5031025', '1244', '13387', '19879', '51047', '681340', '1126', '18791', '3137322', '9172', '6165', '932179', '86404', '6559421', '24957', '65124', '1259460', '3072763', '2533', '387976', '15905', '7799', '245966', '35238', '113541', '8993', '3487', '28525', '13388', '16893', '16059833', '11565', '2943204', '45712', '8726', '102693', '1624', '113010', '82260', '14270298', '179565', '24956', '4624490', '38714', '13943', '6076026', '117500', '4095', '1463', '237759', '585', '6815', '128382', '6981879', '54427', '32349', '485948', '988142', '68621', '43298', '16255253', '14185432', '106279', '4176632']","['Roger Goodman', 'Sholem Aleichem', 'Nelson Algren', 'William E. Barrett', 'Walter Bernstein', 'Vishnu Sharma', 'Ambrose Bierce', 'Bjørnstjerne Bjørnson', 'Boccaccio', 'Ray Bradbury', 'Ventura García Calderón', 'Erskine Caldwell', 'Anton Chekhov', 'Mark Twain', 'John Collier', 'Stephen Crane', 'Alphonse Daudet', 'Rhys Davies', 'Walter de la Mare', 'Guy de Maupassant', 'Fyodor Dostoyevsky', 'Lord Dunsany', 'James T. Farrell', 'C.S. Forester', 'E.M. Forster', 'Angelica Gibbs', 'Brendan Gill', 'Oliver Goldsmith', 'Herbert Goldstone', 'Maxim Gorky', 'Graham Greene', 'James Hanley', 'Thomas Hardy', 'Nathaniel Hawthorne', 'Ernest Haycox', 'Lafcadio Hearn', 'Ben Hecht', 'O. Henry', 'Aldous Huxley', 'Washington Irving', 'Shirley Jackson', 'MacKinlay Kantor', 'Isaac Loeb Perez', 'Michael McLaverty', 'Russell Maloney', 'Katherine Mansfield', 'Richard Matheson', 'André Maurois', 'Herman Melville', 'Prosper Mérimée', ""Liam O'Flaherty"", 'Palacio Valdes', 'Ricardo Palma', 'Dorothy Parker', 'Edgar Allan Poe', 'Horacio Quiroga', 'Damon Runyon', 'Saki', 'William Sansom', 'William Saroyan', 'Francis Steegmuller', 'Richard Steele', 'John Steinbeck', 'August Strindberg', 'Leo Tolstoy', ""Villiers de L'Isle-Adam"", 'Heinrich von Kleist', 'Sylvia Townsend Warner', 'Jerome Weidman', 'E.B. White', 'Alexander Woollcott', 'Yevgeny Zamyatin', 'Elsa Zantner', 'Leane Zugsmith', 'Arnold Zweig', 'W. Somerset Maugham']","['3.78', '4.10', '3.99', '2.67', '3.74', '4.18', '3.95', '3.38', '3.60', '4.01', '3.78', '3.72', '3.96', '3.86', '3.95', '3.41', '3.65', '4.02', '3.99', '3.86', '4.18', '3.89', '3.68', '4.19', '3.88', '4.09', '4.31', '3.59', '3.57', '3.88', '3.89', '3.63', '3.84', '3.45', '3.66', '3.89', '4.05', '4.08', '3.99', '3.86', '3.95', '4.05', '2.67', '4.09', '4.10', '3.78', '3.97', '4.31', '3.54', '3.59', '3.74', '3.00', '3.83', '4.08', '4.17', '4.01', '4.16', '3.94', '4.02', '4.06', '3.80', '3.69', '3.93', '3.53', '4.06', '3.75', '3.54', '3.87', '3.83', '4.15', '4.13', '3.93', '2.20', '3.17', '3.83', '4.04']","['18923385', '3956569']","['Eugenie Luhn', 'Helen Reeve']","['2.67', '3.60']","From the back: ""The seventy-five short masterpieces of fiction in this volume represent the finest accomplishments in a difficult and special art form. Each creates a microcosm in which the very compactness of the story gives it power and emotional impact much more dramatic than could have been achieved in a longer or more explicit work. PROOF POSITIVE by Graham Green is spine-chilling. Leo Tolstoy's THE THREE HERMITS has a beauty which is moving and spiritual, John Collier's THE CHASER is shocking and hilarious. Selected from the literature of the world, and including writers from Boccaccio through Sylvia Townsend Warner, this volume is a class anthology of great stories.<br /><br />CONTENTS<br />A wedding without musicians / Sholem Aleichem --<br />He swung and he missed / Nelson Algren --<br />Señor payroll / William E. Barrett --<br />Houseparty / Walter Bernstein --<br />How light belief bringeth damage / Bidpai --<br />A psychological shipwreck / Ambrose Bierce --<br />The father / Björnstjerne Björnson --<br />Neifile's story / Boccaccio --<br />I see you never / Ray Bradbury --<br />The lottery ticket / Ventura Garcia Calderón --<br />Daughter / Erskine Caldwell --<br />A wicked boy / Anton Chekhov --<br />Luck / Samuel Clemens --<br />The chaser / John Collier --<br />The upturned face / Stephen Crane --<br />A game of billiards / Alphonse Daudet --<br />Fear / Rhys Davies --<br />The riddle / Walter de la Mare --<br />The jewels of M. Lantin / Guy de Maupassant --<br />The heavenly Christmas tree / Fyodor Dostoevsky --<br />The ghosts / Lord Dunsany --<br />The scoop / James T. Farrell --<br />The bedchamber mystery / C.S. Forester --<br />Mr. Andrews / E.M. Forster --<br />The test / Angelica Gibbs --<br />Truth and consequences / Brendan Gill<br />The disabled soldier / Oliver Goldsmith --<br />Virtuoso / Herbert Goldstone --<br />Her lover / Maxim Gorky --<br />Proof positive / Graham Greene --<br />The butterfly / James Hanley --<br />Absent-mindedness in a parish choir / Thomas Hardy --<br />The hollow of the three hills / Nathaniel Hawthorne --<br />A question of blood / Ernest Haycox --<br />The boy who drew cats / Lafcadio Hearn --<br />The lost soul / Ben Hecht --<br />The exact science of matrimony / O. Henry --<br />Fard / Aldous Huxley --<br />The wife / Washington Irving --<br />Charles / Shirley Jackson --<br />Then came the legions / MacKinlay Kantor --<br />If not higher / Isaac Loeb Perez --<br />The wild duck's nest / Michael McLaverty --<br />A toast to Captain Jerk / Russell Maloney --<br />Germans at meat / Katherine Mansfield --<br />Born of man and woman / Richard Matheson --<br />The ant and the grasshopper / Somerset Maugham --<br />The guardian angel / André Maurois --<br />The fiddler / Herman Melville --<br />The pearl of Toledo / Prosper Mérimée --<br />The sniper / Liam O'Flaherty --<br />The crime on Calle de la Persequida / Palacio Valdés --<br />How the devil lost his poncho / Ricardo Palma<br />The standard of living / Dorothy Parker --<br />The oval portrait / Edgar Allan Poe --<br />Three letters... and a footnote / Horacio Quiroga --<br />A dangerous guy indeed / Damon Runyon --<br />Reginald's choir treat / Saki --<br />The kiss / William Sansom --<br />The shepherd's daughter / William Saroyan --<br />The foreigner / Francis Steegmuller --<br />Tom Varnish / Richard Steele --<br />Over the hill / John Steinbeck --<br />An attempt at reform / August Strindberg --<br />The three hermits / Leo Tolstoy --<br />The doctor's heroism / Villiers de L'Isle-Adam --<br />The beggar-woman of Locarno / Heinrich von Kleist --<br />The phoenix / Sylvia Townsend Warner --<br />Slipping beauty / Jerome Weidman --<br />The hour of letdown / E.B. White --<br />Moonlight sonata / Alexander Woollcott --<br />God / Eugene Ivanovich Zamiatin --<br />How Grandpa came into the money / Elsa Zantner --<br />The three veterans / Leane Zugsmith --<br />Kong at the seaside / Arnold Zweig"
15784836,648081,Faderen,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428336720l/15784836._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428336720l/15784836._SX50_.jpg,,,,nor,bokselskap.no,true,21502856,5,173,319,93,11,5:14|4:27|3:37|2:15|1:0|total:93,1860,,,3.43,52,4,['648081'],['Bjørnstjerne Bjørnson'],['3.38'],[],[],[],"Faderen er en novelle av Bjørnstjerne Bjørnson, utgitt i novellesamlingen Småstykker (1860). Novellen regnes blant Bjørnsons bondefortellinger. Tematikken er knyttet til «lidelsens høgskole», et begrep Bjørnson fanget opp da han sommeren 1859 leste den tyske predikanten Hofackers tekster. Hovedpersonen Tord Øveraas går fra velstand og stolthet gjennom dyp fortvilelse til ydmykhet.<br /><br />(fra Wikipedia)"
3748014,648081,Arne,1410103323,9781410103321,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,7,19,,Fredonia Books (NL),false,3791869,48,193,288,88,8,5:10|4:22|3:41|2:12|1:3|total:88,1859,,,3.27,77,5,['648081'],['Bjørnstjerne Bjørnson'],['3.38'],[],[],[],"Arne is a peasant with a strain of poetry in him; he is a dreamer of dreams and a maker of songs, but he is conditioned by his history and environment. He is first introduced as the ""only child at the little farm among the hills,"" living with his grandmother and his mother, Margit, who ""once stayed too long at a dancing party."" He is the illegitimate son of one Nils Skraeder, a fiddler of genius and a man fatally attractive to women, but a drunkard and a ne'er-do-well. Nils has his back broken in a quarrel over Brigit, another girl of the countryside, is carried to Margit's house, recovers to a certain extent, and marries her. For a time he keeps sober, but relapses and maltreats her-to the indignation of their son Arne, who is only prevented by his father's sudden death from killing him. The lad grows up shy and reserved, but he is deeply attached to his mother, who is even more deeply attached to him. He longs, however, to go into the world, to fly over the hills and far away; he is restless and unsatisfied-but there is his mother! He has a friend who has gone into the world, and he expects to hear from him of it; letters arrive, but Margit, fearful lest she lose her son, keeps them, and hides from him that they have come. Then he falls in love with Eli, the daughter of the man with whom his father had had the row that laid him low, and Brigit of the same episode ..."
12069375,648081,Cinta Tak Pernah Mati,9789790243,9789790243576,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2011,6,,ind,Serambi Ilmu Semesta,false,17036905,1,160,237,64,18,5:7|4:34|3:21|2:1|1:1|total:64,2011,6,,3.70,64,18,"['5775185', '7419', '8993', '5144', '18791', '6989', '4624490', '4176632', '6815', '36913', '128382', '228089', '1244', '648081', '4750', '5031025', '1219904', '3137322']","['Ryūnosuke Akutagawa', 'John Galsworthy', 'O. Henry', 'James Joyce', 'Guy de Maupassant', 'Rudyard Kipling', 'Edgar Allan Poe', 'W. Somerset Maugham', 'August Strindberg', 'Rabindranath Tagore', 'Leo Tolstoy', 'Honoré de Balzac', 'Mark Twain', 'Bjørnstjerne Bjørnson', 'Émile Zola', 'Anton Chekhov', 'Anton Kurnia', 'Fyodor Dostoyevsky']","['4.02', '4.10', '4.08', '3.74', '3.86', '3.93', '4.17', '4.04', '3.53', '4.13', '4.06', '3.80', '3.86', '3.38', '3.93', '3.96', '3.68', '4.18']",['2896354'],['Atta Verin'],['3.56'],"Di dalam buku ini Anda dapat membaca 17 cerita memikat karya 17 pengarang terkemuka dari berbagai belahan dunia: Ryunosuke Akutagawa (Jepang), Honoré de Balzac (Prancis), Bjornstjerne Bjornson (Norwegia), Anton Chekhov (Rusia), Fyodor Dostoevsky (Rusia), John Galsworthy (Inggris), O. Henry (Amerika Serikat), James Joyce (Irlandia), Rudyard Kipling (Inggris), W. Somerset Maugham (Inggris), Guy de Maupassant (Prancis), Edgar Allan Poe (Amerika Serikat), August Strindberg (Swedia), Rabindranath Tagore (India), Leo Tolstoy (Rusia), Mark Twain (Amerika Serikat), dan Émile Zola (Prancis).<br /><br />Cerita-cerita di dalam antologi ini bertutur tentang beragam hal, dari kisah cinta yang ganjil hingga kisah misteri bernuansa cinta. Kisah-kisah ini menyiratkan kepada kita bahwa di balik segenap suka duka kehidupan, sesungguhnya cintalah yang pada akhirnya akan menyelamatkan kita.<br />Inilah sebuah buku langka yang merangkum karya-karya terbaik para pengarang legendaris dunia. Sebuah persembahan istimewa yang layak Anda baca."
1350451,648081,The Fisher Maiden,1410207528,9781410207524,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,7,24,,University Press of the Pacific,false,1340129,43,251,235,73,7,5:10|4:16|3:30|2:14|1:3|total:73,1868,,,3.22,36,3,['648081'],['Bjørnstjerne Bjørnson'],['3.38'],[],[],[],"Bj?rnstjerne Bj?rnson (1832-1910) was a poet, dramatist, novelist, journalist, editor, public speaker, theatre director, and one of the most prominent public figures in the Norway of his day. He was awarded the Nobel Prize for Literature in 1903 and is generally known, together with Henrik Ibsen, Alexander Kielland, and Jonas Lie, as one of the four great ones of 19th-century Norwegian literature. His poem Ja, vi elsker dette landet (Yes, We Love This Land) is the Norwegian national anthem.In the long list of works that bear the name of this great-hearted man of genius none is a more authentic disclosure of his idealism, his poetic conception of life, his love of art, and his command of humor, pathos, sentiment, sympathy, and deep feeling than The Fisher Maiden - a fresh, free, deep-seeing interpretation of the temptations, struggles, joys, sorrows, pains, and exaltations of the artistic temperament. - Hamilton Wright Mabie"
50080290,648081,The Complete Harvard Classics (Eireann Press),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,43743349,4,1498,177,41,0,5:29|4:4|3:3|2:2|1:3|total:41,2014,12,8,4.32,0,0,"['289513', '879', '947', '12080', '12793', '521142', '237292', '13852', '17212', '50964', '9876', '53520', '75831', '19752840', '128952', '990', '1002', '973', '1011', '19111811', '14424', '302387', '31015', '919', '4037220', '16244', '8384103', '5158478', '12452', '2938140', '6378', '8124', '83945', '65124', '45882', '24391', '44407', '285217', '11155', '5031312', '136729', '18723374', '903', '19864715', '17142', '57651', '29951', '227771', '3015432', '15686', '29837', '7723', '18738228', '112273', '174943', '7530626', '722635', '19864716', '14410', '17241', '19004475', '9809310', '11038', '50672', '901', '2936846', '18671141', '3124430', '3512745', '3124431', '772978', '36556', '5754446', '7994', '10122', '232035', '53519', '19684759', '4822645', '16201', '190871', '3063220', '29874', '51746', '92770', '45726', '248774', '560028', '160833', '923134', '19683505', '692215', '692216', '214055', '15321', '276802', '22587', '22583', '7775289', '39090', '183835', '10994', '17501', '22796', '1265', '4345', '3953', '239579', '173', '7799', '28525', '4624490', '10889', '19864717', '8183', '159', '13661', '228089', '1464', '224009', '51047', '18791', '169899', '6556', '68613', '128382', '3137322', '410680', '36098', '648081', '4091639', '4505302']","['Benjamin Franklin', 'Plato', 'William Shakespeare', 'Ralph Waldo Emerson', 'Charles Darwin', 'John Woolman', 'William Penn', 'Epictetus', 'Marcus Aurelius', 'Francis Bacon', 'John Milton', 'Thomas Browne', 'Robert Burns', 'Saint Augustine', 'Thomas à Kempis', 'Aeschylus', 'Sophocles', 'Euripides', 'Aristophanes', 'Cicero', 'Adam Smith', 'Pliny the Younger', 'Plutarch', 'Virgil', 'Miguel de Cervantes Saavedra', 'John Bunyan', 'Izaak Walton', 'Anonymous', 'Aesop', 'Jacob Grimm', 'Hans Christian Andersen', 'John Dryden', 'Richard Brinsley Sheridan', 'Oliver Goldsmith', 'Percy Bysshe Shelley', 'Robert Browning', 'Lord Byron', 'Johann Wolfgang von Goethe', 'Christopher Marlowe', 'Dante Alighieri', 'Alessandro Manzoni', 'Golden Deer Classics', 'Homer', 'Richard Henry Dana Jr', 'Edmund Burke', 'John Stuart Mill', 'Thomas Carlyle', 'Pedro Calderón de la Barca', 'Pierre Corneille', 'Jean Racine', 'Molière', 'Gotthold Ephraim Lessing', 'Friedrich von Schiller', 'Michael Faraday', 'Hermann von Helmholtz', 'Lord Kelvin', 'Simon Newcomb', 'Sir Archibald Geikie', 'Benvenuto Cellini', 'Michel de Montaigne', 'Charles Augustin Sainte-Beuve', 'Ernest Renan', 'Immanuel Kant', 'Giuseppe Mazzini', 'Herodotus', 'Tacitus', 'Philiip Nichols', 'Francis Pretty', 'Walter Bigges', 'Edward Haies', 'Walter Raleigh', 'René Descartes', 'Voltaire', 'Jean-Jacques Rousseau', 'Thomas Hobbes', 'Jean Froissart', 'Thomas Malory', 'Sir Thomas Malory', 'William Harrison', 'Niccolò Machiavelli', 'William Roper', 'Thomas More', 'Martin Luther', 'John Locke', 'George Berkeley', 'David Hume', 'Hippocrates', 'Ambroise Paré', 'William Harvey', 'Edward Jenner', 'Oliver Wendell Holmes', 'Joseph Lister', 'Louis Pasteur', 'Charles Lyell', 'Confucius', 'Christian', 'Thomas Dekker', 'Ben Jonson', 'Beaumont and Fletcher', 'John Webster', 'Philip Massinger', 'Blaise Pascal', 'Henry Fielding', 'Laurence Sterne', 'Jane Austen', 'Walter Scott', 'William Makepeace Thackeray', 'Charles Dickens', 'George Eliot', 'Nathaniel Hawthorne', 'Washington Irving', 'Edgar Allan Poe', 'Bret Harte', 'Samuel L. Clemens', 'Edward Everett Hale', 'Henry James', 'Victor Hugo', 'Honoré de Balzac', 'George Sand', 'Alfred de Musset', 'Alphonse Daudet', 'Guy de Maupassant', 'Gottfried Keller', 'Theodor Storm', 'Theodor Fontane', 'Leo Tolstoy', 'Fyodor Dostoyevsky', 'Ivan Turgenev', 'Juan Valera', 'Bjørnstjerne Bjørnson', 'Alexander L. Kielland', 'Charles Eliot']","['3.86', '4.01', '3.87', '4.07', '3.99', '3.65', '3.70', '4.25', '4.23', '3.61', '3.85', '4.11', '4.11', '4.05', '4.19', '3.97', '3.77', '3.94', '3.89', '4.00', '3.90', '3.86', '4.10', '3.85', '3.87', '4.02', '3.91', '4.15', '4.05', '4.16', '4.12', '3.91', '3.64', '3.59', '4.01', '3.98', '3.96', '3.80', '3.79', '4.02', '3.77', '4.26', '3.81', '0.0', '3.77', '3.90', '3.68', '3.91', '3.62', '3.71', '3.72', '3.39', '3.62', '4.02', '3.69', '3.80', '4.09', '0.0', '3.98', '4.15', '4.75', '3.81', '3.91', '3.88', '3.98', '4.01', '3.50', '3.65', '3.81', '3.94', '3.89', '3.72', '3.77', '3.76', '3.80', '3.95', '3.98', '2.67', '3.74', '3.83', '3.68', '3.54', '4.13', '3.81', '3.75', '3.95', '3.65', '3.84', '3.73', '2.89', '3.96', '3.81', '3.58', '3.93', '3.84', '3.88', '3.45', '3.54', '3.50', '3.65', '3.35', '3.97', '3.65', '3.65', '4.12', '3.74', '3.78', '3.89', '3.84', '3.45', '3.86', '4.17', '3.70', '0.0', '3.64', '3.62', '4.14', '3.80', '3.69', '3.68', '3.65', '3.86', '3.28', '3.51', '3.29', '4.06', '4.18', '3.92', '3.51', '3.38', '3.75', '4.01']",[],[],[],
18107996,648081,Moștenirea familiei Kurt,,9786068481227,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371828048l/18107996._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371828048l/18107996._SY75_.jpg,2012,,,rum,Litera,false,25429917,8,105,128,38,2,5:4|4:12|3:17|2:4|1:1|total:38,1884,,,3.37,37,1,['648081'],['Bjørnstjerne Bjørnson'],['3.38'],[],[],[],"„Nu sunt dintre cei care cred ca artistul, scriitorul sunt scutiti de responsabilitati. Dimpotriva, responsabilitatea lor este mai mare decat a celorlalti oameni pentru ca ei se afla in capul coloanei si trebuie sa arate drumul de urmat. Sunt adanc recunoscator Academiei Suedeze pentru ca mi-a recunoscut eforturile in aceasta directie si vreau sa ridic acum paharul pentru succesul activitatii sale in promovarea a ceea ce este reprezentativ si nobil in literatura.“ - Bjornstjerne Bjornson, Discursul de la Stockholm, 1903<br /><br />„Autor al primelor drame istorice moderne in Norvegia, al unor saga care i-au influentat, printre altii, pe Selma Lagerlof sau Knut Hamsun, Bjornson ramane, alaturi de Henrik Ibsen, Alexander Kielland si Jonas Lie, unul dintre cei patru autori majori (De Fire Store) ai Norvegiei de la sfarsitul secolului al XIX-lea.“ - Andreea Rasuceanu<br /><br />„Cand se rosteste numele lui Bjornson, parca s-ar desfasura stindardul Norvegiei. Cu calitatile si lipsurile lui, cu geniul si cu slabiciunile sale, el e tot atat de complet norvegian pe cat de complet francez este Voltaire. In personalitatea sa, Bjornson rezuma intregul popor. Nici un alt contemporan nu reprezinta atat de desavarsit dragostea acestui popor fata de patrie si de libertate, constiinta de sine, sinceritatea si energia sa tanara.“- Georg Brandes"
