id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
24708849,25619,Ben-Hur (suivi de Quo Vadis ?): édition intégrale (Fiction Historique),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,true,1434214,978,56371,129497,32111,1026,5:12752|4:10509|3:6598|2:1655|1:597|total:32111,1880,,,4.03,0,0,"['16104262', '25619']","['Lew Wallace', 'Henryk Sienkiewicz']","['4.03', '3.85']",[],[],[],"Deux péplums majestueux écrits par deux auteurs de talents – Lewis Wallace &amp; Henryk Sienkiewicz – réunis pour la première fois dans une édition électronique complète.<br /><br />Tout d’abord, « Ben-Hur »<br /><br />Fils d'un prince de Jérusalem, Juda Ben-Hur s'apprête à partir à Rome pour y apprendre le métier de soldat lorsqu'un hasard tragique bouleverse son destin : il blesse par accident le puissant gouverneur Valerius Gratius. Accusé d'avoir commis un attentat, injustement condamné, Ben-Hur n'a désormais que deux buts : libérer son pays du joug romain, et se venger de Messala, qui l'a injustement condamné.<br /><br />Suivi de « Quo Vadis ? » (Où vas-tu ?). Un roman « historique » sur les persécutions que les chrétiens ont subies sous le règne de l’empereur romain Néron, avec une histoire d’amour à la clé. Le général patricien Marcus Vinicius tombe amoureux de la chrétienne Lygie/Callina. Il demande de l’aide à son oncle Pétrone, un proche conseiller de l’empereur, qui va la faire enlever et la mettre dans le palais de Néron...<br /><br /><br /> <b> Format professionnel électronique © Ink Book édition. </b><br />"
538845,25619,Quo Vadis,0781805503,9780781805506,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340709653l/538845._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340709653l/538845._SY75_.jpg,2006,,,eng,Hippocrene Books,false,44995,222,46387,105346,25336,949,5:11639|4:8038|3:4099|2:1142|1:418|total:25336,1894,,,4.16,22566,673,['25619'],['Henryk Sienkiewicz'],['3.85'],['451828'],['W.S. Kuniczak'],['4.16'],"<strong>This glorious saga unfolds against the backdrop of ancient Rome--from the Forum to the Coliseum, from banquet halls to summer retreats in Naples, from the luxurious houses of the nobility to the hovels of the poor, <em>Quo Vadis</em> richly depicts a place and time still captivating to the modern imagination. This radiant translation by W.S. Kuniczak restores the original glory and richness of master storyteller Henryk Sienkiewicz's epic tale.</strong><br /><br />Set at a turning point in history (A.D. 54-68), as Christianity replaces the era of corruption and immorality that marked Nero's Rome, <em>Quo Vadis</em> abounds with compelling characters, including:<br /><br /><br /><strong>Vinicius, the proud centurion who has fallen deeply in love with a mysterious young woman who disappears the night they meet;</strong><strong>Ligia, the elusive beauty. Vinicius will not easily win her love, for she is a Christian, one of the group of dedicated believers led by the apostle Peter. Christians are rare in pagan, hedonistic Rome, and suffer great persecution;<br /><br /></strong><strong>Petronius, uncle to Vinicius, an elegant, witty courtier who scoffs at love and religion but finds his nephew's passion charming; and</strong><br /><br /><strong>Nero himself, enemy of all Christians, a despotic emperor who plunges Rome deeper and deeper into depravity. The decadence of his banquets is staggering; and even worse, his mad laughter is heard echoing in the amphitheater as gladiators duel to the death.</strong><br /><br />As Nero's appalling plans for the Christians become ever clearer, time appears to be running out for the young lovers. Vinicius must come to understand the true meaning of Ligia's religion before it is too late.<br /><br />Grand in scope and ambition, <em>Quo Vadis</em> explores the themes of love, desire and profound moral courage. Lavish descriptions, vivid dialogue and brilliantly drawn characters make this one of the world's greatest epics. Beloved by children and adults the world over, <em>Quo Vadis</em> has been the subject of five films, two of them in English."
168696,25619,In Desert and Wilderness,1589636147,9781589636149,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,3078724,222,8323,20659,5778,152,5:1485|4:1729|3:1512|2:730|1:322|total:5778,1911,,,3.58,3379,53,"['25619', '3917458', '7236622']","['Henryk Sienkiewicz', 'Max A. Drezmal', 'Nikolaj Omersa']","['3.85', '3.62', '3.62']",['4792261'],['France Vodnik'],['3.62'],"In the tradition of Robinson Crusoe and Treasure Island comes a Sienkiewicz novel for readers of all ages! This thrilling adventure saga and coming-of-age tale sets two young children, Stas Tarkowski, fourteen, and Nelly Rawlison, eight, within the reaches of Africa's desert storms, the ravages of hunger, and threatening jungles filled with vicious animals and warring tribes. Everything for the pair seemed comfortable and safe in Egypt. But when the children are separated from their fathers during a vacation along the Nile, they become pawns in a treacherous plot and are abducted by the vengeful followers of the Mahdi. Joined in their trek by two African children, Kali and Mea, and together with the aid of a faithful dog, Saba, and a mighty elephant, King, the unlikely troop makes its way through deep Africa while facing perilous situations that would render helpless even grown men and women. Throughout this enthralling novel, author Sienkiewicz paints the vivid scenery of what was then known as ""the dark continent,"" a land filled with unknown peoples, primordial landscapes, tall and deep jungles, uncharted rivers and mountains. Political instability, then as now, could make entire regions impassable. In the 1880s one such crisis, a rebellion led by ""the Mahdi,"" threatened to turn a large part of the continent into a hell of destruction and carnage. It is in such a background that Henryk Sienkiewicz, the master storyteller and winner of the 1905 Nobel Prize for literature, placed two European children - the heroes of this engaging tale. For Henryk Sienkiewicz, In Desert and Wilderness represented a final triumph; this was the last novel he would complete. Sienkiewicz, who had visited Africa in 1891, successfully recreates in the book the beauty he encountered amid the continent's entrancing landscape. Written over eighty years ago for a younger audience, but appealing to all ages, In Desert and Wilderness remains a literary treasure in Poland. Now the fine Max"
1904724,25619,"Ogniem i mieczem (Trylogia, #1)",8373898476,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,,,pol,Zielona Sowa,false,162893,209,7847,17100,4295,143,5:1639|4:1464|3:792|2:273|1:127|total:4295,1884,,,3.98,3471,72,['25619'],['Henryk Sienkiewicz'],['3.85'],[],[],[],"Ogniem i mieczem, pierwsza z powieści tworzących Trylogię, przedstawia dzieje Polski w dobie powstania Chmielnickiego (1648-1654). Pisarz, starając się wzbudzić w czytelnikach patriotyczne uczucia, nadał powieści cechy antycznego i rycerskiego eposu, wprowadził baśniowość oraz wyraźny podział na bohaterów reprezentujących dobro i zło. Jednoznacznie negatywną kwalifikację moralną przypisał Sienkiewicz zbuntowanym Kozakom, przedstawionym jako żądni krwi barbarzyńcy, zaś Polaków przedstawił jako odważnych obrońców ojczyzny i prawych, przestrzegających rycerskiego kodeksu żołnierzy. W czarno-biały schemat wpisani zostali także – wbrew prawdzie historycznej – przywódcy walczących stron. Głównym wątkiem spajającym fabułę pierwszej części Trylogii uczynił pisarz burzliwe dzieje miłości odważnego rycerza bez skazy – Jana Skrzetuskiego i urodziwej, niewinnej szlachcianki – Heleny Kurcewiczówny, którzy rozdzieleni przez wrogów i przeciwności losu, przeżywają liczne perypetie. Uwolnienie dziewczyny przez Zagłobę i ich wędrówka w przebraniu, ponowne wpadnięcie w ręce Bohuna..., wszystkie te przygody prowadzą do szczęśliwego zakończenia, w którym bohaterowie spotykają się i mogą stanąć na ślubnym kobiercu..."
759212,25619,The Teutonic Knights,0781804337,9780781804332,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,10,1,eng,Hippocrene Books,false,1490593,157,6073,14506,4294,69,5:899|4:1240|3:1135|2:626|1:394|total:4294,1899,,,3.38,2129,39,"['25619', '98244']","['Henryk Sienkiewicz', 'Miroslaw Lipinski']","['3.85', '3.60']",['7278274'],['Alicia Tyszkiewicz'],['3.56'],"The Teutonic Knights is an epic of medieval times and national destiny, ranking as one of the highest achievements from the pen of Henryk Sienkiewicz, the Nobel Prize winner for Literature in 1905. The novel follows the adventures of Macko, a resourceful and wise veteran of war, and his young nephew, Zbyszko, the symbol of a maturing nation, as they struggle, along with the unified peoples of Poland and Lithuania, against the oppressive religious military order, the Teutonic Knights. Among the many memorable characters are Jurand, a merciless, bitter fighter consumed with revenge; his daughter, the innocent Danusia, a girl of twelve who must face the barbarity of the German knighthood; the strong-willed Jagienka, equally adept at shooting a crossbow or administering an estate; Hlawa, a Czech squire of noble birth who is as quick with his wit as he is with his axe; Sanderus, a peddler of religious relics and indulgences whose earthly cravings seem greater than any spiritual needs. A host of other memorable characters fills the canvas set against lush, almost magical forests, dangerous marshes replete with tales of human heads walking on spider legs, winter blizzards that blanket the world in a white wonderland - all at once beautiful and foreboding. Splendid castles are described here, court hunts, single combats that test valor and strength. The customs of knights with their code of honor and feelings of love are adroitly explored. The entirety culminates in one of the most important battles in medieval history, the Battle of Grunwald. The Teutonic Knights was published in America in 1900 in various competing translations of erratic quality. Not until 1943 did a translation worthy of this masterpiece appear, but unfortunately its release was limited to Great Britain. It is this translation that has been revised and edited by Miroslaw Lipinski with an eye for both fluidity in the English language and fidelity to the original Polish."
538860,25619,"Potop (Trylogia, #2)",8373898352,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,,,pol,Zielona Sowa,false,1096450,78,4927,12466,3234,54,5:1172|4:1042|3:573|2:272|1:175|total:3234,1886,,,3.85,2872,36,['25619'],['Henryk Sienkiewicz'],['3.85'],[],[],[],"Potop, druga z powieści tworzących Trylogię, przedstawia dzieje Polski w dobie najazdu Szwedów (1655-1660). Zasadniczą ideą powieści jest problem zdrady i wiernośsci, będący kryterium moralnej oceny zarówno postaci historycznych (np. Radziwiłł), jak i fikcyjnych (przede wszystkim Kmicic). Z głównym motywem wiąże się sposób prezentacji zdarzeń - Sienkiewicz ukazuje dwie fazy konfliktu polsko-szwedzkiego, w którzym dużą rolę odegrała zdrada magnatów i części szlachty. Początkowy obraz wrogiego ""potopu"" przynosi bliskość całkowitej klęski Rzeczypospolitej, w której tylko nieliczni obywatele zdolni są do obrony jej suwerenności."
6306854,25619,"Pan Wołodyjowski (Trylogia, #3)",8371622139,9788371622137,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438438515l/6306854._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438438515l/6306854._SX50_.jpg,1997,,,pol,Narodowa Biblioteka Lektur Szkolnych,false,162901,159,3523,8414,2125,48,5:777|4:740|3:412|2:137|1:59|total:2125,1888,,,3.96,1788,26,['25619'],['Henryk Sienkiewicz'],['3.85'],[],[],[],"Pan Wołodyjowski jest ostatnią powieścią Trylogii (pozostałe to Ogniem i mieczem i Potop). Akcja toczy się na Kresach podczas wojny polsko-tureckiej, za panowania Michała Wiśniowieckiego. Michał Wołodyjowski pojawiał się we wcześniejszych częściach cyklu, zyskując coraz bardziej na znaczeniu. Pisarz, tworząc swego bohatera, wzorował się na autentycznej osobie - podolskim rycerzu Jerzym Wołodyjowskim który zginął podczas obrony Kamieńca. Powieść Sienkiewicza wypełniają dzieje potyczek, pościgów, pojedynków i licznych romansów składających się na porywającą lekturę."
3221683,25619,Latarnik,8373271783,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,,,pol,GREG,false,3255719,3,3610,7661,2694,20,5:220|4:494|3:922|2:761|1:297|total:2694,1881,,,2.84,2640,17,['25619'],['Henryk Sienkiewicz'],['3.85'],[],[],[],"Bohaterem opowiadania jest Polak - Skawiński, który przybywa do Aspinwall, aby tu objąć posadę latarnika. Jest zmęczony życiem, które obfitowało w przygody, niestety zwykle kończące się dla Skawińskiego katastrofą. Wziąwszy udział w powstaniu musiał opuścić kraj, tułał się po całym świecie, wiele razy ryzykował życiem. W końcu zaczął szukać miejsca, gdzie na dobre mógłby się osiedlić. Wybrał Aspinwall i latarnię morską, gdzie rozpoczął ciche, spokojne życie."
2413896,25619,Yanko the Musician and Other Stories,1410103072,9781410103079,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,6,19,,Fredonia Books (NL),false,2421073,12,1767,3798,1337,17,5:133|4:230|3:459|2:321|1:194|total:1337,1878,,,2.84,754,5,['25619'],['Henryk Sienkiewicz'],['3.85'],[],[],[],CONTENTS<br /><br />- Yanko the Musician (1878)<br />- The Light-House Keeper of Aspinwall (1881)<br />- From the Diary of a Tutor in Poznan (1880)<br />- Comedy Errors: A Sketch of American Life (1878)<br />- Bartek the Victor (1882)
13437577,25619,Potop. Tom I,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,,,pol,Wydawnictwo Dolnośląskie,false,48882870,87,1114,3126,803,11,5:300|4:265|3:133|2:62|1:43|total:803,1886,,,3.89,681,4,['25619'],['Henryk Sienkiewicz'],['3.85'],[],[],[],"Trzytomowe wydanie klasyki polskiej literatury. Potop szwedzki przedstawiony z wnikliwością i dbałością o detale historyczne, a jednocześnie pasjonująca powieść i ulubieni bohaterowie."
538859,25619,Without Dogma,1426455763,9781426455766,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,5,29,eng,BiblioLife,false,745325,64,1123,2279,556,31,5:230|4:196|3:94|2:27|1:9|total:556,1891,,,4.10,288,15,['25619'],['Henryk Sienkiewicz'],['3.85'],[],[],[],"In <i>Without dogma</i> Sienkiewicz decided to move away from the historical novel genre that gave him fame and write about contemporary issues, being the problem of late nineteenth-century man, devoid of moral principles and lasting purpose in life, to which he could pursue. He wrote a psychological novel, in which the romantic plot was a pretext for showing the hero's mental states and self-analysis of his experiences. Due to its subject and the lack of explicit condemnation of the main character, this book aroused heated discussions and sparked allegations of a-morality. For many young people <i>Without the dogma</i> was the diagnosis of their generation."
