id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
10766861,570804,Le Rime Di Francesco Petrarca Di Su Gli Originali,1143306686,9781143306686,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,15501745,246,4983,11134,2824,126,5:1002|4:936|3:662|2:170|1:54|total:2824,1336,,,3.94,3,0,"['72460', '570804', '4459969']","['Francesco Petrarca', 'Giosuè Carducci', 'Severino Ferrari']","['3.93', '3.54', '3.00']",[],[],[],
9718274,570804,Poesie,8817122130,9788817122139,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361708522l/9718274._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361708522l/9718274._SY75_.jpg,,,,ita,BUR Biblioteca Univ. Rizzoli,false,14606867,33,242,163,47,6,5:8|4:19|3:10|2:7|1:3|total:47,1892,1,1,3.47,19,0,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],
8174402,570804,Hymn to Satan,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,13020796,8,108,135,33,2,5:14|4:10|3:7|2:2|1:0|total:33,1863,,,4.09,12,0,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],
6617247,570804,A Selection from the Poems of Giosue Carducci,1103295616,9781103295616,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,2,2,,BiblioLife,false,1156063,20,165,113,34,6,5:4|4:13|3:10|2:4|1:3|total:34,1996,1,1,3.32,19,4,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.
22835310,570804,40 Novelle,1500579513,9781500579517,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2014,7,19,,Createspace,false,26234220,16,75,102,28,8,5:7|4:6|3:13|2:2|1:0|total:28,,,,3.64,0,0,"['6378', '4470654', '570804']","['Hans Christian Andersen', 'Maria Pezzé Pascolato', 'Giosuè Carducci']","['4.12', '3.78', '3.54']",[],[],[],"Questo Libro include: Giosue Carducci alla Traduttrice Prefazone: H. C. Andersen Fonti biografiche 1. Il brutto anitroccolo (Eventyr og Historier, Kjobenhavn, C. A. Reitzels Forlag, 1887, Volume I, 237, Novella XXVII: Den Grimme Aelling: Der var saa deiligt ude paa Landet...) 2. I vestiti nuovi dell'Imperatore (I, 89 - N. IX: Keiserens nye Klaeder: For mange Aar siden levede en Keiser...) 3. Storia di una mamma (I, 386 - N. XLIX: Historien om en Moder: Der sad en Moder hos sit lille Barn...) 4. L'acciarino (I, 1 - N. I: Fyrtoiet: Der kom en Soldat marscherende hen ad Landeveien...) 5. La margheritina (I, 124 - N. XI: Gaaseurten: Nu skal Du hore!...) 6. La chiocciola e il rosaio (II, 317 - N. CXIII: Sneglen og Rosenhaekken: Rundt om Haven var et Gjerde af Noddebuske...) 7. L'intrepido soldato di stagno (I, 128 - N. XII: Den Standhaftige Tinsoldat: Der var en Gang fem og tyve Tinsoldater...) 8. La sirenetta (I, 65 - N. VIII: Den lille Havfrue: Langt ude i Havet er Vandet saa blaat...) 9. La piccina dei fiammiferi (I, 333 - N. XXXIX: Den lille Pige rned Svovlstikkerne: Der var saa grueligt koldt...) 10. L'abete (I, 247 - N. XXVIII: Grantraeet: Ude i Skoven stod der saadant et nydeligt Grantrae...) 11. L'ago (I, 297 - N. XXXI: Stoppenaalen: Der var en Gang en Stoppenaal...) 12. L'usignuolo (I, 224 - N. XXV: Nattergalen: I China veed Du jo nok er Keiseren en Chisener...) 13. I promessi sposi (I, 234 - N. XXVI: Kjaerestefolkene: Toppen og Bolden laae i Skuffe...) 14. Cecchino e Ceccone (I, 9 - N. II: Lille Claus og store Claus: Der var i an By to Moend...) 15. Pollicina (I, 31 - N. V: Tommelise: Der var en Gang en Kone...) 16. Galletto Massaro e Galletto Banderuola (II, 160 - N. XCVIII: Gaardhanen og Veirhanen: Der vare to Haner...) 17. La principessina sul pisello (I, 21 - N. III: Prindsessen paa Aerten: Der var en gang en Prinds...) 18. Il guardiano di porci (I, 214 - N. XXII: Svinedrengen: Der var en Gang en fattig Prinds...) 19. Il ragazzaccio (I, 42 - N. VI: Den uartige Dreng: Der var en Gang en gammel Digter...) 20. Quel che fa il babbo e sempre ben fatto (II, 228 - N. CVI: Hvad Fatter gjor, det er altid det Rigtige: Nu skal ieg fortaelle Dig en Historie...) 21. Il Monte degli Elfi (I, 308 - N. XXXIV: Elverhoi: Der lob saa vimse nogle Furbeen i Spraekkerne paa et gammelt Trae...) 22. L'Angelo (I, 222 - N. XXIV: Engelen: Hver Gang et godt Barn doer...) 23. Le corse (II, 98 - N. LXXXVII: Hurtigloberne: Der var udsat en Priis...) 24. La nonna (I, 306 - N. XXXIII: Bedstemoder: Bedstemoder er saa gammel...) 25. Penna e calamaio (II, 153 - N. XCVI: Pen og Blackhuus: Der blev sagt i en Digters Stue...) 26. L'ultima perla (I, 483 - N. LXXI: Den sidste Perle: Der var et rigt Huus, et lykkeligt Huus...) 27. Nei mari estremi (I, 488 - N. LXXIII: Ved det yderste Hav: Et Par store Fartoier vare sendte hoit op mod Nordpolen...) 28. La gara di salto (I, 321 - N. XXXVI: Springfyrene: Loppen, Graeshoppen og Springgaasen vilde en Gang see...) 29. Il lino (I, 394 - N. LI: Horren: Horren stod i Blomster...) 30. La vecchia casa (I, 372 - N. XLVI: Det Gamle Huus: Der var omme i Gaden et gammelt, gammelt Huus...) 31. Cinque in un baccello (I, 469 - N. LXVIII: Fem fra en Aertebaelg: Der var fem AErter i en AErtebaelg...) 32. Il folletto Serralocchi (I, 197, - N. XX: Ole Lukoie: I hele Verden er der Ingen, der kan saa mange Historier...) 33. Il gorgo della campana (II, 102 - N. LXXXVIII: Klokkedybet: Ding-dang! ding-dang! klinger det fra Klokkendybet i Odense Aa...) 34. C'e differenza (I, 407 - N. LV: Der er Forskjel: Det var i Mai Maaned...) 35. L'ombra (I, 359 - N. XLV: Skyggen: I de hede Lande, der kan rigtig nok Solen braende!...) 36. Il Piccolo Tuk (I, 355 - N. XLIV: Lille Tuk: Ia, det var Lille Tuk, han hed egenlig ikke Tuk...) 37. Vero verissimo! (I, 429 - N. LX: Det er ganske vist! 38. La diligenza da dodici posti 39. Il vecchio fanale 40. Il rospo"""
16081908,570804,Odi Barbare,8842591297,9788842591290,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350032425l/16081908._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350032425l/16081908._SY75_.jpg,1986,,,ita,Mursia (GUM),false,21881351,24,94,82,25,3,5:5|4:6|3:7|2:5|1:2|total:25,1877,,,3.28,10,0,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],
9601835,570804,Trece para el Diablo: Las mil caras del Príncipe de las Tinieblas,8477026602,9788477026600,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336212465l/9601835._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336212465l/9601835._SY75_.jpg,,,,spa,,false,14488956,1,69,75,23,4,5:0|4:9|3:11|2:3|1:0|total:23,2010,1,1,3.26,23,4,"['5768641', '18791', '1075705', '147624', '2768688', '380649', '15212156', '5829701', '570804', '3961', '48535', '26926', '23129', '23704']","['Frank G. Rubio', 'Guy de Maupassant', 'Cleve Cartmill', 'Jacques Cazotte', 'C.M. Kornbluth', 'E. Hoffmann Price', 'Mercier De Compiegne', 'R.A. Mallare', 'Giosuè Carducci', 'Alan Moore', 'Anatole France', 'Stephen Vincent Benét', 'Robertson Davies', 'Jonathan Carroll']","['3.88', '3.86', '3.97', '3.43', '4.02', '4.14', '3.26', '3.26', '3.54', '4.23', '3.90', '3.84', '4.11', '3.80']","['141086', '3952805', '4917217', '4561930', '3458263']","['Mauro Armiño', 'José Luis Moreno-Ruiz', 'José Rafael Hernández Arias', 'Armanda Rodríguez Fierro', 'Gonzalo Quesada']","['3.91', '3.68', '3.87', '3.22', '3.66']","Su legendario origen, muy anterior a la tradición bíblica, se diluye en la bruma del tiempo. Su verdadero nombre es desconocido: Demonio, Satán, Ahriman, Baal, Lucifer, Belcebú, Belfegor, Baphomet, Asmodeo, Mammon, La Bestia, El Ángel Caído, El Maligno y tantos otros no son más que inútiles tentativas humanas de nombrar al Innombrable. Su apariencia, igualmente múltiple y escurridiza: serpiente, macho cabrío, hermosa doncella seductora, misterioso caballero, gato negro, híbrido cornudo, con pezuñas y rabo, bello andrógino, vampiro y mil máscaras más, nos habla de su astucia y recursos. Odiado por muchos, y venerado por algunos como el ángel rebelde contra la tiranía divina, su historia es la de la humanidad, pues forma parte esencial de inconsciente colectivo.<br />«Trece para el Diablo. Las mil caras del Príncipe de las Tinieblas» es una antología de textos que trata de recapitular ls diferentes temas relacionados con el Diablo rastreando las sulfurosas huellas que ha dejado en la moderna literatura occidental.<br />Así, el relato de Alan Moore «Compañeras de labor» (1996) recrea el mundo de las brujas; Jonathan Carroll, con «La habitación de Jane Fonda» (1982), nos ofrece una visión moderna e inesperada del infierno; «El diablo y Daniel Webster» (1938), de Stephen Vincent Benét, toca el tema del pacto con el Diablo; «Una neurosis demoníaca en el siglo XVII» (1922) es un fascinante ensayo de Sigmund Freud sobre la posesión diabólica; «La bruja de Verberie» (1797), relato del librero francés escéptico e ilustrado Mercier de Compiègne, narra los pormenores de un sabbat... El volumen incluye la popular novela corta de Jacques Cazotte El diablo enamorado (1772)."
14288775,570804,Rime nuove,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337758971l/14288775._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337758971l/14288775._SX50_.jpg,1967,5,,ita,Armando Curcio Editore,false,19928579,14,39,58,14,0,5:5|4:7|3:1|2:1|1:0|total:14,1887,,,4.14,8,0,"['570804', '5989672', '1585655']","['Giosuè Carducci', 'Ottone Rosai', 'Umberto Bosco']","['3.54', '4.14', '4.52']",[],[],[],
17794844,570804,Tutte le poesie,8854109436,9788854109438,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365844630l/17794844._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365844630l/17794844._SX50_.jpg,2006,,,ita,Newton Compton,false,24891159,4,16,26,7,0,5:0|4:5|3:2|2:0|1:0|total:7,2006,1,1,3.71,4,0,"['570804', '1118885', '7046751']","['Giosuè Carducci', 'Pietro Gibellini', 'Marina Salvini']","['3.54', '3.65', '3.75']",[],[],[],"• Juvenilia • Levia gravia • A Satana • Giambi ed epodi • Intermezzo • Rime nuove • Odi barbare • Rime e ritmi • Della «Canzone di Legnano» • Poesie inedite e disperse <br /><br />Sono qui raccolte in edizione completa tutte le poesie di Carducci, comprese le giovanili e le disperse. Esaltato a suo tempo e poi ingiustamente dimenticato, Carducci si presenta con i suoi versi ricchi di contenuti, caldi di passione e classicamente limpidi nella forma. La battaglia politica, la rievocazione della storia, i trasporti amorosi, i dolori familiari, l’attrazione per la bellezza, il senso del paesaggio e della natura animano una poesia che ha il colore del suo tempo, ma ripropone anche valori attuali di cui si torna a sentire il peso: la chiarezza del linguaggio, la forza delle idee."
10513445,570804,"Poems of Italy: Selections from the Odes of Giosue Carducci, Tr., with an Introduction by M. W. Arms",1177857243,9781177857246,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,8,28,,Nabu Press,false,15419418,10,8,15,5,0,5:0|4:1|3:3|2:1|1:0|total:5,1906,,,3.00,4,0,"['570804', '4658258']","['Giosuè Carducci', 'M.W. Arms']","['3.54', '3.00']",[],[],[],"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book."
21425974,570804,Rime E Ritmi,1478103418,9781478103417,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2012,6,21,,Createspace Independent Publishing Platform,false,37868535,9,17,12,3,1,5:1|4:1|3:1|2:0|1:0|total:3,2011,11,14,4.00,2,1,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],"Rime e ritmi. This book, ""Rime e ritmi,"" by Giosue Carducci, is a replication of a book originally published before 1902. It has been restored by human beings, page by page, so that you may enjoy it in a form as close to the original as possible."
