id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1330248,6989,Great Expectations with Connections,0030954983,9780030954986,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,1,1,,Holt McDougal,false,2612809,4313,103738,2360012,625452,15356,5:191022|4:209644|3:144403|2:52734|1:27649|total:625452,1861,8,,3.77,50,9,"['239579', '244967', '382684', '24956', '57476', '6989', '6912330']","['Charles Dickens', 'Sally Mitchell', 'Michael Brander', 'Dorothy Parker', 'Judith Ortiz Cofer', 'Rudyard Kipling', 'Pablo Keruda']","['3.89', '3.79', '3.11', '4.08', '3.75', '3.93', '2.96']",[],[],[],"'In what may be Dickens's best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman — and one day, under sudden and enigmatic circumstances, he finds himself in possession of ""great expectations."" In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fearful and fearsome convict; Estella, whose beauty is excelled only by her haughtiness; and the embittered Miss Havisham, an eccentric jilted bride"
26168030,6989,Treasure Island (+Audiobook): With a Recommended Collection,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,3077988,5133,621702,1467200,382771,10852,5:107172|4:141428|3:104132|2:23193|1:6846|total:382771,1883,11,14,3.83,30,0,"['854076', '6989', '4633123', '9121', '53350', '696805']","['Robert Louis Stevenson', 'Rudyard Kipling', 'H. Rider Haggard', 'James Fenimore Cooper', 'Howard Pyle', 'Jules Verne']","['3.85', '3.93', '3.78', '3.70', '4.04', '3.89']",['3038637'],['Lewis Page Mercier'],['3.69'],"Treasure Island is the most famous novel by Robert Louis Stevenson. The book is one of the most read books of all time and its influence on popular culture has been enormous. <br /> <br />With the book Stevenson established enduring genre tropes such as treasure maps marked with an ""X"", tropical islands, and one-legged seamen bearing parrots on their shoulders <br /> <br /><b>The Collection</b> <br />• Treasure Island <i>by Robert Louis Stevenson</i> <br />• Kim <i>by Rudyard Kipling</i> <br />• King Solomon's Mines <i>by H. Rider Haggard</i> <br />• The Last of The Mohicans <i>by James Fenimore Cooper</i> <br />• The Merry Adventures of Robin Hood <i>by Howard Pyle</i> <br />• Twenty Thousand Leagues Under the Sea <i>by Jules Verne</i> <br /> <br /><b>The Audiobook</b> <br />• Treasure Island <i>by Robert Louis Stevenson</i>"
26369603,6989,Uncle Tom's Cabin (+Audiobook): With Recommended Collection,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,2478635,685,381699,729319,188643,7334,5:61204|4:63398|3:46094|2:13478|1:4469|total:188643,1852,3,20,3.87,2,0,"['26242', '239579', '6989', '17501', '7799', '1240']","['Harriet Beecher Stowe', 'Charles Dickens', 'Rudyard Kipling', 'Henry Fielding', 'Nathaniel Hawthorne', 'Jack London']","['3.87', '3.89', '3.93', '3.65', '3.45', '3.96']",[],[],[],"Uncle Tom's Cabin; or, Life Among the Lowly is an anti-slavery novel by American author Harriet Beecher Stowe. <br /> <br />The book ""helped lay the groundwork for the Civil War"", according to Will Kaufman. <br /> <br /><b>The Collection</b> <br />• Uncle Tom's Cabin or Life Among The Lowly <i>by Harriet Beecher Stowe</i> <br />• Bleak House <i>by Charles Dickens</i> <br />• Kim <i>by Rudyard Kipling</i> <br />• The History of Tom Jones, A Foundling <i>by Henry Fielding</i> <br />• The House of The Seven Gables <i>by Nathaniel Hawthorne</i> <br />• The Iron Heel <i>by Jack London</i> <br /> <br /><b>The Audiobook</b> <br />• Uncle Tom's Cabin or Life Among The Lowly <i>by Harriet Beecher Stowe</i>"
25917542,6989,The Wind in the Willows (+Audiobook): With 5 Equally Wonderful Books,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,1061285,349,309056,679667,170401,5650,5:63346|4:57547|3:37205|2:8831|1:3472|total:170401,1908,10,8,3.99,15,1,"['3843', '6989', '2041', '3242', '8164', '5350']","['Kenneth Grahame', 'Rudyard Kipling', 'Frances Hodgson Burnett', 'L. Frank Baum', 'Lewis Carroll', 'L.M. Montgomery']","['3.99', '3.93', '4.14', '3.97', '4.06', '4.21']",[],[],[],"The Wind in the Willows is a children's novel by Kenneth Grahame, first published in 1908. <br /> <br /><b>The Collection</b> <br />• The Wind in the Willows <i>by Kenneth Grahame</i> <br />• Just so Stories <i>by Rudyard Kipling</i> <br />• The Secret Garden <i>by Frances Hodgson Burnett</i> <br />• The Wonderful Wizard of Oz <i>by L. Frank Baum</i> <br />• Alice's Adventures in Wonderland <i>by Lewis Carroll</i> <br />• Anne of Green Gables <i>by Lucy Maud Montgomery</i> <br /> <br /><b>The Audiobook</b> <br />• The Wind in the Willows <i>by Kenneth Grahame</i>"
26540030,6989,White Fang (+Audiobook): With Recommended Collection,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,2949952,3068,231217,576449,144792,4415,5:49932|4:53328|3:32551|2:6843|1:2138|total:144792,1906,,,3.98,3,0,"['1240', '2530', '28525', '6989', '19879']","['Jack London', 'Anna Sewell', 'Washington Irving', 'Rudyard Kipling', 'Stephen Crane']","['3.96', '3.96', '3.86', '3.93', '3.41']",[],[],[],"White Fang is a novel by American author Jack London. <br /> <br />The book takes place in Yukon Territory, Canada, during the 1890s Klondike Gold Rush and details White Fang's journey to domestication. <br /> <br />It is a companion novel to London's best-known work, The Call of the Wild. <br /> <br /><b>The Collection</b> <br />• White Fang <i>by Jack London</i> <br />• The Call of The Wild <i>by Jack London</i> <br />• Black Beauty <i>by Anna Sewell </i> <br />• The Legend of Sleepy Hollow <i>by Washington Irving</i> <br />• The Man Who Would Be King <i>by Rudyard Kipling</i> <br />• The Red Badge of Courage <i>by Stephen Crane</i> <br /> <br /><b>The Audiobook</b> <br />• White Fang <i>by Jack London</i>"
589401,6989,Children's Classics,1931102457,9781931102452,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,1,1,eng,Saint Pauls/Alba House,false,868263,1208,183736,453224,111786,1943,5:42197|4:39391|3:25171|2:4135|1:892|total:111786,-560,,,4.05,8,0,"['12452', '3242', '8164', '6989']","['Aesop', 'L. Frank Baum', 'Lewis Carroll', 'Rudyard Kipling']","['4.05', '3.97', '4.06', '3.93']",[],[],[],
77270,6989,The Jungle Book,0812504690,9780812504699,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873594l/77270._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873594l/77270._SY75_.jpg,1992,2,15,eng,Tor Classics,false,17441265,2749,140851,394315,100304,3397,5:33743|4:34371|3:25211|2:5504|1:1475|total:100304,1893,,,3.93,78659,1962,['6989'],['Rudyard Kipling'],['3.93'],[],[],[],"The Jungle Book key characters are Mowgli, a boy raised by wolves and Sher Khan, biggest tiger in India. As Baloo the sleepy brown bear, Bagheera the cunning black panther, Kaa the python, and his other animal friends teach their beloved “man-cub” the ways of the jungle, Mowgli gains the strength and wisdom he needs for his frightful fight with Shere Khan, the tiger who robbed him of his human family. But there are also the tales of Rikki-tikki-tavi the mongoose and his “great war” against the vicious cobras Nag and Nagaina; of Toomai, who watches the elephants dance; and of Kotick the white seal, who swims in the Bering Sea."
41684,6989,The Jungle Books,0451529758,9780451529756,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,5,3,eng,Signet Classics,false,3183592,338,124916,328674,81775,1058,5:29764|4:29042|3:18581|2:3555|1:833|total:81775,1894,,,4.02,78526,706,"['6989', '51587']","['Rudyard Kipling', 'Alev Lytle Croutier']","['3.93', '4.02']",[],[],[],"The Jungle Books can be regarded as classic stories told by an adult to children. But they also constitute a complex literary work of art in which the whole of Kipling's philosophy of life is expressed in miniature. They are best known for the 'Mowgli' stories; the tale of a baby abandoned and brought up by wolves, educated in the ways and secrets of the jungle by Kaa the python, Baloo the bear, and Bagheera the black panther. The stories, a mixture of fantasy, myth, and magic, are underpinned by Kipling's abiding preoccupation with the theme of self-discovery, and the nature of the 'Law'."
29093900,6989,The Lost World (+Audiobook): With a Recommended Collection,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,1098725,1988,94393,209771,53446,2048,5:16112|4:20518|3:13964|2:2395|1:457|total:53446,1912,,,3.92,0,0,"['2448', '696805', '72703', '6989', '4633123', '16022666']","['Arthur Conan Doyle', 'Jules Verne', 'Samuel Butler', 'Rudyard Kipling', 'H. Rider Haggard', 'A. Merritt']","['4.20', '3.89', '3.67', '3.93', '3.78', '3.80']",['4099691'],['Agnes Kinloch Kingston'],['4.26'],"The Lost World is a novel by Sir Arthur Conan Doyle. <br /> <br />The books tells the story of an expedition to a plateau in the Amazon basin of South America where dinosaurs and other extinct creatures have survived to present day. <br /> <br /><b>The Collection</b> <br />• The Lost World <i>by Sir Arthur Conan Doyle</i> <br />• The Mysterious Island <i>by Jules Verne</i> <br />• Erewhon, Or Over The Range <i>by Samuel Butler</i> <br />• Plain Tales From The Hills <i>by Rudyard Kipling</i> <br />• King Solomon's Mines <i>by H. Rider Haggard</i> <br />• The Moon Pool <i>by A. Merritt</i> <br /> <br /><b>The Audiobook</b> <br />• The Lost World <i>by Sir Arthur Conan Doyle</i>"
34053,6989,Just So Stories,0517266555,9780517266557,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546075870l/34053._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546075870l/34053._SY75_.jpg,2003,8,5,eng,Gramercy Books,false,2475078,1497,66652,178300,43653,1278,5:17653|4:14913|3:8744|2:1808|1:535|total:43653,1902,,,4.08,39537,837,['6989'],['Rudyard Kipling'],['3.93'],[],[],[],"Librarian's Note: Alternate cover edition can be found <a href=""https://www.goodreads.com/book/show/2052506.Just_So_Stories"" rel=""nofollow"">here</a>.<br /><br />Twelve stories about animals, insects, and other subjects include How the Camel Got His Hump. The Butterfly That Stamped, and How the Alphabet Was Made.."
210834,6989,Kim,0140183523,9780140183528,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387747342l/210834._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387747342l/210834._SX50_.jpg,1981,,,eng,Penguin Classics,false,1512424,1668,67253,119993,32250,1733,5:8519|4:11029|3:8881|2:2818|1:1003|total:32250,1901,10,,3.72,27452,1166,"['6989', '16770310']","['Rudyard Kipling', 'Edward W. Said']","['3.93', '4.11']",[],[],[],"Kim is set in an imperialistic world; a world strikingly masculine, dominated by travel, trade and adventure, a world in which there is no question of the division between white and non-white.<br /><br />Two men - a boy who grows into early manhood and an old ascetic priest, the lama - are at the center of the novel. A quest faces them both. Born in India, Kim is nevertheless white, a sahib. While he wants to play the Great Game of Imperialism, he is also spiritually bound to the lama. His aim, as he moves chameleon-like through the two cultures, is to reconcile these opposing strands, while the lama searches for redemption from the Wheel of Life. <br /><br />A celebration of their friendship in a beautiful but often hostile environment, 'Kim' captures the opulence of India's exotic landscape, overlaid by the uneasy presence of the British Raj."
