id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
21245741,12132278,Ethics and Modern Thought,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,40572870,20,42,28,10,4,5:0|4:1|3:6|2:3|1:0|total:10,,,,2.80,9,3,['12132278'],['Rudolf Christoph Eucken'],['2.69'],[],[],[],"<br /> This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. <br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.<br /><br />"
3170754,12132278,The Meaning and Value of Life,1846644933,9781846644931,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,2,14,,Obscure Press,false,3202877,12,66,21,8,1,5:0|4:2|3:3|2:1|1:2|total:8,1908,1,1,2.62,7,1,['12132278'],['Rudolf Christoph Eucken'],['2.69'],[],[],[],"Originally published in 1887. Author: Rudolf Eucken Language: English Keywords: Religion / Philosophy Many of the earliest books, particularly those dating back to the 1900s and before, are now extremely scarce and increasingly expensive. Obscure Press are republishing these classic works in affordable, high quality, modern editions, using the original text and artwork."
3170744,12132278,The Problem Of Human Life: As Viewed By The Great Thinkers From Plato To The Present Time,0548123330,9780548123331,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,7,25,,Kessinger Publishing,false,56434214,32,36,20,5,2,5:3|4:1|3:0|2:0|1:1|total:5,,,,4.00,4,1,['12132278'],['Rudolf Christoph Eucken'],['2.69'],['4296508'],['Williston Samuel Hough'],['4.75'],
14294578,12132278,Collected Essays of Rudolf Eucken,1406759295,9781406759297,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,3,15,,Booth Press,false,19936306,11,36,17,7,0,5:0|4:0|3:4|2:2|1:1|total:7,2007,3,1,2.43,6,0,"['12132278', '3961300']","['Rudolf Christoph Eucken', 'Meyrick Booth']","['2.69', '3.09']",[],[],[],"Many of the earliest books, particularly those dating back to the 1900s and before, are now extremely scarce and increasingly expensive. We are republishing these classic works in affordable, high quality, modern editions, using the original text and artwork."
31963724,12132278,Back to Religion,1360496068,9781360496061,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479638869l/31963724._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479638869l/31963724._SY75_.jpg,2016,8,24,,Wentworth Press,false,52621934,8,7,10,3,1,5:1|4:0|3:1|2:1|1:0|total:3,2015,9,27,3.33,3,1,['12132278'],['Rudolf Christoph Eucken'],['2.69'],[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
18624566,12132278,NOBEL PRIZE LIBRARY EUCKEN 1908,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380831064l/18624566._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380831064l/18624566._SX50_.jpg,1971,,,eng,CRM,false,26412646,3,9,9,3,1,5:0|4:1|3:1|2:1|1:0|total:3,1971,1,1,3.00,3,1,['12132278'],['Rudolf Christoph Eucken'],['2.69'],[],[],[],ESSAYS
17314945,12132278,The Life of the Spirit,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359827559l/17314945._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359827559l/17314945._SX50_.jpg,1913,,,eng,Putnam,false,23982045,13,28,7,3,0,5:0|4:0|3:1|2:2|1:0|total:3,1908,,,2.33,1,0,['12132278'],['Rudolf Christoph Eucken'],['2.69'],['2931187'],['F.L. Pogson'],['4.00'],Intoduction to the Life of the Spirit.
9983444,12132278,Can We Still Be Christians?,1162962526,9781162962528,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,9,10,,Kessinger Publishing,false,14878010,23,20,5,2,1,5:0|4:0|3:1|2:1|1:0|total:2,1914,,,2.50,2,1,"['12132278', '2973625']","['Rudolf Christoph Eucken', 'Lucy Judge Gibson']","['2.69', '2.50']",[],[],[],"This scarce antiquarian book is a selection from Kessinger Publishing's Legacy Reprint Series. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment to protecting, preserving, and promoting the world's literature. Kessinger Publishing is the place to find hundreds of thousands of rare and hard-to-find books with something of interest for everyone"
14388001,12132278,Religion and Life,1444676245,9781444676242,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,20029970,13,4,4,2,0,5:0|4:0|3:0|2:2|1:0|total:2,2009,12,9,2.00,2,0,['12132278'],['Rudolf Christoph Eucken'],['2.69'],[],[],[],
42828071,12132278,ჩემი ცხოვრების ამბავი,,9789941446795,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542304785l/42828071._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542304785l/42828071._SX50_.jpg,2014,,,kat,ინტელექტი,false,66584747,1,1,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,,,,4.00,1,0,['12132278'],['Rudolf Christoph Eucken'],['2.69'],[],[],[],"„ჩემი მოგონებები ცხოვრების გაუფასურების წინააღმდეგ ბრძოლის შესახებ გიამბობთ. გაუფასურება შეზღუდვა არ არის და არც რომელიმე ერთი ხალხის ბრალია, ის მთლიანად კაცობრიობას ეხება და ძირეულ ცვლილებას სწორედ მისგან ითხოვს. აქედან გამომდინარე პრობლემები თავიანთი ინდივიდუალური შეფერილობით ჩემი ცხოვრების ფონს ქმნიან, ამიტომ ამ გადასახედიდან ისიც კი მნიშვნელობას იძენს, რაც ამ ურთიერთკავშირის გარეშე უმნიშვნელო გამოჩნდებოდა.<br /><br /> <br />ვინც იზიარებს სულიერი რეფორმაციის აუცილებლობის იდეას, ის მეგობრულად მიადევნებს თვალს ჩემი ცხოვრების გახსენების მორიდებულ მცდელობებს. ეს არ არის მხოლოდ ერთი ინდივიდის შთაბეჭდილებები, ის მთელი გერმანელი ხალხისა და მთლიანად კაცობრიობის შთაბეჭდილებებსა და განცდებსაც შეიცავს. საქმისთვის მეტად ხელსაყრელია ის ფაქტი, რომ ამ მოვლენებისთვის თვალყურის დევნება შედარებით მყუდრო ადგილიდან შემეძლო“."
8352175,12132278,The Truth of Religion (1911),1104508664,9781104508661,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382943173l/8352175._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382943173l/8352175._SX50_.jpg,,,,,,false,13205411,14,4,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,1901,,,4.00,0,0,['12132278'],['Rudolf Christoph Eucken'],['2.69'],['3961306'],['W. Tudor Jones'],['0.0'],
