id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
7335928,290845,Andrea Delfin,1409928136,9781409928133,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,1,2,,Dodo Press,false,12920818,17,205,269,77,3,5:11|4:25|3:33|2:7|1:1|total:77,1985,1,1,3.49,49,3,['290845'],['Paul von Heyse'],['3.44'],[],[],[],"Paul Johann Ludwig von Heyse (1830-1914) war ein deutscher Schriftsteller. 1847 beginnt Hyse mit dem Studium der klassischen Philologie in Berlin. Heyses erste Novelle Marion wird im Tunnel 1852 ausgezeichnet. Das spater mehrfach vertonte Spanische Liederbuch mit Ubersetzungen von Geibel und Heyse ist der Beginn einer lebenslangen Ubersetzertatigkeit, in der Heyse vor allem als Vermittler der italienischen Literatur hervorragendes leistet. 1854 trifft Heyse in Munchen ein. Bereits in seinem ersten Jahr in Munchen grundet Heyse mit Geibel die Dichtervereinigung Krokodil. Die beruhmteste seiner uber 150 Erzahlungen, L'Arrabiata, veroffentlicht Heyse 1855. Im Jahr 1865 entsteht sein popularstes Stuck Colberg. Heyse wird 1871 Mitglied des bayrischen Maximiliansorden fur Wissenschaft und Kunst. 1910 wurde er als erster deutscher Autor belletristischer Werke mit dem Nobelpreis fur Literatur ausgezeichnet. Zu Heyses Werke zahlen u. a. noch: Das Madchen von Treppi (1855), Die Einsamen (1857), Der Weinhuter (1862-63), Die Witwe von Pisa (1865), Beatrice (1867), Der Letzte Zentaur (1904) und Ein Ring (1904)."
3584150,290845,L'Arrabbiata: das Mädchen von Treppi,315008301X,9783150083017,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339389952l/3584150._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339389952l/3584150._SY75_.jpg,1986,,,ger,Philipp Reclam,false,3626406,1,65,88,28,2,5:3|4:7|3:11|2:5|1:2|total:28,1986,,,3.14,28,2,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
6818475,290845,Czarny pająk: opowieści niesamowite z prozy niemieckiej,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370605108l/6818475._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370605108l/6818475._SY75_.jpg,1976,,,pol,Państwowy Instytut Wydawniczy,false,7027238,1,43,77,19,0,5:7|4:8|3:2|2:2|1:0|total:19,1976,,,4.05,19,0,"['4829860', '4588617', '285217', '533810', '1022686', '286123', '35506', '6556', '810478', '290845', '986558', '45710', '19405', '364195', '54427', '1069594', '2897449', '43219', '7267068', '297340', '3060256', '3060257', '19496346', '3060259']","['Gerard Koziełek', 'Franciszek Starowieyski', 'Johann Wolfgang von Goethe', 'Joseph von Eichendorff', 'Karl Hans Strobl', 'Wilhelm Hauff', 'Jeremias Gotthelf', 'Theodor Storm', 'Ludwig Bechstein', 'Paul von Heyse', 'Friedrich Gerstäcker', 'Heinrich Mann', 'Thomas Mann', 'Ludwig Tieck', 'Heinrich von Kleist', 'Paul   Ernst', 'Friedrich Heinrich Karl de la Motte Fouqué', 'Gustav Meyrink', 'E.T.A. Hoffmann', 'Hanns Heinz Ewers', 'Maximlian Dauthendey', 'Paul Roher', 'Oskar A.H. Schmitz', 'Georg von Schlieben']","['4.05', '4.22', '3.80', '3.44', '3.72', '4.11', '3.54', '3.51', '3.97', '3.44', '3.54', '3.78', '3.94', '3.89', '3.54', '3.73', '3.80', '3.88', '3.83', '4.13', '4.05', '4.05', '4.05', '4.05']",[],[],[],
7902712,290845,Heyse's L'Arrabbiata,1141225069,9781141225064,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,12,31,,Nabu Press,false,21359623,36,41,59,16,0,5:3|4:6|3:6|2:1|1:0|total:16,2009,3,31,3.69,8,0,"['290845', '3423464']","['Paul von Heyse', 'Warren Washburn Florer']","['3.44', '3.88']",[],[],[],"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book."
20886352,290845,"Mar de Histórias: Antologia do Conto Mundial, Volume 5 - O Realismo",8520929613,9788520929612,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393092515l/20886352._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393092515l/20886352._SY75_.jpg,2013,12,,por,Nova Fronteira,false,40227942,3,38,57,13,0,5:8|4:3|3:1|2:1|1:0|total:13,2013,12,1,4.38,11,0,"['1401475', '2960988', '4919787', '6981879', '179565', '6913270', '5031025', '128382', '194351', '3565', '22458', '622697', '407050', '152981', '6970043', '310134', '290845', '483082']","['Aurélio Buarque de Holanda Ferreira', 'Paulo Rónai', 'Vladimir Korolenko', ""Villiers de L'Isle-Adam"", 'Ricardo Palma', 'Eça de Queirós', 'Anton Chekhov', 'Leo Tolstoy', 'Giovanni Verga', 'Oscar Wilde', 'Machado de Assis', 'Matteo Bandello', 'Cyriel Buysse', ""Gabriele D'Annunzio"", 'Conde de Ficalho (Francisco Manuel de Melo Breyner)', 'Antonio Fogazzaro', 'Paul von Heyse', 'Mór Jókai']","['4.32', '4.31', '3.98', '3.75', '3.83', '3.91', '3.96', '4.06', '3.56', '4.10', '4.13', '3.84', '3.34', '3.54', '4.54', '3.43', '3.44', '3.92']",[],[],[],"A obra completa da coleção Mar de Histórias, antologia do conto mundial é composta de 10 volumes independentes, contém nada menos que 239 contos escolhidos entre os melhores de 192 autores pertencentes a 41 literaturas. Foi empreendida há mais de quarenta anos por Aurélio Buarque de Holanda Ferreira e Paulo Rónai. O material está disposto por ordem cronológica da publicação dos contos. Cada um deles é precedido de uma introdução que o situa na obra de seu autor e na respectiva literatura. Notas abundantes facilitam a compreensão dos textos."
5526941,290845,L'Arrabiata And Other Tales (1867),1437155006,9781437155006,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416780830l/5526941._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416780830l/5526941._SX50_.jpg,2008,10,1,,Kessinger Publishing,false,5697969,10,56,46,16,2,5:1|4:4|3:4|2:6|1:1|total:16,1984,6,1,2.88,13,2,['290845'],['Paul von Heyse'],['3.44'],['18108127'],['Mary   Wilson'],['3.52'],"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work."
12966339,290845,The Dead Lake and Other Tales,1406896470,9781406896473,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2011,5,11,,Echo Library,false,18124303,5,19,38,12,2,5:3|4:2|3:2|2:4|1:1|total:12,2011,3,24,3.17,8,1,['290845'],['Paul von Heyse'],['3.44'],['18108127'],['Mary   Wilson'],['3.52'],"Heyse (1830-1914) was a distinguished German writer and translator. A member of two important literary societies, the Tunnel �ber der Spree in Berlin and Die Krokodile in Munich, he wrote novels, poetry, 177 short stories, and about 60 dramas. The sum of Heyse's many and varied productions made him a dominant figure among German men of letters and he was awarded the Nobel Prize for Literature in 1910."
18338238,290845,At the Ghost Hour; The House of the Unbelieving Thomas,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376773967l/18338238._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376773967l/18338238._SX50_.jpg,1894,,,en-US,"Dodd, Mead & Co.",true,25890276,2,47,36,11,1,5:0|4:4|3:6|2:1|1:0|total:11,1894,1,1,3.27,11,1,['290845'],['Paul von Heyse'],['3.44'],['7224493'],['Francis A. Van Santford'],['3.27'],"The tale gives us a good picture of the two ghosts which seem to have all the foibles of regular people. They haunt a home, but the occupants are not really bothered by them.<br /><br />The home, though, is known to be haunted and is therefore shunned by most people. That is, except for a man, Wenzel Kospoth, who kept the house. After hearing about a mother, Frau Cordula, and daughter, Gundula, being persecuted by their neighbours as witches, he had the cottage made available for a small fee. <br /><br />It is, however, the neighbours and Christians who dabble in the dark arts. They are the ones who have the séances with ghosts and practice of the dark crafts. The witch, as they call her, merely uses herbs to help people, by which she was persecuted.<br /><br />A young doctor happened to be outside of Ghost Lane when he fell and struck his head. His friend quickly brought him under the attention of Frau Cordula. Over a period of time, he is healed of his wound.<br /><br />He tries to go back to his old life prior to the incident. However, he is somewhat in love with the girl, and out of love with the woman to whom he had previously been in love. It is at a séance that it is revealed that he has indeed fallen in love with the witch's daughter. Though he had tried to deny his feeling for her, this revelation proves to be too much. He no longer feels love for his former affection.<br /><br />On his way to Ghost Lane, he discovers the house on fire. None of the neighbours lift a hand to help. He is forced to break in by himself to assist the mother and daughter out of the dire circumstance.<br /><br />I find the irony to be the most intriguing in this story. It is the witch who uses simple medicinal herbs to assist the sick and the Christians who use the arts to purposes that might be construed as Satanic."
18664360,290845,Jorinde,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,26486878,2,11,27,8,0,5:1|4:2|3:4|2:1|1:0|total:8,,,,3.38,6,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
9207611,290845,Four Phases of Love (1857),1104750201,9781104750206,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355117410l/9207611._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355117410l/9207611._SX50_.jpg,,,,,,false,14087256,7,28,25,7,0,5:1|4:2|3:4|2:0|1:0|total:7,2009,7,1,3.57,4,0,['290845'],['Paul von Heyse'],['3.44'],['4322221'],['E.H. Kingsley'],['3.57'],
21912646,290845,مذكرات رجل عصبي مع مجموعة من أروع القصص العالمي لأكبر كتاب القصة في العالم,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397502383l/21912646._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397502383l/21912646._SX50_.jpg,1964,10,,ara,الدار القومية للطباعة والنشر,false,41210916,1,18,23,6,0,5:1|4:3|3:2|2:0|1:0|total:6,1964,10,,3.83,6,0,"['5031025', '290845', '4175285', '16073', '18791', '37848']","['Anton Chekhov', 'Paul von Heyse', 'Vsevolod Garshin', 'Robert Walser', 'Guy de Maupassant', 'Alberto Moravia']","['3.96', '3.44', '3.97', '3.99', '3.86', '3.74']",[],[],[],يحتوي الكتاب على القصص التالية:<br />مذكرات رجل عصبي بقلم تشيكوف<br />انتصار الشرف بقلم باول هايزه<br />الجنية الصغيرة من الأدب الشعبي اليوغوسلافي<br />يقظة الضمير بقلم جارشين<br />نداء الحياة بقلم روبرت فالسر<br />العم جيل جي دي موباسان<br />لا يصلح لشيء بقلم ألبرتو مورافيا
