id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
471635,142051,The Blue Bird,1426430779,9781426430770,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,5,29,,BiblioLife,false,1895037,192,3233,4857,1260,104,5:414|4:401|3:317|2:104|1:24|total:1260,1905,,,3.85,764,51,['142051'],['Maurice Maeterlinck'],['3.79'],['5048879'],['Nguyễn Thành Nhân'],['4.00'],"A story of a brother and sister who help a little girl whose illness can only be cured by the magical Blue Bird of Happiness. To find the bird, Mytyl and Tyltyl quest through the Land of Memory to the Palace of Night. The children get help from the good fairy Bérylune."
489521,142051,The Life of the Bee,0486451437,9780486451435,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328863878l/489521._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328863878l/489521._SY75_.jpg,2006,8,4,eng,Dover Publications,false,1207892,134,1836,2048,525,60,5:197|4:149|3:121|2:46|1:12|total:525,1901,,,3.90,300,42,"['142051', '44021', '187449']","['Maurice Maeterlinck', 'Edwin Way Teale', 'Alfred Sutro']","['3.79', '4.24', '3.88']",[],[],[],"In an exuberantly poetic work that is less about bees and more about life, Maurice Maeterlinck expresses his philosophy of the human condition. The renowned Belgian poet and dramatist offers brilliant proof in this, his most popular work, that ""no living creature, not even man, has achieved in the center of his sphere, what the bee has achieved."" From their amazingly intricate feats of architecture to their intrinsic sense of self-sacrifice, Maeterlinck takes a ""bee's-eye view"" of the most orderly society on Earth. An enthusiastic and expert beekeeper, Maeterlinck did not intend to write a scientific treatise, even though he details such topics as the mathematically accurate construction of the hive, the division of labor among community members, the life of the young queen and her miraculous nuptial flight, and the movement and meaning of the swarm. An enchanting classic by one of the most important figures of world literature in the twentieth century and winner of the 1911 Nobel Prize in Literature, this fascinating study is a magnificent tribute to one of the most orderly communities in the world. It is also filled with humble lessons for the human race."
326463,142051,Pelleas and Melisande,1428008411,9781428008410,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,6,1,eng,IndyPublish.com,false,498953,82,743,1265,376,20,5:71|4:97|3:121|2:72|1:15|total:376,1892,,,3.36,226,8,['142051'],['Maurice Maeterlinck'],['3.79'],[],[],[],"""A superior variation on the admirable old melodrama"", said Mallarmé about Pelléas. The plot does seem conventional: Prince Golaud meets Melisande, a timid, shy and enchanting girl that is lost in a forest. He takes her to his castle and decides to marry her. But Melisande falls in love with his brother, Pelleas ..."
2418471,142051,The Intelligence of Flowers,0791472744,9780791472743,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,11,29,eng,State University of New York Press,false,2425648,48,1049,990,252,28,5:84|4:88|3:63|2:12|1:5|total:252,1907,,,3.93,129,12,['142051'],['Maurice Maeterlinck'],['3.79'],['279959'],['Philip Mosley'],['3.84'],"“The republication of Maurice Maeterlinck’s ‘The Intelligence of Flowers,’ regrettably forgotten in our time, is long overdue. The introduction by Mosley is itself a gem, and contains one of the best overviews in print of writings about intelligence in Nature.” — Stephen Harrod Buhner, author of The Secret Teachings of Plants: The Intelligence of the Heart in the Direct Perception of Nature<br /><br />The second of Maeterlinck’s four celebrated nature essays—along with those on the life of the bee, ant, and termite—“The Intelligence of Flowers” (1907) represents his impassioned attempt to popularize scientific knowledge for an international audience. Writing with characteristic eloquence, Maeterlinck asserts that flowers possess the power of thought without knowledge, a capacity that constitutes a form of intelligence. Appearing one hundred years after the first publication, Philip Mosley’s new translation of the original French essay, and the related essay “Scents,” maintains the verve of Maeterlinck’s prose and renders it accessible to the present-day reader. This is a book for those who are excited by creative encounters between literature and science as well as current debates on the relationship of humankind to the natural world.<br />It would be superfluous to redraw the picture of the great systems of floral fertilization: the play of stamens and pistil, the seductiveness of scents, the appeal of harmonious and striking colors, the development of nectar, totally useless to the flower, and which it manufactures only to attract and hold the foreign liberator, the messenger of love, bee, bumblebee, fly, butterfly, moth, which must bring it the kiss of the distant, invisible, motionless lover…<br /><br />We could truly say that ideas come to flowers in the same way they come to us. Flowers grope in the same darkness, encounter the same obstacles and the same ill will, in the same unknown. They know the same laws, same disappointments, same slow and difficult triumphs. It seems they have our patience, our perseverance, our self-love; the same finely tuned and diversified intelligence, almost the same hopes and the same ideals. Like ourselves, they struggle against a vast indifferent force that ends by helping them. — from “The Intelligence of Flowers”<br /><br />“…a wonderfully enjoyable, insightful and worthwhile read … This work would be of interest to anyone excited by the remarkable process of the plant world and would expressly appeal to gardeners and flower growers.” — Huntia<br /><br />“A rare gem, written … in lyrical and accessible prose.” — The Times Literary Supplement<br /><br />“…Maeterlinck is a seductive essayist … [and] writes with the same intrinsic humility that will be familiar to admirers of John Muir, Aldo Leopold, or Mary Oliver.” — The Boston Globe<br /><br />“That the intelligence of flowers provides Maeterlinck with a theory riddled with contradictions—mostly as a result of his metaphoric reasoning—seems less important than the fundamental truths of the metaphors unto themselves. As a result, ‘The Intelligence of Flowers’ is happily welcome once more, in this centenary reissue.” — San Francisco Chronicle"
9679992,142051,Les Aveugles (L'Intruse. Les Aveugles),1178409015,9781178409017,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,9,4,,Nabu Press,false,14567901,24,419,971,250,12,5:83|4:80|3:65|2:19|1:3|total:250,1890,,,3.88,155,7,['142051'],['Maurice Maeterlinck'],['3.79'],[],[],[],"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book."
51806571,142051,The Writer in the Garden,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,2231045,3,549,504,128,17,5:39|4:47|3:39|2:1|1:2|total:128,1997,1,1,3.94,1,0,"['429835', '1408429', '39237', '133923', '32513', '2121', '3904620', '16', '159585', '2098', '59389', '82500', '17096934', '234673', '89878', '361925', '9356', '7531', '988142', '11884', '980542', '886538', '158432', '25157', '886964', '293074', '21452', '148946', '105591', '1264298', '307301', '10264', '36916', '260195', '52519', '79104', '19570005', '45712', '276073', '338088', '247166', '142051', '138658', '1105528', '1407495', '745151', '616775', '240499', '437905', '2131148', '18874', '532365', '19570006', '19570007', '2922289', '16957190', '599923', '2092937', '8427328', '119003']","['Jane Garmey', 'M.F.K. Fisher', 'Jamaica Kincaid', 'Stephen Lacey', 'W.S. Merwin', 'Michael Pollan', 'Vita Sackville-West', 'Edith Wharton', 'Gertrude Jekyll', 'Elizabeth von Arnim', 'Beverley Nichols', 'Henry Mitchell', 'Christopher Lloyd', 'Ken Druse', 'Wayne Winterrowd', 'Thalassa Cruso', 'Thomas C. Cooper', 'Theodore Roethke', 'E.B. White', 'Celia Laighton Thaxter', 'Carol Bishop Hipps', 'Anne Raver', 'Andrew Marvell', 'Alexander Pope', 'Abby Adams', 'Allen Lacy', 'Austin Dobson', 'Charles Kuralt', 'Elizabeth Lawrence', 'Geoffrey B. Charlesworth', 'Helen Dillon', 'Henry David Thoreau', 'James Schuyler', 'Janice Emily Bowers', 'Joe Eck', 'Joseph Wood Krutch', 'Katharine S.White', 'Katherine Mansfield', 'Lauren Springer', 'Louise Beebe Wilder', 'Mary Russell Mitford', 'Maurice Maeterlinck', 'Mirabel Osler', 'Patti Hagan', 'Paula Deitz', 'Reginald John Farrer', 'Richardson Wright', 'Rory Stuart', 'Russell Page', 'Samuel Reynolds Hole', 'Susan Hill', 'Sara Stein', 'Cynthia Cling', 'Eleanor Pernyl', 'Julian Meade', 'Robert Dash', 'Boyd Gaines', 'Deborah Hazlett', 'Simon Jones', 'J.D. McClatchy']","['3.92', '4.16', '3.78', '3.99', '4.18', '4.11', '3.97', '3.78', '3.79', '3.89', '4.19', '4.29', '4.29', '4.17', '4.01', '4.41', '3.92', '4.14', '4.15', '4.02', '3.67', '3.85', '3.90', '3.73', '3.48', '4.09', '4.17', '3.97', '3.93', '3.82', '4.08', '3.86', '4.14', '3.95', '3.98', '3.93', '5.00', '3.78', '3.47', '4.14', '3.64', '3.79', '3.80', '3.76', '3.90', '3.71', '3.95', '3.90', '3.75', '3.76', '3.71', '4.12', '5.00', '5.00', '3.69', '3.85', '3.90', '3.61', '4.20', '4.10']",[],[],[],
2086850,142051,موریانه ها,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518682945l/2086850._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518682945l/2086850._SY75_.jpg,,,,per,,false,2092136,21,299,485,137,8,5:36|4:30|3:49|2:16|1:6|total:137,1926,,,3.54,55,3,['142051'],['Maurice Maeterlinck'],['3.79'],[],[],[],"La vie de termites‭‬, Maurice Maeterlinck"
5882007,142051,L'intruse / Intérieur,2051019711,9782051019712,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334599186l/5882007._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334599186l/5882007._SY75_.jpg,,,,fre,,false,6054227,3,195,468,121,10,5:39|4:40|3:32|2:7|1:3|total:121,1925,1,1,3.87,108,8,['142051'],['Maurice Maeterlinck'],['3.79'],[],[],[],"<i>L'Intruse</i> et <i>Intérieur</i> ne sont pas, en France, les pièces les plus connues de Maeterlinck; elles appartiennent à ce qu'on appelle le premier théâtre.<br />Si les deux pièces n'ont pas été rassemblées à l'origine par l'auteur, elles présentent bien des analogies qui justifient leur rapprochement, s'inscrivant dans la même période qui voit l'avènement du théâtre symboliste et de ses metteurs en scène. Chacune, à sa façon, évoque l'approche de la mort qui fait une brutale intrusion dans le cercle familial réuni sur la scène. Dans leur dépouillement, L'Intruse et Intérieur illustrent remarquablement le tragique quotidien et révèlent en leur auteur un précurseur du Nouveau Théâtre : la dramaturgie minimaliste dont elles témoignent annonce, avec, plus d'un demi-siècle d'avance, le théâtre d'un Beckett.<br />Salué par Meyerhold et par Artaud, le renouvellement des formes qui fonde le théâtre de Maeterlinck a prouvé son efficacité sur une scène dégagée de la perspective illusionniste par les recherches d'Appia puis de Craig."
17930460,142051,The Intruder,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368792152l/17930460._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368792152l/17930460._SX50_.jpg,2010,8,15,eng,Feedbooks,true,41861412,22,246,448,123,10,5:21|4:49|3:42|2:10|1:1|total:123,1890,,,3.64,83,4,['142051'],['Maurice Maeterlinck'],['3.79'],[],[],[],"Intruder (French: L'Intruse) is a play by Belgian playwright Maurice Maeterlinck. It is the second play Maeterlinck wrote.<br /><br />Intruder concerns man's conflict with preternatural forces, against which he is powerless. The same theme was prevalent in Maeterlinck's first written play, Princess Maleine.<br /><br />The first performance of Intruder occurred at Paul Fort's Theatre d'Art in Paris on May 20, 1891. The play was to appear at the end of a program benefiting Paul Verlaine and Paul Gauguin. If the program went on too long, then the play was to be removed."
326459,142051,The Treasure of the humble,1846644852,9781846644856,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416781908l/326459._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416781908l/326459._SY75_.jpg,2006,2,14,eng,Obscure Press,false,1207891,69,491,391,102,25,5:37|4:30|3:18|2:15|1:2|total:102,1896,,,3.83,36,5,['142051'],['Maurice Maeterlinck'],['3.79'],[],[],[],"The ""Treasure of the Humble"" was published in 1896, it was dedicated to the actress Madame Georgette Leblanc, his wife.<br /><br />This volume include a collection of philosophical essays, some of them metaphysical in nature, including: The Awakening of the Soul, Mystic Morality, The Pre-Destined Silence, On Women, The Tragical in Daily Life, The Star, The Invisible Goodness, The Deeper Life and The Inner Beauty.<br /><br />With Maurice Maeterlinck as a dramatist the world is pretty well acquainted. This little volume presents him in the new character of a philosopher and an aesthetician. And it is in some sort an ‘apology’ for his theatre, the one being to the other as theory to practice. Reversing the course prescribed by Mr. Squeers for his pupils, Maeterlinck, having cleaned w-i-n-d-e-r, winder, now goes and spells it. He began by visualizing and synthesizing his ideas of life; here you shall find him trying to analyze these ideas and consumed with anxiety to tell us the truth that is in him.<br /><br />The mystery of life is what makes life worth living. Maeterlinck is penetrated by the feeling of the mystery in all human creatures, whose every act is regulated by far-off influences and obscurely rooted in things unexplained. Mystery is within us and around us. Of reality we can only get now and then the merest glimpse."
8049202,142051,Monna Vanna: A Play in Three Acts,1116926571,9781116926576,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,11,11,,BiblioLife,false,4865069,73,165,335,84,9,5:32|4:32|3:11|2:5|1:4|total:84,1902,,,3.99,53,4,['142051'],['Maurice Maeterlinck'],['3.79'],['8424920'],['Alexis Irene du Pont-Coleman'],['3.92'],"Monna Vanna takes place at the end of the fifteenth century in Pisa and the camp outside the walls with the cast made up of nobles, soldiers, peasants, men and women of the city, etc."
