id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1509544,54428,Bahnwärter Thiel,,9783150066171,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,,,ger,Reclam,false,2250130,80,5454,12675,3735,90,5:650|4:1084|3:1260|2:568|1:173|total:3735,1888,,,3.39,3390,67,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"Die Novelle ""Bahnwärter Thiel"" entstand 1887 und gehört zu den herausragenden Werken des Naturalismus. Thiel ist ein in sich gekehrter Mensch, der nicht viele Worte macht, sich jedoch mit den Nachbarskindern abgibt und seinen Beruf mit Hingebung ausführt. Er gerät in einen wachsenden inneren Konflikt, als seine Frau Minna stirbt und er sich wieder verheiratet um die Versorgung seines Sohnes Tobias abzusichern. Er versucht trotz wachsender Spannungen sein Leben in den gewohnten Bahnen zu halten, sieht sich jedoch mehr und mehr unfähig dazu. (Zusammenfassung von Eva K.)"
1740835,54428,Vor Sonnenaufgang,3548235646,9783548235646,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,2,1,ger,Ullstein,false,1738454,27,876,1706,542,23,5:57|4:143|3:200|2:107|1:35|total:542,1889,,,3.15,467,13,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"Hauptmann's 1889 play Before Dawn (Vor Sonnenaufgang) was received tumultuously in Berlin upon its debut, and is acknowledged as inaugurating the naturalistic movement in modern German literature."
3160761,54428,The Weavers,0413476308,9780413476302,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344907447l/3160761._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344907447l/3160761._SY75_.jpg,1980,1,1,,Methuen Publishing,false,3192484,65,1014,1503,473,38,5:58|4:127|3:160|2:97|1:31|total:473,1892,,,3.18,211,21,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"No play in the history of theater presents a deeper or more lacerating vision of the inhuman nuts and bolts of starvation, from the poetics of paucity to the politics of poverty, than Gerhart Hauptmann’s 1892 naturalistic masterpiece The Weavers. Based on fact – a riot by the horrifically oppressed weavers of Silesia in 1844 – the epic script has been saddled with the dubious honor of being called the “first socialist play” since the rebelling weavers are positioned as the drama’s collective hero."
3689628,54428,Die Ratten. Berliner Tragikomödie,3548235638,9783548235639,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336402823l/3689628._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336402823l/3689628._SY75_.jpg,2000,10,1,ger,Ullstein,false,3733069,31,667,1212,392,9,5:39|4:99|3:143|2:81|1:30|total:392,1911,1,1,3.09,300,4,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"Schauplatz der 1911 erschienenen Tragikkomödie Die Ratten ist eine ehemalige Berliner Kavaleriekaserne, in der Theaterdirektor Hassenreuter seinen Kostümfundus untergebracht hat. Dort hausen die zentralen Figuren des Stücks: das schwangere Dienstmädchen Pauline, die Morphinistin Knobbe, die kinderlose Maurersgattin ... Als leitmotivisches Sinnbild dienen die Ratten, die sowohl Schmutz und Armut als auch Verfall der Sitten und des Regimes symbolisieren."
6350345,54428,Der Biberpelz,3548449751,9783548449753,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336402749l/6350345._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336402749l/6350345._SY75_.jpg,1989,,,ger,Ulstein,false,6536892,34,243,401,133,8,5:14|4:22|3:60|2:26|1:11|total:133,1893,,,3.02,83,2,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"Hauptmanns Diebeskomödie Der Biberpelz zählt zu einer der wenigen gelungenen Komödien in der deutschen Literatur, deren besonderes Merkmal der offene Schluß ist. Mutter Wolff, nie kleinlich, wenn es um das Wohl ihrer Familie geht, stiehlt einen Pelz. Amtsvorsteher Wehrhahn untersucht den Fall peinlich genau und verdächtigt mit kriminalistischem Scharfblick 'königsfeindliche Elemente'"
6600698,54428,Atlantis,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,6794551,51,226,235,71,7,5:13|4:13|3:30|2:13|1:2|total:71,1912,1,1,3.31,36,5,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],
94633,54428,Great German Short Stories,048643205X,9780486432052,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328865722l/94633._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328865722l/94633._SY75_.jpg,2003,12,12,,Dover Publications,false,91234,6,191,181,51,7,5:9|4:18|3:18|2:4|1:2|total:51,2003,12,12,3.55,41,7,"['121887', '5223', '19405', '54428', '7267068', '7906', '54427', '54430', '38658']","['Evan Bates', 'Franz Kafka', 'Thomas Mann', 'Gerhart Hauptmann', 'E.T.A. Hoffmann', 'Rainer Maria Rilke', 'Heinrich von Kleist', 'Clemens Brentano', 'Arthur Schnitzler']","['3.55', '3.89', '3.94', '3.32', '3.83', '4.29', '3.54', '3.53', '3.75']",[],[],[],"The unique boundaries of the short story have attracted a majority of the prominent writers in the German language since the genre attained its modern form and became widely read around the turn of the 19th century.<br />This collection, featuring stories by eight of the form's most successful practitioners, includes Arthur Schnitzler's ""Lieutenant Gustl,"" considered to be the first purely interior monologue in European literature; Heinrich von Kleist's ""Earthquake in Chile,"" a highly charged narrative in which nature and public opinion precipitate acts of incredible violence; as well as important works by Franz Kafka, Thomas Mann, Gerhart Hauptmann, Rainer Maria Rilke, E. T. A. Hoffmann, and Clemens Brentano.<br />Required reading for students of world literature, this volume will be a welcome addition to the collection of any literary connoisseur.<br />"
1007054,54428,Three Plays: The Weavers / Hannele / The Beaver Coat,0881335401,9780881335408,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,1,1,,Waveland Press,false,993180,6,172,164,48,4,5:6|4:17|3:18|2:5|1:2|total:48,1977,,,3.42,45,3,['54428'],['Gerhart Hauptmann'],['3.32'],"['1931800', '3895842']","['Horst Frenz', 'Miles Waggoner']","['3.49', '3.38']",
9102075,54428,Der Ketzer Von Soana,1409927873,9781409927877,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,11,1,,Dodo Press,false,13980452,27,72,158,44,7,5:9|4:15|3:15|2:3|1:2|total:44,1918,,,3.59,27,1,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"Gerhart Johann Robert Hauptmann (1862-1946) war ein deutscher Schriftsteller. Hauptmann gilt als der bedeutendste deutsche Vertreter des Naturalismus, hat aber auch andere Stilrichtungen in sein Schaffen integriert. 1882/83 begann er ein Studium der Philosophie und der Literaturgeschichte an der Universitt Jena, das er aber bald abbrach. Hauptmann wohnte zunchst in Erkner. In dieser Zeit entstanden die [novellistische Studie[ Bahnwrter Thiel (1888), die Dramen Vor Sonnenaufgang (1889) und Die Weber (1892), die ihm zum Durchbruch verhalfen. Dreimal erhielt Hauptmann den sterreichischen Grillparzer-Preis, ferner die Ehrendoktorwrde der Universitt Leipzig und des Worcester College der University of Oxford. 1912 wurde er mit dem Nobelpreis fr Literatur ausgezeichnet und 1922 empfing er als erster das Adlerschild des Deutschen Reiches. Whrend dieser Zeit erfreute sich Hauptmann selbst groer Popularitt und galt im Ausland als der Reprsentant der deutschen Literatur schlechthin. Zu Hauptmanns Werke zhlen u. a.: Der Apostel (1890), Griechischer Frhling (1907), Der Narr in Christo Emanuel Quint (1910) und Der Ketzer von Soana (1918)."
1007050,54428,Rose Bernd,1840025514,9781840025514,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328732462l/1007050._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328732462l/1007050._SY75_.jpg,2006,9,1,,Oberon Books,false,3019314,12,84,135,44,4,5:5|4:10|3:17|2:7|1:5|total:44,1903,,,3.07,34,4,"['54428', '246995']","['Gerhart Hauptmann', 'Dennis Kelly']","['3.32', '4.03']",[],[],[],This new translation was performed at the Arcola Theatre in 2005.
6315618,54428,Einsame Menschen,3548251242,9783548251240,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330860193l/6315618.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330860193l/6315618._SY75_.jpg,2000,,,ger,Ullstein,false,6500857,50,80,118,33,4,5:7|4:9|3:13|2:4|1:0|total:33,1891,,,3.58,19,2,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"Der aufstrebende Philosoph Johannes Vockerat und seine Frau Käthe haben ihr erstes Kind bekommen. Käthe ist von der Geburt geschwächt, während Johannes mit seinem philosophischen Werk nur langsam vorankommt. Er reagiert zunehmend gereizt auf seine Frau. Plötzlich steht eine Fremde in der Tür: die russische Studentin Anna Mahr. Ihr Besuch gilt dem Maler Braun – einem Freund der Familie. Johannes ist beeindruckt von der intelligenten, selbstbewussten jungen Frau. Er lädt sie ein, für ein paar Wochen in seinem Haus zu bleiben. Käthe leidet still, während die frommen Eltern Vockerat zunehmend moralische Bedenken äußern."
7995795,54428,Fasching / Der Apostel.,,9783150083628,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336402687l/7995795._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336402687l/7995795._SY75_.jpg,1986,,,ger,Philipp Reclam Jun Verlag GmbH,false,12495696,2,70,113,38,2,5:2|4:10|3:14|2:9|1:3|total:38,1986,,,2.97,38,2,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"In seinen beiden frühen Novellen 'Fasching' (1887) und 'Der Apostel' (1890) geht Gerhart Hauptmann mit packender Erzählkunst der Frage nach der Stellung des Menschen in Natur und Kosmos nach. <br />In seinem Erstlingswerk 'Fasching' erzählt Hauptmann vom Segelmacherehepaar Kielblock, das kaum eine dörfliche Feier auslässt. Der Faschingsball bildet den Höhepunkt der winterlichen Feiersaison - und endet für die Familie in einer Katastrophe.<br />Die Novelle 'Der Apostel' hat nicht nur ein spezifisch naturalistisches Sujet, sie eröffnet zugleich auch Gerhart Hauptmanns lebenslange Auseinandersetzung mit der Figur Jesu Christi. Der Wanderprediger mit seiner weißen Kutte glaubt, der Erlöser der Menschheit, ja: der wiedergekehrte Christus zu sein, der den Menschen den Weltfrieden bringt. Doch er ist, wie sich immer deutlicher herausstellt, ein Psychopath, dessen Befindlichkeit zwischen Allmachtsphantasien und beklemmendem Selbstzweifel schwankt."
3160763,54428,The Sunken Bell: A Fairy Play in Five Acts (1900),0548799792,9780548799796,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417407452l/3160763._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417407452l/3160763._SX50_.jpg,,,,,,false,3192486,61,62,98,29,4,5:8|4:6|3:6|2:7|1:2|total:29,1897,,,3.38,16,2,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],
1509553,54428,Der arme Heinrich,3150086426,9783150086421,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1986,,,ger,Reclam,false,1501137,15,44,70,23,0,5:1|4:7|3:9|2:4|1:2|total:23,1902,,,3.04,22,0,['54428'],['Gerhart Hauptmann'],['3.32'],[],[],[],"Vorlage für Gerhart Hauptmanns 1902 erschienenes und uraufgeführtes Blankvers-Drama Der arme Heinrich – Eine deutsche Sage – ist die im 12. Jahrhundert entstandene gleichnamige Verserzählung Hartmanns von Aue. Das Werk gilt als das bedeutendste Zeugnis für Hauptmanns Hinwendung zur Neuromantik. Es verwandelt die mittelalterliche legendenhafte Erzählung in ein modernes psychologisches Seelendrama. Man hat den Armen Heinrich auch das ""Hauptwerk jener Epoche"" genannt, das erschütternde Einblicke in seine gepeinigte und oft am Rande der Verzweiflung nach einem Ausweg suchenden Seele eröffnet.<br /><br />Mit einem Nachwort von Fritz Martini."
