id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
66414,36913,Gitanjali,1420926306,9781420926309,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348514071l/66414._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348514071l/66414._SY75_.jpg,2005,1,1,eng,Digireads.com,false,2066877,432,25677,36515,8448,551,5:4640|4:2420|3:1005|2:237|1:146|total:8448,1910,,,4.32,5774,362,"['36913', '29963']","['Rabindranath Tagore', 'W.B. Yeats']","['4.13', '4.16']",[],[],[],"Nobel laureate Rabindranath Tagore was one of the most important writers in 20th-century Indian literature. Among his expansive and impressive body of work, ""Gitanjali"" is regarded as one of his greatest achievements, and has been a perennial bestseller since it was first published in 1910."
166396,36913,Short Stories From Rabindranath Tagore,0856921440,9780856921445,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,,,eng,East-West Publications,false,160680,31,18128,25571,6068,180,5:2874|4:2054|3:822|2:201|1:117|total:6068,1917,,,4.21,2054,75,['36913'],['Rabindranath Tagore'],['4.13'],['16115559'],['Pratima Bowes'],['4.32'],"The sixteen short stories collected here were written between 1891 and 1917 by the Bengali poet, writer, painter, musician and mystic, Sir Rabindranath Tagore (1861-1941). Throughout these stories, Tagore's main interest is people and the kaleidoscope of human emotions, as men and women struggle with the restrictions and prohibitions of contemporary Hindu society."
174216,36913,The Home and the World,0140449868,9780140449860,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336063733l/174216._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336063733l/174216._SY75_.jpg,2005,3,31,eng,Penguin Classics,false,1214983,178,12019,14808,3869,297,5:1037|4:1494|3:1034|2:241|1:63|total:3869,1916,,,3.83,3080,202,"['36913', '96721', '8841']","['Rabindranath Tagore', 'William Radice', 'Anita Desai']","['4.13', '3.93', '3.54']",['3919479'],['Surendranath Tagore'],['3.83'],"Set on a Bengali noble's estate in 1908, this is both a love story and a novel of political awakening. The central character, Bimala, is torn between the duties owed to her husband, Nikhil, and the demands made on her by the radical leader, Sandip. Her attempts to resolve the irreconciliable pressures of the home and world reflect the conflict in India itself, and the tragic outcome foreshadows the unrest that accompanied Partition in 1947. This edition includes an introduction by Anita Desai."
115030,36913,Chokher Bali,812910363X,9788129103635,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,110769,42,9484,13982,3603,171,5:1056|4:1404|3:867|2:209|1:67|total:3603,1902,,,3.88,2994,117,['36913'],['Rabindranath Tagore'],['4.13'],['3099590'],['Radha Chakravarty'],['3.91'],"One of the most famous novels of Tagore and a timeless classic of Bengali literature. First published as a serial, a novel on love, family and sexuality in Bengal society."
1268541,36913,Gora,3491961300,9783491961302,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,,,ger,Albatros,false,1361405,91,8836,13626,3218,208,5:1485|4:1159|3:442|2:107|1:25|total:3218,1909,,,4.23,2579,114,['36913'],['Rabindranath Tagore'],['4.13'],['2895842'],['Gisela Leiste'],['4.21'],"Vast in its scope and rich in thought Gora has been acclaimed as a monumental work in the history of Bengali fiction. The story reflects the social, political and religious scene in Bengal at the turn of the century. The forces that were operating in Bengal at that time were one of the intense nationalism and revival of ancient spiritual values and also that of liberal western thought. What makes Gora a great prose epic is not only its social content but also its brilliant story of self-searching, of resolution, of conflicts and of self discovery."
13422478,36913,কাবুলিওয়ালা,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327587950l/13422478._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327587950l/13422478._SY75_.jpg,,,,ben,,false,18859416,19,4929,9960,2295,72,5:1200|4:770|3:255|2:45|1:25|total:2295,2003,,,4.34,1742,32,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"Set in the early twentieth century Kolkata, Kabuliwala delicately explores the bonds of friendship, affection and parting in the relationship between a middle-aged Pathan trader and a five year old Bengali girl. It is a simple tale of a father’s love for his daughter and the transfer of that love to another little girl. It is a love that transcends the borders of race, religion and language.<br />Kabuliwala which literally means “The Kabuli Man” (better known in English as “The Fruitseller from Kabul”), is a story about the ancient and romantic friendship between India and Kabul city."
1268536,36913,"Sesher Kobita, The Last Poem",8129109379,9788129109378,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,1257443,25,5769,9688,2294,144,5:1144|4:702|3:316|2:80|1:52|total:2294,1928,8,,4.22,1361,52,['36913'],['Rabindranath Tagore'],['4.13'],['2900908'],['Anindita Mukhopadhyay'],['4.25'],Translation of a major work by Rabindranath Tagore
15841419,36913,গল্পগুচ্ছ,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354466459l/15841419._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354466459l/15841419._SY75_.jpg,1908,,,ben,Indian Publishing House,false,21583147,14,6628,8833,1971,41,5:1274|4:492|3:124|2:42|1:39|total:1971,1908,1,1,4.48,1819,33,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],রবীন্দ্রনাথ ঠাকুরের ছোটো গল্পের সংকলন। অখণ্ড সংকলনে মোট গল্প সংখ্যা ৯১।
42754808,36913,The Weird,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541968431l/42754808._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541968431l/42754808._SX50_.jpg,2011,10,31,eng,Corvus,false,17323657,13,10935,7495,1761,200,5:899|4:539|3:227|2:67|1:29|total:1761,2010,11,1,4.26,6,0,"['410598', '33919', '16939', '255165', '6478378', '38840', '6076026', '2995925', '9172', '43219', '297340', '36913', '4045698', '16022666', '5775185', '485215', '5223', '285729', '4030720', '190817', '111191', '57720', '269071', '406950', '142899', '2929770', '26359', '450056', '1630', '117500', '500', '2039556', '13388', '242857', '12540', '32265', '502042', '44315', '25824', '246684', '6980263', '47421', '208243', '42927', '112681', '27075', '2001717', '36998', '44806', '9860453', '384416', '39237', '346732', '820971', '18253', '7213910', '9226', '10765', '635282', '20561', '29535', '10366', '672375', '69469', '18607479', '7415', '31425', '40983', '3524', '9558', '1732747', '1448', '8125999', '18607480', '38313', '7608', '544860', '552357', '307629', '19305', '3389', '27500', '7095979', '146286', '8694', '24902', '4798562', '2715', '33918', '378702', '1221698', '128466', '48355', '679023', '13557729', '277536', '7741171', '466494', '34828', '1922961', '3352475', '376166', '96300', '217735']","['Ann VanderMeer', 'Jeff VanderMeer', 'Michael Moorcock', 'Alfred Kubin', 'F. Marion Crawford', 'Algernon Blackwood', 'Saki', 'M.R. James', 'Lord Dunsany', 'Gustav Meyrink', 'Hanns Heinz Ewers', 'Rabindranath Tagore', 'Luigi Ugolini', 'A. Merritt', 'Ryūnosuke Akutagawa', 'Francis Stevens', 'Franz Kafka', 'Stefan Grabiński', 'H.F. Arnold', 'Margaret Irwin', 'Jean Ray', 'Clark Ashton Smith', 'Hagiwara Sakutaro', 'Hugh Walpole', 'Bruno Schulz', 'Robert Barbour Johnson', 'Leonora Carrington', 'Donald A. Wollheim', 'Ray Bradbury', 'William Sansom', 'Jorge Luis Borges', 'Olympe Bhêly-Quenum', 'Shirley Jackson', 'Margaret St. Clair', 'Robert Bloch', 'Amos Tutuola', 'Jerome Bixby', 'Augusto Monterroso', 'Julio Cortázar', 'Charles Beaumont', 'Meryvn Peake', 'Dino Buzzati', 'Michel Bernanos', 'Mercè Rodoreda', 'Claude Seignolle', 'Gahan Wilson', 'Daphne du Maurier', 'Robert Aickman', 'Dennis Etchison', 'James Tiptree Jr.', 'Eric Basso', 'Jamaica Kincaid', 'George R.R. Martin', 'Bob Leman', 'Ramsey Campbell', 'Michael Shea', 'William Gibson', 'M. John Harrison', 'Premendra Mitra', 'F. Paul Wilson', 'Octavia E. Butler', 'Clive Barker', 'Leena Krohn', 'Garry Kilworth', 'Luscius Shepard', 'Harlan Ellison', 'Ben Okri', 'Elizabeth Hand', 'Joyce Carol Oates', 'Poppy Z. Brite', 'Michal Ajvaz', 'Karen Joy Fowler', 'Kathe Koja', 'Harkin Murakami', 'Lisa Tuttle', 'Marc Laidlaw', 'Steven Utley', 'Martin Simpson', 'William Browning Spencer', 'Jeffrey Ford', 'Stephen King', 'Angela Carter', 'Craig Padawer', 'Stepan Chapman', 'Tanith Lee', 'Kelly Link', 'Caitlín R. Kiernan', 'Michael Chabon', 'China Miéville', 'Michael Cisco', 'Neil Gaiman', 'Thomas Ligotti', 'Brian Evenson', 'Mark Samuels', 'Daniel Abraham', 'Margo Lanagan', 'T.M. Wright', 'Laird Barron', 'Liz Williams', 'Reza Negarestani', 'Micaela Morrissette', 'Steve Duffy', 'Stephen Graham Jones', 'K.J. Bishop']","['3.80', '3.69', '3.94', '3.86', '3.90', '3.95', '3.94', '3.96', '3.89', '3.88', '4.13', '4.13', '3.55', '3.80', '4.02', '3.86', '3.89', '3.71', '4.18', '3.79', '3.73', '4.12', '4.75', '4.00', '4.12', '4.08', '4.05', '3.80', '4.01', '4.02', '4.30', '3.71', '3.95', '3.92', '4.10', '3.85', '4.16', '3.98', '4.22', '3.99', '4.83', '4.08', '4.13', '3.81', '3.92', '3.98', '4.14', '3.98', '3.88', '4.02', '4.11', '3.78', '4.37', '4.22', '3.98', '4.27', '3.89', '3.78', '4.16', '3.99', '4.17', '4.09', '3.72', '3.86', '4.83', '4.29', '3.69', '3.75', '3.69', '3.90', '3.79', '3.51', '3.73', '4.83', '3.81', '3.93', '3.82', '3.79', '3.98', '3.77', '4.04', '3.93', '3.90', '3.57', '3.89', '3.81', '3.88', '3.89', '3.85', '4.05', '4.13', '4.00', '3.84', '3.88', '4.15', '3.72', '3.39', '3.90', '3.76', '3.84', '3.96', '3.88', '3.81', '3.66']",[],[],[],"From Lovecraft to Borges to Gaiman, a century of intrepid literary experimentation has created a corpus of dark and strange stories that transcend all known genre boundaries. Together these stories form The Weird, and its practitioners include some of the greatest names in twentieth and twenty-first century literature.<br /><br />Exotic and esoteric, The Weird plunges you into dark domains and brings you face to face with surreal monstrosities. You won't find any elves or wizards here...but you will find the biggest, boldest, and downright most peculiar stories from the last hundred years bound together in the biggest Weird collection ever assembled. <br />The Weird features 110 stories by an all-star cast, from literary legends to international bestsellers to Booker Prize winners: including William Gibson, George R. R. Martin, Stephen King, Angela Carter, Kelly Link, Franz Kafka, China Miéville, Clive Barker, Haruki Murakami, M. R. James, Neil Gaiman, Mervyn Peake, and Michael Chabon.<br /><br />The Weird is the winner of the 2012 World Fantasy Award for Best Anthology"
166346,36913,The Gardener,1594568030,9781594568039,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367193168l/166346._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367193168l/166346._SX50_.jpg,1938,,,eng,,false,784925,84,3772,6778,1581,103,5:823|4:474|3:214|2:55|1:15|total:1581,1913,,,4.29,1155,68,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"1913. The Gardener, a book of prose. Most of the lyrics of love and life, the translations of which from Bengali are published in this book, were written much earlier than the series of religious poems contained in the book name Gitanjali. The verses in this book are far finer and more genuine than even the best in Gitanjali."
413294,36913,The Post Office,1406700312,9781406700312,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,5,8,,Hesperides Press,false,1442243,85,3138,5981,1445,109,5:586|4:537|3:270|2:41|1:11|total:1445,1914,1,1,4.14,1149,65,['36913'],['Rabindranath Tagore'],['4.13'],['3526990'],['Devabrata Mukerjea'],['4.16'],"This vintage book contains Rabindranath Tagore's 1912 play, 'The Post Office'. The play revolves around Amal, a child confined to his adopted uncle's house by an incurable disease who, inspired by the construction of a local post office, fantasizes about receiving a letter from the king or being a postman. The play was translated into English by W. B. Yeats, and was performed in English for the first time in 1912, by the 'Irish Theatre Company' in London with Tagore in attendance. The Bengali original was staged in Calcutta in 1917. Rabindranath Tagore (1861 1941) was a Bengali polymath who reformed Bengali literature and music in the late 19th and early 20th centuries. We are republishing this antiquarian volume now complete with a specially commissioned new biography of the author."""
