id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1240309,599498,The Tree of the Folkungs,1417921056,9781417921058,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1228980,11,161,98,27,4,5:6|4:10|3:7|2:3|1:1|total:27,1902,,,3.63,14,3,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],
8188616,599498,The Charles Men,,2940001075592,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,2596757,30,101,80,28,2,5:2|4:6|3:9|2:8|1:3|total:28,1897,,,2.86,6,0,"['599498', '3128635']","['Verner von Heidenstam', 'Charles Stork']","['3.16', '3.71']",[],[],[],
26808575,599498,Svensk dikt : från trollformler till Lars Norén : en antologi,9146137653,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512463954l/26808575._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512463954l/26808575._SX50_.jpg,1985,,,swe,Wahlström & Widstrand,false,6139714,2,35,63,16,0,5:5|4:6|3:4|2:1|1:0|total:16,1978,1,1,3.94,4,0,"['52690', '14420120', '14420121', '3450084', '14420122', '4374574', '5313219', '14420123', '4662501', '14420124', '14420125', '14420126', '7579650', '5092095', '6885133', '8198544', '14420127', '368842', '7305196', '8061784', '193978', '4573735', '5880087', '14420128', '2442566', '3420874', '7129177', '1429022', '14420129', '6965237', '1071651', '412155', '1249774', '14420130', '7327044', '421045', '3063445', '6815', '14207057', '1150915', '599498', '3153479', '3068993', '835048', '621106', '1682990', '5058085', '4420496', '2005868', '7707835', '89330']","['Lars Gustafsson', 'Biskop Tomas', 'Lars Wivallius', 'Georg Stiernhielm', 'Skogekär Bergbo', 'Lasse Lucidor', 'Samuel Columbus', 'Israel Kolmodin', 'Haqvin Spegel', 'Gunno Eurelius Dahlstierna', 'Israel Holmström', 'Johan Runius', 'Jacob Frese', 'Olof von Dalin', 'Hedvig Charlotta Nordenflycht', 'Gustaf Philip Creutz', 'Gustaf Fredrik Gyllenborg', 'Carl Michael Bellman', 'Johan Henric Kellgren', 'Johan Gabriel Oxenstierna', 'Anna Maria Lenngren', 'Carl Gustaf af Leopold', 'Thomas Thorild', 'Bengt Lidner', 'Frans Michael Franzen', 'Johan Olof Wallin', 'Esias Tegnér', 'Erik Gustaf Geijer', 'Samuel Johan Hedborn', 'Per Daniel Amadeus Atterbom', 'Erik Johan Stagnelius', 'Carl Jonas Love Almqvist', 'Johan Ludvig Runeberg', 'Bernard Elis Malmström', 'Gunnar Wennerberg', 'Viktor Rydberg', 'Carl Snoilsky', 'August Strindberg', 'Ernst Josephson', 'Ola Hansson', 'Verner von Heidenstam', 'Oscar Levertin', 'Gustaf Fröding', 'Erik Axel Karlfeldt', 'Bo Bergman', 'Vilhelm Ekelund', 'Ivar Conradson', 'Anders Österling', 'Dan Andersson', 'Erik Lindorm', 'Pär Lagerkvist']","['3.71', '3.50', '3.50', '2.54', '3.60', '3.60', '3.22', '3.50', '3.50', '3.50', '3.50', '3.50', '3.33', '3.00', '3.37', '3.67', '3.50', '3.67', '3.33', '3.20', '3.30', '3.50', '3.27', '3.50', '4.00', '3.47', '3.10', '3.30', '3.50', '3.44', '3.69', '3.28', '2.91', '3.50', '3.20', '3.47', '3.46', '3.53', '3.80', '3.28', '3.16', '3.00', '3.56', '3.17', '3.37', '3.59', '3.59', '3.27', '3.79', '3.22', '3.80']",[],[],[],
5941454,599498,Dikter,9100561614,9789100561611,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,6113958,2,38,54,16,2,5:3|4:6|3:2|2:4|1:1|total:16,1895,,,3.38,14,1,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],
16123051,599498,Endymion,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351815309l/16123051._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351815309l/16123051._SX50_.jpg,1945,,,scr,"Naklada Ante Grunbaum, Zagreb",false,21944640,6,32,43,14,1,5:1|4:3|3:7|2:2|1:1|total:14,1889,,,3.07,11,0,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],"Harven, een Amerikaanse schrijver, maakt met zijn dochter Nelly een reis door het Midden-Oosten. Van Beiroet naar Damascus reizen zij in het gezelschap van Blumenbach, een Duitse agent en avonturier die naar Damascus gaat onder de dekmantel van geneesheer, en van de raadselachtige Emin ibn-el-Arabi, een Arabische dichter, vijand van 't Christendom en van de Westerse beschaving, hoofd der nationalistische partij in Damascus. Nelly raakt weldra helemaal onder de invloed van 't Midden-Oosten, en ook onder die van Emin die op haar verliefd wordt en dat is wederzijds. Emin bereidt een opstand voor maar daarvoor heeft veel geld nodig om de pasja van Damascus om te kunnen kopen. Blumenbach heeft geld; men vertelt dat hij er een hele kist uit het Westen heeft meegebracht om met dit geld het Midden-Oosten te onderdrukken. Emin breekt 's nachts bij Blumenbach in, slaat diens knecht dood en rooft de kist.... die niets anders bevat dan artsenijen. De misdaad wordt ontdekt het loopt slecht af voor Emin en Nelly is een illusie armer. Harven's reis en Nelly's liefde zijn maar een kader voor de schrijver om over zijn denkbeelden en gevoelens over het Midden-Oosten te kunnen schrijven: een mooie wereld, die echter slapend wordt gehouden... net als de schone Endymion."
14762205,599498,Nya dikter,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1915,,,swe,Bonnier,false,20414751,1,23,42,13,2,5:4|4:1|3:4|2:2|1:2|total:13,1915,,,3.23,13,2,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],"»Nya dikter« blev Heidenstams sista verk.<br /><br />Från Nordisk familjebok, band 36, (1924) Under uppslagsordet »Heidenstam«:<br /><blockquote><br />Nya dikter är en storstilad och mäktig samling, vars äldsta stycken hänger samman med Heidenstams historiska epik eller Dikter från 1895. Diktsamlingens yngre dikter tillhör en senare epok. Formen är klassiskt ren, enkel och osmyckad, ofta rimlös och ostrofisk, och ger uttryck för stämningar och tankar af upphöjt lugn, av manligt allvar och varm innerlighet, vid och ljus humanitet, tillvarons ovanskliga värde och vemodet att nalkas den aftonsvala ålderdomen.<br /></blockquote>"
23216577,599498,Mannens dikt om kärlek,9174485938,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410853474l/23216577._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410853474l/23216577._SY75_.jpg,1990,,,swe,En bok för alla,false,42758616,1,26,34,11,1,5:0|4:4|3:5|2:1|1:1|total:11,1980,,,3.09,11,1,"['3153547', '8559023', '7272334', '412155', '4034588', '663460', '2005868', '3073735', '4167403', '406721', '368842', '5391986', '621106', '8307135', '2735237', '5505663', '6566570', '5313219', '5058085', '4281834', '72842', '1768457', '6361322', '1682990', '1073815', '446701', '828195', '1385094', '6361865', '3068993', '8559024', '3068025', '61351', '6363276', '599498', '84247', '1463319', '835048', '8559025', '5484302', '399566', '89330', '8559026', '8559027', '8559028', '3153479', '3153474', '7707835', '368435', '6361497', '6221898']","['Göran Palm', 'Olle Adolphson', 'Sven Alfons', 'Carl Jonas Love Almqvist', 'Bengt Anderberg', 'Claes Andersson', 'Dan Andersson', 'Urban Andersson', 'Werner Aspenström', 'Erik Beckman', 'Carl Michael Bellman', 'Tobias Berggren', 'Bo Bergman', 'Petter Bergman', 'Wilhelm von Braun', 'Lars Bäckström', 'Stig Carlson', 'Samuel Columbus', 'Ivar Conradson', 'Peter Curman', 'Tage Danielsson', 'Elmer Diktonius', 'Johannes Edfelt', 'Vilhelm Ekelund', 'Gunnar Ekelöf', 'Kjell Espmark', 'Nils Ferlin', 'Lars Forssell', 'Lars Fredin', 'Gustaf Fröding', 'Willy Granqvist', 'Hjalmar Gullberg', 'Gunnar Harding', 'Nils Hasselskog', 'Verner von Heidenstam', 'Alf Henrikson', 'Björn Håkanson', 'Erik Axel Karlfeldt', 'Johan Erik Kellgren', 'Sandro Key-Åberg', 'Olof Lagercrantz', 'Pär Lagerkvist', 'Ingermar Leckius', 'Åker Leijonhufvud', 'Carl-Gustaf af Leopold', 'Oscar Levertin', 'Erik Lindegren', 'Erik Lindorm', 'Artur Lundkvist', 'Lars Lundkvist', 'Bertil Malmberg']","['3.41', '3.00', '3.12', '3.28', '3.40', '3.40', '3.79', '3.55', '3.56', '3.25', '3.67', '3.00', '3.37', '3.00', '3.09', '3.14', '3.11', '3.22', '3.59', '3.17', '3.84', '3.17', '3.52', '3.59', '3.94', '3.28', '3.89', '3.17', '3.15', '3.56', '3.38', '3.56', '3.82', '3.08', '3.16', '3.73', '3.44', '3.17', '3.09', '3.22', '3.58', '3.80', '3.09', '3.09', '3.09', '3.00', '3.65', '3.22', '3.45', '3.09', '3.42']",[],[],[],
14761818,599498,Vallfart och vandringsår,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1888,,,swe,Bonnier,false,20413920,2,19,30,10,0,5:0|4:3|3:5|2:1|1:1|total:10,1888,,,3.00,9,0,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],
24950436,599498,Sankt Göran och draken,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1917,,,swe,Albert Bonniers Förlag,false,44609912,2,20,23,8,0,5:0|4:2|3:3|2:3|1:0|total:8,1900,1,1,2.88,7,0,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],
1240306,599498,Sweden's Laureate: Selected Poems Of Verner Von Heidenstam,1410204723,9781410204721,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,4,1,,University Press of the Pacific,false,1228977,8,32,23,7,1,5:1|4:1|3:4|2:1|1:0|total:7,1919,1,1,3.29,5,0,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],Verner von Heidenstam (1859-1940) was the 1916 Nobel Laureate in Literature in recognition of his significance as the leading representative of a new era in Swedish literature.
18074679,599498,Bjälboarvet,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1907,,,swe,Bonnier,false,25377886,1,6,17,5,0,5:1|4:0|3:4|2:0|1:0|total:5,1907,,,3.40,5,0,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],
22391350,599498,Heliga Birgittas pilgrimsfärd,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1930,,,swe,Albert Bonniers förlag,false,43078801,3,13,17,7,1,5:0|4:1|3:2|2:3|1:1|total:7,1901,,,2.43,6,1,['599498'],['Verner von Heidenstam'],['3.16'],[],[],[],
17694598,599498,Kärlek genom ett fönster: 20 svenska berättelser,910047495,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364298584l/17694598._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364298584l/17694598._SY75_.jpg,1989,,,swe,Bonniers,false,24733501,1,24,13,3,2,5:2|4:0|3:1|2:0|1:0|total:3,1989,1,1,4.33,3,2,"['4898706', '7020615', '816778', '4563683', '1767485', '319950', '644541', '37103', '965931', '599498', '488659', '4588770', '749547', '952292', '89330', '38266', '410653', '470876', '421045', '6815', '1095210', '302660']","['Vivi Edström', 'Per-Arne Henricson', 'Lars Ahlin', 'Stina Aronson', 'Tage Aurell', 'Victoria Benedictsson', 'Hjalmar Bergman', 'Stig Dagerman', 'Jan Fridegård', 'Verner von Heidenstam', 'Eyvind Johnson', 'Thorsten Jonsson', 'Agnes von Krusenstjerna', 'Willy Kyrklund', 'Pär Lagerkvist', 'Selma Lagerlöf', 'Astrid Lindgren', 'Ivar Lo-Johansson', 'Viktor Rydberg', 'August Strindberg', 'Per Olof Sundman', 'Hjalmar Söderberg']","['3.56', '4.33', '3.43', '3.68', '3.52', '3.51', '3.28', '3.99', '3.52', '3.16', '3.68', '3.95', '3.58', '3.92', '3.80', '3.85', '4.18', '3.38', '3.47', '3.53', '3.51', '3.80']",[],[],[],Tjugo svenska berättelser - tjugo författare som öppnar var sitt fönster mot tillvaron.
