id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
6720194,337113,Imago,8493621323,9788493621322,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,3,1,spa,Nordica Libros,false,6916319,24,212,151,40,5,5:11|4:13|3:13|2:2|1:1|total:40,1906,,,3.78,30,3,"['337113', '17751985']","['Carl Spitteler', 'Isabel Hernández']","['3.42', '3.73']",[],[],[],"Published in 1906, this novel obtained considerable success among the core of the emerging psychoanalysis community. The blend of fantasy and reality, as well as the theme of woman, inspirational and destructive at the same time, fascinated Carl Gustav Jung, who elaborated his concept of <i>Imago</i> after reading this novel.<br /><br />Publicada en 1906, esta novela obtuvo un exito considerable dentro del nucleo de la comunidad emergente del psicoanilisis. La combinacion de fantasia y realidad, al igual que el tema de la mujer, fuente de inspiracion y destruccion a la vez, fascinaron a Carl Gustav Jung, quien elaboro el concepto de Imago<i> luego de leer esta novela.</i>"
12751554,337113,"Prometheus und Epimetheus, ein Gleichnis",,2940039692693,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,17892313,8,64,46,13,3,5:3|4:4|3:3|2:3|1:0|total:13,1945,,,3.54,9,1,['337113'],['Carl Spitteler'],['3.42'],[],[],[],
20741846,337113,Conrad der Leutnant,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,40072535,6,18,35,11,0,5:2|4:1|3:5|2:3|1:0|total:11,1982,1,1,3.18,5,0,['337113'],['Carl Spitteler'],['3.42'],[],[],[],E-Book<br />
16147566,337113,Olympian Spring,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,21981670,8,124,25,8,1,5:1|4:2|3:2|2:3|1:0|total:8,1905,1,1,3.12,6,1,['337113'],['Carl Spitteler'],['3.42'],[],[],[],
21873955,337113,Selected Poems,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422087960l/21873955._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422087960l/21873955._SY75_.jpg,1928,,,eng,Macmillan,false,41165138,2,27,21,6,1,5:0|4:3|3:3|2:0|1:0|total:6,1928,1,1,3.50,6,1,['337113'],['Carl Spitteler'],['3.42'],"['1341423', '1538535']","['Ethel Colburn Mayne', 'James Fullarton Muirhead']","['4.04', '3.67']","…one of the most notable features of all Spitteler's work is the pervasive sense of humour. By this is meant nothing boisterous or rollicking or intrusive. It is rather an obbligato reminder that the poet does not take himself too seriously, that has nothing about him of the prig or the pedant. It is seldom that this gift is so evident in epic poetry, though it is not without significance that Spitteler was a zealous student of Ariosto. And his humour is not inconsistent with the fact that no modern poet strikes a more profoundly tragic note when tragedy is called for."
24678054,337113,كارل شبتلر: روائع القصص,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422141804l/24678054.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422141804l/24678054._SY75_.jpg,2000,,,ara,المدى,false,44294782,2,40,16,5,1,5:0|4:3|3:0|2:2|1:0|total:5,,,,3.20,4,1,['337113'],['Carl Spitteler'],['3.42'],['2706191'],['محمد جديد'],['3.62'],
24637649,337113,Das Bombardement von Åbo,3847261797,9783847261797,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421922664l/24637649._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421922664l/24637649._SY75_.jpg,2012,,,ger,,false,44250107,3,9,16,5,1,5:0|4:2|3:2|2:1|1:0|total:5,1889,,,3.20,5,1,['337113'],['Carl Spitteler'],['3.42'],[],[],[],"Dies ist eine leicht absurde Erzählung über das Bombardement der Finnischen Stadt Åbo durch die Briten, und wie es die Leben des Gouverneurs General Baraban Barabanowitsch, das seiner Frau, und das Leben der Köchin Agafia und deren finnischen Verlobten Tullela verändert."
17447876,337113,Opere: Imago; Primavera olimpica; Il tenente Conrad; La neutralità di noi Svizzeri; Prometeo e Epimeteo: Poesie,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,,,ita,UTET,false,24330028,1,7,11,3,0,5:0|4:2|3:1|2:0|1:0|total:3,1970,1,1,3.67,3,0,"['337113', '1517607']","['Carl Spitteler', 'Carlo Picchio']","['3.42', '3.71']",[],[],[],
34365502,337113,Der Gotthard (Classic Reprint),0243372531,9780243372539,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2018,11,7,,Forgotten Books,false,55444943,9,8,10,3,2,5:0|4:1|3:2|2:0|1:0|total:3,2009,6,4,3.33,0,0,['337113'],['Carl Spitteler'],['3.42'],[],[],[],"Excerpt from Der Gotthard<br /><br />Qbeim Die @rmartung be? (R)ottharbfnhrer� {ich hoher ipannt, menu ber 5)ieiiemut 'be�ienigen, ber eine %nhrfarte nach 8ngano Ibit, {ich iteigert, wenn Die 9iugen 311 feuchten beginnen, iobatb ber Bug iiibm�rt� abbiegt, io beruht Da� gum tveitnn� gro�ten zeit auf jener geiftigen e)jiitthiitig= feit, Die gmar im (R)ranbe in ieben hinein ipieit Die iieh inbefien nirgenb� io lebhaft unb io unnb mei, �[ich einftettt mie auf ber (c)ottharbftrai'3e. (c)er (s�ott harb iit vor allem mterefinnt, mie ber ftereotnpe ?in� brucf lautet.<br /><br />About the Publisher<br /><br />Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at <a target=""_blank"" href=""http://www.forgottenbooks.com"" rel=""nofollow"">www.forgottenbooks.com</a><br /><br />This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
23485065,337113,Balladen und Anderes,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414782747l/23485065._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414782747l/23485065._SX50_.jpg,1922,,,ger,Albert Müller's Verlag,false,27281976,3,5,8,3,0,5:0|4:1|3:0|2:2|1:0|total:3,1922,1,1,2.67,3,0,['337113'],['Carl Spitteler'],['3.42'],[],[],[],
39933758,337113,Two Little Misogynists,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524588835l/39933758._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524588835l/39933758._SX50_.jpg,1922,,,eng,"Henry, Holt And Company New York",false,61820874,1,9,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,,,,3.50,2,0,['337113'],['Carl Spitteler'],['3.42'],[],[],[],A childhood idyll derived from his own experience. Translated by Mme. LaVicomtesse De Roquette-Buisson and illustrated by A. Helene Carter
