id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
32585,18317,Hunger,0486431681,9780486431680,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456243307l/32585._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456243307l/32585._SY75_.jpg,2003,11,17,eng,Dover Publications,false,3135610,69,91008,164587,40638,2855,5:15614|4:15048|3:7150|2:2049|1:777|total:40638,1890,,,4.05,28703,1416,['18317'],['Knut Hamsun'],['4.00'],"['488173', '6722570']","['George Egerton', 'Viki Kärkkäinen']","['4.06', '4.07']","One of the most important and controversial writers of the 20th century, Knut Hamsun made literary history with the publication in 1890 of this powerful, autobiographical novel recounting the abject poverty, hunger and despair of a young writer struggling to achieve self-discovery and its ultimate artistic expression. The book brilliantly probes the psychodynamics of alienation, obsession, and self-destruction, painting an unforgettable portrait of a man driven by forces beyond his control to the edge of the abyss. Hamsun influenced many of the major 20th-century writers who followed him, including Kafka, Joyce and Henry Miller. Required reading in world literature courses, the highly influential, landmark novel will also find a wide audience among lovers of books that probe the ""unexplored crannies in the human soul"" (George Egerton)."
342049,18317,Growth of the Soil,0394717813,9780394717814,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420733175l/342049._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420733175l/342049._SY75_.jpg,1972,5,12,eng,Vintage,false,2435698,205,20787,33288,8087,572,5:3675|4:2536|3:1243|2:407|1:226|total:8087,1917,,,4.12,6090,374,['18317'],['Knut Hamsun'],['4.00'],[],[],[],"A grand, sweeping saga of sacrifice and struggle, this epic tale recaptures the world of Norwegian homesteaders at the turn of the 20th century. It created an international sensation upon first publication and led to the author's 1920 Nobel Prize in Literature. Rich in symbolism, it continues to resonate with modern readers today."
32590,18317,Pan,0141180676,9780141180670,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,9,1,eng,Penguin Classics,false,132237,173,14650,29012,7439,425,5:2224|4:2914|3:1745|2:445|1:111|total:7439,1894,1,1,3.90,5968,262,['18317'],['Knut Hamsun'],['4.00'],['71210'],['Sverre Lyngstad'],['3.94'],"Lieutenant Thomas Glahn, a hunter and ex-military man, lives alone in a hut in the forest with his faithful dog Aesop. Upon meeting Edvarda, the daughter of a merchant in a nearby town, they are both strongly attracted to each other, but neither understands the other's love."
32586,18317,Mysteries,,9780374530297,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391925208l/32586._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391925208l/32586._SY75_.jpg,2006,8,8,,"Farrar, Straus and Giroux",false,32747,95,13382,21992,5375,362,5:2188|4:1916|3:919|2:279|1:73|total:5375,1892,,,4.09,3890,176,['18317'],['Knut Hamsun'],['4.00'],[],[],[],"In a Norwegian coastal town, society's carefully woven threads begin to unravel when an unsettling stranger named Johan Nagel arrives. With an often brutal insight into human nature, Nagel draws out the townsfolk, exposing their darkest instincts and suppressed desires. At once arrogant and unassuming, righteous and depraved, Nagel's bizarre behavior and feverish rants seduces the entire community even as he turns it on its head—before disappearing as suddenly as he had arrived."
137235,18317,Victoria,0285647598,9780285647596,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,1,1,eng,Souvenir Press,false,314364,105,9186,19540,5218,324,5:1258|4:1965|3:1490|2:415|1:90|total:5218,1898,,,3.74,4116,173,['18317'],['Knut Hamsun'],['4.00'],[],[],[],"Forced by circumstances into perverse cruelty to one another, Johannes &amp; Victoria live their lives apart until, in the last tragic pages, we see that Victoria cannot live without her Johannes."
32589,18317,The Wanderer,0285647873,9780285647879,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,4,30,eng,Condor Books,false,1978635,74,2500,4035,1019,49,5:304|4:422|3:249|2:36|1:8|total:1019,1905,,,3.96,703,26,['18317'],['Knut Hamsun'],['4.00'],"['2515', '79230']","['Oliver Stallybrass', 'Gunnvor Stallybrass']","['3.70', '3.99']","The <i>Wanderer</i>, which consists of two closely related novels, <i>Under the Autumn Star</i> and <i>On Muted Strings</i>, has been acclaimed as one of Knut Hamsun's finest works.<br /><br />The narrator, Knut Pedersen (Hamsun's real name), is an unsimple character in search of the simple life, which he hopes to attain by wandering round the Norwegian countryside doing such work as he can find. His quest is continually frustrated, not least by his susceptibility to the wives and daughters of successive employers.<br /><br />In <i>Under the Autumn Star</i> he joins forces first with Grindhusen, a man blessed with the faith that ""something will turn up""; later with Lars Falkenberg, whose dubious talents include the tuning of pianos. Knut and Lars end up as workmen on the estate of a certain Captain Falkenberg (no relation), with whose wife each falls in love. In due course, Knut is laid off and, in futile pursuit of the woman with whom by now he is helplessly infatuated, eventually finds himself sucked back into the city he once fled.<br /><br />""A wanderer plays on muted strings,"" explains Knut, now six years older, ""when he reaches the age of two score years and ten."" Among this sequel's qualities is the poignancy with which it conveys that sense of aging.<br /><br />Both novels show Hamsun at the height of his powers: lyrical and passionate, ironic yet deeply humane, master of one of the most original prose styles in modern literature, brilliantly translated here by Oliver and Gunnvor Stallybrass."
32587,18317,On Overgrown Paths,1892295105,9781892295101,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,7,1,,Green Integer,false,32748,28,1652,2993,795,48,5:183|4:312|3:240|2:50|1:10|total:795,1949,,,3.76,508,20,['18317'],['Knut Hamsun'],['4.00'],['71210'],['Sverre Lyngstad'],['3.94'],"<i>On Overgrown Paths</i> was written after World War II, at a time when Hamsun was in police custody for his openly expressed Nazi sympathies during the German occupation of Norway, 1940-45. A Nobel laureate deeply beloved by his countrymen, Hamsun was now reviled as a traitor—as long as his sanity was not called into question. <i>On Overgrown Paths</i> is Hamsun's apologia.<br /><br />However, the psychiatric report declared him to be sane, but concluded that his mental faculties were ""permanently impaired."" This conclusion was emphatically refuted by the publication, in 1949, of <i>On Overgrown Paths</i>, Hamsun's apologia. In its creative élan, this book, filled with the proud sorrow of an old man, miraculously recalls the spirit of Hamsun's early novels, with their reverence for nature, absurdist humor, and quirky flights of fancy.<br /><br />This edition is the first authoritative English translation of Hamsun's last work, a work which stood at the center of the recent film <i>Hamsun.</i><br /><br /><b>Knut Hamsun</b> was the greatest 20th century Norwegian novelist, winner of the Nobel Prize, and enormously beloved when the country was occupied in World War II. During the war, however, his wife, a supporter of Quisling and the Nazis, traveled across the country reading from his work, particularly <i>Growth of the Soil</i>, which seemed to support notions of agrarian return by a superior Aryan peasant class. Old and confused, Hamsun traveled to Germany to meet with Hitler, hoping, he claimed, to change the conditions of occupation in Norway. The meeting ended disastrously, and after the war, Hamsun was arrested for his Nazi sympathy. As this book reveals, however, Hamsun was anything by mentally disturbed. It is a sad and tragic book filled with pained sorrow of an old man, great in stature and contribution, but completely out of touch with his own time."
137179,18317,Dreamers,0811213218,9780811213219,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1996,5,17,eng,New Directions,false,132210,53,1533,2547,687,46,5:134|4:271|3:237|2:37|1:8|total:687,1904,,,3.71,505,29,['18317'],['Knut Hamsun'],['4.00'],['79386'],['Tom Geddes'],['3.55'],"The midnight sun illumines more than fishing and fjords in this remote northern Norwegian village. In fact, half-baked schemes and hilarity abound. Big Ove Rolandsen, telegraph operator, mad scientist, and local Casanova, trades wits, fists, and kisses with a host of quirky neighbors. He serenades the curate's wife and fights a drunken giant, but taking on Trader Mack, the town's fish-glue magnate, is a more difficult matter. Knut Hamsun, author of the acclaimed Hunger and winner of the 1920 Nobel Prize for Literature, renders the dreams and dramas of these townsfolk with a delightfully light touch. Robert Bly has written that Hamsun ""has a magnifying glass on his eye, like a jeweler's,"" and Dreamers gleams like a perfect, semi-precious stone."
137192,18317,Wayfarers,1557132119,9781557132116,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,3,1,eng,Sun and Moon Press,false,18917513,35,1473,2514,605,33,5:238|4:239|3:113|2:14|1:1|total:605,1927,,,4.16,393,18,['18317'],['Knut Hamsun'],['4.00'],['2991823'],['James McFarlane'],['4.12'],"The novel portrays the wayfarers August and Edevart's experiences while they travel around in Norway for more or less random work. The trilogy continues with August three years later, and concludes with The Road Leads On in 1933.<br />The events in <i>Wayfarers</i> take place between 1864 and the 1870s. The entire trilogy describes the conflict between a traditional subsistence economy and a modern commercial and industrial society, as it emerged in Norway in the second half of the 1800s and the early 1900s. August is the main character that ties the three novels together."
137252,18317,Under the Autumn Star,1557133433,9781557133434,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,8,1,eng,Sun & Moon Press,false,2535380,27,1130,2236,585,33,5:149|4:219|3:183|2:32|1:2|total:585,1906,,,3.82,451,21,['18317'],['Knut Hamsun'],['4.00'],"['2515', '79230']","['Oliver Stallybrass', 'Gunnvor Stallybrass']","['3.70', '3.99']","In Under the Autumn Star, Nobel prize-winning author Knut Hamsun writes a novel magically permeated with the air and light of fall. The narrator, Knut Pedersen (Hamsun's real name) first joins forces with Grindhusen, a man blessed with the faith that ""something will turn up,"" and later with Lars Falkenberg, whose dubious talents include the tuning of pianos. Knut and Lars fetch up as workmen on the estate of Captain Falkenberg (no relation to Lars), with whose wife each falls or fancies himself in love - though this does not prevent either from doing ""night duties"" in other quarters. In time, Knut is laid off and, in futile pursuit of the woman with whom he is by now helplessly infatuated, finds himself sucked back into the city life he had fled."
2527895,18317,Ringen sluttet,,9788205379442,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501176474l/2527895._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501176474l/2527895._SX50_.jpg,1936,,,nor,Gyldendal,false,2535404,22,708,1456,370,23,5:113|4:148|3:82|2:26|1:1|total:370,1936,,,3.94,147,4,"['18317', '144310']","['Knut Hamsun', 'Lars Frode Larsen']","['4.00', '3.96']",[],[],[],"Tittelen på Hamsuns siste roman, «Ringen sluttet» (1936), kan tolkes dithen at han mente forfatterskapet på et vis ble fullført og fullendt med dette verket. Forholdet individ-samfunn står sentralt både i gjennombruddsboken «Sult» (1890) og her. Men mens «Sult»-jeget hadde et ønske om å bli godtatt sosialt, har Abel, som er helt uten sosiale ambisjoner, en annen «overlevelses»-strategi. Skal det trekkes en utviklingslinje gjennom Hamsuns forfatterskap fra «Sult» til «Ringen sluttet» - slik det kan se ut som forfatteren legger opp til - går linjen fra ambisjon til resignasjon."
