id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1566053,48535,The Portable Atheist: Essential Readings for the Nonbeliever,0306816083,9780306816086,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,11,6,eng,Da Capo Press/Perseus Books (Philadelphia),false,1558637,21,50586,67950,16889,496,5:6544|4:6004|3:3061|2:751|1:529|total:16889,2007,11,6,4.02,16086,446,"['3956', '8143161', '2742325', '10122', '122092', '45726', '55078', '45882', '173', '12793', '134805', '48535', '1244', '3345', '15905', '15591', '9494', '4178376', '7805', '10017', '9810', '3706', '84076', '280602', '17854', '64716', '7105', '10538', '6878', '384534', '47788', '7863309', '6952980', '333902', '1194', '111011', '445128', '134143', '2408', '86758', '3299', '3665', '16593', '14104911', '46245', '57651', '7084']","['Christopher Hitchens', 'Lucretius', 'Omar Khayyám', 'Thomas Hobbes', 'Baruch Spinoza', 'David Hume', 'James Boswell', 'Percy Bysshe Shelley', 'George Eliot', 'Charles Darwin', 'Leslie Stephen', 'Anatole France', 'Mark Twain', 'Joseph Conrad', 'Thomas Hardy', 'Emma Goldman', 'H.P. Lovecraft', 'Carl Van Doren', 'H.L. Mencken', 'Sigmund Freud', 'Albert Einstein', 'George Orwell', 'John Betjeman', 'Chapman Cohen', 'Bertrand Russell', 'Philip Larkin', 'Martin Gardner', 'Carl Sagan', 'John Updike', 'John Leslie Mackie', 'Michael Shermer', 'A.J. Ayer', 'Daniel C. Dennett', 'Charles Templeton', 'Richard Dawkins', 'Victor J. Stenger', 'Elizabeth S.  Anderson', 'Penn Jillette', 'Ian McEwan', 'Steven Weinberg', 'Salman Rushdie', 'Ibn Warraq', 'Sam Harris', 'A.C. Grayling', 'Ayaan Hirsi Ali', 'John Stuart Mill', 'Karl Marx']","['4.13', '4.00', '4.11', '3.80', '4.04', '3.95', '3.98', '4.01', '3.84', '3.99', '4.02', '3.90', '3.86', '3.50', '3.84', '4.05', '4.05', '4.02', '3.98', '3.82', '4.08', '4.07', '4.02', '4.02', '4.02', '4.07', '4.07', '4.24', '3.80', '4.02', '3.95', '3.96', '3.97', '4.02', '4.01', '3.99', '4.02', '4.04', '3.73', '4.04', '3.83', '4.01', '3.94', '3.89', '4.16', '3.90', '3.74']",[],[],[],"From the #1 New York Times best-selling author of <i>God Is Not Great</i>, a provocative and entertaining guided tour of atheist and agnostic thought through the ages with never-before-published pieces by Salman Rushdie, Ian McEwan, and Ayaan Hirsi Ali. Christopher Hitchens continues to make the case for a splendidly godless universe in this first-ever gathering of the influential voices--past and present--that have shaped his side of the current (and raging) God/no-god debate. <br /><br />With Hitchens as your erudite and witty guide, you'll be led through a wealth of philosophy, literature, and scientific inquiry, including generous portions of the words of Lucretius, Benedict de Spinoza, Charles Darwin, Karl Marx, Mark Twain, George Eliot, Bertrand Russell, Emma Goldman, H. L. Mencken, Albert Einstein, Daniel Dennett, Sam Harris, Richard Dawkins, and many others well-known and lesser known. And they're all set in context and commented upon as only Christopher Hitchens political and literary journalist extraordinaire can.” <i>(Los Angeles Times)</i> <br /><br />Atheist? Believer? Uncertain? No matter: <i>The Portable Atheist</i> will speak to you and engage you every step of the way."
41325031,48535,Gargantúa y Pantagruel,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534804310l/41325031._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534804310l/41325031._SY75_.jpg,1966,2,24,spa,El Ateneo,false,2663468,446,32222,49707,13413,439,5:4121|4:3861|3:3447|2:1333|1:651|total:13413,1532,,,3.71,1,0,"['11029', '48535', '7316053', '679891']","['François Rabelais', 'Anatole France', 'Gustav Doré', 'Fernando Avila']","['3.70', '3.90', '4.21', '4.14']",[],[],[],"Si Rabelais, médico, fue admirado entre sus contemporáneos como un hombre de gran erudición capaz de escribir en latín y en griego, sus novelas le convirtieron en un popularísimo escritor que se divertía haciendo saltar por los aires el lenguaje con sus juegos de palabras y sus razonamientos extravagantes, en un mundo dominado por gigantes y cretinos, borrachos y farsantes."
12754320,48535,El talón de hierro,8477312435,9788477312437,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328620286l/12754320._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328620286l/12754320._SY75_.jpg,1997,3,,spa,Endymion,false,951056,879,25701,29590,7872,606,5:2236|4:2651|3:2080|2:661|1:244|total:7872,1908,,,3.76,32,5,"['1240', '48535']","['Jack London', 'Anatole France']","['3.96', '3.90']",['5241892'],['María Ruipérez'],['3.97'],"A dystopian novel about the terrible oppressions of an American oligarchy at the beginning of the Twentieth Century, and the struggles of a socialist revolutionary movement."
346023,48535,The Gods Will Have Blood,0140184570,9780140184570,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,12,1,eng,Penguin Books Ltd,false,2069122,208,6450,7197,1923,157,5:477|4:701|3:548|2:167|1:30|total:1923,1912,,,3.74,1154,63,['48535'],['Anatole France'],['3.90'],['772712'],['Frederick Davies'],['3.76'],"Published in 1912, when Anatole France was sixty-eight, <i>The Gods Will Have Blood</i> is the story of Gamelin, an idealistic young artist appointed as a magistrate during the French Revolution. Gamelin's ideals lead him to the most monstrous mass murder of his countrymen, and the links between Gamelin and his family, his mistress and the humanist Brotteaux are catastrophically severed. This book recreates the violence and devastation of the Terror with breathtaking power, and weaves into it a tale which grips, convinces and profoundly moves. The perfection of Anatole France's prose style, with its myriad subtle ironies, is here translated by Frederick Davies with admirable skill and sensitivity. That <i>The Gods Will Have Blood</i> is Anatole France's masterpiece is beyond doubt. It is also one of the most brilliantly polished novels in French literature.<br /><br />Anatole France was awarded the Nobel Prize in 1921."
346024,48535,Penguin Island,1426404050,9781426404054,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1875406,190,3776,5223,1430,166,5:350|4:476|3:418|2:129|1:57|total:1430,1908,,,3.65,899,85,['48535'],['Anatole France'],['3.90'],[],[],[],"Penguin Island is a satirical novel by Anatole France first published in 1908. The book details the history of the penguins and is written as a critique of human nature, and is also a satire on France's political history, including the Dreyfus affair. Morals, customs and laws are satirised within the context of the fictional land of Penguinia, where the animals were baptised erroneously by the myopic Abbot Maël. The book is ultimately concerned with the perfectibility of mankind. As soon as the Penguins are transformed into humans, they begin robbing and murdering each other. By the end of the book, a thriving civilization is destroyed by terrorist bombs."
1005670,48535,50 Great Short Stories,0553277456,9780553277456,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320424833l/1005670._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320424833l/1005670._SY75_.jpg,2005,9,,eng,Bantam Classic,false,991796,12,5684,5084,1388,156,5:308|4:496|3:424|2:128|1:32|total:1388,1952,8,,3.66,1246,129,"['75543', '45712', '4095', '16', '1455', '74572', '22694', '64199', '4173', '3487', '26926', '282196', '27991', '5144', '585', '988142', '24956', '5031025', '184333', '6765', '16839', '6076026', '38658', '48535', '1300357', '32349', '3535', '823978', '163271', '7805', '7735', '9172', '7799', '4176632', '7921', '273838', '880695', '1463', '854076', '13387', '86404', '159', '3506', '6989', '16070', '18985', '13388', '4624490', '18791', '8993', '3345']","['Milton Crane', 'Katherine Mansfield', 'William Saroyan', 'Edith Wharton', 'Ernest Hemingway', 'Katherine Anne Porter', ""Flannery O'Connor"", ""Frank O'Connor"", 'Edmund Wilson', 'Aldous Huxley', 'Stephen Vincent Benét', 'Clarence Day Jr.', ""John O'Hara"", 'James Joyce', 'John Steinbeck', 'E.B. White', 'Dorothy Parker', 'Anton Chekhov', 'Wilbur Daniel Steele', 'Virginia Woolf', 'James Thurber', 'Saki', 'Arthur Schnitzler', 'Anatole France', 'George Milburn', 'Sylvia Townsend Warner', 'William Faulkner', 'Robert M. Coates', 'V.S. Pritchett', 'H.L. Mencken', 'Irwin Shaw', 'Lord Dunsany', 'Nathaniel Hawthorne', 'W. Somerset Maugham', 'Thomas Wolfe', 'Ring Lardner', 'H.G. Wells', 'Francis Steegmuller', 'Robert Louis Stevenson', 'John Collier', 'E.M. Forster', 'Henry James', 'Carson McCullers', 'Rudyard Kipling', 'Alexander Pushkin', 'Max Beerbohm', 'Shirley Jackson', 'Edgar Allan Poe', 'Guy de Maupassant', 'O. Henry', 'Joseph Conrad']","['3.71', '3.78', '4.06', '3.78', '3.83', '3.93', '4.16', '4.04', '3.92', '3.99', '3.84', '3.89', '3.78', '3.74', '3.93', '4.15', '4.08', '3.96', '3.70', '3.88', '3.95', '3.94', '3.75', '3.90', '3.66', '3.87', '3.85', '3.78', '3.84', '3.98', '4.10', '3.89', '3.45', '4.04', '3.96', '3.90', '3.83', '3.80', '3.85', '3.95', '3.88', '3.62', '3.95', '3.93', '4.08', '3.66', '3.95', '4.17', '3.86', '4.08', '3.50']",[],[],[],"<i>50 Great Short Stories</i> is a comprehensive selection from the world's finest short fiction. The authors represented range from Hawthorne, Maupassant, and Poe, through Henry James, Conrad, Aldous Huxley, and James Joyce, to Hemingway, Katherine Anne Porter, Faulkner, E.B. White, Saroyan, and O'Connor. The variety in style and subject is enormous, but all these stories have one point in common—the enduring quality of the writing, which places them among the masterpieces of the world's fiction.<br /><br />Garden party / Katherine Mansfield --<br />Three-day blow / Ernest Hemingway --<br />Standard of living / Dorothy Parker --<br />Saint / V.S. Pritchett --<br />Other side of the hedge / E.M. Forster --<br />Brooksmith / Henry James --<br />Jockey / Carson McCullers --<br />Courting of Dinah Shadd / Rudyard Kipling --<br />Shot / Alexander Poushkin, translated by T. Keane --<br />Graven Image / John O'Hara --<br />Putois / Anatole France, translated by Frederic Chapman --<br />Only the dead know Brooklyn / Thomas Wolfe --<br />A.V. Laider / Max Beerbohm --<br />Lottery / Shirley Jackson --<br />Masque of the Red Death / Edgar Allan Poe --<br />Looking back / Guy de Maupassant, translated by H.N.P. Sloman --<br />Man higher up / O. Henry --<br />Summer of the beautiful white horse / William Saroyan --<br />Other two / Edith Wharton --<br />Theft / Katherine Anne Porter --<br />Good man is hard to find / Flannery O'Connor --<br />Man of the house / Frank O'Connor --<br />Man who shot snapping turtles / Edmund Wilson --<br />Gioconda smile / Aldous Huxley --<br />Curfew tolls / Stephen Vincent Benet --<br />Father wakes up the village / Clarence Day --<br />Ivy Day in the committee room / James Joyce --<br />Chrysanthemums / John Steinbeck --<br />Door / E.B. White --<br />Upheaval / Anton Chekhov --<br />How beautiful with shoes / Wilbur Daniel Steele --<br />Haunted house / Virginia Woolf --<br />Catbird seat / James Thurber --<br />Schartz-Metterklume method / H.H. Munro --<br />Death of a Bachelor / Arthur Schnitzler --<br />Apostate / George Milburn --<br />Phoenix / Sylvia Townsend Warner --<br />That evening sun / William Faulkner --<br />Law / Robert M. Coates --<br />Tale / Joseph Conrad --<br />Girl from Red Lion, PA / H.L. Mencken --<br />Main currents of American thought / Irwin Shaw --<br />Ghosts / Lord Dunsany --<br />Minister's black veil / Nathaniel Hawthorne --<br />String of beads / W. Somerset Maugham --<br />Golden honeymoon / Ring Lardner --<br />Man who could work miracles / H.G. Wells --<br />Foreigner / Francis Steegmuller --<br />Thrawn Janet / Robert Louis Stevenson --<br />Chaser / John Collier"
2251777,48535,The Revolt of the Angels,1399719238,9781399719230,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358267322l/2251777._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358267322l/2251777._SY75_.jpg,,,,eng,,false,736287,127,4267,4892,1217,104,5:457|4:424|3:260|2:55|1:21|total:1217,1914,,,4.02,705,55,['48535'],['Anatole France'],['3.90'],['2050238'],['Wilfrid Jackson'],['4.07'],
602398,48535,Thaïs,1587158558,9781587158551,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,6,1,eng,Borgo Press,false,956862,179,3552,4265,1165,154,5:286|4:383|3:347|2:113|1:36|total:1165,1890,,,3.66,652,57,['48535'],['Anatole France'],['3.90'],[],[],[],"In those days the hermits of the desert lived in huts on the banks of the Nile, where they lived abstemious lives, taking no food till after sunset, and eating nothing but bread with a little salt and hyssop.They lived in temperance and chastity, they wore a hair shirt and a hood, slept on the bare ground after long watching, prayed, sang psalms, and, in short, spent their days in works of penitence. As an atonement for original sin, they refused their body not only all pleasures and satisfactions, but even that care and attention which in this age are deemed indispensable. They believed that the diseases of our members purify our souls, and the flesh could put on no adornment more glorious than wounds and ulcers. It was a good and virtuous life. It was also fairly smelly.<br /><br />One day a desert hermit named Paphnutius was recalling the hours he had lived apart from God, and examining his sins one by one, that he might the better ponder on their enormity, he remembered that he had seen at the theatre at Alexandria a very beautiful actress named Thaïs. Repenting his boyhood lust for her, he saw her countenance weeping, and resolved that the courtesan must necessarily be brought to salvation. It was a terrible mistake, and one that still haunts us all."
15726385,48535,Viaggio intorno alla mia camera,8804431547,9788804431541,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340899006l/15726385._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340899006l/15726385._SY75_.jpg,1997,9,,ita,Arnoldo Mondadori Editore,false,319321,162,3766,3890,1088,160,5:201|4:390|3:361|2:106|1:30|total:1088,1794,,,3.58,16,1,"['175911', '48535', '6561151']","['Xavier de Maistre', 'Anatole France', 'Charles Augustin de Sainte-Beuve']","['3.58', '3.90', '3.53']",['325722'],['Gennaro Auletta'],['3.75'],"Giovane ufficiale di stanza ad Alessandria, fratello minore del celebre Joseph, Xavier de Maistre venne arrestato nel 1790 per aver partecipato a un duello. Nei quarantadue giorni di forzata inattività e di noia che ne seguirono compose senza alcuna velleità letteraria questa breve opera che, pubblicata cinque anni dopo, venne immediatamente salutata come un piccolo capolavoro. ""Viaggio intorno alla mia camera"" è uno straordinario percorso attraverso i dissidi e le riappacificazioni dell'anima che, come fa notare Sainte-Beuve, «ispirano all'amabile ""umorista"" una quantità di riflessioni filosofiche tanto fini e tante profonde che la poltrona psicologica, con tutto l'apparato dei suoi metodi, non ne ha mai potute ispirare di simili agli analisti di professione». L'autore passa, con tono garbato e leggero, da un registro brillante a una più moderata malinconia senza mai lasciarsi travolgere da tumultuose emozioni estreme; gli è sufficiente a volte una sola parola «per rivelare tutta un'indagine psicologica, un tocco lieve di pennello per creare un personaggio, [...] una frase scherzosa per nascondere tutto un dramma umano». Più che narrare, quindi, sembra discorrere tra sé con semplicità e ironia, arte raffinata che possiede la cifra di un'originalità singolare e ci accompagna lungo le pagine di quest'opera deliziosa."
41831727,48535,Les Plaisirs et les Jours,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536961205l/41831727._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536961205l/41831727._SX50_.jpg,1896,,,fre,Calmann Lévy,true,2435907,105,2766,3500,905,104,5:275|4:330|3:222|2:61|1:17|total:905,1896,,,3.87,1,1,"['233619', '18419159', '48535']","['Marcel Proust', 'Medeleine Lemaire', 'Anatole France']","['4.21', '5.00', '3.90']",[],[],[],"A stunning volume of philosophical reflections, short narratives, and prose poems, <i>Pleasures and Days</i> provides an early glimpse into Proust’s genius as a collector of exquisitely poignant sensations and recollections. Set amid the salon society of fin-du-siècle Paris, these sketches and short stories depict the lives, loves, manners, and motivations of a host of characters, all viewed with a famously knowing eye. By turns cuttingly satirical and bitterly moving, Proust’s portrayals are layered with imagery and feeling—whether they be of the aspiring Bouvard and Pécuchet, the deluded Madame de Breyves, or of Baldassare Silvande, steeped in memories, regret, and final understanding at the end of his life. Novelist Marcel Proust was a prominent figure in the French salons of the late 19th century; he is best remembered for his seven-volume masterpiece <i>In Search of Lost Time.</i>"
1303933,48535,The Crime of Sylvestre Bonnard,159569059X,9781595690593,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,3,1,,MONDIAL,false,2076090,157,1158,1718,463,45,5:98|4:187|3:132|2:38|1:8|total:463,1881,,,3.71,284,26,['48535'],['Anatole France'],['3.90'],[],[],[],"Sylvestre Bonnard, an elderly and highly esteemed scholar, encounters unexpected problems when he embarks upon a search for an ancient ecclesiastical literary document that takes him from Paris to Sicily and then into his own life history. For the sake of justice and love, he ends up committing acts that at best are of doubtful legality. --- With ""The Crime of Sylvestre Bonnard,"" Anatole France (1844-1924) wrote a novel that is both clever and wise and in the manner of the great masters of literary style - a book that is full of suspense from beginning to end."
