id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1935791,5442509,Los intereses creados,8437600278,9788437600277,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,1,1,spa,Cátedra,false,1938306,26,675,1175,342,33,5:46|4:121|3:122|2:42|1:11|total:342,1907,,,3.44,293,26,"['5442509', '125904']","['Jacinto Benavente', 'Fernando Lázaro Carreter']","['3.29', '3.69']",[],[],[],"Tanto el planteamiento teatral de Los interes creados como el diseno de caracteres han sido manejados con una habilidad nada comun. Quiza el mayor acierto de Benavente fue el de dar forma de farsa guinolesca a su pieza y encuadrarla en la tradicion de la ""comedia dell'arte."" El acopio de fuentes literarias extranjeras, pero, sobre todo, espanolas ha servido en este caso para crear una obra de caracter universal.<br /><br />Los intereses creados es una obra teatral del premio nobel Jacinto Benavente. Se estrenó el 9 de diciembre de 1907 en el Teatro Lara de Madrid. Junto con La Malquerida es su obra más recordada. Con esta obtuvo el reconocimiento en su época por parte de la Real Academia y también por parte de la clase intelectual y el público. Atendiendo a que extrae prototipos para los personajes de la Comedia del arte italiana, la crítica la ha encuadrado en esta.<br /><br />Podría entenderse la obra recogiendo una afirmación de Crispín: Mejor que crear afectos es crear intereses (acto II escena IX). Esta afirmación se desarrolla mediante un sencillo esquema argumental que sería el siguiente: A principios del siglo XVII Leandro y Crispín, dos pícaros impenitentes, llegan a una ciudad italiana donde Crispín mediante su labia logra hacer creer que Leandro es hombre adinerado, generoso y culto. Con esta imagen Leandro deberá enamorar a la hija del rico Polichinela para conseguir riquezas. El problema surge cuando el amor se hace real entre ambos jóvenes. Polichinela descubre el engaño que pretende arrebatarle sus riquezas pero no puede librarse del mismo puesto que la boda será un negocio para todos ya que permitirá a Leandro saldar sus deudas con los que creyeron en sus mentiras. Esos mismo crédulos logran convencer al rico Polichinela para que acepte el casamiento. Sin embargo la crítica a los supuestos morales de la sociedad burguesa se suaviza pues Polichinela no es víctima inocente sino que merece castigo por sus desmanes pasados."
3565852,5442509,El Príncipe que Todo lo Aprendió en los Libros,8426103715,9788426103710,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398315642l/3565852._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398315642l/3565852._SX50_.jpg,1989,10,27,spa,Editorial Juventud,false,3608049,5,160,230,67,4,5:15|4:17|3:20|2:12|1:3|total:67,1928,,,3.43,65,4,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"La comedia teatral El príncipe que todo lo aprendió en los libros es una obra perfecta para ser representada en el teatro para niños o por niños.<br /><br />Presenta la historia de un príncipe que ha leído muchos cuentos de hadas y que en su primer contacto con la realidad cree que todo es como en los cuentos. Esto le acarrea algunos contratiempos, pero todo termina bien y al final reconoce que la imaginación es una base necesaria y que, en el fondo, los cuentos son un espejo de la realidad."
12745102,5442509,La Malquerida: Drama en Tres Actos y en Prosa,1178840492,9781178840490,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2011,8,29,,Nabu Press,false,17884807,5,84,157,56,3,5:0|4:10|3:27|2:17|1:2|total:56,1913,,,2.80,46,3,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book."
23009192,5442509,La malquerida. Señora ama,9506142041,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408747241l/23009192._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408747241l/23009192._SY75_.jpg,1884,,,spa,Orbis,false,42575943,4,59,83,26,5,5:1|4:7|3:15|2:2|1:1|total:26,1884,1,1,3.19,18,2,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],
17828019,5442509,Los intereses creados / Señora ama,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366234844l/17828019._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366234844l/17828019._SY75_.jpg,1969,,,spa,Espasa Calpe,false,24940739,3,17,32,11,2,5:0|4:4|3:2|2:5|1:0|total:11,1969,1,1,2.91,7,2,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],
18695580,5442509,Rosas de Otoño,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382375577l/18695580._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382375577l/18695580._SX50_.jpg,1905,,,spa,,false,26547943,3,20,30,11,1,5:0|4:3|3:5|2:0|1:3|total:11,1905,1,1,2.73,9,1,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],"Rosas de otoño es una obra de teatro del dramaturgo español Jacinto Benavente estrenada<br />el 13 de abril de 1905. La pieza narra las peripecias de Isabel, segunda esposa de Gonzalo,<br />al constatar que su marido ha puesto los ojos en otra mujer, llamada Josefina. Ésta última es<br />además objeto de atención de Pepe, a su vez, marido de María Antonia, hija del primer<br />matrimonio de Gonzalo. Gonzalo, viejo, Don Juan al que ya se le fue el tiempo, paga lujos y<br />saraos a Josefina, mujer con pasado y al marido de Josefina lo coloca en su firma comercial<br />para que haga la vista gorda; finalmente se impone el sentido común y las abnegadas Isabel<br />y María Antonia mantienen sus respectivos matrimonios, pese a la vida de infidelidades que<br />sus respectivos maridos las han hecho pasar y aún las harán sufrir."
1455881,5442509,Los Intereses Creados / La Malquerida,847039732X,9788470397325,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,8,1,eng,Castalia Publishing Company,false,43314326,1,14,26,8,0,5:1|4:3|3:2|2:1|1:1|total:8,1907,,,3.25,8,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],
1240049,5442509,Senora Ama (Letras Hispanicas),8437620074,9788437620077,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1228720,1,16,23,8,0,5:0|4:1|3:5|2:2|1:0|total:8,2004,1,1,2.88,8,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],
16069603,5442509,El nido ajeno,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487282317l/16069603._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487282317l/16069603._SX50_.jpg,1917,,,spa,Librería de los suc. de Hernando,false,21862446,4,16,18,5,0,5:2|4:0|3:2|2:1|1:0|total:5,1917,1,1,3.60,3,0,['5442509'],['Jacinto Benavente'],['3.29'],[],[],[],This play is part of a larger volume of a series of Benavente's complete works for the theater.
18363216,5442509,His Widow's Husband: A Comedy,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377070404l/18363216._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377070404l/18363216._SX50_.jpg,1917,,,eng,Charles Scribner's Sons,true,25965736,4,22,12,4,2,5:0|4:0|3:4|2:0|1:0|total:4,1917,1,1,3.00,3,2,['5442509'],['Jacinto Benavente'],['3.29'],['4587803'],['John Garrett Underhill'],['3.57'],
52439434,5442509,Teatro breve español del siglo XX,,9788497403023,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,73072878,1,3,9,2,0,5:1|4:1|3:0|2:0|1:0|total:2,,,,4.50,2,0,"['5442509', '1125200', '16575690', '35984', '25536', '2833128', '636591', '383150', '19500650']","['Jacinto Benavente', 'Carlos Arniches', 'Hermanos Alvarez Quintero', 'Pedro Muñoz Seca', 'Miguel de Unamuno', 'Azorín', 'Pío Baroja', 'Ramón Gómez de la Serna', 'Ramón M. del Valle-Inclán']","['3.29', '3.06', '4.50', '3.99', '3.90', '3.45', '3.70', '3.91', '4.50']",[],[],[],"Ocho de los mejores dramaturgos de comienzos del siglo XX están representados en esta antología a través de piezas breves. Las propuestas más comerciales de Arniches o Muñoz Seca y la audacia experimental de Gómez de la Serna o Azorín comparten el escenario de este libro. En todos los casos se ha pretendido mostrar cómo la gran literatura, incluso la contenida en unas pocas páginas, a menudo obra el milagro de transformarse en vida para darnos lo mejor de sí misma: el humor desenfadado, el drama del paso del tiempo o la emoción que late en los gestos mínimos. Literatura, en fin, encaminada a satisfacer el deseo de quienes acostumbran a frecuentarla, pero también dispuesta a seducir a esos potenciales lectores que aún ignoran que lo son."
