id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
10297191,1709,Eugénie Grandet,8854120413,9788854120419,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327965318l/10297191._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327965318l/10297191._SY75_.jpg,2010,,,ita,Newton Compton,false,1399014,795,30853,64344,16953,699,5:4389|4:6507|3:4567|2:1180|1:310|total:16953,1833,,,3.80,7,0,"['228089', '3136746']","['Honoré de Balzac', 'Riccardo Reim']","['3.80', '3.84']",['1709'],['Grazia Deledda'],['3.64'],"Delicata storia di un amore liliale schiacciato e beffato dall’avarizia e dal cinismo e al tempo stesso spietata analisi della borghesia di provincia, avida e speculatrice, che tutto subordina alla smania di ricchezza e di dominio, <i>Eugénie Grandet</i> viene pubblicato nel 1833, subito accolto da una critica entusiasta che lo saluta come un capolavoro. Primo grande libro di Balzac, questo romanzo (che qui si ripropone nell’esemplare traduzione di Grazia Deledda, oggi quasi introvabile) allinea alcuni tra i più riusciti “ritratti” del grande scrittore: l’ingenua e soave Eugénie, il vecchio Grandet sordido e tirannico, il bel cugino Charles, arrampicatore sociale senza scrupoli – figure di raro vigore, tra le più potenti, in assoluto, dell’intera letteratura francese.<br /><br /><i>«Gli ultimi lampi di vita parevano concentrati negli occhi, ed appena poteva aprirli era un rapido volgerli angosciosi verso la stanza che chiudeva i suoi tesori, mentre con voce tremante d’un panico interno, ripeteva alla figliuola: «Vi sono? Vi sono?». «Sì, babbo».»</i>"
130971,1709,Reeds in the Wind,0934977631,9780934977630,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,2,22,eng,Italica Press,false,126145,146,4675,7159,1908,168,5:471|4:736|3:504|2:151|1:46|total:1908,1913,,,3.75,475,39,"['1709', '74888']","['Grazia Deledda', 'Dolores Turchi']","['3.64', '3.73']",['75443'],['Martha King'],['3.68'],"The rugged landscape of Baronia on Sardinia sets the scene for this novel of crime, guilt, and retribution. Deledda presents the story of the Pintor sisters - from a family of noble landowners now in decline - their nephew Giacinto, and their servant Efix, who is trying to make up for a mysterious sin committed many years before. Around, below, and inside them the raging Mediterranean storms, the jagged mountains, the murmuring forests, and the gushing springs form a Greek chorus of witness to the tragic drama of this unforgiving land. Deledda tells her story with her characteristic love of the natural landscape and fascination with the folk culture of the island, with details about the famous religious festivals held in mountain encampments, and the lore of the ""dark beings who populate the Sardinian night, the fairies who live in rocks and caves, and the sprites with seven red caps who bother sleep."""
180851,1709,La madre,8804466464,9788804466468,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295637189l/180851._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295637189l/180851._SY75_.jpg,2003,,,ita,Mondadori,false,174746,63,1011,1504,418,72,5:80|4:150|3:143|2:30|1:15|total:418,1920,,,3.60,217,33,['1709'],['Grazia Deledda'],['3.64'],[],[],[],"In un paese ricco di tradizioni e unito da una ferrea legge morale, Paulo, giovane sacerdote in cui tutti confidano e che tutti ritengono esempio di fede e devozione, si innamora di Agnese, una donna che vive sola nella grande tenuta di famiglia. La madre di Paulo, accortasi dei sentimenti del figlio e delle sue fughe notturne e decisa a proteggerlo dalle tentazioni, tenta di riportarlo sulla retta via, ricordandogli i doveri di parroco e consigliandogli di confidare nel Signore, interrompendo immediatamente la peccaminosa relazione. Dilaniato tra il senso di colpa e la profonda passione, Paulo torna ancora una volta dall'amata, ma, ormai convinto della propria fede, si rifiuta di cedere alle sue lusinghe. Agnese promette di rivelare pubblicamente la loro relazione durante il rito domenicale, causando in Paulo e nella madre una profonda angoscia. Nonostante la rinuncia della donna, a mettere in pratica quanto minacciato, lo stress accumulato nei giorni precedenti causa la repentina morte della madre al termine della funzione. Un romanzo di fede e di peccato, prostrazione e letizia, timori taciuti e passioni che irrompono incontrollate."
180849,1709,Elias Portolu,2862606758,9782862606750,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,,,fre,Editions Autrement,false,174744,45,619,1090,300,25,5:42|4:133|3:103|2:17|1:5|total:300,1900,,,3.63,180,6,['1709'],['Grazia Deledda'],['3.64'],['8036062'],['Léa Frazer'],['3.69'],"C'est l'histoire d'un jeune homme de vingt-trois ans, sortant de prison, qui tombe amoureux, bien malgré lui, de la fiancée de son frère. Elias et Maddalena se sentent glisser vers le péché et tentent en vain d'y résister. Le mariage de Maddalena avec le frère d'Elias ne fera qu'attiser leur désir. Ni les années, ni même l'ordination d'Elias à la prêtrise ne les empêcheront de succomber à la tentation. Dans cette histoire d'inceste, il n'y a rien d'immoral ; le récit de la première chute des jeunes gens est mené avec une spontanéité, une force synthétique, une pureté de poète. Ce livre nous plonge à l'intérieur des consciences, plus particulièrement dans celle d'Elias qui oscille entre la terreur du péché, le désir du bien et l'abandon au mal. À nous qui sommes habitués aux complications d'une littérature savante et intellectuelle, ce livre, si cristallin et si sûr de sa profonde compréhension des souffrances de l'âme, semble se dérouler dans un monde onirique. C'est peut-être ce qui donne à l'histoire intime d'Elias la pureté d'une révélation."
130974,1709,Cosima,0934977062,9780934977067,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,3,22,eng,Italica Press,false,126148,35,606,890,251,22,5:41|4:96|3:80|2:27|1:7|total:251,1936,,,3.55,192,17,['1709'],['Grazia Deledda'],['3.64'],['75443'],['Martha King'],['3.68'],"""Cosima"" tells the story of an aspiring writer growing up in Nuoro, Sardinia during the last decades of the nineteenth century when formal education for women was rare and literary careers unheard-of. Based on Deledda's own life, the work describes a young woman's struggle against the dismay and disapproval of her family and friends at her creative ambitions. Yet it also reads like a charming fable with details of family life, rural traditions and wild bandits, and it is as much a novel of memory as of character or action. Deledda's characters are poor country folk driven by some predetermined force. Their loves are tragic, their lives as hard and as rigidly controlled as nature itself in the hills of Sardinia. Deledda creates memorable figures who play out their lives against this backdrop of mountains and bare plains, sheepfolds and vineyards. Shimmering in the distance is the sea and escape - for a few - to the Continent or America. In 1926 Grazia Deledda became the second woman and the second Italian to receive the Nobel Prize for Literature. She wrote thirty-three novels, including ""Reeds in the Wind,"" and many books of short stories, almost all set on Sardinia. Her work has become well known to English-speaking readers through Martha King's translations for Italica Press."
6353696,1709,L'edera,8889801441,9788889801444,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,,,ita,Maestrale,false,6540295,28,393,726,202,14,5:42|4:68|3:62|2:28|1:2|total:202,,,,3.59,127,6,['1709'],['Grazia Deledda'],['3.64'],[],[],[],"Era un sabato sera, la vigilia della festa di San Basilio, patrono del paese di Barunèi. In lontananza risonavano confusi rumori; qualche scoppio di razzo, un rullo di tamburo, grida di fanciulli; ma nella straducola in pendio, selciata di grossi ciottoli, ancora illuminata dal crepuscolo roseo, s'udiva solo la voce nasale di don Simone Decherchi. -Intanto il fanciullo è scomparso - diceva il vecchio nobile, che stava seduto davanti alla porta della sua casa e discuteva con un altro vecchio, ziu Cosimu Damianu..."
130981,1709,Ashes,0838640036,9780838640036,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540761791l/130981._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540761791l/130981._SX50_.jpg,2004,2,16,,Fairleigh Dickinson University Press,false,126155,32,335,569,144,9,5:47|4:55|3:32|2:8|1:2|total:144,1904,,,3.95,32,0,"['1709', '37884']","['Grazia Deledda', 'Janice M. Kozma']","['3.64', '3.94']",[],[],[],"Jan Kozma's English translation of Grazia Deledda's Ashes (Cenere, 1904) represents a rendering of the novel that embodies the Nobel Prize-winning author's mature style. Ashes is the story of Oli, a Sardinian unwed mother who is forced by poverty to abandon her only child. Raised by his genetic father, Ananias eventually attains social acceptability in the legal prefession yet cannot give up his obsessive search for his mother. When Oli realizes that public knowledge of her life in prostitution will jeopardize her son's impending marriage and professional success, she makes the ultimate maternal sacrifice to ensure his future. Deledda's novel explores the themes of filial duty, hypocritical societal expectations, the ravages of poverty, and maternal devotion. The author interweaves into the novel leitmotivs of Sardinian folklore, health issues, banditry, illegitimacy, prostitution, and the social mores of the late nineteenth century with all the attendant public opprobrium. When Henrik Schuck introduced Grazia Deledda to the Stockholm audience at the Nobel Prize ceremonies in 1926, he made a special point of mentioning that she had brought to the attention of the world certain rive"
1130724,1709,After the Divorce,0810112493,9780810112490,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,5,10,,Northwestern University Press,false,1117921,57,534,564,164,33,5:29|4:49|3:57|2:23|1:6|total:164,1902,,,3.44,83,14,"['1709', '555891', '614737']","['Grazia Deledda', 'Susan Deledda', 'Susan Ashe']","['3.64', '3.36', '3.48']",[],[],[],"The novel begins with Costantino Ledda's conviction and sentencing for the murder of his cruel uncle. Though innocent of the crime, he accepts the guilty verdict as punishment for marrying Giovanna Era through a civil ceremony rather than an expensive church wedding. When her husband is taken away, Giovanna has no way to provide for herself, her mother, and her son, who soon dies of malnutrition. Out of desperation she divorces Costantino, according to a new law for wives of convicts, and marries a wealthy but brutish landowner. When the true murderer confesses and Costantino returns, he and Giovanna begin a forbidden and ultimately destructive affair.<br /><br />Deleda's tragic story of poverty, passion, and guilt portrays the primitive and remote world of the church, pre-Christian superstitions, and laws dictated from the mainland, in her native Sardinia, where society hangs in a delicate balance. Once this order is disrupted, none of these characters can escape the spiral of destruction dictated by fate, God, and society."
180850,1709,Marianna Sirca,0838640680,9780838640685,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298909801l/180850._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298909801l/180850._SY75_.jpg,2006,4,1,,Fairleigh Dickinson University Press,false,174745,29,297,548,149,17,5:32|4:56|3:45|2:13|1:3|total:149,1915,,,3.68,73,1,['1709'],['Grazia Deledda'],['3.64'],['3922044'],['Jan Kozma'],['3.82'],"Jan Kozma's translation of Marianna Sirca is the near-literal rendering of a novel written by Grazia Deledda (1871-1936), the celebrated Italian author from Sardinia who won the Nobel Prize for Literature in 1926. Almost all of Deledda's stories treat the lives, loves, tragedies, and triumphs of the author's native land - the remote, isolated, and often forbidding island of Sardinia. This new translation includes an introduction that highlights the salient episodes of Grazia Deledda's life and which situates Marianna Sirca both literarily within the author's opera omnia and as part of the general literary trends of the early European twentieth century. Jan Kozma presents the homonymous protagonist, Marianna Sirca, as one of the great literary precursors of the liberated, independent, modern woman - an ironic twist, given the repressive culture in which Marianna lives. The translator also provides numerous explanatory foot-notes that elucidate particular arcane aspects of Sardinian life in the late nineteenth century."
13232871,1709,Sardinya Efsaneleri,,9789750712906,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2011,3,,tur,Can Yayınları,false,16757012,8,218,304,102,15,5:7|4:15|3:54|2:21|1:5|total:102,2011,1,1,2.98,83,11,['1709'],['Grazia Deledda'],['3.64'],['3378150'],['Kemal Atakay'],['3.89'],"Her hazinenin kapısında bir lanet bekler sizi...<br /><br />İtalyan edebiyatının büyük ozanı Deledda'nın kaleminde canlanan <i>Sardinya Efsaneleri</i>, kaderlerinde acı ve ölüm olan sıradan insanların sıra dışı öykülerini bir araya getiriyor. Bu öykülerde insan, ölümün karşısında merakına yenik düşerken, lanete açılan hazine kapılarında nöbet tutanların gösterdiği sonsuz karanlıkla tanışıyor.<br /><br /><i>Sardinya Efsaneleri</i>, adından da anlaşılacağı gibi, bir derleme. Sardinya'nın geçit vermez dağları arasında yaşayan halkın aktardığı korkunç öyküleri derlemiş Grazia Deledda. Bu öyküler, yaşamları türlü korku ve hurafelerle dolu yoksul halkın geniş hayal gücüyle beslenen tekinsiz, tehlikelerle dolu dünyaları anlatıyor. Her biri birbirinden uğursuz bu on üç öykü, Sardinya topraklarında gömülü eşsiz hazinelere açılıyor. Ne var ki toprak, hazinelerin yatağı da olsa, yeraltı dünyasında onları bekleyen başkaları var: iblisler, cüceler, cinler, büyücüler...<br /><br /><i>Sardinya Efsaneleri</i> küçük bir kitap. Deledda'nın, doğup büyüdüğü görkemli Sardinya için kaleme aldığı bir korku odası..."
843013,1709,La via del male,8864291164,9788864291161,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414611694l/843013._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414611694l/843013._SX50_.jpg,2012,3,,ita,Il Maestrale,false,828545,15,155,243,65,11,5:12|4:27|3:23|2:3|1:0|total:65,1896,,,3.74,33,2,['1709'],['Grazia Deledda'],['3.64'],[],[],[],"In questo romanzo, che incontrò il favore di Luigi Capuana, l'autrice, suggestionata dal verismo, abbandonò le imitazioni degli autori romantici a favore di un'elaborazione maggiormente aderente alla realtà, con descrizioni di situazione concrete in cui far muovere personaggi più autentici. Ne <i>La via del male</i>, comparvero gli elementi tipici della produzione della Deledda: gli uomini, abitatori della sua ""misteriosa"" Sardegna, primitivi e taciturni, in ascolto solo delle voci della natura, chiusi nelle loro credenze e tradizioni, in lotta contro un destino avverso che li piega o li costringe a ripiegare in se stessi, che, agitati da passioni violente, guidati dall'amore, vissuto come esperienza passionale, o dall'odio, sono indotti al peccato, ma poi travagliati dal senso di colpa che li condurrà ad espiare."
