id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
6217,4203,"Kristin Lavransdatter (Kristin Lavransdatter, #1-3)",0143039164,9780143039167,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,9,27,eng,Penguin Books,false,1370150,74,29959,36890,8612,1140,5:4511|4:2557|3:1122|2:319|1:103|total:8612,1920,,,4.28,7342,945,"['4203', '204796']","['Sigrid Undset', 'Brad Leithauser']","['4.17', '3.88']",['163203'],['Tiina Nunnally'],['3.79'],"In her great historical epic <i>Kristin Lavransdatter</i>, set in fourteenth-century Norway, Nobel laureate Sigrid Undset tells the life story of one passionate and headstrong woman. Painting a richly detailed backdrop, Undset immerses readers in the day-to-day life, social conventions, and political and religious undercurrents of the period. Now in one volume, Tiina Nunnally's award-winning definitive translation brings this remarkable work to life with clarity and lyrical beauty. <p> As a young girl, Kristin is deeply devoted to her father, a kind and courageous man. But when as a student in a convent school she meets the charming and impetuous Erlend Nikulaussøn, she defies her parents in pursuit of her own desires. Her saga continues through her marriage to Erlend, their tumultuous life together raising seven sons as Erlend seeks to strengthen his political influence, and finally their estrangement as the world around them tumbles into uncertainty. </p><p> With its captivating heroine and emotional potency, <i>Kristin Lavransdatter</i> is the masterwork of Norway's most beloved author, one of the twentieth century's most prodigious and engaged literary minds and, in Nunnally's exquisite translation, a story that continues to enthrall.</p>"
6220,4203,"The Wreath (Kristin Lavransdatter, #1)",0141180412,9780141180410,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534423737l/6220._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534423737l/6220._SY75_.jpg,1997,12,1,eng,Penguin Classics,false,25477,62,13190,20213,5027,658,5:1806|4:1930|3:967|2:238|1:86|total:5027,1920,,,4.02,3907,481,['4203'],['Sigrid Undset'],['4.17'],['163203'],['Tiina Nunnally'],['3.79'],"Originally published in Norwegian in 1920 and set in fourteenth-century Norway, The Wreath chronicles the courtship of a headstrong and passionate young woman and a dangerously charming and impetuous man. Undset re-creates the historical backdrop in vivid detail, immersing readers in the day-to-day life, social conventions, and political undercurrents of the period. Her prose combines the sounds and style of Nordic ballads, European courtly poetry, and religious literature.<br /><br />But the story Undset tells is a modern one; it mirrors post-World War I political and religious anxieties, and introduces a heroine who has long captivated contemporary readers. Defying her parents and stubbornly pursuing her own happiness, Kristin emerges as a woman who not only loves with power and passion but intrepidly confronts her sexuality."
6216,4203,"The Wife (Kristin Lavransdatter, #2)",0141181281,9780141181288,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446567417l/6216._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446567417l/6216._SY75_.jpg,1999,11,1,eng,Penguin Classics,false,9525,43,5303,11027,2656,236,5:1097|4:995|3:448|2:102|1:14|total:2656,1921,,,4.15,2147,166,"['4203', '3852624']","['Sigrid Undset', 'Sherrill Harbison']","['4.17', '4.23']",['163203'],['Tiina Nunnally'],['3.79'],"Original 3 Volumes: Kransen ('20), Husfrue ('21) &amp; Korset ('22).<br /> In <i>Kristin Lavransdatter</i> (1920-22), Sigrid Undset interweaves political, social &amp; religious history with the daily aspects of family life to create a colorful, richly detailed tapestry of Norway during the 14th-century. The trilogy is more than a journey into the past. Undset's own life, her familiarity with sagas, folklore &amp; a wide range of medieval literature, her experiences as a daughter, wife &amp; mother, &amp; her deep religious faith profoundly influenced her writing. Her grasp of the connections between past &amp; present &amp; of human nature itself, combined with the extraordinary quality of her writing, sets her works far above the historical novel genre. This new translation by Tina Nunnally, the 1st English version since Charles Archer's translation in the 1920s, captures her strengths as a stylist. Nunnally, an award-winning translator, retains the natural dialog &amp; lyrical flow of the original Norwegian, with its echoes of Old Norse legends, while deftly avoiding the stilted language &amp; false archaisms of Archer's translation. In addition, she restores key passages left out of that edition.<br /> Undset's ability to present a meticulously accurate historical portrait without sacrificing the poetry &amp; narrative drive of masterful storytelling was particularly significant in her homeland. Granted independence in 1905 after 500 years of foreign domination, Norway was eager to reclaim its national history &amp; culture. <i>Kristin Lavransdatter</i> became a touchstone for Undset's contemporaries, &amp; continues to be widely read by Norwegians today. In the more than 75 years since it was 1st published, it's also become a favorite throughout the world."
6219,4203,"The Cross (Kristin Lavransdatter, #3)",0141182350,9780141182353,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446567677l/6219._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446567677l/6219._SY75_.jpg,2000,4,1,eng,Penguin Classics,false,1069914,49,4565,9273,2160,199,5:1094|4:695|3:296|2:60|1:15|total:2160,1922,,,4.29,1837,149,"['4203', '3852624']","['Sigrid Undset', 'Sherrill Harbison']","['4.17', '4.23']",['163203'],['Tiina Nunnally'],['3.79'],"<i>Kristin Lavransdatter</i> interweaves political, social, and religious history with the daily aspects of family life to create a colorful, richly detailed tapestry of Norway during the fourteenth-century. The trilogy, however, is more than a journey into the past. Undset's own life--her familiarity with Norse sagas and folklore and with a wide range of medieval literature, her experiences as a daughter, wife, and mother, and her deep religious faith--profoundly influenced her writing. Her grasp of the connections between past and present and of human nature itself, combined with the extraordinary quality of her writing, sets her works far above the genre of -historical novels.- This new translation by Tina Nunnally--the first English version since Charles Archer's translation in the 1920s--captures Undset's strengths as a stylist. Nunnally, an award-winning translator, retains the natural dialog and lyrical flow of the original Norwegian, with its echoes of Old Norse legends, while deftly avoiding the stilted language and false archaisms of Archer's translation. In addition, she restores key passages left out of that edition.Undset's ability to present a meticulously accurate historical portrait without sacrificing the poetry and narrative drive of masterful storytelling was particularly significant in her homeland. Granted independence in 1905 after five hundred years of foreign domination, Norway was eager to reclaim its national history and culture. <i>Kristin Lavransdatter</i> became a touchstone for Undset's contemporaries, and continues to be widely read by Norwegians today. In the more than 90 years since it was first published, it has also become a favorite throughout the world."
6226,4203,Gunnar's Daughter,014118020X,9780141180205,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,4,1,eng,Penguin Classics,false,9535,30,3270,4289,1028,109,5:416|4:414|3:163|2:29|1:6|total:1028,1909,,,4.17,866,82,"['4203', '3852624']","['Sigrid Undset', 'Sherrill Harbison']","['4.17', '4.23']",['1119654'],['Arthur G. Chater'],['4.20'],"Set in Norway and Iceland at the beginning of the eleventh century, this is the story of the beautiful, spoiled Vigdis Gunnarsdatter, who is casually raped by the man she had wanted to love. A woman of courage and intelligence, Vigdis is toughened by adversity. Alone she raises the child conceived in violence, repeatedly defending her autonomy in a world governed by men. Alone she rebuilds her life and restores her family's honor, until an unrelenting social code propels her to take the action that again destroys her happiness. More than a historical romance, Gunnar's Daughter depicts characters driven by passion and vengefulness, themes as familiar in Undset's own time - and in ours - as they were in the Saga Age."
6630200,4203,Catherine of Siena,1586174088,9781586174088,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,10,1,eng,Ignatius Press,false,6824550,9,2272,2529,587,66,5:307|4:182|3:78|2:12|1:8|total:587,1951,,,4.31,488,59,['4203'],['Sigrid Undset'],['4.17'],[],[],[],"Sigrid Undset's Catherine of Siena is critically acclaimed as one of the best biographies of this well known, and amazing fourteenth-century saint. Known for her historical fiction, which won her the Nobel Prize for literature in 1928, Undset based this factual work on primary sources, her own experiences living in Italy, and her profound understanding of the human heart. One of the greatest novelists of the twentieth century, Undset was no stranger to hagiography. Her meticulous research of medieval times, which bore such fruit in her multi-volume masterpieces Kristin Lavransdatter and The Master of Hestviken, acquainted her with some of the holy men and women produced by the Age of Faith. Their exemplary lives left a lasting impression upon the author, an impression Undset credited as one of her reasons for entering the Church in 1924. Catherine of Siena was a particular favorite of Undset, who also was a Third Order Dominican. An extraordinarily active, intelligent, and courageous woman, Catherine at an early age devoted herself to the love of God. The intensity of her prayer, sacrifice, and service to the poor won her a reputation for holiness and wisdom, and she was called upon to make peace between warring nobles. Believing that peace in Italy could be achieved only if the Pope, then living in France, returned to Rome, Catherine boldly traveled to Avignon to meet with Pope Gregory XI. With sensitivity to the zealous love of God and man that permeated the life of Saint Catherine, Undset presents a most moving and memorable portrait of one of the greatest women of all time."
6222,4203,Jenny,158642050X,9781586420505,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403184537l/6222._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403184537l/6222._SY75_.jpg,1998,6,1,eng,Steerforth,false,9531,43,1803,2523,662,53,5:164|4:284|3:153|2:47|1:14|total:662,1911,,,3.81,567,44,['4203'],['Sigrid Undset'],['4.17'],['163203'],['Tiina Nunnally'],['3.79'],"When Jenny was first published in 1911, Undset found herself called immoral — “this is a side of the free, artistic life that the vast majority of citizens would rather not know.” The novel tells the story of Jenny Winge, a talented Norwegian painter who goes to Rome to seek artistic inspiration but ultimately betrays her own ambitions and ideals. After falling into an affair with the married father of a would-be suitor, Jenny has a baby out-of- wedlock and decides to raise the child on her own. Undset’ s portrayal of a woman struggling toward independence and fulfillment is written with an unflinching, clear-eyed honesty that renders her story as compelling today as it was nearly a century ago.<br /><br /> This new translation by Tiina Nunnally captures the fresh, vivid style of Undset’s writing and restores passages omitted from the only previous edition to appear in English, which was published in 1921. Most famous for her later, historical fiction set in Catholic, medieval Scandinavia, Undset stands revealed with Jenny, her first major novel, as an unsparing, compassionate, magnificent realist, the creator of works that are at once thoroughly modern and of enduring interest."
6218,4203,"The Axe (The Master of Hestviken, #1)",0679752730,9780679752738,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403192002l/6218._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403192002l/6218._SY75_.jpg,1994,11,29,eng,Vintage,false,9527,12,1584,2448,581,63,5:260|4:213|3:88|2:12|1:8|total:581,1925,,,4.21,506,51,['4203'],['Sigrid Undset'],['4.17'],['1119654'],['Arthur G. Chater'],['4.20'],"Set in thirteenth-century Norway, a land racked by political turmoil and bloody family vendettas, <i>The Axe</i> is the first volume in Sigrid Undset's epic tetralogy, <i>The Master of Hestviken</i>. In it we meet Olav Audunsson and Ingunn Steinfinnsdatter, who were betrothed as children and raised as brother and sister. Now, in the heedlessness of youth, they become lovers, unaware that their ardor will forge the first link in a chain of murder, exile, and disgrace.<br /><br />Soaringly romantic and psychologically nuanced, Undset's novel is also a meticulous re-creation of a world split between pagan codes of retribution and the rigors of Christian piety--a world where law is a fragile new invention and manslaughter is so common that it's punishable by fine."
6227,4203,"The Snake Pit (The Master of Hestviken, #2)",0679755543,9780679755548,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403190085l/6227._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403190085l/6227._SY75_.jpg,1994,11,29,eng,Vintage,false,9536,10,834,1667,394,19,5:175|4:147|3:62|2:8|1:2|total:394,1925,,,4.23,360,18,['4203'],['Sigrid Undset'],['4.17'],['1119654'],['Arthur G. Chater'],['4.20'],"Set in medieval Norway, the books follow Olav and Ingunn, who, though raised as brother and sister, have become lovers in a world caught between the fading sphere of pagan worship and vendettas and the expansion of Christianity."
6230,4203,"The Son Avenger (The Master of Hestviken, #4)",0679755527,9780679755524,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403167109l/6230._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403167109l/6230._SY75_.jpg,1995,6,24,en-US,Vintage,false,9539,8,695,1345,306,21,5:166|4:97|3:41|2:2|1:0|total:306,1926,,,4.40,280,20,['4203'],['Sigrid Undset'],['4.17'],[],[],[],"Powerfully written and filled with magnificent vignettes of the daily life of a medieval estate, 'The Son Avenger' suggests a Greek tragedy whose vision of fate coexists with a Christian sense of suffering and forgiveness. And in the somber, twilight figure of 'Olav the Bad, ' Undset has created an antihero as moving as Oedipus or Lear."
386487,4203,"In the Wilderness (The Master of Hestviken, #3)",0679755535,9780679755531,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403170738l/386487._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403170738l/386487._SY75_.jpg,1995,6,24,en-US,Vintage,false,376135,9,712,1343,317,22,5:151|4:103|3:51|2:11|1:1|total:317,1927,,,4.24,290,18,['4203'],['Sigrid Undset'],['4.17'],[],[],[],"It is Norway in the thirteenth century, a land rent by unremitting warfare and feebly lit by Christianity. Olav Audunsson was once an outlaw; now he is a man of wealth and stature. But he is haunted by the memory of crimes for which there is no easy atonement and by losses that may never be redeemed."
