id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
33126392,19405,Anna Karenina,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480103896l/33126392._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480103896l/33126392._SY75_.jpg,1980,,,ger,Bertelsmann,false,2507928,582,299521,2574374,635729,22735,5:263116|4:208420|3:113142|2:34637|1:16414|total:635729,1877,,,4.05,0,0,"['128382', '1227575', '19405']","['Leo Tolstoy', 'August Scholz', 'Thomas Mann']","['4.06', '3.80', '3.94']",[],[],[],"Wer liebt, hat recht – und wie in allen großen Liebesromanen der Weltliteratur führt dieses Recht auch in ›Anna Karenina‹ zum Ausbruch aus der Gesellschaft, zu Verzweiflung und tragischem Scheitern. Woran aber scheitert die große Liebe Anna Kareninas eigentlich? Scheitert sie an den Liebenden selbst, die irgendwann den Wunsch haben, »wieder etwas wünschen zu können«? Oder scheitert sie an der Macht der Gesellschaft, die nichts so sehr hasst wie ein Paar, das einfach nur dauerhaft glücklich sein will?"
19048572,19405,Moby Dick,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ger,,true,2409320,5172,906960,1628808,465414,14804,5:124965|4:121736|3:119457|2:59412|1:39844|total:465414,1851,10,18,3.50,2,0,"['1624', '3894222', '19405', '7454866']","['Herman Melville', 'Jürgen Schulze', 'Thomas Mann', 'H. G. Scheffauer']","['3.54', '4.14', '3.94', '5.00']",[],[],[],"»Moby Dick« ist das bedeutendste Prosawerk des amerikanischen Symbolismus. Eine bis ins kleinste Detail recherchierte Abenteuergeschichte und philosophische Reflexion über das Leben, die Rache und einen wahnsinnigen, alles vernichtenden Hass.<br /><br />»Nenne mich Ismael« - einer der berühmtesten Anfänge der Literaturgeschichte.<br /><br />Zu Lebzeiten von Melville stieß »Moby Dick« auf ein geteiltes Echo, noch schien die Welt nicht reif für diese komplexe Erzählstruktur. Heute gehört das Werk unbestreitbar zu den größten Romanen der Literaturgeschichte. Ein Buch, das man gelesen haben muss.<br /><br />Die vorliegende digitale Ausgabe beinhaltet die vollständig neu überarbeitete und erstmalig mit 100 Fußnoten kommentierte deutsche Erstausgabe, welche ursprünglich 1927 von Thomas Mann und H. G. Scheffauer veröffentlicht wurde, nebst einem einführenden Aufsatz zu Leben und Werk des Autors.<br /><br />»Oh, hätte ich das geschrieben.« - Thomas Mann<br /><br />1. Auflage<br />Umfang: 291 Normseiten bzw. 307 Buchseiten<br />Null Papier Verlag - www-null-papier.de - <a target=""_blank"" href=""http://www.facebook.de/null.papier.verlag"" rel=""nofollow"">www.facebook.de/null.papier.verlag</a>"
16132089,19405,Guerra e pace,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352160259l/16132089._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352160259l/16132089._SY75_.jpg,1990,,,ita,Einaudi,false,4912783,1686,734226,1035361,251488,10664,5:115226|4:76891|3:40044|2:12208|1:7119|total:251488,1867,,,4.12,6,0,"['128382', '19405', '2980311']","['Leo Tolstoy', 'Thomas Mann', 'Leone Ginzburg']","['4.06', '3.94', '4.18']",['3391761'],['Enrichetta Carafa Capecelatro'],['4.34'],La più autentica epopea narrativa della letteratura moderna.<br />L'assenso allo spirito popolare russo contro l'ambizioso individualismo di Napoleone Bonaparte.<br /><br />Edizione in due volumi.
4916672,19405,Also sprach Zarathustra: Ein Buch für Alle und Keinen,3458140557,9783458140559,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ger,,false,196327,1688,64803,418845,103166,3224,5:43110|4:33671|3:18383|2:5460|1:2542|total:103166,1883,,,4.06,2,0,"['1938', '19405']","['Friedrich Nietzsche', 'Thomas Mann']","['4.05', '3.94']",[],[],[],"Zarathustra (nach einem persischen Religionsstifter aus dem 6. Jahrhundert v. Chr.) soll von der Erkenntnis 'Gott ist tot' ausgehenden Nihilismus bekämpfen.<br /><br />Hierfür soll er einen neuen Glauben begründen: den Glauben an den 'Übermenschen'. Denn während die schwachen Menschen sich sich nach den Geboten des schon toten Gottes richten, sucht der Übermensch sein Heil in einer Ausrichtung zur Erde hin, zum irdischen, zur Macht, Vitalität und Stärke. Dadurch versucht er der Welt einen (neuen) Sinn zu geben. Der Übermensch ist fähig die alten moralischen Werte abzuschaffen, umzuwerten, um dann in völliger Freiheit der Selbsterhaltung und Verbesserung des Lebensgefühls nachzugehen.<br /><br />Zarathustra - ein Buch für Alle und Keinen besteht vor allem aus den Reden ebendessen. Durch das christliche Denken ist Gott tot, und um den nihilistischen Folgen dessen zu entfliehen, zieht Zarathustra sich mit 30 Jahren in eine Höhle zurück, wo er die Lehre vom Übermenschen entwickelt, um den Nihilismus aufzuhalten.<br /><br />Das Buch gliedert sich in 4 Teile:<br /><br />I./II. In den ersten beiden Teilen verkündet Zarathustra die Lehre vom Übermenschen.<br /><br />III. Im dritten Teil formuliert er den Kerngedanken seiner Philosophie:<br />'Grund aller Dinge ist die ewige Wiederkehr des Gleichen mit ihrer Sinnlosigkeit'<br />Er richtet sich also gegen einen übergeordneten Sinn, und ein Ziel, auf das die Geschichte zustrebt. Der Gedanke mag zwar nihilistisch sein, zeigt aber auch, das es der schaffende Wille der Menschen, der Götter und Sinn erfindet. Durch die Wiederkehr allens, auch des Leidens und Hässlichen, verzweifelt Zarathustra nicht, sondern erkennt darin das Leben, und bejaht es. Dem Nihilismus stellt er sich mit einem an der Natur, dem Leben orentierten Willen.<br /><br />IV. Im letzten Teil schließlich wird Zarathustra von Menschen ersucht ihnen durch den Tod Gottes erzeugten Verzweiflung herauszuhelfen. Obwohl er zuerst dem Mitleid erliegt, obsiegt sein sein Wissen um die Wiederkehr des Gleichen zu überwinden. Dadurch, das er die christlichen Werte nun vollkommen verwirft, entspricht er seinem, und Nietzsches Ideal vom Übermenschen.<br /><br />Mal bildet Nietzsche eine These, dann verwirft er sie ein paar Seiten weiter wieder. Dadurch wird die Suche selbst nach dem 'Richtigen' zum zentralen Punkt seines Buches."
26792895,19405,Me and Earl and the Dying Girl (Revised Edition),0147520851,9780147520852,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2015,6,16,,Listening Library (Audio),false,17831620,80,271961,416126,116940,13247,5:25982|4:38323|3:33483|2:13323|1:5829|total:116940,2012,3,1,3.56,5,0,"['5227163', '5481957', '19405', '14029658']","['Jesse Andrews', 'Various', 'Thomas Mann', 'R.J. Cyler']","['3.55', '3.98', '3.94', '3.32']",[],[],[],"THE BOOK THAT INSPIRED THE HIT FILM! <br />Up until senior year, Greg has maintained total social invisibility. He only has one friend, Earl, and together they spend their time when not playing video games and avoiding Earl s terrifying brothers making movies, their own versions of Coppola and Herzog cult classics. Greg would be the first one to tell you his movies are f*@$ing terrible, but he and Earl don t make them for other people. Until Rachel. <br />Rachel has leukemia, and Greg s mom gets the genius idea that Greg should befriend her. Against his better judgment and despite his extreme awkwardness, he does. When Rachel decides to stop treatment, Greg and Earl must abandon invisibility and make a stand. It s a hilarious, outrageous, and truthful look at death and high school by a prodigiously talented debut author. <br />This audiobook is read by the stars of the movie adaptation, Thomas Mann and RJ Cyler, as well as Keith Szarabajka, Hillary Huber, Kirby Heyborne, Abigail Revasch, and Adenrele Ojo. """
24861,19405,Demian: Die Geschichte von Emil Sinclairs Jugend,3518367064,9783518367063,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421510580l/24861._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421510580l/24861._SY75_.jpg,,,,ger,,false,5334697,468,113375,286801,69462,3803,5:29097|4:24529|3:12275|2:2814|1:747|total:69462,1919,,,4.13,47915,1661,"['1113469', '19405']","['Hermann Hesse', 'Thomas Mann']","['4.05', '3.94']","['14344918', '6544558']","['Michael E. Roloff', 'Michael Lebeck']","['3.84', '3.97']","Emil Sinclair ist ein Junge, der in einem als ""Scheinwelt"" beschrieben bürgerlichen Elternhaus aufgewachsen ist. Dies ist die dramatische Geschichte seines Abstiegs - gesteuert durch sein frühreifen Schulkamerad Max Demian - in eine geheime und gefährliche Welt der Kleinkriminalität und Revolte gegen Konvention und seiner Erwachen zu Selbstheit."
24758915,19405,I dolori del giovane Werther,8852015140,9788852015144,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422609375l/24758915._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422609375l/24758915._SY75_.jpg,2010,10,7,ita,Mondadori,true,746264,1328,150607,283681,77253,4066,5:20180|4:25584|3:20632|2:7692|1:3165|total:77253,1774,9,29,3.67,3,1,"['285217', '4802540', '19405']","['Johann Wolfgang von Goethe', 'Roberto Fertonani', 'Thomas Mann']","['3.80', '3.75', '3.94']",['746497'],['Giuseppe Antonio Borgese'],['3.66'],"Nel 1878 Goethe pubblicò una seconda stesura del romanzo, destinata a diventare un classico della letteratura tedesca mondiale. Ai nostri giorni, passate le mode e i furori wertheriani, e di là dalla sua importanza storica come primo grande testo del romanticismo, l'opera conserva un fascino profondo, una sua inconfondibile originalità che si dispiega nell'adesione della frase ai successivi stati emozionali del personaggio, ora rapito nell'osservare la bellezza estasiante di un frammento di natura, ora rinchiuso in se stesso, mentre nel suo cuore si agitano tempestose passioni."
32608684,19405,لاعب الشطرنج وقصة طونيو كروجر,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476461330l/32608684._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476461330l/32608684._SY75_.jpg,,,,ara,,false,57593,460,110669,269470,62774,4456,5:29449|4:24094|3:7726|2:1166|1:339|total:62774,1942,,,4.29,119,31,"['25573', '19405', '16294111']","['Stefan Zweig', 'Thomas Mann', 'يحيى جقي']","['4.15', '3.94', '3.52']",[],[],[],"<i>Chess Story</i>, also known as <i>The Royal Game</i>, is the Austrian master Stefan Zweig's final achievement, which was completed in Brazilian exile and sent off to his American publisher only a matter of days before his suicide in 1942. It is the only story in which Zweig looks at Nazism, and he does so with characteristic emphasis on the psychological.<br /><br />Travelers by ship from New York to Buenos Aires find that on board with them is the world champion of chess, an arrogant and unfriendly man. They come together to try their skills against him and are soundly defeated. Then a mysterious passenger steps forward to advise them and their fortunes change. How he came to possess his extraordinary grasp of the game of chess and at what cost lie at the heart of Zweig's story.<br /><br />This new translation of <i>Chess Story</i> brings out the work's unusual mixture of high suspense and poignant reflection."
49564,19405,The Castle,0805210393,9780805210392,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345666789l/49564._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345666789l/49564._SY75_.jpg,1995,3,28,eng,Schocken,false,17778410,561,102336,166401,41988,1913,5:14591|4:15386|3:8725|2:2441|1:845|total:41988,1922,,,3.96,498,53,"['5223', '18365', '19405']","['Franz Kafka', 'Irving Howe', 'Thomas Mann']","['3.89', '3.97', '3.94']","['13007', '13006', '6862227', '13005']","['Edwin Muir', 'Willa Muir', 'Eithne Wilkins', 'Ernst Kaiser']","['4.01', '4.01', '4.23', '4.23']","(Book Jacket Status: Jacketed)<br /><br />Arriving in a village to take up the position of land surveyor for the mysterious lord of a castle, the character known as K. finds himself in a bitter and baffling struggle to contact his new employer and go about his duties. As the villagers and the Castle officials block his efforts at every turn, K.’s consuming quest–quite possibly a self-imposed one–to penetrate the inaccessible heart of the Castle and take its measure is repeatedly frustrated. Kafka once suggested that the would-be surveyor in <i>The Castle</i> is driven by a wish “to get clear about ultimate things,” an unrealizable desire that provided the driving force behind all of Kafka’s dazzlingly uncanny fictions. <br /><br />Translated by Willa and Edwin Muir<br /><br /><br /><i>From the Hardcover edition.</i>"
20766481,19405,"The Great Books Discussion Program: Mann - Death in Venice /Aeschylus - Oresteia  (Set #3, Volume #2)",,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,The Great Books Foundation,false,2378,385,64253,140213,34868,1161,5:12954|4:12186|3:7634|2:1703|1:391|total:34868,-458,,,4.02,0,0,"['990', '19405']","['Aeschylus', 'Thomas Mann']","['3.97', '3.94']",[],[],[],"The Great Books Discussion Program Freud - Civilization and it's Discontents / Dostoyevsky Notes from Underground (Set #3, Book #1)"
88077,19405,The Magic Mountain,0679772871,9780679772873,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403170928l/88077._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403170928l/88077._SY75_.jpg,1996,,,eng,Vintage,false,647489,27,112883,135963,32811,2018,5:15380|4:9902|3:5139|2:1648|1:742|total:32811,1924,,,4.14,25367,1221,['19405'],['Thomas Mann'],['3.94'],['60286'],['John E. Woods'],['4.09'],"In this dizzyingly rich novel of ideas, Mann uses a sanatorium in the Swiss Alps, a community devoted exclusively to sickness, as a microcosm for Europe, which in the years before 1914 was already exhibiting the first symptoms of its own terminal irrationality. The Magic Mountain is a monumental work of erudition and irony, sexual tension and intellectual ferment, a book that pulses with life in the midst of death."
