id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
17898696,7419,دكتور فاوست ومسرحيات أخرى,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367900594l/17898696._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367900594l/17898696._SX50_.jpg,1992,,,ara,مكتبة مصر,false,756664,923,93153,203675,53614,1554,5:14581|4:19473|3:14667|2:3984|1:909|total:53614,1589,,,3.80,71,13,"['5481957', '11155', '16070', '1466', '567036', '7419', '3565', '2934044']","['Various', 'Christopher Marlowe', 'Alexander Pushkin', 'Jean-Paul Sartre', 'José Echegaray', 'John Galsworthy', 'Oscar Wilde', 'حلمي مراد']","['3.98', '3.79', '4.08', '3.99', '3.19', '4.10', '4.10', '3.76']",[],[],[],دكتور فاوست ومسرحيات اخرى :<br />1- دكتور فاوست<br />2- يوجين أونيجين<br />3- نيكراسوف<br />4- كلام الناس<br />5- الهارب من السجن <br />6- زوج مثالى
10401580,7419,Bambi,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1929,,,eng,Butler & Tanner Ltd.,false,881085,161,43473,133395,32433,678,5:15057|4:8840|3:6283|2:1648|1:605|total:32433,1923,,,4.11,1,1,"['262262', '7419']","['Felix Salten', 'John Galsworthy']","['4.11', '4.10']",['239433'],['Whitaker Chambers'],['5.00'],"<b>The Prince of the Forest</b> <br /> Bambi's life in the woods begins happily. There are forest animals to play with -- Friend Hare, the chattery squirrel, the noisy screech owl, and Bambi's twin cousins, frail Gobo and beautiful Faline. <br /> But winter comes, and Bambi learns that the woods hold danger -- and things he doesn't understand. The first snowfall makes food hard to find. Bambi's father, a handsome stag, roams the forest, but leaves Bambi and his mother alone. <br /> Then there is Man. He comes to the forest with weapons that can wound an animal. He does terrible things to Gobo, to Bambi's mother, and even to Bambi. But He can't keep Bambi from growing into a handsome stag himself, and becoming...the Prince of the Forest."
103159,7419,"The Forsyte Saga (The Forsyte Chronicles, #1-3)",0192838628,9780192838629,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,5,13,eng,Oxford University Press,false,842726,235,40972,74608,17925,821,5:8011|4:6013|3:2976|2:648|1:277|total:17925,1921,,,4.16,15327,587,['7419'],['John Galsworthy'],['4.10'],[],[],[],"<i>The Forsyte Saga</i> is John Galsworthy's monumental chronicle of the lives of the moneyed Forsytes, a family whose values are constantly at war with its passions. The story of Soames Forsyte's marriage to the beautiful and rebellious Irene, and its effects upon the whole Forsyte clan, <i>The Forsyte Saga</i> is a brilliant social satire of the acquisitive sensibilities of a comfort-bound class in its final glory. Galsworthy spares none of his characters, revealing their weaknesses and shortcomings as clearly as he does the tenacity and perseverance that define the strongest members of the Forsyte family.<p>This edition contains the three original novels -- <i>The Man of Property, In Chancery,</i> and <i>To Let</i> -- and their connecting interludes, <i>Indian Summer of a Forsyte</i> and <i>Awakening.</i></p><p></p>"
748318,7419,"The Man of Property (The Forsyte Chronicles, #1)",185326217X,9781853262173,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1057006,211,9359,14322,3557,210,5:1378|4:1244|3:671|2:179|1:85|total:3557,1906,,,4.03,3010,148,['7419'],['John Galsworthy'],['4.10'],[],[],[],"The most prized item in Soames Forsyte's collection of beautiful things is his wife, the enigmatic Irene. But when she falls in love with Bosinney, a penniless architect who utterly rejects the Forsyte values, their affair touches off a series of events which can only end in disgrace and disaster.<br /><br />John Galsworthy tackles his theme of the demise of the upper-middle classes with irony and compassion."
7292904,7419,Green Mansions,1615604472,9781615604470,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,802906,205,5690,10025,2680,252,5:740|4:899|3:725|2:238|1:78|total:2680,1904,,,3.74,0,0,"['389792', '7419']","['W.H. Hudson', 'John Galsworthy']","['3.72', '4.10']",[],[],[],"A failed revolutionary attempt drives the hero of Hudson's novel to seek refuge in the primeval forests of south-western Venezuela. There, in the 'green mansions' of the title, Abel encounters the wood-nymph Rima, the last survivor of a mysterious aboriginal race. The love that flowers between them is soon overshadowed by cruelty and sorrow... One of the acknowledged masters of natural history writing, W. H. Hudson forms an important link between nineteenth-century Romanticism and the twentieth-century ecological movement.<br /><br />First published in 1904 and a bestseller after its reissue a dozen years later, <i>Green Mansions</i> offers its readers a poignant meditation on the loss of wilderness, the dream of a return to nature, and the bitter reality of the encounter between savage and civilized man."
18739933,7419,الراكبون إلى البحر,,9789777184984,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383076712l/18739933._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383076712l/18739933._SX50_.jpg,2013,,,ara,الهيئة العامة لقصور الثقافة,false,14447,68,2620,5189,1470,87,5:285|4:458|3:513|2:179|1:35|total:1470,1904,2,25,3.53,40,5,"['4332478', '44061', '1481077', '6036627', '7419', '7680', '6076026', '672822', '649893', '2457847', '7751', '13995064']","['J.M. Synge', 'Thornton Wilder', 'Mathurin Dondo', 'عبد السلام إبراهيم', 'John Galsworthy', ""Eugene O'Neill"", 'Saki', 'Neith Boyce', 'Hutchins Hapgood', 'Lady Augusta Gregory', 'Tennessee Williams', 'C. Mount']","['3.63', '3.75', '3.41', '3.67', '4.10', '3.96', '3.94', '3.51', '3.66', '3.99', '3.92', '3.30']",[],[],[],عشر درر مسرحية صغيرة لعشرة من أعمدة الحداثة المسرحية العالمية في القرن العشرين، جولزورزي، يوجين أونيل، تينسي وليامز، تورنتون وايلدر، جون ملنجتون سنج .. كعلامات فارقة ومضيئة في تاريخ المسرح العالمي.<br />عشر مسرحيات من فصل واحد، تترجم للمرة الأولى إلى العربية، تختصر عوالم وأكوانًا، وحالات وقضايا شائكة، تضئ الوعي واللاوعي، العقل والمزاج، والمصير الإنساني الأليم والشائك.
6383607,7419,"In Chancery (The Forsyte Chronicles, #2)",1853262226,9781853262227,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394341794l/6383607._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394341794l/6383607._SY75_.jpg,,,,eng,,false,19160560,14,2111,4953,1161,77,5:524|4:458|3:147|2:28|1:4|total:1161,1920,,,4.27,917,50,['7419'],['John Galsworthy'],['4.10'],[],[],[],"The three novels which make up The Forsyte Saga chronicle the ebbing social power of the commercial upper-middle class Forsyte family between 1886 and 1920. Galsworthy's masterly narrative examines not only their fortunes but also the wider developments within society, particularly the changing position of women. This is the only critical edition of the work available, with Notes that explain contemporary artistic and literary allusions and define the slang of the time."
1131795,7419,"To Let (The Forsyte Chronicles, #3)",1853262269,9781853262265,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,6569208,121,2065,4878,1152,81,5:520|4:423|3:173|2:31|1:5|total:1152,1921,,,4.23,962,60,['7419'],['John Galsworthy'],['4.10'],[],[],[],"<i>To Let,</i> the final volume of the Forsyte trilogy, chronicles the continuing feuds of the two factions within the troubled Forsyte family. The shadow of the past returns to haunt the lives of a new generation, as Irene's son Jon falls in love with Soames's daughter Fleur with tragic consequences."
40567560,7419,Tri Žene / Jabuka,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529337612l/40567560._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529337612l/40567560._SY75_.jpg,1986,,,scr,"Naprijed, Zagreb",false,836294,75,2308,3366,911,74,5:244|4:286|3:264|2:93|1:24|total:911,1924,,,3.69,0,0,"['16747', '7419']","['Robert Musil', 'John Galsworthy']","['4.01', '4.10']",[],[],[],"Robert Musil: Drei Frauen (Novellen)<br />• ›Grigia‹ (1921), ›Die Portugiesin› (1923), ›Tonka‹ (1922)<br />• Voll verlinkt, mit Kindle-Inhaltsverzeichnis<br />• Für die eBook-Ausgabe neu editiert<br /><br />»Eine große Fremdheit liegt zwischen den Geschlechtern, und in dieser Spannung zeigt sich Musils Stärke, hineinzuwandern in die seelischen Labyrinthe und Hintergründe.« (Musil-Kenner und Herausgeber Adolf Frisé)<br /><br />Robert Musil, der genialische Einsiedler auf dem Planeten der Literatur, war – man ist überrascht – auch ein großer Kenner des subtilen Wechselspiels der Geschlechter. Kaum irgendwo in der Literatur gibt es präzisere und schärfere Analysen der magischen, faszinierenden und nicht selten desaströsen Interaktion zwischen Mann und Frau, als in diesen drei Erzählungen.<br /><br />Drei Frauen, sie stehen auf den ersten Blick zwar nicht im Mittelpunkt der Episoden – denn das scheinen die zugehörigen Männer zu sein –, doch sie dominieren und bestimmen das Geschehen: Die Bäuerin Grigia, die portugiesische Aristokratin und die Verkäuferin Tonka. Drei Männer erleiden durch diese Frauen ihre Tragik und ihr Schicksal.<br /><br />Diese Novellen sind Meisterwerke, fundamental in der Konstruktion, brillant in der Sprache.<br /><br />Über den Autor:<br />Robert Musil wurde am 6. November 1880 in Klagenfurt geboren. Sein Vater sah für ihn die Militärlaufbahn vor und schickte ihn auf verschiedene Militärakademien. Er brach jedoch die Offizierslaufbahn ab und studierte – nach einem Intermezzo im Maschinenbaustudium – ab 1903 in Berlin Philosophie und Psychologie, und bekam dort ersten Zugang zu Künstlerkreisen. 1910 geht Musil zurück nach Wien. Nach dem Ersten Weltkrieg, an dem er teilnahm, festigt er seinen Ruf als Schriftsteller, und wird mit diversen Preisen ausgezeichnet, u.a. dem Kleist-Preis für das Schauspiel »Die Schwärmer«. 1920 lernt er in Berlin seinen künftigen Verleger, Ernst Rowohlt kennen, der ihn in den nächsten 20 Jahren, während Musil am »Mann ohne Eigenschaften« arbeitet, mit Vorschüssen finanziell unterstützen wird. Musil publiziert nun fast nichts anderes mehr, setzt all seine Kraft in sein Monumentalwerk.<br /><br />Mit dem »Anschluss« Österreichs an den Nationalsozialismus im Jahr 1938 werden Musils Bücher nach Deutschland nun auch in Österreich verboten. Er emigriert mit seiner Frau in die Schweiz, zunächst wohnen sie in Zürich, später bei Genf. – Am 15. April 1942 stirbt Robert Musil an einem Gehirnschlag. Seine Asche wurde in einem Wald bei Genf verstreut.<br />Redaktion eClassica<br /><br />----<br />eClassica – Die Buchreihe, die Klassiker neu belebt."
429766,7419,"The White Monkey (The Forsyte Chronicles, #4)",034502611X,9780345026118,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1972,,,eng,Ballantine Books,false,418751,77,1468,3185,770,55,5:315|4:277|3:150|2:24|1:4|total:770,1924,1,1,4.14,644,37,['7419'],['John Galsworthy'],['4.10'],[],[],[],"<br />Following her marriage to Michael Mont, Fleur Forsyte throws herself into the Roaring 20s with the rest of London and takes life as it comes. But her marriage is haunted by the ghost of a past love affair, and however vibrant Fleur appears, those closest to her sense her unhappiness. Michael, devoted to Fleur but not blind to her faults, is determined to stand by her through anything. Will their marriage last, and just how much can Michael forgive?<i></i>"
1793077,7419,"A Modern Comedy (The Forsyte Chronicles, #4-6)",0766194345,9780766194342,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1948145,13,1292,2806,652,36,5:339|4:198|3:91|2:22|1:2|total:652,1920,1,1,4.30,346,13,['7419'],['John Galsworthy'],['4.10'],[],[],[],
