id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1268784,14167341,Тёмные аллеи,5352002373,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,,,rus,Азбука,false,2247887,41,7091,19411,4656,94,5:2347|4:1234|3:700|2:265|1:110|total:4656,1943,,,4.17,4100,46,"['14167341', '14982545']","['Ivan Alekseyevich Bunin', 'Иван Бунин']","['4.05', '4.10']",[],[],[],
40581588,14167341,Grandes Escritores Rusos,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529426028l/40581588._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529426028l/40581588._SY75_.jpg,1974,,,,Grolier Jackson,false,93869,64,7098,12888,2995,100,5:1534|4:962|3:397|2:77|1:25|total:2995,1828,,,4.30,2,0,"['1023861', '16070', '232932', '17036211', '5326370', '410680', '4919787', '16663485', '14167341', '24953', '24951', '3072763']","['Pablo Schostakovsky', 'Alexander Pushkin', 'Nikolai Gogol', 'Mijail Lermontov', 'Ivan Goncharov', 'Ivan Turgenev', 'Vladimir Korolenko', 'Antón Pávlovich Chéjov', 'Ivan Alekseyevich Bunin', 'Leonid Andreyev', 'Aleksandr Kuprin', 'Maxim Gorky']","['4.20', '4.08', '4.04', '4.07', '4.07', '3.92', '3.98', '3.84', '4.05', '4.04', '4.07', '3.88']",[],[],[],"Esta colección de Grolier Jackson, proporciona 15 historias, de diversos autores, entre los cuales podemos mencionar: Alexander Pushkin, Nikolai Gogol, Mijail Lermontov, Ivan Goncharov, Ivan Turguêniev, Vladimir Korolenko, Antón Chéjov, Ivan Bunin, Leonid Andreïev, Alexander Kuprin, Maxim Gorky.<br /><br />El estudio preliminar de esta colección de Clásicos de la Literatura Rusa, fue realizado por Pablo Schostakovsky."
16046794,14167341,Песнь о Гайавате,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348589464l/16046794._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348589464l/16046794._SY75_.jpg,1982,,,rus,Правда,false,2783902,429,5513,10124,2595,205,5:862|4:872|3:655|2:155|1:51|total:2595,1855,,,3.90,2,0,['2697'],['Henry Wadsworth Longfellow'],['4.01'],['14167341'],['Ivan Alekseyevich Bunin'],['4.05'],"""Песнь о Гавайте"" считается самым замечательным трудом выдающегося американского поэта Генри Лонгфелло (1807-1882). Автор написал ее на основании легенд, господствующих среди североамериканских индейцев. Песнь повествует о рождении, жизни, подвигах и страданиях индейского народного героя Гайаваты."
252127,14167341,The Gentleman from San Francisco and Other Stories,0140185526,9780140185522,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1992,3,26,eng,Penguin Classics,false,3759137,31,3295,6835,1703,19,5:690|4:527|3:336|2:119|1:31|total:1703,1922,1,1,4.01,1593,15,"['14167341', '509876']","['Ivan Alekseyevich Bunin', 'David Richards']","['4.05', '3.99']","['659617', '3377422']","['D.J. Richards', 'Sophie Lund']","['4.04', '4.03']","A much neglected literary figure, Ivan Bunin is one of Russia's major writers and ranks with Tolstoy and Chekhov at the forefront of the Russian Realists. Drawing artistic inspiration from his personal experience, these powerful, evocative stories are set in the late nineteenth- and early twentieth-century Russia of his youth, in the countries that he visited and in France, where he spent the last thirty years of his life. In the title story, for example, a family's tour of fashionable European resorts comes to an unexpected end; 'Late Hour' describes an old man's return to the little Russian town in the steppes that he has not seen since his early youth; while 'Mitya's Love' explores the darker emotional reverberations of sexual experience. Throughout his stories there is a sense of the precariousness of existence, an omnipresent awareness of the impermanence of human aspirations and achievements.<br /><br />007 Introduction<br />017 The Gentleman from San Francisco (1915)<br />038 The Primer of Love (1915)<br />048 Chang's Dreams (1916)<br />065 Temir-Aksak-Khan (1916)<br />069 Long Ago (1922)<br />077 An Unknown Friend (1923)<br />087 At Sea, At Night (1923)<br />095 Graffiti (1924)<br />101 Mitya's Love (1924)<br />160 Sunstroke (1925)<br />168 Night (1925)<br />180 The Cancasus (1937)<br />185 Late Hour (1938)<br />192 Visiting Cards (1940)<br />199 Zoyka and Valeria (1940)<br />213 The Riverside Tavern (1943)<br />220 A Cold Autumn (1944)"
499184,14167341,Cursed Days: Diary of a Revolution,1566635160,9781566635165,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,6,1,,Ivan R. Dee Publisher,false,2065275,18,2399,3756,892,59,5:427|4:286|3:131|2:36|1:12|total:892,1988,,,4.21,552,25,['14167341'],['Ivan Alekseyevich Bunin'],['4.05'],[],[],[],"The Nobel Prize-winning author's great anti-Bolshevik diary of the Russian Revolution, translated into English for the first time, with an Introduction and Notes by Thomas Gaiton Marullo. A harrowing description of the forerunners of the concentration camps and the Gulag."
27229320,14167341,За Париж,,9786197120295,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445172910l/27229320._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445172910l/27229320._SY75_.jpg,2015,,,bul,Smart Books,false,1921900,25,4010,3366,984,130,5:164|4:290|3:370|2:116|1:44|total:984,1940,,,3.42,39,5,"['9325', '1455', '14167341', '5557238', '15253165', '14122313', '6898575', '14547796', '102693', '1244', '14982545']","['Gertrude Stein', 'Ernest Hemingway', 'Ivan Alekseyevich Bunin', 'Denis Fonvizin', 'Алексей Николаевич Толстой', 'Владимир Владимирович Маяковский', 'Зинаида Гиппиус', 'Cesar Abraham Vallejo Mendoza', 'André Maurois', 'Mark Twain', 'Иван Бунин']","['3.60', '3.83', '4.05', '3.65', '3.96', '3.88', '3.44', '2.64', '4.31', '3.86', '4.10']",[],[],[],"<i>- Няма такъв град в света! Никога не е имало!<br />- Сякаш не си бил тук преди?<br />- Не идвам достатъчно често. Представяш ли си този разкошен град, когато вали? Представи си го през двадесетте. Вали, а навсякъде има художници, писатели...<br />„Полунощ в Париж“ Уди Алън </i><br /><br />Париж притежава особена атмосфера. Години наред писатели и художници от цял свят идват тук, за да се осъзнаят или да намерят вдъхновение. Апогей са ""Лудите двадесет"" - десетилетието, допринесло най-много за чара на Париж, като люлка на културата. Епицентър, където стават прословутите Les deux magots и Cafe de flore, които всички започват да наричат ""литературните"" кафенета. Тук Хемингуей разгръща таланта си, а Бунин намира своите тъмни алеи. Не всички са го харесвали. Едни са го обожавали, а други - ненавиждали, но истината е, че Париж не е оставил никого безразличен.<br /><br />В този сборник ще намерите най-вълнуващото обяснение в любом към Париж. При това с думите на най-великите автори.<br /><br />В сборника: Ърнест Хемингуей, Иван Бунин, Гертруд Стейн, Алексей Толстой, Владимир Маяковски, Андре Мороа, Марк Твен и др."
10020464,14167341,The Best Russian Short Stories,1163205265,9781163205266,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,9,10,,Kessinger Publishing,false,63791006,45,1942,2970,740,76,5:233|4:324|3:149|2:28|1:6|total:740,1917,,,4.01,1,1,"['539677', '16070', '94099', '13872354', '3290636', '3072763', '24953', '734193', '24951', '14167341', '232932', '410680', '3137322', '128382', '17359366', '4919787', '6898030', '5031025']","['Thomas Seltzer', 'Alexander Pushkin', 'Fyodor Sologub', 'Ignaty Nikolayevich Potapenko', 'Sergey Semyonov', 'Maxim Gorky', 'Leonid Andreyev', 'Mikhail Petrovich Artsybashev', 'Aleksandr Kuprin', 'Ivan Alekseyevich Bunin', 'Nikolai Gogol', 'Ivan Turgenev', 'Fyodor Dostoyevsky', 'Leo Tolstoy', 'Mikhail Saltykov-Shchedrin', 'Vladimir Korolenko', 'Vsevolod N. Garshin', 'Anton Chekhov']","['3.94', '4.08', '3.99', '3.93', '3.98', '3.88', '4.04', '3.89', '4.07', '4.05', '4.04', '3.92', '4.18', '4.06', '3.99', '3.98', '4.06', '3.96']",[],[],[],"1917. A selection of works by the following Russian authors: A. S. Pushkin, The Queen of Spades; N.V. Gogol, The Cloak; I.S. Turgenev, The District Doctor; F.M. Dostoyevsky, The Christmas Tree and the Wedding; L.N. Tolstoy, God Sees the Truth, but Waits; M.Y. Saltykov, How A Muzhik Fed Two Officials; V.G. Korolenko, the Shades, a Phantasy; V.N. Garshin, The Signal; A.P. Chekhov, The Darling, The Bet, Vanka; F.K. Sologub, Hide and Seek; I.N. Potapenko, Dethroned; S.T. Semyonov, the Servant; M. Gorky, One Autumn Night, Her Lover; L.N. Andreyev, Lazarus; M.P. Artzybashev, The Revolutionist; A.I. Kuprin, the Outrage; L.N. Andreyev, The Seven That Were Hanged, The Red Laugh; and Ivan Bunin, The Gentleman from San Francisco."
1186952,14167341,Collected Stories,1566637589,9781566637589,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,8,31,eng,Ivan R. Dee,false,1174938,8,1474,2543,605,16,5:298|4:182|3:87|2:26|1:12|total:605,1978,,,4.20,584,14,['14167341'],['Ivan Alekseyevich Bunin'],['4.05'],['3946660'],['Graham Hettlinger'],['4.21'],
12655881,14167341,Легкое Дыхание,5080001275,9785080001277,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466629428l/12655881._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466629428l/12655881._SY75_.jpg,1991,,,rus,Детская литература. Ленинград,false,17769829,8,1055,2387,589,9,5:258|4:171|3:105|2:43|1:12|total:589,1916,,,4.05,474,8,"['14167341', '14982545']","['Ivan Alekseyevich Bunin', 'Иван Бунин']","['4.05', '4.10']",[],[],[],"«Летний вечер, ямщицкая тройка, бесконечный пустынный большак…» Бунинскую музыку прозаического письма не спутаешь ни с какой другой, в ней живут краски, звуки, запахи… Бунин не пиcал романов. Но чисто русский и получивший всемирное признание жанр рассказа или небольшой повести он довел до совершенства.В эту книгу вошли наиболее известные повести и рассказы писателя: «Антоновские яблоки», «Деревня», «Суходол», «Легкое дыхание»."
6682316,14167341,The Gentleman From San Francisco,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566626153l/6682316._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566626153l/6682316._SX50_.jpg,,,,,,true,1149184,17,1054,2263,628,15,5:153|4:192|3:185|2:77|1:21|total:628,1915,,,3.60,315,13,['14167341'],['Ivan Alekseyevich Bunin'],['4.05'],[],[],[],
1186953,14167341,The Life of Arseniev: Youth,0810111721,9780810111721,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,10,26,,Northwestern University Press,false,1296591,31,925,1622,414,24,5:147|4:142|3:77|2:40|1:8|total:414,1933,1,,3.92,223,8,"['14167341', '755051', '95693', '816591', '5802654', '5802655', '5802656']","['Ivan Alekseyevich Bunin', 'Andrew Baruch Wachtel', 'Gleb Struve', 'Hamish Miles', 'Heidi Hillis', 'Susan McKean', 'Sven A. Wolf']","['4.05', '3.88', '4.04', '3.89', '3.95', '3.95', '3.95']",[],[],[],"Ivan Bunin was the first Russian writer of the twentieth century to be award the Nobel Prize in literature. Like many other Russian writers, he emigrated after the Revolution and never returned to his homeland; <i>The Life of Arseniev</i> is the major work of his émigré period.<br /><br />In ways similar to Nabokov's <i>Speak, Memory,</i> Bunin's novel powerfully evokes the atmosphere of Russia in the decades before the Revolution and illuminates those Russian literary and cultural traditions eradicated in the Soviet era. This first full English-language edition updates earlier translations, taking as its source the version Bunin revised in 1952, and including an introduction and annotations by Andrew Baruch Wachtel.<br />"
