id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
12116,7702,The Late Mattia Pascal,1590171152,9781590171158,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,11,30,eng,NYRB Classics,false,3102727,119,26895,58727,14570,406,5:4992|4:5954|3:2852|2:623|1:149|total:14570,1904,,,4.03,6331,111,"['7702', '25415']","['Luigi Pirandello', 'Charles Simic']","['3.96', '4.05']",['6921'],['William Weaver'],['4.00'],"Mattia Pascal endures a life of drudgery in a provincial town. Then, providentially, he discovers that he has been declared dead. Realizing he has a chance to start over, to do it right this time, he moves to a new city, adopts a new name, and a new course of life—only to find that this new existence is as insufferable as the old one. But when he returns to the world he left behind, it's too late: his job is gone, his wife has remarried. Mattia Pascal's fate is to live on as the ghost of the man he once was.<br /><br />An explorer of identity and its mysteries, a connoisseur of black humor, Nobel Prize winner Luigi Pirandello is among the most teasing and profound of modern masters. <i>The Late Mattia Pascal</i>, here rendered into English by the outstanding translator William Weaver, offers an irresistible introduction to this great writer's work"
741618,7702,Six Characters in Search of an Author,0486299929,9780486299921,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373814414l/741618._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373814414l/741618._SY75_.jpg,1997,7,11,eng,Dover Publications,false,15468851,254,23986,50987,13265,532,5:3937|4:4818|3:3292|2:936|1:282|total:13265,1921,3,9,3.84,9844,259,['7702'],['Luigi Pirandello'],['3.96'],['2979770'],['Edward Storer'],['3.85'],"One of the major figures of modern theater, Luigi Pirandello (1867–1936) wrote dramas and satires that sparked controversy with their radical departures from conventional theatrical techniques. His most celebrated work, <i>Six Characters in Search of an Author</i>, embodies the Nobel Prize-winning playwright's innovations by presenting an open-ended drama on a stage without sets.<br />First performed in 1923, this intellectual comedy introduces six individuals to a stage where a company of actors has assembled for a rehearsal. Claiming to be the incomplete, unused creations of an author's imagination, they demand lines for a story that will explain the details of their lives. In ensuing scenes, these ""real-life characters,"" all professing to be part of an extended family, produce a drama of sorts — punctuated by disagreements, interruptions, and arguments. In the end they are dismissed by the irate manager, their dilemma unsolved and the ""truth"" a matter of individual viewpoints.<br />A tour de force exploring the many faces of reality, this classic is now available in an inexpensive edition that will be welcomed by amateur theatrical groups as well as students of drama."
12117,7702,"One, No One and One Hundred Thousand",0941419746,9780941419741,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1992,9,1,eng,Marsilio Publishers,false,1041217,246,32675,40274,9815,516,5:4054|4:3480|3:1665|2:473|1:143|total:9815,1925,,,4.10,3990,108,['7702'],['Luigi Pirandello'],['3.96'],"['6921', '1502058']","['William Weaver', 'Samuel Putnam']","['4.00', '4.10']","The great Pirandello's (1867-1936) 1926 novel, previously published here in 1933 in another translation, synthesizes the themes and personalities that illuminate such dramas as Six Characters in Search of an Author.<br /><br />Vitangelo Moscarda ``loses his reality'' when his wife cavalierly informs him that his nose tilts to the right; suddenly he realizes that ``for others I was not what till now, privately, I had imagined myself to be,'' and that, consequently, his identity is evanescent, based purely on the shifting perceptions of those around him. Thus he is simultaneously without a self--``no one''--and the theater for myriad selves--``one hundred thousand.'' In a crazed search for an identity independent of others' preconceptions, Moscarda careens from one disaster to the next and finds his freedom even as he is declared insane.<br /><br />It is Pirandello's genius that a discussion of the fundamental human inability to communicate, of our essential solitariness, and of the inescapable restriction of our free will elicits such thoroughly sustained and earthy laughter."
12113,7702,Six Characters in Search of an Author and Other Plays,014018922X,9780140189223,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519770122l/12113._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519770122l/12113._SY75_.jpg,1995,6,29,eng,Penguin Classics,false,42910063,11,5030,11736,2974,66,5:1015|4:1066|3:661|2:182|1:50|total:2974,1921,,,3.95,2945,64,['7702'],['Luigi Pirandello'],['3.96'],['11524'],['Mark Musa'],['3.97'],"<b>Pirandello (1867-1936) is the founding architect of twentieth-century drama, brilliantly innovatory in his forms and themes, and in the combined energy, imagination and visual colours of his theatre.</b>This volume of plays, translated from the Italian by Mark Musa, opens with Six Characters in Search of an Author, Pirandello's most popular and controversial work in which six characters invade the stage and demand to be included in the play. The tragedy Henry IV dramatizes the lucid madness of a man who may be King. In <i>So It Is (If You Think So)</i> the townspeople exercise a morbid curiosity attempting to discover 'the truth' about the Ponza family. Each of these plays can lay claim to being Pirandello's masterpiece, and in exploring the nature of human personality each one stretches the resources of drama to their limits."
998884,7702,Sei personaggi in cerca d'autore; Enrico IV,8804496614,9788804496618,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346695580l/998884._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346695580l/998884._SY75_.jpg,2003,3,20,ita,Mondadori,false,27470640,15,2181,5099,1227,25,5:507|4:469|3:199|2:39|1:13|total:1227,1948,,,4.16,1032,18,"['7702', '1483750']","['Luigi Pirandello', 'Roberto Alonge']","['3.96', '4.06']",[],[],[],"Per Pirandello l'opera d'arte non è frutto di creazione assoluta, ex nihilo, ma semplicemente operazione maieutica che trascende l'autore. I personaggi 'si offrono' dunque all'autore, ma l'autore può anche rifiutarli. I ""Sei personaggi in cerca d'autore"" sono appunto la trascrizione teatrale di questa concezione poetica: alcuni personaggi rifiutati chiedono a un capocomico di farsi nuovo autore del loro dramma. I suoi attori si incaricheranno poi di continuare a rappresentare la vicenda sulle tavole del palcoscenico. La prima messa in scena, nel maggio 1921, a Roma, fu un fallimento. Il pubblico restò scandalizzato dall'audacia della proposta, che sconvolgeva gli schemi consueti della pièce teatrale. Nell'autunno dello stesso anno, Pirandello compose ""Enrico IV"", una tragedia in abiti parzialmente storici, quasi del tutto rispettosa delle unità aristoteliche, una sorta di ironica palinodia della provocazione costituta da ""Sei personaggi"": fu subito un trionfo. Durante una cavalcata in maschera, un individuo cade da cavallo e impazzisce. Per anni si crede Enrico IV imperatore, in guerra con il papa nella lotta delle investiture, ma continua a fingersi pazzo anche quando un bel giorno rinsavisce, e lo fa per incapacità di vivere, o perché la vita non è vivibile, o per un rifiuto cosciente e disincantato di una certa società storicamente data, o per altro ancora. Da allora la maschera di Enrico IV ripropone a lettori e spettatoril'enigma inquietante del proprio personaggio."
17306404,7702,فيراتا أو الهارب من الخطيئة وقصص وأساطير أخرى,7435,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359569028l/17306404._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359569028l/17306404._SX50_.jpg,2004,,,ara,الهيئة العامة لقصور الثقافة,false,2546840,42,1783,3909,975,122,5:320|4:392|3:219|2:40|1:4|total:975,1922,,,4.01,15,1,"['25573', '7702', '3137322', '3270038']","['Stefan Zweig', 'Luigi Pirandello', 'Fyodor Dostoyevsky', 'علي أدهم']","['4.15', '3.96', '4.18', '3.74']",[],[],[],"La obra narra el camino de un guerrero llamado Virata hacia la purificacion. Ante un gran acontecimiento en el que tiene que tomar una determinacion, la inaccion le lanzara por diversas etapas como guerrero, juez, noble, anacoreta, en busca de la libertad y la tranquilidad de espiritu. Al final descubrira que solo quien es util es libre: quien da su voluntad a otro y su energia a una labor."""
12118,7702,Henry IV,0802141943,9780802141941,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328822317l/12118._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328822317l/12118._SY75_.jpg,2005,7,11,eng,"Grove/Atlantic, Inc.",false,14461,85,1970,3827,979,48,5:296|4:386|3:223|2:60|1:14|total:979,1922,,,3.91,657,21,"['7702', '293']","['Luigi Pirandello', 'Tom Stoppard']","['3.96', '4.05']",[],[],[],"In this meeting of two noted playwrights, Tom Stoppard has made a new version of Luigi Pirandello's masterpiece of madness and sanity. After a fall from his horse, an Italian aristocrat wakes up believing he is the medieval German emperor Henry IV. Twenty years later the woman he once loved visits him, accompanied by her lover and psychiatrist, who plans to shock ""Henry"" back to sanity. But is ""Henry"" as mad as they think? And what is madness anyway?"
1070604,7702,L'esclusa,8804365498,9788804365495,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289936986l/1070604._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289936986l/1070604._SY75_.jpg,1992,,,ita,Mondadori,false,3362416,55,1673,3227,863,29,5:172|4:374|3:248|2:58|1:11|total:863,1901,,,3.74,707,16,['7702'],['Luigi Pirandello'],['3.96'],[],[],[],"A questo romanzo di impianto naturalistico, Pirandello lavorò in tempi diversi e ne trasse anche una commedia: L'uomo, la bestia e la virtù. Si narra la storia di Marta, che viene cacciata di casa dal marito dietro il sospetto di un tradimento che si riduce invece a qualche lettera appassionata e filosoficheggiante che le indirizza un intellettuale del luogo, Gregorio Alvignani, deputato al Parlamento. Creduta colpevole da tutti e persino dal padre, Marta,dopo aver cercato di guadagnarsi la vita in paese, accetta un posto di maestra a Palermo. Sarà qui che tornerà ad affacciarsi l'ombra del marito e che lei, giovane e bella, diventerà facilmente vittima dell'Alvignani. Ma la sua scelta la porterà al distacco da tutti coloro che l'avevano esclusa."
9426709,7702,"Uno, nessuno e centomila - Quaderni di Serafino Gubbio operatore",8882897559,9788882897550,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531001867l/9426709._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531001867l/9426709._SY75_.jpg,,,,ita,Newton Compton,false,13760930,7,1412,2993,711,26,5:319|4:256|3:109|2:20|1:7|total:711,1925,,,4.21,610,15,"['7702', '200392']","['Luigi Pirandello', 'Sergio Campailla']","['3.96', '3.90']",[],[],[],"<i>Uno, nessuno e centomila</i> segna l'altissimo epilogo della tensione narrativa di Pirandello e costituisce uno degli esiti più nuovi della letteratura del Novecento. All'interno dell'accidentata geografia di naufragi esistenziali di cui è percorsa l'opera pirandelliana, il lucidissimo Vitangelo Moscarda approda alla conquista di quella sofferta accettazione dell'incompletezza di se stessi che passa attraverso la via della rinuncia e della solitudine. La stessa che vuole seguire Serafino Gubbio, eliminando tutte le maschere, aspirando a quell'impassibilità che è disponibilità assoluta, regredendo fino a diventare uno spazio bianco. La crisi dell'io che si frantuma nel moltiplicarsi di prospettive e punti di riferimento conduce i protagonisti di questi due romanzi all'abbandono definitivo di ogni legame con la realtà. «Studio la gente nelle sue più ordinarie occupazioni, se mi riesca di scoprire negli altri quello che manca a me per ogni cosa ch'io faccia: la certezza che capiscano ciò che fanno»."
17304512,7702,"Uno, nessuno e centomila - L'esclusa",8840369368,9788840369365,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362481739l/17304512._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362481739l/17304512._SY75_.jpg,1993,,,ita,Fratelli Melita,false,23962437,2,1370,2786,679,17,5:265|4:256|3:129|2:21|1:8|total:679,1993,,,4.10,678,17,['7702'],['Luigi Pirandello'],['3.96'],[],[],[],
491753,7702,Right You Are ! (If You Think You Are),0887348491,9780887348495,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365153314l/491753._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365153314l/491753._SY75_.jpg,2002,1,1,,Player Press Inc.,false,479957,70,1214,2208,545,36,5:194|4:216|3:108|2:23|1:4|total:545,1917,,,4.05,207,11,"['7702', '41570']","['Luigi Pirandello', 'Stanley Appelbaum']","['3.96', '3.91']",[],[],[],
