id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
12083,7680,Long Day's Journey into Night,0300093055,9780300093056,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,2,8,eng,Yale University Press,false,809292,61,59795,139551,34313,925,5:13957|4:11612|3:6438|2:1698|1:608|total:34313,1956,1,1,4.07,32473,755,"['7680', '236']","[""Eugene O'Neill"", 'Harold Bloom']","['3.96', '4.10']",[],[],[],"Eugene O'Neill's autobiographical play Long Day's Journey into Night is regarded as his finest work. First published by Yale University Press in 1956, it won the Pulitzer Prize in 1957 and has since sold more than one million copies. This edition includes a new foreword by Harold Bloom.<br /><br />The action covers a fateful, heart-rending day from around 8:30 am to midnight, in August 1912 at the seaside Connecticut home of the Tyrones - the semi-autobiographical representations of O'Neill himself, his older brother, and their parents at their home, Monte Cristo Cottage.<br /><br />One theme of the play is addiction and the resulting dysfunction of the family. All three males are alcoholics and Mary is addicted to morphine. They all constantly conceal, blame, resent, regret, accuse and deny in an escalating cycle of conflict with occasional desperate and half-sincere attempts at affection, encouragement and consolation."
111734,7680,The Iceman Cometh,0300117434,9780300117431,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871756l/111734._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871756l/111734._SY75_.jpg,2006,8,28,eng,Yale University Press,false,624666,30,16312,29537,7479,248,5:2498|4:2785|3:1645|2:421|1:130|total:7479,1946,1,1,3.95,7006,186,"['7680', '236']","[""Eugene O'Neill"", 'Harold Bloom']","['3.96', '4.10']",[],[],[],"Eugene O'Neill was the first American playwright to win the Nobel Prize in Literature. He completed <i>The Iceman Cometh</i> in 1939, but he delayed production until after the war, when it enjoyed a modest run in 1946 after receiving mixed reviews. Three years after O'Neill's death, Jason Robards starred in a Broadway revival that brought new critical attention to O'Neill’s dark play. In the half century since, <i>The Iceman Cometh</i> has gained in stature. Kevin Spacey and James Earl Jones have played Hickey. <i>The Iceman Cometh</i> focuses on a group of alcoholics who endlessly discuss but never act on their dreams, and Hickey, the traveling salesman determined to strip them of their pipe dreams."
212896,7680,Mourning Becomes Electra,185459138X,9781854591388,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1992,5,1,eng,Nick Hern Books,false,1365850,31,8289,17234,4315,101,5:1510|4:1597|3:939|2:210|1:59|total:4315,1931,1,1,3.99,4204,88,['7680'],"[""Eugene O'Neill""]",['3.96'],[],[],[],"A three-part reworking of themes from Greek tragedy, the plays are set in New England in 1865, just after the Civil War. A returning victor, General Ezra Mannon (Agamemnon), is poisoned by his unfaithful wife Christine (Clytemnestra) and then avenged by his son Orin (Orestes) and daughter (Lavinia). With Orin's subsequent suicide, Lavinia (the Electra of the title) becomes a fatalistic recluse in the Mannon mansion."
150144,7680,A Moon for the Misbegotten,0300118155,9780300118155,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328870240l/150144._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328870240l/150144._SY75_.jpg,2006,8,28,,Yale University Press,false,823525,14,5940,13804,3424,63,5:1274|4:1209|3:760|2:137|1:44|total:3424,1947,,,4.03,3316,52,"['7680', '7924']","[""Eugene O'Neill"", 'Stephen A. Black']","['3.96', '4.03']",[],[],[],"<b>A new, affordable paperback edition of one O’Neill’s late masterpieces</b><br /><br /> Eugene O’Neill’s last completed play, <i>A Moon for the Misbegotten </i>is a sequel to his autobiographical <i>Long Day’s Journey Into Night. Moon </i>picks up eleven years after the events described in <i>Long Day’s Journey Into Night</i>, as<i></i>Jim Tyrone (based on O’Neill’s older brother Jamie) grasps at a last chance at love under the full moonlight. This paperback edition features an insightful introduction by Stephen A. Black, helpful to anyone who desires a deeper understanding of O’Neill’s work."
582280,7680,The Hairy Ape,140695683X,9781406956832,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,,,,Hard Press,false,2221213,63,3365,6965,2052,99,5:310|4:640|3:729|2:295|1:78|total:2052,1922,,,3.39,1773,69,['7680'],"[""Eugene O'Neill""]",['3.96'],[],[],[],"Eugene Gladstone O'Neill (1888-1953) was a Nobel prize winning American playwright. More than any other dramatist, O'Neill introduced American drama to the dramatic realism pioneered by Russian playwright Anton Chekhov, Norwegian playwright Henrik Ibsen, and Swedish playwright August Strindberg, and was the first to use true American vernacular in his speeches. His plays involve characters who inhabit the fringes of society, engaging in depraved behaviour, where they struggle to maintain their hopes and aspirations but ultimately slide into disillusionment and despair. O'Neill wrote only one comedy Ah, Wilderness!, all his other plays involve some degree of tragedy and personal pessimism. O'Neill's first published play, Beyond the Horizon, opened on Broadway in 1920 to great acclaim, and was awarded the Pulitzer Prize for Drama. His best-known plays include Anna Christie (Pulitzer Prize 1922), The First Man (1922), and The Hairy Ape (1922). In 1936 he received the Nobel Prize for Literature."
12216,7680,Three Plays: Desire Under the Elms / Strange Interlude / Mourning Becomes Electra,0679763961,9780679763963,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403175343l/12216._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403175343l/12216._SY75_.jpg,1995,10,31,eng,Vintage,false,14539,3,2785,6748,1654,46,5:627|4:640|3:303|2:60|1:24|total:1654,1931,,,4.08,1607,38,"['7680', '2854289']","[""Eugene O'Neill"", 'Luann Walther']","['3.96', '4.09']",[],[],[],"These three plays exemplify Eugene O'Neil's ability to explore the limits of the human predicament, even as he sounds the depths of his audiences' hearts."
435095,7680,The Emperor Jones,0486292681,9780486292687,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344605542l/435095._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344605542l/435095._SY75_.jpg,2011,11,17,,Dover Publications,false,424027,35,2891,5956,1813,72,5:286|4:467|3:656|2:286|1:118|total:1813,1920,11,1,3.29,1733,68,"['7680', '398319']","[""Eugene O'Neill"", 'Alan Weissman']","['3.96', '3.30']",[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
18739933,7680,الراكبون إلى البحر,,9789777184984,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383076712l/18739933._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383076712l/18739933._SX50_.jpg,2013,,,ara,الهيئة العامة لقصور الثقافة,false,14447,68,2620,5189,1470,87,5:285|4:458|3:513|2:179|1:35|total:1470,1904,2,25,3.53,40,5,"['4332478', '44061', '1481077', '6036627', '7419', '7680', '6076026', '672822', '649893', '2457847', '7751', '13995064']","['J.M. Synge', 'Thornton Wilder', 'Mathurin Dondo', 'عبد السلام إبراهيم', 'John Galsworthy', ""Eugene O'Neill"", 'Saki', 'Neith Boyce', 'Hutchins Hapgood', 'Lady Augusta Gregory', 'Tennessee Williams', 'C. Mount']","['3.63', '3.75', '3.41', '3.67', '4.10', '3.96', '3.94', '3.51', '3.66', '3.99', '3.92', '3.30']",[],[],[],عشر درر مسرحية صغيرة لعشرة من أعمدة الحداثة المسرحية العالمية في القرن العشرين، جولزورزي، يوجين أونيل، تينسي وليامز، تورنتون وايلدر، جون ملنجتون سنج .. كعلامات فارقة ومضيئة في تاريخ المسرح العالمي.<br />عشر مسرحيات من فصل واحد، تترجم للمرة الأولى إلى العربية، تختصر عوالم وأكوانًا، وحالات وقضايا شائكة، تضئ الوعي واللاوعي، العقل والمزاج، والمصير الإنساني الأليم والشائك.
687282,7680,Desire Under the Elms,1580812813,9781580812818,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,10,1,eng,L A. Theatre Works,false,18358799,24,2088,4197,1154,66,5:248|4:412|3:354|2:107|1:33|total:1154,1924,,,3.64,964,30,"['7680', '4547497', '307599', '3323526', '7726809', '7726810', '7726811']","[""Eugene O'Neill"", 'Paul Adelstein', 'Orson Bean', 'Amy Brenneman', 'Dwier Brown', 'Maurice Chasse', 'Charlie Kimball']","['3.96', '3.67', '3.67', '3.67', '3.70', '3.68', '3.68']",[],[],[],"Eugene O Neills tale of Ephraim Cabot, greedy and hard like the stone walls that surround his farm, the family patriarch brings home his new young bride, Abbie. His grown sons dissaprove; one leaves but the other stays to fight for the family fortune. What follows is a tragedy of epic proportions."
570192,7680,Anna Christie,1420927981,9781420927986,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,2,23,,Neeland Media LLC,false,557234,68,1516,2914,831,65,5:132|4:275|3:320|2:90|1:14|total:831,1921,11,2,3.51,702,51,['7680'],"[""Eugene O'Neill""]",['3.96'],[],[],[],"Eugene O'Neill's 1922 Pulitzer Prize-winning drama, ""Anna Christie,"" is the story of a young woman who following an illness decides to visit and spend some time with her father, a coal barge captain who she hardly knows. During this time she meets a sailor, Mat, who is looking to settle down, and the two fall in love. ""Anna Christie"" is a gripping drama of a woman torn between the expectations of two men, her father and her lover, and the shocking confession of her past life that this conflict evokes."
362000,7680,"Ah, Wilderness!",0573605149,9780573605147,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2017,4,7,eng,"Samuel French, Inc.",false,1458226,17,1256,2671,737,33,5:149|4:262|3:243|2:66|1:17|total:737,1934,,,3.62,701,28,['7680'],"[""Eugene O'Neill""]",['3.96'],[],[],[],"Revived in 1998 to acclaim at New York's Lincoln Center, Ah, Wilderness! is a sharp departure from the gritty reality of the author's renowned dramas. Taking place over the July 4th weekend of 1906 in an idyllic Connecticut town, it offers a tender, retrospective portrait of small town family values, teenage growing pains, and young love."
