id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
21976230,46466,Gyvačių kamuolys,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,,,lit,Vaiga,false,101611,72,6202,8804,2170,172,5:817|4:818|3:411|2:90|1:34|total:2170,1932,,,4.06,1,0,"['61023', '46466']","['François Mauriac', 'Roger Martin du Gard']","['4.32', '4.07']",[],[],[],
33975168,46466,Olivia,2715243847,9782715243842,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,665866,37,4971,3035,818,104,5:187|4:299|3:256|2:60|1:16|total:818,1949,,,3.71,0,0,"['102012', '974919']","['Olivia', 'Dorothy Bussy']","['3.53', '3.63']",['46466'],['Roger Martin du Gard'],['4.07'],"“Considered one of the most subtle and beautifully written lesbian novels of the century, this 1949 classic returns to print in a Cleis Press edition. Dorothy Strachey’s classic Olivia captures the awakening passions of an English adolescent sent away for a year to a small finishing school outside Paris. The innocent but watchful Olivia develops an infatuation for her headmistress, Mlle. Julie, and through this screen of love observes the tense romance between Mlle. Julie and the other head of the school, Mlle. Cara, in its final months. <br /><br />“Although not strictly autobiographical, Olivia draws on the author’s experiences at finishing schools run by the charismatic Mlle. Marie Souvestre, whose influence lived on through former students like Natalie Barney and Eleanor Roosevelt. Olivia was dedicated to the memory of Strachey’s friend Virginia Woolf and published to acclaim in 1949. Colette wrote the screenplay for the 1951 film adaptation of the novel. In 1999, Olivia was included on the Publishing Triangle’s widely publicized list of the 100 Best Gay and Lesbian Novels of the 20th Century. <br /><br />“Dorothy Strachey (1865-1960) was the sister of the novelist Lytton Strachey and a prominent member of the Bloomsbury Group…….Olivia, originally published under a pseudonym, is her only novel.” -- Amazon.com"
134398,46466,The Thibaults,9997403118,9789997403117,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1939,6,,eng,Viking Press,false,46010651,28,2140,2483,589,75,5:283|4:192|3:84|2:18|1:12|total:589,1936,,,4.22,202,11,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
16393741,46466,The Jolly Corner,5551050610,9785551050612,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,4,1,eng,Xlibris Corporation,true,1566553,133,1209,1878,578,62,5:87|4:160|3:175|2:122|1:34|total:578,1908,12,,3.25,0,0,"['159', '46466']","['Henry James', 'Roger Martin du Gard']","['3.62', '4.07']",[],[],[],"The Jolly Corner was first published in 1908 in The English Review. Henry James describes the adventures of Spencer Brydon as he explores the empty New York house where he grew up. He encounters a ""sensation more complex than had ever before found itself consistent with sanity."" The Jolly Corner is the nickname he gave to his childhood home. Brydon begins to believe that his alter ego-the ghost of the man he might have been is haunting the house. The theme of unlived lives runs throughout the story."
13646554,46466,Les Thibault I: Le Cahier Gris; Le Penitencier; La Belle Saison,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352301898l/13646554._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352301898l/13646554._SY75_.jpg,1955,,,fre,Le Livre de Poche,false,46010704,24,1066,1663,398,43,5:186|4:127|3:63|2:14|1:8|total:398,1922,,,4.18,113,9,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
6695368,46466,Jean Barois,2070304426,9782070304424,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364770302l/6695368._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364770302l/6695368._SY75_.jpg,2003,11,1,,Gallimard Education,false,1134609,38,596,719,182,27,5:59|4:70|3:40|2:11|1:2|total:182,1913,,,3.95,82,5,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],"Jean Barois looks back at the “liberated” figures of bygone France and tries to find his own freedom, but when he chooses to give up his ideals for comfort, it results in his dramatic fall from grace."
13541400,46466,Les Thibault III: l'été 1914,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366004536l/13541400._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366004536l/13541400._SY75_.jpg,,,,fre,,false,19105008,19,340,629,148,7,5:72|4:49|3:19|2:8|1:0|total:148,1923,,,4.25,77,1,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],"""Os Thibault"" é considerado não só uma das obras mais importantes e significativas do nosso tempo, como uma das obras-primas da literatura universal. Com esta obra ambiciosa e gigantesca, em que não há problema da vida humana e da realidade das coisas que não seja debatida com a mais nobre elevação, a mais vibrante humanidade, o mais fundo dramatismo, o seu autor ascendeu à mais alta consagração a que pode aspirar um escritor: o Prémio Nobel (1937). Mas “Os Thibault” é também e principalmente um dos mais belos e comoventes romances contemporâneos: um imenso fresco da sociedade francesa na viragem do século XIX para o século XX, através do qual melhor ficamos a compreender as dores e alegrias, as hesitações e os entusiasmos do mundo em que vivemos. Ao rigor da documentação e da observação, junta-se uma capacidade de construção e criação romanesca verdadeiramente arrebatadora.<br />Escrito entre 1920 e 1940 e publicado inicialmente em oito volumes."
13541395,46466,"Les Thibault II: la consultation, la Sorellina, la mort du père",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352302098l/13541395._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352302098l/13541395._SY75_.jpg,,,,fre,,false,69843126,15,286,524,126,6,5:56|4:44|3:18|2:6|1:2|total:126,,,,4.16,62,2,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
26241615,46466,Correspondance (1944-1958),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,true,58413717,17,948,490,117,21,5:55|4:36|3:20|2:5|1:1|total:117,2007,,,4.19,0,0,"['957894', '46466', '2589481']","['Albert Camus', 'Roger Martin du Gard', 'Claude Sicard']","['4.00', '4.07', '0.0']",[],[],[],"Le 24 juin 1948, Roger Martin du Gard avait écrit à André Gide : ""Camus [...] est celui de sa génération qui donne le plus grand espoir. Celui qu’on peut ensemble admirer et aimer."" Dix ans plus tard, à la mort du romancier des Thibault, Camus note sobrement dans son Cahier : ""On pouvait l’aimer, le respecter. Chagrin.""<br /> <br />Émouvant parallèle qui souligne la dimension affective d'une correspondance fondée sur la confiance, le partage des mêmes valeurs, l'engagement douloureux de l'écrivain au service de la paix, de la justice et de la dignité. En Martin du Gard, Camus apprécie l'expérience d'un généreux aîné apte à conseiller, à comprendre sans condamner, en garde permanente contre ""la fascination des idéologies partisanes"". Et Camus illumine les dernières années du vieil homme si prompt à douter de lui-même. Par sa révolte lucide et la riche variété de sa palette, il prouve à Martin du Gard que l'on peut s'inscrire sans en rougir dans la lignée d'un humanisme dont Jean Barois et Les Thibault furent naguère tributaires. <br />Leurs lettres et les notes qui les éclairent révèlent deux natures fraternelles, dont les angoisses et les espoirs n'ont pas cessé d'être les nôtres."
25636490,46466,De Thibaults - deel 2,,9789029088770,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433073121l/25636490._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433073121l/25636490._SY75_.jpg,2015,6,16,nl,Meulenhoff,false,46011512,4,220,377,87,11,5:43|4:31|3:12|2:1|1:0|total:87,1922,,,4.33,84,10,['46466'],['Roger Martin du Gard'],['4.07'],['4191629'],['Anneke Alderlieste'],['4.27'],"À travers les destins de Jacques Thibault, idéaliste et révolté, et d'Antoine, sérieux, conservateur, deux frères que tout oppose, Roger Martin du Gard nous entraîne dans une vaste fresque sociale et historique.<br />Dans une famille déchirée par l'autorité d'un père égoïste et brutal, le jeune Jacques vit une amitié passionnée avec Daniel de Fontanin ; la découverte de leur correspondance conduira au drame, tandis qu'Antoine, partagé entre la tendresse qu'il porte à son frère et le respect qu'il voue à son père, tente de trouver sa voie en se consacrant corps et âme à la médecine...<br />Après l'interminable agonie de leur père, Jacques, bouleversé, découvre que l'homme qu'il croyait dur et sans tendresse aimait ses fils. Dans cette famille en deuil, l'Histoire fait soudain irruption lorsque se profile le spectre de la guerre après l'attentat de Sarajevo. Devenu socialiste aux côtés de Jaurès, Jacques tente en vain de convaincre son frère de l'imminence du conflit et de ses répercussions dramatiques...<br />Tandis que la guerre est sur le point de ravager l'Europe, Jacques tente désespérément de sauver la paix, mais l'assassinat de Jaurès précipite le monde dans l'horreur, horreur à laquelle le jeune homme se refuse. Antoine, lui, participe au conflit. En 1918, survivant condamné par les gaz des champs de bataille, il comprend enfin le sens de la vie de son frère et les limites de la sienne."
24745566,46466,فرنسا العجوز,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433024978l/24745566._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433024978l/24745566._SY75_.jpg,2014,6,,ara,الدار المصرية اللبنانية,false,3184740,13,281,362,120,27,5:11|4:27|3:48|2:21|1:13|total:120,1933,,,3.02,36,12,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],""" لسنوات عدادة ... شعب فرنسا الصغير استطاع أن ينحنى دوماً داخل هذه الكنيسة المقامة الآن , تُرى ماذا يحبون فيها , هل هو الحب , أم الابحاث , ام الحاجات الروحية بالغة الضمور ؟ .. ام هى الخشية ؟ الخشية من الله والخشية من رجال الدين ؟ والتخوف المألوف من المصير المحتوم ؟ """
