id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1078,704,"The Good Earth (House of Earth, #1)",1416500189,9781416500186,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600l/1078._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600l/1078._SY75_.jpg,2009,3,4,eng,Howard Publishing Co,false,2346070,263,332732,870086,218446,9612,5:81343|4:76129|3:42622|2:12637|1:5715|total:218446,1931,3,2,3.98,202222,7743,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.<br /><br />Hard times come upon Wang Lung and his family when flood and drought force them to seek work in the city. The working people riot, breaking into the homes of the rich and forcing them to flee. When Wang Lung shows mercy to one noble and is rewarded, he begins to rise in the world, even as the House of Hwang falls."
40776819,704,Pavilion of Women,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531248046l/40776819._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531248046l/40776819._SY75_.jpg,2012,8,21,eng,Open Road Media,true,1203625,68,30487,50309,12182,936,5:4802|4:4745|3:2152|2:380|1:103|total:12182,1946,,,4.13,1429,106,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"On her fortieth birthday, Madame Wu carries out a decision she has been planning for a long time: she tells her husband that after twenty-four years their physical life together is now over and she wishes him to take a second wife. The House of Wu, one of the oldest and most revered in China, is thrown into an uproar by her decision, but Madame Wu will not be dissuaded and arranges for a young country girl to come take her place in bed. Elegant and detached, Madame Wu orchestrates this change as she manages everything in the extended household of more than sixty relatives and servants. Alone in her own quarters, she relishes her freedom and reads books she has never been allowed to touch. When her son begins English lessons, she listens, and is soon learning from the foreigner, a free-thinking priest named Brother Andre, who will change her life. Few books raise so many questions about the nature and roles of men and women, about self-discipline and happiness."
93521,704,Imperial Woman,1559210354,9781559210355,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,12,1,eng,Moyer Bell and its subsidiaries,false,1610546,72,15619,25478,6294,476,5:2285|4:2417|3:1262|2:269|1:61|total:6294,1956,,,4.05,4524,352,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Imperial Woman is the fictionalized biography of the last Empress in China, Ci-xi, who began as a concubine of the Xianfeng Emperor and on his death became the de facto head of the Qing Dynasty until her death in 1908.Buck recreates the life of one of the most intriguing rulers during a time of intense turbulence.Tzu Hsi was born into one of the lowly ranks of the Imperial dynasty. According to custom, she moved to the Forbidden City at the age of seventeen to become one of hundreds of concubines. But her singular beauty and powers of manipulation quickly moved her into the position of Second Consort.Tzu Hsi was feared and hated by many in the court, but adored by the people. The Empress's rise to power (even during her husband's life) parallels the story of China's transition from the ancient to the modern way."
93515,704,Peony,1559213388,9781559213387,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,1,1,eng,Moyer Bell and its subsidiaries,false,1067485,54,12582,23750,5957,459,5:1944|4:2407|3:1261|2:274|1:71|total:5957,1948,,,3.99,4243,360,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Young Peony is sold into a rich Chinese household as a bondmaid -- an awkward role in which she is more than a servant, but less than a daughter. As she grows into a lovely, provocative young woman, Peony falls in love with the family's only son. However, tradition forbids them to wed. How she resolves her love for him and her devotion to her adoptive family unfolds in this profound tale, based on true events in China over a century ago.<br /><br />Contains a map detailing Jewish migration and a timeline. This is the story of a culture within a culture. The conflict between the two cultures comes out as a love affair develops between two young people. Peony is classic Pearl Buck showing not only the conflict of the new and old ways but the difficulty in a society where there was no discrimination against the Jews."
14648,704,East Wind: West Wind,1559210869,9781559210867,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,4,5,eng,Moyer Bell and its subsidiaries,false,1885195,85,10299,21622,5404,416,5:1723|4:2215|3:1242|2:197|1:27|total:5404,1930,,,4.00,3280,185,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"East Wind: West Wind is told from the eyes of a traditional Chinese girl, Kwei-lan, married to a Chinese medical doctor, educated abroad. The story follows Kwei-lan as she begins to accept different points of view from the western world, and re-discovers her sense of self through this coming-of-age narrative."
40776308,704,"Sons (House of Earth, #2)",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531243996l/40776308._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531243996l/40776308._SY75_.jpg,2012,8,21,eng,Open Road Media,true,3258094,54,11687,18066,4707,347,5:1203|4:1891|3:1308|2:258|1:47|total:4707,1932,6,,3.84,621,44,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Second in the trilogy that began with The Good Earth, Buck's classic and starkly real tale of sons rising against their honored fathers tells of the bitter struggle to the death between the old and the new in China. Revolutions sweep the vast nation, leaving destruction and death in their wake, yet also promising emancipation to China's oppressed millions who are groping for a way to survive in a modern age."
14644,704,"A House Divided (House of Earth, #3)",1559210346,9781559210348,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,1,1,eng,Moyer Bell and its subsidiaries,false,3173149,43,9091,13549,3479,216,5:1004|4:1358|3:899|2:182|1:36|total:3479,1935,,,3.89,2883,179,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"""A House Divided,"" the third volume of the trilogy that began with ""The Good Earth"" and ""Sons,"" is a powerful portrayal of China in the midst of revolution. Wang Yuan is caught between the opposing ideas of different generations. After 6 years abroad, Yuan returns to China in the middle of a peasant uprising. His cousin is a captain in the revolutionary army, his sister has scandalized the family by her premarital pregnancy, and his warlord father continues to cling to his traditional ideals. It is through Yuan's efforts that a kind of peace is restored to the family."
40776248,704,The Mother,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531243658l/40776248._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531243658l/40776248._SY75_.jpg,2012,8,21,eng,Open Road Media,true,1885229,68,6887,13302,3296,226,5:1186|4:1261|3:661|2:157|1:31|total:3296,1933,,,4.04,549,39,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Within this novel Ms. Buck paints the portrait of a poor woman living in a remote village whose joys are few and hardships are many. As the ancient traditions, which she bases her philosophies upon, begin to collide with the new ideals of the communist era, this peasant woman must find a balance between them and deal with the consequences."
822370,704,The Big Wave,0064401715,9780064401715,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355909845l/822370._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355909845l/822370._SY75_.jpg,1986,4,18,eng,HarperCollins,false,1067474,28,6128,11925,3119,324,5:942|4:1077|3:797|2:213|1:90|total:3119,1947,,,3.82,2746,263,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Kino lives on a farm on the side of a mountain in Japan. His friend, Jiya, lives in a fishing village below. Everyone, including Kino and Jiya, has heard of the big wave. No one suspects it will wipe out the whole village and Jiya's family, too. As Jiya struggles to overcome his sorrow, he understands it is in the presence of danger that one learns to be brave, and to appreciate how wonderful life can be.<br /><br />The famous story of a Japanese boy who must face life after escaping the tidal wave destruction of his family and village."
93531,704,Christmas Day in the Morning,0688162673,9780688162672,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,10,1,eng,HarperCollins,false,90172,2,6764,10872,2536,230,5:1391|4:692|3:301|2:94|1:58|total:2536,1955,,,4.29,2522,227,"['704', '128740']","['Pearl S. Buck', 'Mark Buehner']","['3.98', '4.21']",[],[],[],"<strong>From Pulitzer and Nobel Prize-winning author Pearl S. Buck and acclaimed artist Mark Buehner comes a heartwarming story that illustrates the true meaning of Christmas.</strong><br /><br />Rob wants to get his father something special for Christmas this year—something that shows how much he really loves him. But it's Christmas Eve, and he doesn't have much money to spend. What could he possibly get? Suddenly, Rob thinks of the best gift of all...<br /><br />The acclaimed author of nearly a hundred books for children and adults, Pearl S. Buck captures the spirit of Christmas in this elegant, heartening story about a boy's gift of love. Originally published in 1955, this timeless story with glorious full-color art by Mark Buehner will be a welcome addition to your holiday collection."
93517,704,Dragon Seed,1559210338,9781559210331,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,1,1,eng,Moyer Bell and its subsidiaries,false,1548866,66,5379,9881,2424,189,5:874|4:977|3:478|2:74|1:21|total:2424,1941,,,4.08,1840,138,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"One of the more political novels from the pen of Pearl Buck, Dragon Seed brings to light the tragedy of the Japanese invasion and occupation of mainland China during WWII. Centering her story around the fictional family of Ling Tan, Buck recreates the heart wrenching devastation that war inflicted on these gentle innocent people. Ling Tan and his family were simple farmers living in peaceful isolation. Western technology, and likewise the machinery of war, were unknown in these outlying regions of China. And even though literacy was on the rise among the younger generations, the alarming reports of foreign aggression went largely ignored. For the peasants, the transition from one political ruler to another was virtually inconsequential; life revolved around their farms and their villages. Patriotism was not the concept of loving and defending a country; their land was their country. But as the invasion moves inland and the roads are jammed with survivors fleeing west, Ling Tan and his neighbors are forced to face the harsh realities of war. ""Days passed and with the rulers gone the people held themselves the more steadfast knowing that they and they alone were left to stand against the enemy and upon each man himself now depended what would happen. So it had happened again and again in other times, for rulers anywhere are always the first to fly, and the people must stay behind to be steadfast."
