id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1688817,8440864,The Maid Silja: The History of the Last Offshoot of an Old Family Tree,087797280X,9780877972808,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,4,1,eng,Cherokee Publishing Company (GA),false,3192754,31,1023,1457,417,28,5:74|4:125|3:160|2:49|1:9|total:417,1931,,,3.49,154,18,['8440864'],['Frans Emil Sillanpää'],['3.42'],['3015973'],['Alexander Matson'],['3.66'],"The history of the last offshoot of an old family tree, a girl called Silja, who struggles to survive in the agrarian Finland of the first half of the 20th century."
11361374,8440864,Hurskas kurjuus,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310482401l/11361374._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310482401l/11361374._SX50_.jpg,2008,,,fin,Otava,false,16291460,29,739,1150,343,22,5:42|4:114|3:120|2:57|1:10|total:343,1919,,,3.35,268,13,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],"I slutet av 1800-talet är Finland ett fördömt land. Ryska makten har blivit extremt hård och landsbygden stämmer i deras elände.<br /><br />Genom att erbjuda för att berätta den tragiska berättelsen om en bondefamilj, bjuder Frans Emil Sillanpää oss på ett riktigt dyk i finska folks djup. Vi möter Penjami, fadern, bondeägaren, vars existens har låtit dödsklingan för hans efterkommers. Alkoholhaltig och oförmögen, bäver han bara skulder och livslängd till sin fru, Maija, som snart följer honom i döden. Juha, sonen, växte upp okunnig över allt med sin mammas farbror. Gift med en jungfru, han bosätter sig snart som hyresgäst i en skogsgård, korvbar tacksam. Och det är hans äldste son som kommer att fullfölja det uppoffrade livets stora arbete genom att dra honom in i den revolutionära rörelsen som agiterar Finland. Då, som oundviklig katarsis, kommer kriget mellan vita och röda ...<br /><br />F. E. Sillanpää utmärker sig när han beskriver oss karaktärer av den gemensamma extraordinära genom sin kamp för livet, män och kvinnor för vilka ""det första villkoret för en seger är att besegra sig"". En stor socialdiktare, han visste hur man gifter sig med den råa mannen och den skogsliga ensamheten i finska naturen för att göra den till en kraftfull drivkraft."
207715,8440864,People in the Summer Night,,9780299039011,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,201040,14,581,848,237,28,5:40|4:88|3:83|2:21|1:5|total:237,1934,,,3.58,104,9,['8440864'],['Frans Emil Sillanpää'],['3.42'],['2371510'],['Alan Blair'],['3.97'],"<b>Rakastumisen, syntymän ja kuoleman huumaava kuvaus - oodi suomalaiselle kesäyölle</b><br /><br />Valoisin kesä on taittumassa sadonkorjuun tummuvaan helteeseen. Kahden vuorokauden aika erilaiset ihmiskohtalot yhtyvät ja risteävät, ilo ja tuska kietoutuvat toisiinsa. Ihminen ja luonto ovat yhtä"
10276492,8440864,Elokuu,,9789511231660,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,,,fin,Otava,false,15177093,5,92,176,51,6,5:4|4:21|3:20|2:6|1:0|total:51,1941,,,3.45,44,5,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],"Kanavanvartija Viktor Sundvall, mies, joka on mennyt naimisiin palvelijattarensa kanssa ja jolla on toteutumattomia kirjailijahaaveita, on myöhempinä vuosinaan vajonnut alkoholin orjuuteen. Tamperelainen hotellinemäntä, eräs hänen poikavuosiensa rakastettu, tulee maalle häntä tervehtimään."
10232621,8440864,Hiltu och Ragnar,2843791553,9782843791550,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310482619l/10232621._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310482619l/10232621._SY75_.jpg,1939,,,kor,,false,15132539,5,128,168,56,5,5:6|4:9|3:27|2:7|1:7|total:56,1923,,,3.00,17,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
1688814,8440864,Elämä ja aurinko,9517178034,9789517178037,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439727482l/1688814._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439727482l/1688814._SY75_.jpg,1994,,,fin,Suomalaisen Kirjallisuuden Seura,false,6903007,2,65,79,28,1,5:2|4:6|3:6|2:13|1:1|total:28,1916,,,2.82,27,1,"['8440864', '1632688']","['Frans Emil Sillanpää', 'Panu Rajala']","['3.42', '3.25']",[],[],[],"<i>Elämä ja aurinko</i> on F. E. Sillanpään esikoisteos. Sen ilmestyttyä 1916 todettiin heti merkittävän kirjailijan astuneen julkisuuteen, mutta vastalauseitta ei tätä elämänmyöteistä kirjaa otettu vastaan. Sekä luontoa että ihmismieltä käsitellään siinä rohkean ennakkoluulottamasti, Panu Rajalan esipuheen sanoin: ""Esikoiskertojan innostus haluaa näyttää luomakunnan kuin se nähtäisiin ensimmäistä kertaa."" Innostus tuottaa tulosta. Kesän värit hehkuvat lämpiminä ja täysinä, tunteet elävät.<br /><br />Päällimmiltään romaani on kertomusta Eliaksesta, joka kesän mittaan viettelee kaksi naista ja molemmat hylkäävät hänet. Toinen avioituu, toinen jää kotiin, ja Elias palaa kaupunkiin jatkamaa opintojaan. Näihin tuttuihin teemoihin kertoja limittää rohkeasti omat kommenttinsa. Hän nostaa ne kuvaamaan sitä, mikä elämässä on katoavaa ja ehdottominta, paljasta ja salattua."
20886507,8440864,"Mar de Histórias: Antologia do Conto Mundial, Volume 10 - Após-Guerra",8520928951,9788520928950,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393095606l/20886507._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393095606l/20886507._SX50_.jpg,2013,12,,por,Nova Fronteira,false,40228163,3,30,47,11,0,5:6|4:3|3:1|2:1|1:0|total:11,2013,12,1,4.27,8,0,"['1401475', '2960988', '1980788', '4090156', '3487', '39344', '5223', '1202510', '273838', '17623', '432386', '247149', '45645', '8440863', '45712', '2450573', '4092972', '4741977', '8440864', '1076944', '7796359', '439723', '2824438', '8440865', '117707', '1709', '506579']","['Aurélio Buarque de Holanda Ferreira', 'Paulo Rónai', 'Ventura García Calderón', 'Alfonso Hernández Catá', 'Aldous Huxley', 'Max Jacob', 'Franz Kafka', 'Dezső Kosztolányi', 'Ring Lardner', 'D.H. Lawrence', 'Lima Barreto', 'Carmen Lyra', 'Sherwood Anderson', 'Lu-Hsin', 'Katherine Mansfield', 'Monteiro Lobato', 'Alfredo Panzini', 'João Ribeiro', 'Frans Emil Sillanpää', 'Stefan Żeromski', 'I. Al. Brătescu-Voineşti', 'Karel Čapek', 'Josef Čapek', 'Pedro Emilio Coll', 'Louis Couperus', 'Grazia Deledda', 'Rómulo Gallegos']","['4.32', '4.31', '3.78', '3.82', '3.99', '3.97', '3.89', '3.96', '3.90', '3.59', '3.76', '4.00', '3.84', '4.50', '3.78', '4.07', '3.50', '4.08', '3.42', '2.89', '3.93', '4.03', '4.04', '4.05', '3.60', '3.64', '3.79']",[],[],[],"A obra completa da coleção Mar de Histórias, antologia do conto mundial é composta de 10 volumes independentes, contém nada menos que 239 contos escolhidos entre os melhores de 192 autores pertencentes a 41 literaturas. Foi empreendida há mais de quarenta anos por Aurélio Buarque de Holanda Ferreira e Paulo Rónai. O material está disposto por ordem cronológica da publicação dos contos. Cada um deles é precedido de uma introdução que o situa na obra de seu autor e na respectiva literatura. Notas abundantes facilitam a compreensão dos textos. Dois dos maiores tradutores e estudiosos da Literatura Mundial em todos os tempos e gêneros se reuniram para selecionar uma obra definitiva com o melhor de cada gênero literário, do século XIV A.C. até o século XX."
1877179,8440864,"Hurskas kurjuus ja kansalaissodan kirjoitukset (Kootut teokset, #2)",9511092790,9789511092797,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1988,,,fin,Otava,false,1878174,1,27,43,14,0,5:1|4:4|3:5|2:3|1:1|total:14,1973,,,3.07,14,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
13477640,8440864,Ihmiselon ihanuus ja kurjuus,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586795606l/13477640._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586795606l/13477640._SX50_.jpg,1945,,,fin,Otava,false,19008545,2,29,35,12,0,5:1|4:0|3:8|2:3|1:0|total:12,1945,,,2.92,11,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],"Ihmiselon ihanuus ja kurjuus on F. E. Sillanpään romaani vuodelta 1945.<br /><br />Teos ilmestyi vailla tekijän viimeistelyä, ja sitä leimasivat pettymys, väsymys ja alkoholismi."
17280870,8440864,The Way Of A Man,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1932,,,,,false,23896647,3,67,34,10,2,5:1|4:4|3:3|2:2|1:0|total:10,1932,,,3.40,4,1,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
37846314,8440864,Santa Miséria,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537771098l/37846314._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537771098l/37846314._SY75_.jpg,1940,,,spa,Editorial Inquérito,false,59540468,6,14,28,7,0,5:2|4:4|3:0|2:1|1:0|total:7,1945,,,4.00,4,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
