id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
67998,140617,Selected Poems,0826328180,9780826328182,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,12,2,,University of New Mexico Press,false,65929,18,1635,1538,383,40,5:144|4:124|3:93|2:21|1:1|total:383,1941,,,4.02,161,9,['140617'],['Gabriela Mistral'],['4.00'],['874602'],['Ursula K. Le Guin'],['4.05'],"The first Nobel Prize in literature to be awarded to a Latin American writer went to the Chilean poet Gabriela Mistral. Famous and beloved during her lifetime all over Latin America and in Europe, Mistral has never been known in North America as she deserves to be. The reputation of her more flamboyant and accessible friend and countryman Pablo Neruda has overshadowed hers, and she has been officially sentimentalised into a 'poetess' of children and motherhood. Translations, and even selections of her work in Spanish, have tended to underplay the darkness, the strangeness, and the raging intensity of her poems of grief and pain, the yearning power of her evocations of the Chilean landscape, the stark music of her Round Dances, the visionary splendour of her Hymns of America. During her lifetime Mistral published four books: Desolation, Tenderness, Clearcut, and Winepress. These are included in the 'Complete' Nobel edition published in Madrid; the Poem of Chile, her last book, was printed years after her death. Le Guin includes poems from all five books in this volume, with particular emphasis on the later work. The intelligence and passion of Le Guin's selection and translation wil"
2213236,140617,Madwomen: Poems of Gabriela Mistral,0226531902,9780226531908,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328831419l/2213236._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328831419l/2213236._SY75_.jpg,2008,4,15,eng,University of Chicago Press,false,2219024,10,1145,926,237,38,5:67|4:97|3:58|2:14|1:1|total:237,2008,4,1,3.91,188,27,"['140617', '3096273']","['Gabriela Mistral', 'Randall Couch']","['4.00', '3.94']",[],[],[],"A schoolteacher whose poetry catapulted her to early fame in her native Chile and an international diplomat whose boundary-defying sexuality still challenges scholars, Gabriela Mistral (1889–1957) is one of the most important and enigmatic figures in Latin American literature of the last century. The <i>Locas mujeres</i> poems collected here are among Mistral’s most complex and compelling, exploring facets of the self <i>in extremis</i>—poems marked by the wound of blazing catastrophe and its aftermath of mourning.<br />            From disquieting humor to balladlike lyricism to folkloric wisdom, these pieces enact a tragic sense of life, depicting “madwomen” who are anything but mad. Strong and intensely human, Mistral’s poetic women confront impossible situations to which no sane response exists. This groundbreaking collection presents poems from Mistral’s final published volume as well as new editions of posthumous work, featuring the first English-language appearance of many essential poems. <i>Madwomen</i> promises to reveal a profound poet to a new generation of Anglophone readers while reacquainting Spanish readers with a stranger, more complicated “madwoman” than most have ever known.<br /> <br />"
6269012,140617,Desolación,9561311674,9789561311671,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576646447l/6269012._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576646447l/6269012._SX50_.jpg,1987,,,,,false,6452309,13,448,742,186,15,5:70|4:62|3:39|2:12|1:3|total:186,1883,8,1,3.99,153,8,['140617'],['Gabriela Mistral'],['4.00'],[],[],[],"Desolación es el paisaje desolado de la Patagonia que la autora describe en ""Naturaleza"", parte de esta obra. ""La bruma espesa, eterna, para que olvide dónde me ha arrojado la mar en su ola de salmuera. La tierra a la que vine no tiene primavera: Tiene su noche larga que cual madre me esconde""Bajo los epígrafes ""Vida"", ""La escuela"", ""Infantiles"", ""Dolor"", ""Naturaleza"", ""Canciones de cuna"", ""Prosa"" y ""Prosa escolar"" se agrupan las diferentes composiciones que incluye este libro."
1297774,140617,Tala,9500301199,9789500301190,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350825384l/1297774._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350825384l/1297774._SY75_.jpg,,,,,,false,1557670,6,346,595,150,11,5:56|4:45|3:39|2:8|1:2|total:150,1938,,,3.97,129,7,['140617'],['Gabriela Mistral'],['4.00'],[],[],[],"El premio nobel otorgado en 1945 a Gabriela Mistral sirvió para universalizar un prestigio literario que los lectores de su propio idioma habían conferido a esta gran poetisa desde sus primeros versos. En efecto, desde que en 1915 Luisa Godoy- Tal su verdadero nombre- se dio a conocer en un concurso literario celebrado en Vicuña, su provincia natal chilena- donde, adolescente, ejercía como maestra- un aura admirativa rodeó su figura en todo el mundo de habla castellana, tanto en América como en España. En 1922 los maestros de las escuelas de Nueva York acordaron en reunir un volumen los poemas de Gabriela Mistral, que apareció con el título de desolación. Solo muchos años más tarde- y también por iniciativa ajena- accedió a formar otro conjunto bajo el nombre de Tala. Aparte de ellos, Gabriela mistral ha escrito muchas prosas de distintas naturalezas y ha desarrollado una intensa labor de propagandista cultural, en varios países."
1297770,140617,Antología poética,8470397486,9788470397486,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,spa,,false,56934456,6,394,508,124,8,5:53|4:41|3:20|2:9|1:1|total:124,,,,4.10,88,4,['140617'],['Gabriela Mistral'],['4.00'],[],[],[],"Gabriela Mistral es el seudónimo de Lucila Godoy Alcayaga, poderosa voz femenina que en 1946 alcanzó el premio Nobel para la literatura hispanoamericana. Nombre de arcángel y de viento, conjunción del poeta italiano Gabriele D'Annunzio y el novelista provenzal Frédéric Mistral.<br /><br />Su tierra no es solo la que sueña y canta, rica en viñedos e higueras, suelo de cordillera y copihues. Es también el recuerdo de hombres y mujeres que la han herido profundamente. La poesía de Mistral es la voz de la nostalgia de la naturaleza sublimada en un mundo interior que se enriquece en entornos ajenos, la palabra mestiza en la que se fusionan mundos diversos y una religiosidad que no se atiene a los cánones de ningún credo."
2166318,140617,Lagar,9561311879,9789561311879,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306613734l/2166318._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306613734l/2166318._SX50_.jpg,,,,,,false,2171845,4,149,267,61,1,5:34|4:18|3:7|2:2|1:0|total:61,1954,,,4.38,59,1,['140617'],['Gabriela Mistral'],['4.00'],[],[],[],"“La experiencia del mundo que trasuntan los poemas de <i>Lagar</i> es compleja –alerta, erizada, contradictoria- y el lenguaje en el que se manifiesta, si bien se estructura en la austeridad, en muchos momentos se hace incomprensible para la lectura que reduzca el efecto de la poesía a la narratividad y al sentimentalismo. Lagar es un libro importante en el ámbito de la poesía chilena. A cincuenta años de su publicación, su densidad material no ha sido aun del todo desmadejada, ni su retórica superada por los inexorables cambios que nos acarrea el tiempo. Nunca fue, probablemente, un libro joven, y por lo mismo se ha librado de la obligación de envejecer”.<br />Roberto Merino<br /> <br /> <br />“Gabriela Mistral se hacía la maestra caritativa para esconder su aridez despótica y su percepción beckettiana de la muerte (digamos mejor que Beckett parece tener una percepción a lo Mistral del vacío y del límite)”.<br />Ricardo Piglia"
20951044,140617,200 Poemas de Amor,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,938546,2,277,263,63,0,5:28|4:21|3:11|2:3|1:0|total:63,2007,,,4.17,23,0,"['36401', '4026', '25575', '44150', '140617']","['Amado Nervo', 'Pablo Neruda', 'Rubén Darío', 'Federico García Lorca', 'Gabriela Mistral']","['3.93', '4.31', '3.88', '3.98', '4.00']",[],[],[],Coleccion de Oro de los autores mas grandes de todos los tiempos. Este libro es una seleccion de las mas bellas poesias de amor de todos los tiempos. Una extensa recopilacion de obras de reconocidos autores tanto latinoamericanos como españoles. 200 POEMAS DE AMOR no solo es un libro editado para que los amantes de la poesia lo coleccionen sino tambien para ser obsequiado por ti a esa persona que amas.
43288063,140617,La sucesora,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545265306l/43288063._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545265306l/43288063._SY75_.jpg,1941,,,spa,Zig-Zag,false,24657819,7,243,262,75,9,5:8|4:27|3:35|2:4|1:1|total:75,1934,,,3.49,2,0,"['2799759', '140617']","['Carolina Nabuco', 'Gabriela Mistral']","['3.49', '4.00']",['4741526'],['Hernán del Solar'],['3.83'],"""La sucesora"" pertenece a la categoría de esos libros que se bastan para revelar el genio del autor y llevarlos por sí solos a las más envidiables alturas del éxito legítimo.<br />Se trata de una novela de ambiente rural brasileño en la que asistimos a un sutil conflicto aparentemente reducido a dos personajes, pero que simboliza el amplio problema de dos épocas en transición."
1565087,140617,"Desolación / Ternura / Tala / Lagar (Sepan Cuantos, #250)",9700767604,9789700767604,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328249796l/1565087._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328249796l/1565087._SY75_.jpg,2006,,,spa,Porrua,false,1557668,3,163,258,65,2,5:25|4:21|3:12|2:6|1:1|total:65,1979,,,3.97,63,2,['140617'],['Gabriela Mistral'],['4.00'],[],[],[],"Los grandes temas de la poesía de Gabriela Mistral son los mismos que todos los verdaderos poetas líricos: el amor, el dolor, el deseo o la angustia de la muerte (que son finalmente los temas humanos por excelencia) y, además, el misterio y la belleza de la Naturaleza, de las cosas que son y pasan. Lo místico o religioso frecuente en los poetas líricos aparece en ella y alcanza en su obra un puesto distinguido. Desde este punto de vista se puede decir que el único tópico original y distinto, es, en ella, el infantil, en el que están la madre en potencia y la maestra incansable que fue toda su vida.<br /><br />Su diferencia con otros poetas no está, por tanto, en esas ideas obsesivas, sino en la forma absolutamente persona con que las hace pasar por el filtro de sus versos que tiene un realismo y una fuerza intempestiva sorprendentes. Con dureza e intensidad trata de que sus palabras se hinquen, hieran, y lo logra, sobre todo en las poesías que se reúnen aquí."
11508735,140617,Ternura,8423905039,9788423905034,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464008120l/11508735._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464008120l/11508735._SY75_.jpg,,,,spa,,false,16444606,3,170,251,71,6,5:15|4:21|3:24|2:9|1:2|total:71,1979,1,1,3.54,65,5,['140617'],['Gabriela Mistral'],['4.00'],[],[],[],"Gabriela Mistral, poetisa chilena que fue la primera escritora de nuestro continente en obtener el Premio Nobel, nacio en Valle de Elqui en abril de 1889 y murio en Estados Unidos en 1957. Su primera obra fue Desolacion, en que los criticos norteamericanos vieron hecha espiritu toda la tierra americana; en los libros siguie ntes, sobre todo Tala y Lagar, incorporo una mas personalisima originalidad de verbo y canto. Con esos ejemplos, muchos lectores suelen olvidar Ternura. Pero esta obra tiene una particularidad insustituible. En ella la Mistral ha querido hacer una poesia escolar nueva que no por ser escolar deje de ser poesia; mas delicada que cualquier otra, mas honda e impregnada de cosas del corazon. Canciones de cuna, rondas, jugarretas, cuenta-mundos, arrullos, arrorros ponen aqui en vigencia soñadora, el hablar y el cantar propios del alma infantil."
18324411,140617,"Poema de Chile, completo",,9789569203046,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376413349l/18324411._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376413349l/18324411._SX50_.jpg,2013,8,31,spa,La Pollera Ediciones,false,25867189,1,120,183,42,7,5:22|4:15|3:3|2:2|1:0|total:42,1967,3,13,4.36,42,7,['140617'],['Gabriela Mistral'],['4.00'],[],[],[],"Se han hecho muchas reediciones del mismo Poema de Chile que fue publicado el año 1967 por Doris Dana en la editorial Pomaire. Sin embargo, luego de su muerte, numerosos manuscritos de Gabriela Mistral vieron la luz. Entre ellos, 59 poemas inéditos hasta el momento que completan el Poema de Chile perimitiendo así comprender mejor su sentido, su magnitud y su historia.<br /><br />A diferencia de las ediciones pasadas, el Poema de Chile que incluye estos inéditos tiene tres personajes y no dos: un indiecito, un huemul y la fantasma que los lleva por ese viaje épico desde el extremo norte del país hasta la patagonia."
