id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
52036,1113469,Siddhartha,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428715580l/52036._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428715580l/52036._SY75_.jpg,1981,12,1,eng,Bantam Books,false,4840290,1435,921821,2218671,551235,16356,5:220265|4:181593|3:105008|2:31581|1:12788|total:551235,1922,,,4.02,471821,11156,['1113469'],['Hermann Hesse'],['4.05'],['8463'],['Hilda Rosner'],['4.01'],"Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning."
9004947,1113469,Gullivers Reisen. Mit Illustrationen von Grandville,3458017585,9783458017585,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1974,,,ger,Insel,false,2394716,39,399054,800960,224379,5293,5:45662|4:73692|3:74849|2:23159|1:7017|total:224379,1726,11,,3.57,0,0,"['1831', '1113469']","['Jonathan Swift', 'Hermann Hesse']","['3.67', '4.05']",[],[],[],"For the last 250 years people everywhere have enjoyed reading about Lemuel Gulliver's travels in the strange countries of Lilliput and Brobdingnag. The people of these countries, with all their curiously human failings, come to life in Martin Aitchison's vivid illustrations. Here is a story to make you laugh - but to make you think, too."
16631,1113469,Steppenwolf,0140282580,9780140282580,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,,,eng,Penguin,false,57612,457,204412,530841,128662,4430,5:55052|4:44145|3:21884|2:5768|1:1813|total:128662,1927,,,4.13,100934,2322,"['1113469', '2858990']","['Hermann Hesse', 'Basil Creighton']","['4.05', '4.02']",[],[],[],"<i>Steppenwolf</i> is a poetical self-portrait of a man who felt himself to be half-human and half-wolf. This Faust-like and magical story is evidence of Hesse's searching philosophy and extraordinary sense of humanity as he tells of the humanization of a middle-aged misanthrope. Yet his novel can also be seen as a plea for rigorous self-examination and an indictment of the intellectual hypocrisy of the period. As Hesse himself remarked, ""Of all my books <i>Steppenwolf</i> is the one that was more often and more violently misunderstood than any of the others""."
15474626,1113469,L'idiota,8804617187,9788804617181,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361365321l/15474626._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361365321l/15474626._SY75_.jpg,2004,,,ita,Mondadori,false,6552198,409,320275,515395,123113,4809,5:55948|4:41971|3:18926|2:4725|1:1543|total:123113,1869,,,4.19,50,2,"['3137322', '778265', '1113469']","['Fyodor Dostoyevsky', 'Igor Sibaldi', 'Hermann Hesse']","['4.18', '4.15', '4.05']","['6525691', '6525692']","['Eugenia Maini', 'Elena Mantelli']","['4.40', '4.38']","Pubblicato a puntate nel 1868 sulla rivista moscovita ""Russkij vestnik"", <i>L'idiota</i> fu scritto freneticamente da un Dostoevskij incalzato dai debiti, tormentato dagli attacchi di epilessia, attratto dal canto di sirena della roulette. Eppure, nell'abisso della sua disperazione, il grande scrittore russo ha saputo dare un'opera di grande luminosità, uno di quei libri il cui valore artistico va oltre la qualità letteraria. <i>L'idiota</i> è infatti il romanzo in cui il realismo fantastico di Dostoevskij si misura con l'altissimo obiettivo di dare una rappresentazione artistica dell'uomo assolutamente buono. Un uomo, frammento del Cristo, attorno a cui prende vita quel mondo di tragedie e macchiette che è la Russia dell'Ottocento."
24861,1113469,Demian: Die Geschichte von Emil Sinclairs Jugend,3518367064,9783518367063,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421510580l/24861._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421510580l/24861._SY75_.jpg,,,,ger,,false,5334697,468,113383,286833,69470,3803,5:29099|4:24533|3:12277|2:2814|1:747|total:69470,1919,,,4.13,47918,1661,"['1113469', '19405']","['Hermann Hesse', 'Thomas Mann']","['4.05', '3.94']","['14344918', '6544558']","['Michael E. Roloff', 'Michael Lebeck']","['3.84', '3.97']","Emil Sinclair ist ein Junge, der in einem als ""Scheinwelt"" beschrieben bürgerlichen Elternhaus aufgewachsen ist. Dies ist die dramatische Geschichte seines Abstiegs - gesteuert durch sein frühreifen Schulkamerad Max Demian - in eine geheime und gefährliche Welt der Kleinkriminalität und Revolte gegen Konvention und seiner Erwachen zu Selbstheit."
5954,1113469,Narcissus and Goldmund,0374506841,9780374506841,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374680750l/5954._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374680750l/5954._SY75_.jpg,1997,,,eng,"The Noonday Press / Farrar, Straus Giroux",false,955995,253,80704,181630,43164,1882,5:19773|4:14923|3:6558|2:1489|1:421|total:43164,1930,,,4.21,31199,1036,['1113469'],['Hermann Hesse'],['4.05'],['155518'],['Ursule Molinaro'],['4.23'],"<i>Narcissus and Goldmund</i> tells the story of two medieval men whose characters are diametrically opposite: Narcissus, an ascetic monk firm in his religious commitment, and Goldmund, a romantic youth hungry for knowledge and worldly experience. First published in 1930, Hesse's novel remains a moving and pointed exploration of the conflict between the life of the spirit and the life of the flesh. It is a theme that transcends all time."
16634,1113469,The Glass Bead Game,0312278497,9780312278496,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,12,6,eng,Picador,false,2959456,203,80615,125665,30542,1422,5:13745|4:9499|3:5018|2:1610|1:670|total:30542,1943,,,4.11,25295,959,"['1113469', '13997']","['Hermann Hesse', 'Theodore Ziolkowski']","['4.05', '4.11']","['35436', '245392']","['Richard Winston', 'Clara Winston']","['4.12', '4.13']","The final novel of Hermann Hesse, for which he won the Nobel Prize for Literature in 1946, 'The Glass Bead Game' is a fascinating tale of the complexity of modern life as well as a classic of modern literature.<br /><br />Set in the 23rd century, 'The Glass Bead Game' is the story of Joseph Knecht, who has been raised in Castalia, the remote place his society has provided for the intellectual elite to grow and flourish. Since his childhood, Knecht has been consumed with mastering the Glass Bead Game, which requires a synthesis of aesthetics and scientific arts, such as mathematics, music, logic, and philosophy, which he achieves in adulthood, becoming a Magister Ludi (Master of the Game)."
25905,1113469,Beneath the Wheel,031242230X,9780312422301,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,7,1,eng,Picador,false,132116,162,21508,48767,12663,581,5:3341|4:5110|3:3358|2:694|1:160|total:12663,1906,,,3.85,8601,291,['1113469'],['Hermann Hesse'],['4.05'],['14344918'],['Michael E. Roloff'],['3.84'],"In Hermann Hesse's <i>Beneath the Wheel</i> or <i>The Prodigy</i>, Hans Giebenrath lives among the dull and respectable townsfolk of a sleepy Black Forest village. When he is discovered to be an exceptionally gifted student, the entire community presses him onto a path of serious scholarship. Hans dutifully follows the regimen of tireless study and endless examinations, his success rewarded only with more crushing assignments. When Hans befriends a rebellious young poet, he begins to imagine other possibilities outside the narrowly circumscribed world of the academy. Finally sent home after a nervous breakdown, Hans is revived by nature and romance, and vows never to return to the gray conformity of the academic system."
13519,1113469,The Journey to the East,0312421680,9780312421687,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,2,1,eng,Picador,false,1528180,103,19946,39514,10679,582,5:2476|4:3798|3:3322|2:893|1:190|total:10679,1932,,,3.70,8204,368,['1113469'],['Hermann Hesse'],['4.05'],['8463'],['Hilda Rosner'],['4.01'],"In simple, mesmerizing prose, Hermann Hesse's <i>Journey to the East</i> tells of a journey both geographic and spiritual. H.H., a German choirmaster, is invited on an expedition with the League, a secret society whose members include Paul Klee, Mozart, and Albertus Magnus. The participants traverse both space and time, encountering Noah's Ark in Zurich and Don Quixote at Bremgarten. The pilgrims' ultimate destination is the East, the ""Home of the Light,"" where they expect to find spiritual renewal. Yet the harmony that ruled at the outset of the trip soon degenerates into an opening conflict. Each traveler finds the rest of the group intolerable and heads off in his own direction, with H.H. bitterly blaming the others for the failure of the journey. It is only long after the trip, while poring over records in the League archives, that H.H. discovers his own role in the dissolution of the group, and the ominous significance of the journey itself."
13041,1113469,Demian / Siddhartha,970070629X,9789700706290,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310336766l/13041._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310336766l/13041._SY75_.jpg,1998,,,spa,Porrua,false,73325974,5,11357,22162,5242,253,5:2463|4:1807|3:738|2:171|1:63|total:5242,,,,4.23,4581,231,['1113469'],['Hermann Hesse'],['4.05'],[],[],[],
71943,1113469,Peter Camenzind,0312422636,9780312422639,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316131237l/71943._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316131237l/71943._SX50_.jpg,2003,12,1,eng,Picador,false,2162171,22,10070,21263,5527,273,5:1395|4:2241|3:1576|2:281|1:34|total:5527,1904,,,3.85,4595,164,['1113469'],['Hermann Hesse'],['4.05'],['14344918'],['Michael E. Roloff'],['3.84'],"Peter Camenzind, a young man from a Swiss mountain village, leaves his home and eagerly takes to the road in search of new experience. Traveling through Italy and France, Camenzind is increasingly disillusioned by the suffering he discovers around him; after failed romances and a tragic friendship, his idealism fades into crushing hopelessness. He finds peace again only when he cares for Boppi, an invalid who renews Camenzind's love for humanity and inspires him once again to find joy in the smallest details of every life."
