id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
12701188,18540,Le avventure di Huckleberry Finn,8806136054,9788806136055,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367156225l/12701188._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367156225l/12701188._SY75_.jpg,1994,,,ita,Einaudi,false,1835605,5577,1597018,4285932,1122495,14992,5:338396|4:387395|3:282023|2:83622|1:31059|total:1122495,1876,,,3.82,17,2,"['1244', '4485447', '18540', '182090']","['Mark Twain', 'Enzo Giachino', 'T.S. Eliot', 'Leo Marx']","['3.86', '3.78', '4.16', '3.65']",[],[],[],"Congedandosi dai lettori nelle ultime pagine di ""Tom Sawyer"", Mark Twain preannuncia un nuovo romanzo che uscirà nel 1885, nove anni più tardi: un'opera che, come afferma T.S. Eliot, ""merita il titolo di capolavoro"". Fuggito alle cure, o piuttosto alle persecuzioni di un padre ubriacone, vissuto per qualche tempo dentro una botte da zucchero, riacciuffato e di nuovo abbandonato, Huck intraprende un memorabile viaggio sul Mississipi con lo schiavo Jim, altro miserevole evaso. L'America dell'età dell'oro, con i suoi coloni, avventurieri e impostori, accompagna Huck fino al nuovo incontro con Tom Sawyer e l'approdo alla fattoria di zio Silas. Un lucido realismo trasforma le avventure di un ragazzo in epopea universale che si riallaccia a quelle più antiche del viaggio e dell'iniziazione alla vita.Traduzione di Enzo Giachino. I saggi di T.S. Eliot e di Leo Marx offrono due diverse letture del romanzo e dimostrano che un classico è ""in primo luogo terreno di confronto e non uno spazio di certezze canonizzate e acquisite""."
26440972,18540,Hamlet,858285014X,9788582850145,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442119674l/26440972._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442119674l/26440972._SY75_.jpg,2015,8,21,por,Penguin - Companhia das Letras,false,1885548,4652,1088338,2815458,700282,12153,5:271501|4:235420|3:142324|2:38264|1:12773|total:700282,1603,,,4.02,124,11,"['947', '18540']","['William Shakespeare', 'T.S. Eliot']","['3.87', '4.16']",['13868234'],['Lawrence Flores Pereira'],['4.26'],"Um jovem príncipe se reúne com o fantasma de seu pai, que alega que seu próprio irmão, agora casado com sua viúva, o assassinou. O príncipe cria um plano para testar a veracidade de tal acusação, forjando uma brutal loucura para traçar sua vingança. Mas sua aparente insanidade logo começa a causar estragos - para culpados e inocentes.<br /><br />Esta é a sinopse da tragédia de Shakespeare, agora em nova e fluente tradução de Lawrence Flores Pereira. Mas a trama inventada pelo dramaturgo inglês vai muito além disso: Hamlet é um dos momentos mais altos da criação artística mundial, um retrato - eletrizante e sempre contemporâneo - da vida emocional de um Homo sapiens adulto."
9666487,18540,Paradiso perduto,8804527994,9788804527992,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559132292l/9666487._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559132292l/9666487._SY75_.jpg,2004,,,ita,Mondadori,false,1031493,2408,345572,484318,126914,3559,5:42099|4:39649|3:29713|2:10635|1:4818|total:126914,1667,,,3.82,125,7,"['9876', '884965', '16763', '18540']","['John Milton', 'Roberto Sanesi', 'Frank Kermode', 'T.S. Eliot']","['3.85', '4.18', '4.07', '4.16']",[],[],[],"Poema concepito fin dal 1640 e composto a partire dal 1658, il ""Paradiso perduto"" ha come la ""giustificazione all'uomo delle azioni del Signore"": i suoi dodici libri in forma drammatica mostrano come Adamo ed Eva furono puniti perché peccarono, scegliendo deliberatamente il Male invece del Bene. Uniti nell'implacabile sentenza divina così come nella colpa, furono cacciati dall'Eden verso la terra dominata, da quel momento in poi, da guerra, discordia e morte.<br />Pur nella tremenda drammaticità del tema, le pagine del ""Paradiso perduto"" vivono di delicatissime sfumature, di un senso idilliaco e musicale che ne fanno ancora oggi un'opera di straordinario fascino.<br /><br />pagine LVIII + 670"
13421276,18540,La pietra di luna,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1971,,,ita,Mondadori,false,1044477,1781,131778,282977,72307,4252,5:22758|4:27615|3:16386|2:4021|1:1527|total:72307,1868,8,1,3.91,3,1,"['4012', '4083634', '18540']","['Wilkie Collins', 'Ettore Capriolo', 'T.S. Eliot']","['3.92', '3.69', '4.16']",[],[],[],"""La Pietra di Luna"", prezioso e antico diamante giallo originario dell'India, dopo una serie di avventurose vicissitudini nel corso dei secoli, arriva infine in Inghilterra e viene donato a una giovane nobildonna di nome Rachel Verinder nel giorno del suo diciottesimo compleanno. Il gioiello, di valore inestimabile, scompare in circostanze misteriose quella notte stessa e un famoso investigatore, il sergente Cuff, viene incaricato di risolvere il caso. L'indagine, per quanto accurata, non porta a nessun risultato e causa, anzi, sgomento e confusione sia tra i membri della famiglia che nella servitù. A fare da sfondo a questo giallo c'è una romantica storia d'amore."
400412,18540,The Waste Land and Other Poems,015694877X,9780156948777,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372992691l/400412._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372992691l/400412._SY75_.jpg,1955,8,4,eng,Harcourt Brace Jovanovich,false,15306654,95,104445,213602,50457,851,5:25087|4:15468|3:7328|2:1737|1:837|total:50457,1940,,,4.23,46932,563,['18540'],['T.S. Eliot'],['4.16'],[],[],[],"Few readers need any introduction to the work of the most influential poet of the twentieth century. In addition to the title poem, this selecion includes ""The Love Song of J. Alfred Prufrock"", ""Gerontion"", ""Ash Wednesday"", and other poems from Mr. Eliot's early and middle work. <br /><br />""In ten years' time,"" wrote Edmund Wilson in Axel0s Castle (1931), ""Eliot has left upon English poetry a mark more unmistakable than that of any other poet writing in English."" In 1948 Mr. Eliot was awarded the Nobel Prize ""for his work as trail-blazing pioneer of modern poetry""."
34080,18540,The Waste Land,0393974995,9780393974997,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327910597l/34080._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327910597l/34080._SY75_.jpg,2000,12,1,eng,W.W. Norton & Company,false,389834,394,88104,167683,40828,1074,5:18212|4:12733|3:6893|2:2022|1:968|total:40828,1922,,,4.11,36349,700,"['18540', '214066']","['T.S. Eliot', 'Michael North']","['4.16', '4.10']",[],[],[],"The text of Eliot's 1922 masterpiece is accompanied by thorough explanatory annotations as well as by Eliot's own knotty notes, some of which require annotation themselves.<br /><br />For ease of reading, this Norton Critical Edition presents The Waste Land as it first appeared in the American edition (Boni &amp; Liveright), with Eliot's notes at the end. ""Contexts"" provides readers with invaluable materials on The Waste Land's sources, composition, and publication history. ""Criticism"" traces the poem's reception with twenty-five reviews and essays, from first reactions through the end of the twentieth century. Included are reviews published in the Times Literary Supplement, along with selections by Virginia Woolf, Gilbert Seldes, Edmund Wilson, Elinor Wylie, Conrad Aiken, Charles Powell, Gorham Munson, Malcolm Cowley, Ralph Ellison, John Crowe Ransom, I. A. Richards, F. R. Leavis, Cleanth Brooks, Delmore Schwartz, Denis Donoghue, Robert Langbaum, Marianne Thormählen, A. D. Moody, Ronald Bush, Maud Ellman, and Tim Armstrong. A Chronology and Selected Bibliography are included."
25379016,18540,Canti dell'Innocenza e dell'Esperienza: Che mostrano i due contrari stati dell'anima umana,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ita,Feltrinelli,true,24839,1073,77871,154326,37506,813,5:15884|4:12618|3:6923|2:1584|1:497|total:37506,1789,,,4.11,3,0,"['13453', '18540']","['William Blake', 'T.S. Eliot']","['4.17', '4.16']",['4476751'],['Roberto Rossi Testa'],['3.96'],"‟I Songs of Innocence, i Songs of Experience e le composizioni tratte dal manoscritto di Rossetti sono opera di un uomo dotato di profondo interesse per i sentimenti umani e di profonda conoscenza del loro esplicarsi. I sentimenti vi sono presentati in forma semplificata al massimo, astratta; tale forma è un esempio dell'eterna lotta dell'arte contro l'educazione, dell'artista letterario contro il continuo deterioramento del linguaggio. È importante che l'artista sia istruito al massimo nella sua arte; ma la sua educazione è tale da essere più ostacolata che incoraggiata dai comuni procedimenti sociali che costituiscono l'educazione dell'uomo comune, poiché i procedimenti comuni consistono soprattutto nell'acquisizione di idee impersonali che oscurano quanto veramente siamo e sentiamo, quanto veramente vogliamo e quanto veramente sollecita il nostro interesse. Quel che risulta nocivo, naturalmente, non è tanto la reale quantità di informazioni acquisite quanto il conformismo che il cumulo di cognizioni può imporre… Blake sapeva che cosa lo interessava, e perciò presenta solo l'essenziale, o meglio, presenta soltanto ciò che si può presentare e che non ha bisogno di essere spiegato. E poiché non si lasciava distrarre, o turbare, o assorbire da nessun altro interesse, oltre a quello della precisa definizione delle cose, egli capiva. Era nudo, e vedeva l'uomo nudo, e dal centro del cristallo suo proprio.”<br />T.S. Eliot"
402128,18540,Old Possum's Book of Practical Cats,0151686564,9780151686568,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327882662l/402128._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327882662l/402128._SY75_.jpg,1982,8,30,eng,Harcourt Brace & Company,false,372536,303,48829,92432,22679,1438,5:9258|4:7672|3:4349|2:1007|1:393|total:22679,1939,,,4.08,19288,1013,"['18540', '21578']","['T.S. Eliot', 'Edward Gorey']","['4.16', '4.12']",[],[],[],"T. S. Eliot's playful cat poems have delighted readers and cat lovers around the world ever since they were first published in 1939. They were originally composed for his godchildren, with Eliot posing as Old Possum himself, and later inspired the legendary musical <i>Cats.</i>"
142080,18540,"Collected Poems, 1909-1962",0151189781,9780151189786,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1963,,,eng,Harcourt Brace,false,756454,35,34520,82395,19196,238,5:9901|4:5902|3:2674|2:541|1:178|total:19196,1963,,,4.29,18391,169,['18540'],['T.S. Eliot'],['4.16'],[],[],[],"There is no more authoritative collection of the poetry that T.S. Eliot himself wished to preserve than this volume, published two years before his death in 1965.<br /><br />Poet, dramatist, critic, and editor, T. S. Eliot was one of the defining figures of twentieth-century poetry. This edition of Collected Poems 1909-1962 includes his verse from Prufrock and Other Observations (1917) to Four Quartets (1943), and includes such literary landmarks as 'The Waste Land' and 'Old Possum's Book of Practical Cats'."
118389,18540,The Love Song of J. Alfred Prufrock and Other Poems,0848809971,9780848809973,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1976,,,eng,Ameron,false,1800811,67,29692,79482,18394,273,5:10083|4:5194|3:2290|2:594|1:233|total:18394,1915,,,4.32,16756,186,['18540'],['T.S. Eliot'],['4.16'],[],[],[],"Let us go then, you and I, When the evening is spread out against the sky Like a patient etherized upon a table; Let us go, through certain half-deserted streets, The muttering retreats Of restless nights in one-night cheap hotels."
80410,18540,Four Quartets,0571068944,9780571068944,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547657432l/80410._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547657432l/80410._SY75_.jpg,1959,,,eng,Faber  Faber,false,2886568,81,30210,60783,13907,691,5:7959|4:3816|3:1601|2:390|1:141|total:13907,1943,,,4.37,12113,503,['18540'],['T.S. Eliot'],['4.16'],[],[],[],"The Four Quartets is a series of four poems by T.S. Eliot, published individually from 1936 to 1942, and in book form in 1943; it was considered by Eliot himself to be his finest work. Each of the quartets has five ""movements"" and each is titled by a place name -- BURNT NORTON (1936), EAST COKER (1940), THE DRY SALVAGES (1941), and LITTLE GIDDING (1942). Eliot's insights into the cyclical nature of life are revealed through themes and images woven throughout the four poems. Spiritual, philosophical, and personal themes emerge through symbolic allusions and literary and religious references from both Eastern and Western thought. The work addresses the connections of the personal and historical present and past, spiritual renewal, and the very nature of experience; it is considered the poet's clearest exposition of his Christian beliefs. (The Merriam-Webster Encyclopedia of Literature)"
