id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
243685,17854,A History of Western Philosophy,0671201581,9780671201586,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344399003l/243685._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344399003l/243685._SY75_.jpg,1986,1,30,eng,Simon & Schuster,false,1167354,109,109603,124224,30425,987,5:12598|4:10559|3:5185|2:1360|1:723|total:30425,1945,,,4.08,28050,748,['17854'],['Bertrand Russell'],['4.02'],[],[],[],"Since its first publication in 1945 Lord Russell's <i>A History of Western Philosophy</i> has been universally acclaimed as the outstanding one-volume work on the subject—unparalleled in its comprehensiveness, its clarity, its erudition, its grace and wit. In seventy-six chapters he traces philosophy from the rise of Greek civilization to the emergence of logical analysis in the twentieth century. Among the philosophers considered are: Pythagoras, Heraclitus, Parmenides, Empedocles, Anaxagoras, the Atomists, Protagoras, Socrates, Plato, Aristotle, the Cynics, the Sceptics, the Epicureans, the Stoics, Plotinus, Ambrose, Jerome, Augustine, Benedict, Gregory the Great, John the Scot, Aquinas, Duns Scotus, William of Occam, Machiavelli, Erasmus, More, Bacon, Hobbes, Descartes, Spinoza, Leibniz, Locke, Berkeley, Hume, Rousseau, Kant, Hegel, Schopenhauer, Nietzsche, the Utilitarians, Marx, Bergson, James, Dewey, and lastly the philosophers with whom Lord Russell himself is most closely associated -- Cantor, Frege, and Whitehead, co-author with Russell of the monumental <i>Principia Mathematica.</i>"
472025,17854,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,0671203231,9780671203238,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347925703l/472025._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347925703l/472025._SY75_.jpg,1967,10,30,eng,Touchstone,false,1043242,86,46466,72246,17972,658,5:6749|4:6644|3:3223|2:900|1:456|total:17972,1927,5,,4.02,15869,468,"['17854', '1705841']","['Bertrand Russell', 'Paul  Edwards']","['4.02', '4.03']",[],[],[],"Dedicated as few men have been to the life of reason, Bertrand Russell has always been concerned with the basic questions to which religion also addresses itself -- questions about man's place in the universe and the nature of the good life, questions that involve life after death, morality, freedom, education, and sexual ethics. He brings to his treatment of these questions the same courage, scrupulous logic, and lofty wisdom for which his other work as philosopher, writer, and teacher has been famous. These qualities make the essays included in this book perhaps the most graceful and moving presentation of the freethinker's position since the days of Hume and Voltaire. <p> ""I am as firmly convinced that religions do harm as I am that they are untrue,"" Russell declares in his Preface, and his reasoned opposition to any system or dogma which he feels may shackle man's mind runs through all the essays in this book, whether they were written as early as 1899 or as late as 1954. </p><p> The book has been edited, with Lord Russell's full approval and cooperation, by Professor Paul Edwards of the Philosophy Department of New York University. In an Appendix, Professor Edwards contributes a full account of the highly controversial ""Bertrand Russell Case"" of 1940, in which Russell was judicially declared ""unfit"" to teach philosophy at the College of the City of New York. </p><p> Whether the reader shares or rejects Bertrand Russell's views, he will find this book an invigorating challenge to set notions, a masterly statement of a philosophical position, and a pure joy to read.</p>"
1566053,17854,The Portable Atheist: Essential Readings for the Nonbeliever,0306816083,9780306816086,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,11,6,eng,Da Capo Press/Perseus Books (Philadelphia),false,1558637,21,50594,67950,16889,496,5:6544|4:6004|3:3061|2:751|1:529|total:16889,2007,11,6,4.02,16086,446,"['3956', '8143161', '2742325', '10122', '122092', '45726', '55078', '45882', '173', '12793', '134805', '48535', '1244', '3345', '15905', '15591', '9494', '4178376', '7805', '10017', '9810', '3706', '84076', '280602', '17854', '64716', '7105', '10538', '6878', '384534', '47788', '7863309', '6952980', '333902', '1194', '111011', '445128', '134143', '2408', '86758', '3299', '3665', '16593', '14104911', '46245', '57651', '7084']","['Christopher Hitchens', 'Lucretius', 'Omar Khayyám', 'Thomas Hobbes', 'Baruch Spinoza', 'David Hume', 'James Boswell', 'Percy Bysshe Shelley', 'George Eliot', 'Charles Darwin', 'Leslie Stephen', 'Anatole France', 'Mark Twain', 'Joseph Conrad', 'Thomas Hardy', 'Emma Goldman', 'H.P. Lovecraft', 'Carl Van Doren', 'H.L. Mencken', 'Sigmund Freud', 'Albert Einstein', 'George Orwell', 'John Betjeman', 'Chapman Cohen', 'Bertrand Russell', 'Philip Larkin', 'Martin Gardner', 'Carl Sagan', 'John Updike', 'John Leslie Mackie', 'Michael Shermer', 'A.J. Ayer', 'Daniel C. Dennett', 'Charles Templeton', 'Richard Dawkins', 'Victor J. Stenger', 'Elizabeth S.  Anderson', 'Penn Jillette', 'Ian McEwan', 'Steven Weinberg', 'Salman Rushdie', 'Ibn Warraq', 'Sam Harris', 'A.C. Grayling', 'Ayaan Hirsi Ali', 'John Stuart Mill', 'Karl Marx']","['4.13', '4.00', '4.11', '3.80', '4.04', '3.95', '3.98', '4.01', '3.84', '3.99', '4.02', '3.90', '3.86', '3.50', '3.84', '4.05', '4.05', '4.02', '3.98', '3.82', '4.08', '4.07', '4.02', '4.02', '4.02', '4.07', '4.07', '4.24', '3.80', '4.02', '3.95', '3.96', '3.97', '4.02', '4.01', '3.99', '4.02', '4.04', '3.73', '4.04', '3.83', '4.01', '3.94', '3.89', '4.16', '3.90', '3.74']",[],[],[],"From the #1 New York Times best-selling author of <i>God Is Not Great</i>, a provocative and entertaining guided tour of atheist and agnostic thought through the ages with never-before-published pieces by Salman Rushdie, Ian McEwan, and Ayaan Hirsi Ali. Christopher Hitchens continues to make the case for a splendidly godless universe in this first-ever gathering of the influential voices--past and present--that have shaped his side of the current (and raging) God/no-god debate. <br /><br />With Hitchens as your erudite and witty guide, you'll be led through a wealth of philosophy, literature, and scientific inquiry, including generous portions of the words of Lucretius, Benedict de Spinoza, Charles Darwin, Karl Marx, Mark Twain, George Eliot, Bertrand Russell, Emma Goldman, H. L. Mencken, Albert Einstein, Daniel Dennett, Sam Harris, Richard Dawkins, and many others well-known and lesser known. And they're all set in context and commented upon as only Christopher Hitchens political and literary journalist extraordinaire can.” <i>(Los Angeles Times)</i> <br /><br />Atheist? Believer? Uncertain? No matter: <i>The Portable Atheist</i> will speak to you and engage you every step of the way."
12075,17854,Tractatus Logico-Philosophicus,0415254086,9780415254083,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396830687l/12075._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396830687l/12075._SY75_.jpg,2001,9,1,eng,Routledge Classics,false,3157863,29,42339,62826,15446,592,5:6688|4:4765|3:2727|2:879|1:387|total:15446,1921,,,4.07,13836,413,"['7672', '17854']","['Ludwig Wittgenstein', 'Bertrand Russell']","['4.13', '4.02']","['7755352', '180133']","['David Pears', 'Brian McGuinness']","['4.05', '4.06']","Perhaps the most important work of philosophy written in the twentieth century, <em>Tractatus Logico-Philosophicus</em> was the only philosophical work that Ludwig Wittgenstein published during his life. Written in short, carefully numbered paragraphs of extreme brilliance, it captured the imagination of a generation of philosophers. For Wittgenstein, logic was something we use to conquer a reality which is in itself both elusive and unobtainable. He famously summarized the book in the following words: 'What can be said at all can be said clearly; and what we cannot talk about we must pass over in silence.' David Pears and Brian McGuinness received the highest praise for their meticulous translation. The work is prefaced by Bertrand Russell's original introduction to the first English edition."
31799,17854,The Problems of Philosophy,1421903679,9781421903675,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405495766l/31799._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405495766l/31799._SX50_.jpg,,,,,,false,983476,639,37381,49206,12594,540,5:3947|4:4760|3:2909|2:726|1:252|total:12594,1912,1,,3.91,10279,345,['17854'],['Bertrand Russell'],['4.02'],[],[],[],"A lively and still one of the best introductions to philosophy, this book pays off both a closer reading for students and specialists, and a casual reading for the general public."
51783,17854,The Conquest of Happiness,0415378478,9780415378475,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356451345l/51783._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356451345l/51783._SY75_.jpg,2006,2,3,eng,Routledge,false,1167362,108,29427,37509,9342,726,5:3191|4:3735|3:1891|2:416|1:109|total:9342,1930,,,4.02,6204,422,['17854'],['Bertrand Russell'],['4.02'],[],[],[],"<em>The Conquest of Happiness</em> is Bertrand Russell's recipe for good living. First published in 1930, it pre-dates the current obsession with self-help by decades. Leading the reader step by step through the causes of unhappiness and the personal choices, compromises and sacrifices that (may) lead to the final, affirmative conclusion of 'The Happy Man', this is popular philosophy, or even self-help, as it should be written."
19216605,17854,A World Apart: Imprisonment in a Soviet Labor Camp During World War II,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,1877496,40,7537,20813,5163,55,5:1825|4:2065|3:968|2:219|1:86|total:5163,1951,,,4.03,9,0,"['2790742', '17854']","['Gustaw Herling-Grudziński', 'Bertrand Russell']","['4.00', '4.02']",['2996778'],['Andrzej Ciolkosz'],['4.17'],More information to be announced soon on this forthcoming title from Penguin USA
135742,17854,In Praise of Idleness and Other Essays,0415109248,9780415109246,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1985,1,1,,Routledge,false,1314555,49,11661,17754,4356,430,5:1584|4:1764|3:797|2:176|1:35|total:4356,1935,,,4.08,1917,113,['17854'],['Bertrand Russell'],['4.02'],[],[],[],"First published in 1984. Routledge is an imprint of Taylor &amp; Francis, an informa company."
27394323,17854,War Is A Racket!: And Other Essential Reading,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,191777,62,9723,15252,3556,373,5:1865|4:1024|3:526|2:112|1:29|total:3556,1935,,,4.29,27,3,"['115545', '1244', '17854', '6917039']","['Smedley D. Butler', 'Mark Twain', 'Bertrand Russell', 'Osie Turner']","['4.29', '3.86', '4.02', '4.05']",[],[],[],"""WAR is a racket. It always has been.<br />""It is possibly the oldest, easily the most profitable, surely the most vicious. It is the only one international in scope. It is the only one in which the profits are reckoned in dollars and the losses in lives.""<br />Thus begins one of the most important works of the last century that most people have never heard of. It isn't required reading in school, although it should be. It won't be brought up on your favorite evening sitcom, and politicians know that to quote from Major General Smedley Butler's masterwork would herald the end of their political career.<br />The Forlorn Press Edition of ""War Is A Racket"" is illustrated with vintage photos of the true cost of war as well as appropriate quotations from important world leaders and historical figures to drive home Maj. Gen Butler's message. Mark Twain's short story, ""The War Prayer,"" and ""Why Men Fight"" by Bertrand Russell are also included in this collection."
51790,17854,Religion and Science,0195115511,9780195115512,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,5,29,eng,"Oxford University Press, USA",false,50533,33,8442,10568,2669,144,5:895|4:994|3:596|2:145|1:39|total:2669,1935,,,3.96,2230,79,"['17854', '17973']","['Bertrand Russell', 'Michael Ruse']","['4.02', '3.90']",[],[],[],"In this timely work, Russell, philosopher, agnostic, mathematician, and renowned peace advocate, offers a brief yet insightful study of the conflicts between science and traditional religion during the last four centuries. Examining accounts in which scientific advances clashed with Christian doctrine or biblical interpretations of the day, from Galileo and the Copernican Revolution, to the medical breakthroughs of anesthesia and inoculation, Russell points to the constant upheaval and reevaluation of our systems of belief throughout history. In turn, he identifies where similar debates between modern science and the Church still exist today. This classic is sure to interest all readers of philosophy and religion, as well as those interested in Russell's thought and writings."
67354,17854,What I Believe,0415325099,9780415325097,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356456172l/67354._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356456172l/67354._SY75_.jpg,2004,2,4,,Routledge,false,65318,30,7204,7952,1944,183,5:739|4:754|3:357|2:76|1:18|total:1944,1925,,,4.09,1394,100,['17854'],['Bertrand Russell'],['4.02'],[],[],[],"Along with <em>Why I Am Not a Christian</em>, this essay must rank as the most articulate example of Russell's famed atheism. It is also one of the most notorious. Used as evidence in a 1940 court case in which Russell was declared unfit to teach college-level philosophy, <em>What I Believe</em> was to become one of his most defining works. The ideas contained within were and are controversial, contentious and - to the religious - downright blasphemous. A remarkable work, it remains the best concise introduction to Russell's thought."
