id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
214805,89330,The Dwarf,0374521352,9780374521356,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379150889l/214805._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379150889l/214805._SX50_.jpg,1958,1,1,,Hill and Wang,false,95227,68,9741,18077,4757,321,5:1281|4:1831|3:1171|2:361|1:113|total:4757,1944,,,3.80,3325,205,['89330'],['Pär Lagerkvist'],['3.80'],['3934231'],['Alexandra Dick'],['3.87'],"""I have noticed that sometimes I frighten people; what they really fear is themselves. They think it is I who scare them, but it is the dwarf within them, the ape-faced manlike being who sticks up his head from the depths of their souls.""<br /><br />Pär Lagerkvist's richly philosophical novel <i>The Dwarf</i> is an exploration of individual and social identity. The novel, set in a time when Italian towns feuded over the outcome of the last feud, centers on a social outcast, the court dwarf Piccoline. From his special vantage point Piccoline comments on the court's prurience and on political intrigue as the town is gripped by a siege. Gradually, Piccoline is drawn deeper and deeper into the conflict, and he inspires fear and hate around him as he grows to represent the fascination of the masses with violence."
12890,89330,Barabbas,,9780679725442,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416861318l/12890._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416861318l/12890._SY75_.jpg,1989,11,20,eng,Vintage,false,1179249,78,7842,14898,3885,374,5:1017|4:1569|3:997|2:244|1:58|total:3885,1950,,,3.83,3066,246,"['89330', '1361925', '7617']","['Pär Lagerkvist', 'Lucien Maury', 'André Gide']","['3.80', '3.86', '3.69']",['2371510'],['Alan Blair'],['3.97'],"Barabbas is the acquitted; the man whose life was exchanged for that of Jesus of Nazareth, crucified upon the hill of Golgotha. Barabbas is a man condemned to have no god. ""Christos Iesus"" is carved on the disk suspended from his neck, but he cannot affirm his faith. He cannot pray. He can only say, ""I want to believe.""<br /><br />Translated from Swedish by Alan Blair."
405987,89330,The Sibyl,0394702409,9780394702407,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345349974l/405987._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345349974l/405987._SY75_.jpg,1963,9,12,eng,Vintage,false,1533216,28,2439,4784,1198,121,5:426|4:431|3:263|2:63|1:15|total:1198,1956,,,3.99,999,97,['89330'],['Pär Lagerkvist'],['3.80'],['229978'],['Naomi Walford'],['4.11'],"In this powerful, poetic, and moving parable, the Wandering Jew of medieval Christian legend journeys to Delphi to consult the famed oracle of the pagans. He is turned away but not before learning that one of the most adept of the old priestesses, or sibyls, lives in disgrace in the mountains above the temple. In her rude goat-hut he seeks the meaning of his disastrous brush with the son of God. She reveals that she, too, has been touched by the son of a god, a very different son, not quite human, born of her own body. He dwells with her as a constant reminder of the betrayal of her mystical and erotic union with the divine, her punishment, and perhaps her redemption."
6014316,89330,Bödeln,9100567264,9789100567262,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345352134l/6014316._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345352134l/6014316._SY75_.jpg,1998,6,26,swe,Bonnier,false,6189574,22,1063,2200,624,34,5:115|4:198|3:231|2:60|1:20|total:624,1933,,,3.53,476,15,['89330'],['Pär Lagerkvist'],['3.80'],[],[],[],Under en resa genom Europa våren 1933 kunde Pär Lagerkvist bevittna fascismens och nazismens framfart. Vid hemkomsten till Sverige påbörjade han detta verk som skulle komma att bli ett omistligt inlägg i kampen mot våldet och nazismen. <i>Bödeln</i> är en betraktelse över människans förhållande till det onda.
154487,89330,The Death of Ahasuerus,0394708202,9780394708201,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,149109,19,649,1224,338,23,5:77|4:106|3:116|2:28|1:11|total:338,1960,,,3.62,242,16,['89330'],['Pär Lagerkvist'],['3.80'],['229978'],['Naomi Walford'],['4.11'],"A continuation of an allegorical tale by the great Swedish poet, playwright, novelist &amp; essayist (followed by ""Pilgrim at Sea"", 1962 &amp; being the 3rd installment of Lagerkvist's tetralogy consisting of Barabbas, The Sybil, The Death of Ahasuerus &amp; Pilgrim at Sea) attempting to polarize the Christian ethos &amp; modern attitudes,"
154478,89330,Pilgrim at Sea,0394708210,9780394708218,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,Random House,false,149100,11,551,914,238,18,5:62|4:89|3:75|2:11|1:1|total:238,1962,,,3.84,162,10,['89330'],['Pär Lagerkvist'],['3.80'],['229978'],['Naomi Walford'],['4.11'],"Benché il successo di Barabba e il Premio Nobel nei 1951 l’avessero fatto conoscere al grande pubblico anche italiano, Pär Lagerkvist è stato in seguito quasi dimenticato; lasciato in disparte dai flussi delle mode. Ma la scarna semplicità della sua lingua, la linearità delle narrazioni, la capacità di costruire sto­rie che, come Misteri medievali, hanno per soggetto le avventure dell’anima e per teatro lo spazio fra la terra e il cielo, pongono Lagerkvist nel numero dei «classici» per i quali giunge, prima o poi, il momento della rilettura. Due storie si intrecciano in Pellegrino sul mare: quella di Tobias, che parte per la Terra Santa imbarcandosi su una nave pirata, e quella di Giovanni, il vecchio marinaio che da anni percorre il mare perseguitato dal doloroso ricordo di una pas­sione impossibile. Ma esiste la Terra Santa? Esiste una pace, una fede che giustifichi la nostra vita? Esi­ste l’amore perfetto? Sullo sfondo della violenza e della brutalità della vita di bordo e dell’inquieta e indifferente presenza del mare, nessuna risposta è possibile. È l’assenza la condizione umana, la sepa­razione, la mancanza, come testimonia il medaglione vuoto che i personaggi di Lagerkvist si passano da un romanzo all’altro. I suoi ebrei erranti, le sue sibille, i vagabondi ricercatori di Dio e della verità, portano sempre dentro di sé quella nostalgia per una patria mai avuta e quella tensione verso un’improbabile terra promessa che sono nel fondo di tutti."
887956,89330,The Eternal Smile: Three Stories,0809013584,9780809013586,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,873205,9,469,875,216,17,5:79|4:81|3:45|2:10|1:1|total:216,1920,1,1,4.05,152,9,['89330'],['Pär Lagerkvist'],['3.80'],"['2849040', '1701137']","[""David O'Gorman"", 'Erik Mesterton']","['4.03', '4.05']",
11039414,89330,Gäst hos verkligheten,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345351610l/11039414._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345351610l/11039414._SY75_.jpg,1961,,,swe,Albert Bonniers Förlag,false,57827455,11,394,789,235,15,5:26|4:77|3:93|2:33|1:6|total:235,1925,,,3.36,207,12,['89330'],['Pär Lagerkvist'],['3.80'],[],[],[],
167013,89330,Herod and Mariamne,0394708180,9780394708188,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1982,12,31,eng,Vintage Books USA,false,161284,12,381,769,202,15,5:51|4:77|3:59|2:14|1:1|total:202,1967,1,1,3.81,162,14,['89330'],['Pär Lagerkvist'],['3.80'],['229978'],['Naomi Walford'],['4.11'],"Historien om en plötslig drabbande kärlek hos den grymme Herodes, kung över det Heliga Landet, till en kvinna han möter. Hon blir hans hustru av medlidande och offervilja och lyckas för en tid mildra hans onska"
7093589,89330,Onda sagor,9100565792,9789100565794,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444661206l/7093589._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444661206l/7093589._SY75_.jpg,1997,11,,swe,Albert Bonniers Förlag,false,7350176,4,344,728,187,12,5:50|4:77|3:50|2:10|1:0|total:187,1924,,,3.89,145,6,['89330'],['Pär Lagerkvist'],['3.80'],[],[],[],"Novellsamlingen Onda sagor innehåller flera av den svenska litteraturens klassiska texter, som till exempel den om hissen som gick ned i helvetet, eller den inledande berättelsen Far och jag. Konstnärligt hör Onda sagor till Pär Lagerkvists mest betydande verk. Den gavs ut första gången 1924; året före barndomsskildringen Gäst hos verkligheten. Pär Lagerkvist (1891-1974) blev ledamot av Svenska Akademien 1940 och tilldelades Nobelpriset i litteratur 1951."
167014,89330,Guest of Reality and Other Stories,0704300796,9780704300798,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382435778l/167014._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382435778l/167014._SX50_.jpg,1989,3,1,eng,Quartet Books,false,161285,3,338,581,163,12,5:29|4:63|3:49|2:15|1:7|total:163,1925,,,3.56,129,4,['89330'],['Pär Lagerkvist'],['3.80'],['220470'],['Robin Fulton'],['4.15'],"Gäst hos verkligheten är Pär Lagerkvists självbiografiska barndomsskildring som publicerades första gången 1925. Berättelsen handlar om den känslige pojken Anders, livet vid järnvägsstationen och uppväxten i en svensk småstad. Det är en hemlighetsfullt skimrande berättelse om de första erfarenheterna av livet."
154495,89330,The Holy Land,0394708199,9780394708195,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1982,3,12,,Vintage,false,149117,7,373,559,145,12,5:38|4:56|3:44|2:6|1:1|total:145,1964,,,3.86,116,9,['89330'],['Pär Lagerkvist'],['3.80'],['229978'],['Naomi Walford'],['4.11'],
154498,89330,Evening Land,0907954308,9780907954309,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,11,20,,"Allardyce, Barnett",false,873204,9,177,404,95,9,5:42|4:38|3:13|2:1|1:1|total:95,1953,,,4.25,36,1,['89330'],['Pär Lagerkvist'],['3.80'],['191584'],['Anthony Barnett'],['3.94'],"Poetry. Translated from the Swedish by Anthony Barnett. P""r Lagerkvist (1891-1974) was one of Sweden's greatest, most prolific, twentieth-century novelists and short story writers. EVENING LAND is the first complete translation of Lagerkvist's ninth and final volume of poetry, the deceptively simple Aftonland (1953). An intensely private man who refused to court publicity, the author was awarded the Nobel Prize in 1951. Barnett's translation (his translation of Robert Giroux's BLANK from the French is also available at SPD) sets straight an earlier, unfinished and otherwise compromised version by W. H. Auden and Leif Sj""berg. ""All things exist, only I exist no more, / everything remains, the fragrance of rain in the grass/ as I remember it and the sough of the wind through the trees, / the flight of clouds and the human heart's disquiet.// Only my heart's disquiet no longer exists""-(from ""The Dead"")"
24167795,89330,Dvärgen/Barabbas,9100559555,9789100559557,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,,,swe,Albert Bonniers Förlag,false,43756713,2,217,378,117,1,5:13|4:36|3:44|2:13|1:11|total:117,1995,1,1,3.23,117,1,['89330'],['Pär Lagerkvist'],['3.80'],[],[],[],Romanerna Dvärgen och Barabbas i en utgåva.
154477,89330,The Marriage Feast,0809067862,9780809067862,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312026976l/154477._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312026976l/154477._SY75_.jpg,1973,1,1,,Hill and Wang,false,522373,3,195,292,76,9,5:19|4:33|3:18|2:5|1:1|total:76,1955,,,3.84,75,8,['89330'],['Pär Lagerkvist'],['3.80'],[],[],[],"This collection of stories written over a period of more than thirty shows the deep seriousness and astonishing versatility of Par Lagerkvist's imagination. From the commonplace charm of the title story, to the searing futuristic satire of ""The Children's Campaign, "" to the disquieting fantasy of ""The Lift That Went Down to Hell, "" we see that Lagerkvist admits no settled boundaries between fact and fable. In this he is a poet for whom fantasy permeates the actual and ""reality"" can take on the dimensions of the fabulous. Life is, to him, a system of dark paradoxes; but there is also the good -- ""a quiet, everyday radiance that mankind always had difficulty noticing and setting a value on."""
