id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
25644382,8875,Vopnin kvödd,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433180161l/25644382._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433180161l/25644382._SX50_.jpg,1977,,,isl,Mál og menning,false,4652599,927,474340,968694,254510,9222,5:72682|4:93922|3:61149|2:19392|1:7365|total:254510,1929,,,3.81,12,0,['1455'],['Ernest Hemingway'],['3.83'],['8875'],['Halldór Laxness'],['3.97'],"<i>A Farewell to Arms</i> is the unforgettable story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield—weary, demoralized men marching in the rain during the German attack on Caporetto; the profound struggle between loyalty and desertion—this gripping, semiautobiographical work captures the harsh realities of war and the pain of lovers caught in its inexorable sweep. Ernest Hemingway famously said that he rewrote the ending to <i>A Farewell to Arms</i> thirty-nine times to get the words right."
21633200,8875,Birtíngur,9979661836,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555759342l/21633200._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555759342l/21633200._SY75_.jpg,2006,,,isl,Hið íslenzka bókmenntafélag,false,2833018,1856,378868,797986,211811,7314,5:58861|4:74035|3:55699|2:17228|1:5988|total:211811,1759,1,3,3.77,57,1,"['5754446', '1106231']","['Voltaire', 'Þorsteinn Gylfason']","['3.77', '4.07']",['8875'],['Halldór Laxness'],['3.97'],"Birtíng ritaði Voltaire á fáeinum vikum árið 1758. Bókin varð undir eins feykivinsæl og hefur verið það síðan, enda samdóma álit manna á öllum tímum að fáar bækur hafi verið ritaðar skemmtilegri. Birtíngur er einnig til á hljóðbók.<br /><br /> Voltaire er kunnur sem einn mesti andans maður á 18.öld. Hann var bæði skáld og fræðimaður, ritaði um heimspeki, sagnfræði og vísindi svo nokkuð sé nefnt og var einatt upp á móti stjórnvöldum í baráttu sinni gegn harðstjórn og hjátrú. Fá rit hans hafa þó haldið nafni hans jafnrækilega á lofti og ""heimspekilega ævintýrið"" Birtíngur. Bókin er skrifuð sem viðbragð við löghyggju 18.aldar, sér í lagi heimspeki Leibniz sem komist hafði að þeirri niðurstöðu að skynsamleg regla væri á sköpunarverkinu og raunar gott betur, því Guð hlyti nauðsynlega að hafa skapað hinn besta mögulega heim þótt íbúar hans komi ekki alltaf auga á það. Hörmungar sjö ára stríðsins og jarðskjálftinn mikli sem skók Portúgal árið 1755 vöktu hjá Voltaire djúpstæðar spurningar um hvernig hægt væri í fúlustu alvöru að halda því fram, eins og kristin forlagatrú gerði en einkum þó postular löghyggju á borð við Leibniz, að allt ætti sér skynsamlega ástæðu og heimurinn væri eins og best yrði á kosið. Birtíngur er ein samfelld háðsádeila á þessa skoðun, þar sem prófessor Altúnga er látinn hafa eftir heimspeki Leibniz í skopstælingu, þar á meðal frumsetningu hans um hina einhlítu ástæðu, það er að segja að hver hlutur sé til af skynsamlegri ástæðu þar sem að sérhverjum sannindum hnígi skynsamleg rök. Dæmi Altúngu um að nef manna séu gerð fyrir lonníettur og svín til þess að vera étin, enda höfum við lonníettur og étum svín, eru raunar ekki svo fjarri þeim rökum sem notuð voru til stuðnings löghyggju á 18.öld.<br /><br /> Birtíngur er þó öðru fremur kostuleg skemmtisaga. Þýðing Halldórs Laxness frá 1945, sem hér er endurútgefin, er gerð af mikilli orðsnilld og kímni svo sem verkinu hæfir. Þá hefur Þorsteinn Gylfason ritað fróðlegan og lifandi inngang um ádeilu Voltaire og ævi hans."
27864293,8875,Veisla í farángrinum,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448007751l/27864293._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448007751l/27864293._SX50_.jpg,1966,,,isl,Prentverk Odds Björnssonar,false,2459084,343,235638,452491,112007,7796,5:40898|4:42742|3:21875|2:4916|1:1576|total:112007,1964,,,4.04,8,0,['1455'],['Ernest Hemingway'],['3.83'],['8875'],['Halldór Laxness'],['3.97'],"Síðasta verk Nóbelsverðlaunaskáldsins ERNEST HEMINGWAY í þýðingu Nóbelsverðlaunaskáldsins HALLDÓRS LAXNESS<br /><br />Það vakti alheims athygli þegar kunnugt varð, eftir andlát nóbels-skáldsins Ernests Hemingways,að hann hafði látið eftir sig handrit að endurminningum sínum frá Parísar-árunum, 1922-192. Bókin var gefin út í Bandarikjunum arið 1964 og var metsölubók í meira en heilt ár, enda er hún frábærlega skemmtileg aflestrar. Það mun ekki teljast til minni tíðinda hér á landi, að Nóbels-skáldið Halldór Laxness hefur nú snúið bókinni á íslenzku af hinni alkunnu snilld, og er ósennilegt að annar merkari bokmenntaviðburður verði hér á landi árið 1966 en útkoma bokarinnar VEISLA í FARÁNGRINUM. Þessa óviðjafnanlegu bók þurfa allir bókelskir íslendingar að eignast og lesa sér til óblandinnar ánægju. <br /><br />Í kynningu útgefanda segir m.a.: „Veisla í farángrinum er skáldverk með endurminningablæ frá þeim árum er Hemingway dvaldist í París á þriðja tug aldarinnar. Á þeim tíma var París iðandi miðborg lista og bókmennta ög þangað sóttu listamenn hvaðanæva. Allstór hópur enskra og bandaifekra rithöfunda og listamanna átti þarna samleið og Hemingway, þá ungur og óreyndur rithöfundur, drakk í sig andann í París ásamt félögum sínum. Þeirra á meðal voru þau James Joyce, Ezra Pound, Scott Fitzgerald og Wyndham Lewis.""<br /><br />Útgefandi : Prentverk Odds Björnssonar, 1966. 240 bls."
77287,8875,Independent People,0679767924,9780679767923,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1282892439l/77287._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1282892439l/77287._SY75_.jpg,1997,1,14,eng,Vintage,false,1391302,79,30660,36379,8726,1216,5:4007|4:2883|3:1298|2:380|1:158|total:8726,1934,,,4.17,7098,1045,['8875'],['Halldór Laxness'],['3.97'],['7734300'],['James Anderson Thompson'],['4.18'],"This magnificent novel—which secured for its author the 1955 Nobel Prize in Literature—is at last available to contemporary American readers. Although it is set in the early twentieth century, it recalls both Iceland's medieval epics and such classics as Sigrid Undset's <i>Kristin Lavransdatter</i>. And if Bjartur of Summerhouses, the book's protagonist, is an ordinary sheep farmer, his flinty determination to achieve independence is genuinely heroic and, at the same time, terrifying and bleakly comic.<br /><br />Having spent eighteen years in humiliating servitude, Bjartur wants nothing more than to raise his flocks unbeholden to any man. But Bjartur's spirited daughter wants to live unbeholden to <i>him</i>. What ensues is a battle of wills that is by turns harsh and touching, elemental in its emotional intensity and intimate in its homely detail. Vast in scope and deeply rewarding, Independent People is simply a masterpiece"
150472,8875,The Fish Can Sing,1860469345,9781860469343,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,9,28,eng,Vintage Classics,false,308523,46,4588,7164,1844,263,5:513|4:751|3:461|2:93|1:26|total:1844,1957,,,3.89,1164,157,['8875'],['Halldór Laxness'],['3.97'],['67393'],['Magnus Magnusson'],['3.88'],"<i>The Fish Can Sing </i>is one of Nobel Prize winner Halldór Laxness’s most beloved novels, a poignant coming-of-age tale marked with his peculiar blend of light irony and dark humor.<br /><br />The orphan Alfgrimur has spent an idyllic childhood sheltered in the simple turf cottage of a generous and eccentric elderly couple. Alfgrimur dreams only of becoming a fisherman like his adoptive grandfather, until he meets Iceland's biggest celebrity. The opera singer Gardar Holm’s international fame is a source of tremendous pride to tiny, insecure Iceland, though no one there has ever heard him sing. A mysterious man who mostly avoids his homeland and repeatedly fails to perform for his adoring countrymen, Gardar takes a particular interest in Alfgrimur’s budding musical talent and urges him to seek out the world beyond the one he knows and loves. But as Alfgrimur discovers that Gardar is not what he seems, he begins to confront the challenge of finding his own path without turning his back on where he came from."
14265,8875,Under the Glacier,1400034418,9781400034413,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,3,8,eng,Vintage,false,3019063,33,4502,7040,1959,218,5:401|4:711|3:565|2:214|1:68|total:1959,1968,,,3.59,1597,183,['8875'],['Halldór Laxness'],['3.97'],['67393'],['Magnus Magnusson'],['3.88'],"Nobel laureate Halldór Laxness’s <b>Under the Glacier</b><i> </i>is a<i> </i>one-of-a-kind masterpiece, a wryly provocative novel at once earthy and otherworldly. At its outset, the Bishop of Iceland dispatches a young emissary to investigate certain charges against the pastor at Sn?fells Glacier, who, among other things, appears to have given up burying the dead. But once he arrives, the emissary discovers that this dereliction counts only as a mild eccentricity in a community that regards itself as the center of the world and where Creation itself is a work in progress.<br />What is the emissary to make, for example, of the boarded-up church? What about the mysterious building that has sprung up alongside it? Or the fact that Pastor Primus spends most of his time shoeing horses? Or that his wife, Ua (pronounced “ooh-a,” which is what men invariably sputter upon seeing her), is rumored never to have bathed, eaten, or slept? Piling improbability on top of improbability, <b>Under the Glacier</b><i> </i>overflows with comedy both wild and deadpan as it conjures a phantasmagoria as beguiling as it is profound."
14267,8875,Iceland's Bell,1400034256,9781400034253,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,10,14,eng,Vintage,false,16324,50,4643,6612,1701,130,5:491|4:685|3:386|2:120|1:19|total:1701,1943,,,3.89,1278,93,"['8875', '104756']","['Halldór Laxness', 'Adam Haslett']","['3.97', '3.69']",['814415'],['Philip Roughton'],['3.78'],"Sometimes grim, sometimes uproarious, and always captivating, <b>Iceland’s Bell</b> by Nobel Laureate Halldór Laxness is at once an updating of the traditional Icelandic saga and a caustic social satire. At the close of the 17th century, Iceland is an oppressed Danish colony, suffering from extreme poverty, famine, and plague. A farmer and accused cord-thief named Jon Hreggvidsson makes an improper joke about the Danish king and soon after finds himself a fugitive charged with the murder of the king’s hangman.<br /><br />In the years that follow, the hapless but resilient rogue Hreggvidsson becomes a pawn entangled in political and personal conflicts playing out on a far grander scale. Chief among these is the star-crossed love affair between Snaefridur, known as “Iceland’s Sun,” a beautiful, headstrong young noblewoman, and Arnas Arnaeus, the king’s antiquarian, an aristocrat whose worldly manner conceals a fierce devotion to his downtrodden countrymen. As their personal struggle plays itself out on an international stage, <b>Iceland’s Bell</b><i> </i>creates a Dickensian canvas of heroism and venality, violence and tragedy, charged with narrative enchantment on every page."
150473,8875,Salka Valka,0048230308,9780048230300,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265409186l/150473._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265409186l/150473._SX50_.jpg,1963,6,28,eng,Allen & Unwin,false,145232,38,2026,3760,938,49,5:295|4:413|3:180|2:43|1:7|total:938,1931,,,4.01,784,33,['8875'],['Halldór Laxness'],['3.97'],['454693'],['F.H. Lyon'],['3.97'],"A novel of Iceland -- a queer, repellant sort of Iceland at that. The story of a prostitute and her child, victim of her passions, her selfishness, and her ill-fame -- and of their attempt to find a place for themselves in a new community which is unfriendly, critical, and unforgiving. Chiefly the story of the daughter -- her obsessions with and revulsions from sex, and her relations with two men, the one by morbid fascination and hate and love of a queer sort -- the other by appeal to her better nature. Glimpses of effects of industrial unrest in a distant part of the world. A difficult style -- not easy reading. (Kirkus review)"
14268,8875,The Atom Station,0099455153,9780099455158,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265473058l/14268._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265473058l/14268._SY75_.jpg,2004,3,4,en-GB,Vintage Classics,false,2552309,46,1970,3302,933,86,5:170|4:310|3:333|2:93|1:27|total:933,1948,,,3.54,609,53,['8875'],['Halldór Laxness'],['3.97'],['67393'],['Magnus Magnusson'],['3.88'],"When the Americans make an offer to buy land in Iceland to build a NATO airbase after the Second World War, a storm of protest is provoked throughout the country. Narrated by a country girl from the north, the novel follows her experiences after she takes up employment as a maid in the house of her Member of Parliament. Her observations and experiences expose the bourgeois society of the south as rootless and shallow and in stark contrast to the age-old culture of the solid and less fanciful north."
14264,8875,World Light,0375727574,9780375727573,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403188715l/14264._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403188715l/14264._SY75_.jpg,2002,10,8,eng,Vintage,false,145240,29,2303,2757,666,58,5:277|4:253|3:98|2:28|1:10|total:666,1937,,,4.14,559,54,['8875'],['Halldór Laxness'],['3.97'],['67393'],['Magnus Magnusson'],['3.88'],"As an unloved foster child on a farm in rural Iceland, Olaf Karason has only one consolation: the belief that one day he will be a great poet. The indifference and contempt of most of the people around him only reinforces his sense of destiny, for in Iceland poets are as likely to be scorned as they are to be revered. Over the ensuing years, Olaf comes to lead the paradigmatic poet's life of poverty, loneliness, ruinous love affairs, and sexual scandal. But he will never attain anything like greatness.<br />As imagined by Nobel Prize winner Halldor Laxness in this magnificently humane novel, what might be cruel farce achieves pathos and genuine exaltation. For as Olaf's ambition drives him onward-and into the orbits of an unstable spiritualist, a shady entrepreneur, and several susceptible women-<b>World Light</b> demonstrates how the creative spirit can survive in even the most crushing of environments, and even the most unpromising human vessel."
14266,8875,Paradise Reclaimed,0375727582,9780375727580,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320499255l/14266._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320499255l/14266._SY75_.jpg,2002,4,2,eng,Vintage,false,16323,18,1153,1997,528,39,5:110|4:240|3:139|2:31|1:8|total:528,1960,,,3.78,453,33,"['8875', '1339']","['Halldór Laxness', 'Jane Smiley']","['3.97', '3.73']",['67393'],['Magnus Magnusson'],['3.88'],"An idealistic Icelandic farmer journeys to Mormon Utah and back in search of paradise in this captivating novel by Nobel Prize—winner Halldor Laxness.<br />The quixotic hero of this long-lost classic is Steinar of Hlidar, a generous but very poor man who lives peacefully on a tiny farm in nineteenth-century Iceland with his wife and two adoring young children. But when he impulsively offers his children's beloved pure-white pony to the visiting King of Denmark, he sets in motion a chain of disastrous events that leaves his family in ruins and himself at the other end of the earth, optimistically building a home for them among the devout polygamists in the Promised Land of Utah. By the time the broken family is reunited, Laxness has spun his trademark blend of compassion and comically brutal satire into a moving and spellbinding enchantment, composed equally of elements of fable and folkore and of the most humble and delicate truths."
