id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
49552,957894,The Stranger,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349927872l/49552._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349927872l/49552._SY75_.jpg,1989,3,28,eng,Vintage International,false,3324344,90,1122620,2636657,662038,21626,5:238594|4:239292|3:132446|2:37475|1:14231|total:662038,1942,,,3.98,555946,13417,['957894'],['Albert Camus'],['4.00'],['4065222'],['Matthew    Ward'],['3.88'],"Through the story of an ordinary man unwittingly drawn into a senseless murder on an Algerian beach, Camus explored what he termed ""the nakedness of man faced with the absurd."" First published in English in 1946; now in a new translation by Matthew Ward."
50892767,957894,"Moby Dick, ou A Baleia",8573267380,9788573267389,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,2409320,5172,906899,1628735,465394,14802,5:124956|4:121733|3:119456|2:59406|1:39843|total:465394,1851,10,18,3.50,2,1,"['1624', '957894', '7304550']","['Herman Melville', 'Albert Camus', 'Bruno Gambarotto']","['3.54', '4.00', '4.24']","['3355417', '4654250']","['Irene Hirsch', 'Alexandre Barbosa de Souza']","['4.07', '4.00']","Widely considered one of the great American novels, Herman Melville’s masterpiece went largely unread during his lifetime and was out of print at the time of his death in 1891. Called the greatest book about the sea ever written by D.H. Lawrence, Moby Dick features detailed descriptions of whale hunting and whale oil extraction as well as beautiful, incisive writing on race, class, religion, art, and society. The story, loosely based on a real whaling shipwreck, features the unforgettable, vengeful Captain Ahab, who obsessively hunts a great white whale who bit his leg off below the knee."
11989,957894,The Plague,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503362434l/11989._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503362434l/11989._SY75_.jpg,1991,3,,eng,Vintage International,false,2058116,569,314305,607755,152119,6182,5:51391|4:60059|3:31244|2:7407|1:2018|total:152119,1947,6,,4.00,120294,3437,['957894'],['Albert Camus'],['4.00'],['5744'],['Stuart Gilbert'],['4.07'],"A gripping tale of human unrelieved horror, of survival and resilience, and of the ways in which humankind confronts death, <i>The Plague</i> is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents, unheeded by the people. It gradually becomes an omnipresent reality, obliterating all traces of the past and driving its victims to almost unearthly extremes of suffering, madness, and compassion."
11991,957894,The Fall,0679720227,9780679720225,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467904855l/11991._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467904855l/11991._SY75_.jpg,1991,5,7,eng,Vintage,false,3324245,279,148657,272781,67551,2911,5:24548|4:25880|3:13194|2:3010|1:919|total:67551,1956,5,16,4.04,55063,1840,['957894'],['Albert Camus'],['4.00'],['2435'],"[""Justin O'Brien""]",['4.11'],"Jean-Baptiste Clamence, a successful Parisian barrister, has come to recognize the deep-seated hypocrisy of his existence. His epigrammatic and, above all, discomforting monologue gradually saps, then undermines, the reader's own complacency."
11987,957894,The Myth of Sisyphus and Other Essays,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533718219l/11987._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533718219l/11987._SY75_.jpg,1991,5,7,eng,Vintage International,false,855563,35,99999,164481,39146,1132,5:17269|4:14414|3:5912|2:1193|1:358|total:39146,1942,,,4.20,37646,1004,['957894'],['Albert Camus'],['4.00'],['2435'],"[""Justin O'Brien""]",['4.11'],"One of the most influential works of this century, this is a crucial exposition of existentialist thought. Influenced by works such as Don Juan, and the novels of Kafka, these essays begin with a meditation on suicide: the question of living or not living in an absurd universe devoid of order or meaning. With lyric eloquence, Camus posits a way out of despair, reaffirming the value of personal existence, and the possibility of life lived with dignity and authenticity."
25775933,957894,No Exit and Three Other Plays,1101971231,9781101971239,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2015,7,15,,Vintage,true,1006752,23,45418,105581,25724,675,5:9877|4:9955|3:4803|2:878|1:211|total:25724,1947,,,4.10,0,0,"['1466', '957894']","['Jean-Paul Sartre', 'Albert Camus']","['3.99', '4.00']",[],[],[],"4 plays about an existential portrayal of Hell, the reworking of the Electra-Orestes story, the conflict of a young intellectual torn between theory and conflict and an arresting attack on American racism."
91950,957894,The Myth of Sisyphus,0141182008,9780141182001,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347654509l/91950._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347654509l/91950._SY75_.jpg,2000,3,30,eng,Penguin Classics,false,48339830,247,59199,89765,21594,1252,5:9233|4:7807|3:3501|2:816|1:237|total:21594,1942,,,4.16,12897,439,"['957894', '1658797', '26341']","['Albert Camus', 'Corrado Rosso', 'James  Wood']","['4.00', '4.24', '4.06']",['2435'],"[""Justin O'Brien""]",['4.11'],"Throughout history, some books have changed the world. They have transformed the way we see ourselves—and each other. They have inspired debate, dissent, war and revolution. They have enlightened, outraged, provoked and comforted. They have enriched lives—and destroyed them. Now Penguin brings you the works of the great thinkers, pioneers, radicals and visionaries whose ideas shook civilization and helped make us who we are. Inspired by the myth of a man condemned to ceaselessly push a rock up a mountain and watch it roll back to the valley below, <i>The Myth of Sisyphus</i> transformed twentieth-century philosophy with its impassioned argument for the value of life in a world without religious meaning."
1077903,957894,Die Mauer: Französische Erzählungen Aus Der Klassischen Moderne ; Französisch Und Deutsch,3950161260,9783950161267,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,12776,76,46024,81605,20005,643,5:7308|4:8025|3:3807|2:679|1:186|total:20005,1939,,,4.08,3,0,"['1466', '120374', '957894']","['Jean-Paul Sartre', 'Marcel Aymé', 'Albert Camus']","['3.99', '3.88', '4.00']",[],[],[],"'The Wall', the lead story in this collection, introduces three political prisoners on the night prior to their execution. Through the gaze of an impartial doctor--seemingly there for the men's solace--their mental descent is charted in exquisite, often harrowing detail. And as the morning draws inexorably closer, the men cross the psychological wall between life and death, long before the first shot rings out.<br /><br />This brilliant snapshot of life in anguish is the perfect introduction to a collection of stories where the neurosis of the modern world is mirrored in the lives of the people that inhabit it."
11990,957894,The Rebel,0679733841,9780679733843,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547122397l/11990._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547122397l/11990._SY75_.jpg,1992,1,1,eng,Vintage,false,486408,130,45593,47843,11531,454,5:4796|4:4300|3:1912|2:404|1:119|total:11531,1951,,,4.15,9380,263,"['957894', '641268']","['Albert Camus', 'Herbert Read']","['4.00', '4.19']",['516045'],['Anthony Bower'],['4.16'],"By one of the most profoundly influential thinkers of our century, The Rebel is a classic essay on revolution. For Albert Camus, the urge to revolt is one of the ""essential dimensions"" of human nature, manifested in man's timeless Promethean struggle against the conditions of his existence, as well as the popular uprisings against established orders throughout history. And yet, with an eye toward the French Revolution and its regicides and deicides, he shows how inevitably the course of revolution leads to tyranny, as old regimes throughout the world collapse, The Rebel resonates as an ardent, eloquent, and supremely rational voice of conscience for our tumultuous times.<br /><br />Translated from the French by Anthony Bower."
15682,957894,A Happy Death,0141186585,9780141186580,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,2,28,eng,Penguin Classics,false,1591380,102,26880,39465,10340,634,5:2771|4:3894|3:2841|2:677|1:157|total:10340,1971,,,3.82,7131,269,"['957894', '641866']","['Albert Camus', 'Jean Sarocchi']","['4.00', '3.89']",['27112'],['Richard Howard'],['4.07'],"Is it possible to die a happy death? This is the central question of Camus's astonishing early novel, published posthumously and greeted as a major literary event. It tells the story of a young Algerian, Mersault, who defies society's rules by committing a murder and escaping punishment, then experimenting with different ways of life and finally dying a happy man. In many ways <i>A Happy Death</i> is a fascinating first sketch for <i>The Outsider</i>, but it can also be seen as a candid self-portrait, drawing on Camus's memories of his youth, travels, and early relationships. It is infused with lyrical descriptions of the sun-drenched Algiers of his childhood - the place where, eventually, Mersault is able to find peace and die 'without anger, without hatred, without regret'."
76826,957894,Exile and the Kingdom,067973385X,9780679733850,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482768294l/76826._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482768294l/76826._SY75_.jpg,,,,eng,Vintage International,false,1028050,112,21476,37842,9734,433,5:2653|4:3958|3:2581|2:460|1:82|total:9734,1957,,,3.89,7300,215,['957894'],['Albert Camus'],['4.00'],['2435'],"[""Justin O'Brien""]",['4.11'],"These six stories, written at the height of Camus' artistic powers, all depict people at decisive, revelatory moments in their lives. Translated from the French by Justin O'Brien.<br /><br />The six works featured in this volume are:<br /><br /> ""The Adulterous Woman"" (""La Femme adultère"")<br /> ""The Renegade or a Confused Spirit"" (""Le Renégat ou un esprit confus"")<br /> ""The Silent Men"" (""Les Muets"")<br /> ""The Guest"" (""L'Hôte"")<br /> ""Jonas or the Artist at Work"" (""Jonas ou l’artiste au travail"")<br /> ""The Growing Stone"" (""La Pierre qui pousse"")"
