id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
3228331,7902,"Гамлет, принц Датский",5170243332,9785170243334,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318577075l/3228331._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318577075l/3228331._SY75_.jpg,2004,,,rus,"AST, Ermak",false,1885548,4652,1088193,2815150,700211,12149,5:271462|4:235402|3:142311|2:38263|1:12773|total:700211,1603,,,4.02,16,0,['947'],['William Shakespeare'],['3.87'],['7902'],['Boris Pasternak'],['4.03'],"Лучшее из произведений Шекспира.<br />Пьеса, о которой писали не сотни - тысячи критиков, философов и историков.<br />Пьеса, не сходившая со сцены со дня ее премьеры - и до наших дней, экранизированная десятки раз, переведенная на все языки мира...<br />""Гамлета"" можно воспринимать как угодно - в духе классики, маньеризма, модернизма, постмодернизма... однако не нашлось еще человека, которого не потрясла бы трагедия о принце Датском..."
130440,7902,Doctor Zhivago,0679774386,9780679774389,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385508725l/130440._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385508725l/130440._SY75_.jpg,1997,3,18,eng,Pantheon,false,3288400,438,182822,309993,76920,2973,5:29777|4:26803|3:14698|2:4160|1:1482|total:76920,1957,11,,4.03,67029,1834,"['7902', '21660']","['Boris Pasternak', 'John Bayley']","['4.03', '4.08']","['923847', '9860410', '923848']","['Max Hayward', 'Hülya Arslan', 'Manya Harari']","['4.06', '4.05', '4.04']","This epic tale about the effects of the Russian Revolution and its aftermath on a bourgeois family was not published in the Soviet Union until 1987. One of the results of its publication in the West was Pasternak's complete rejection by Soviet authorities; when he was awarded the Nobel Prize for Literature in 1958 he was compelled to decline it. The book quickly became an international best-seller.<br /><br />Dr. Yury Zhivago, Pasternak's alter ego, is a poet, philosopher, and physician whose life is disrupted by the war and by his love for Lara, the wife of a revolutionary. His artistic nature makes him vulnerable to the brutality and harshness of the Bolsheviks. The poems he writes constitute some of the most beautiful writing featured in the novel."
32999841,7902,Фауст,,9785699812486,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479367873l/32999841._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479367873l/32999841._SY75_.jpg,2015,,,rus,Эксмо-Пресс,false,24158213,1441,80458,117445,29631,1252,5:10457|4:10401|3:6521|2:1741|1:511|total:29631,1832,,,3.96,1,0,['285217'],['Johann Wolfgang von Goethe'],['3.80'],['7902'],['Boris Pasternak'],['4.03'],"Доктор Иоганн Фауст - личность не только легендарная, но и историческая: ученый врач или маг-чернокнижник, шарлатан и плут, живший в 16 веке в Германии (за давностью лет подробности его биографии остаются неизвестными). Остались записи о загадочной смерти Фауста, якобы убитого демоном Мефистофелем. <br /><br />Под пером Иоганна Вольфганга Гёте средневековая легенда превратилась в великую трагедию о цели человеческого бытия, о поиске смысла жизни."
164552,7902,Selected Poems,014018466X,9780140184662,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1992,4,7,eng,Penguin Classics,false,238733,6,1568,3053,722,16,5:362|4:210|3:112|2:29|1:9|total:722,1960,,,4.23,713,13,"['7902', '6623291']","['Boris Pasternak', 'Борис Пастернак']","['4.03', '4.14']","['122047', '26490']","['Peter France', 'Jon Stallworthy']","['4.00', '4.21']","Aleksandr Blok (1880-1921) lived through his country's savage wars and radical traumas trying to welcome the new order. Trotsky wrote, `Certainly Blok is not one of us, but he came towards us. And that is what broke him.' <br /><br />Pasternak said, `He is as free as the wind.'"
2924801,7902,Dr Zhivago,1405882425,9781405882422,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,2,1,eng,Pearson PTR Interactive,false,47520247,4,2476,3012,765,68,5:270|4:264|3:163|2:49|1:19|total:765,,,,3.94,749,64,"['119667', '7902']","['Nancy Stanley', 'Boris Pasternak']","['3.94', '4.03']",[],[],[],"[<i>Penguin Readers Level 5</i>]<br /><br />Contemporary / British English The Russian Revolution -- four young people, Yury, Tonya, Lara and Pasha, find love and lose it in this extraordinary time. Their heart-breaking stories make Dr Zhivago one of the greatest romantic books, and films, of the century."
40010359,7902,Страдания юного Вертера. Фауст.,9785699756,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525138013l/40010359._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525138013l/40010359._SX50_.jpg,,,,rus,Библиотека всемирной литературы,false,18868800,23,2018,2970,748,40,5:249|4:283|3:169|2:39|1:8|total:748,,,,3.97,3,0,['285217'],['Johann Wolfgang von Goethe'],['3.80'],['7902'],['Boris Pasternak'],['4.03'],"Goethe es el alemán de fama perpetua, grande entre los grandes de todos los tiempos. Universal por su genio, no se le resistió ningún género literario: fue poeta, novelista, pensador, autor dramático y hombre de ciencia de fecundas instituciones. El libro imperecedero de Goethe es Fausto, obra inconmensurable, a la vez drama, misterio, poema simbólico y filosófico. Más de seis décadas de la vida de Goethe laboraron en la composición de Fausto, tragedia que ha sido denominada ""la segunda Biblia de los alemanes"". Fausto es la obra capital de Goethe. La idea v la realización palpitaron en el pecho del poeta desde su inquieta infancia hasta los días apacibles y melancólicos de su vejez. Puede decirse que Fausto es Goethe. El genial alemán estuvo siempre obsesionado por la búsqueda de la Verdad y éste es asimismo el gran drama de Fausto. Werther, esa célebre novela romántica de Goethe, tuvo su origen, como tantas poesías del autor, en un asunto amoroso."
78125,7902,The Poems of Doctor Zhivago,0837182948,9780837182940,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570321053l/78125._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570321053l/78125._SX50_.jpg,1977,2,25,,Greenwood Press,false,14741,11,713,1247,313,27,5:129|4:83|3:75|2:19|1:7|total:313,1965,,,3.98,291,22,"['7902', '12128']","['Boris Pasternak', 'Donald Davie']","['4.03', '3.92']",[],[],[],The 25 poems from Pasternak's masterpiece Doctor Zhivago are followed by a masterful critique of their function in the novel and their value as poetry.
12427,7902,Letters: Summer 1926,0940322714,9780940322714,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320554751l/12427._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320554751l/12427._SY75_.jpg,2001,10,31,eng,NYRB Classics,false,14729,13,1368,933,219,25,5:110|4:63|3:40|2:5|1:1|total:219,1926,,,4.26,181,16,"['7902', '5786093', '7906']","['Boris Pasternak', 'Marina Tsvetaeva', 'Rainer Maria Rilke']","['4.03', '4.28', '4.29']",[],[],[],"Edited by Yevgeny Pasternak, Yelena Pasternak, and Konstantin M. Azadovsky<br /><br />The summer of 1926 was a time of trouble and uncertainty for each of the three poets whose correspondence is collected in this moving volume. Marina Tsvetayeva was living in exile in France and struggling to get by. Boris Pasternak was in Moscow, trying to come to terms with the new Bolshevik regime. Rainer Maria Rilke, in Switzerland, was dying. Though hardly known to each other, they began to correspond, exchanging a series of searching letters in which every aspect of life and work is discussed with extraordinary intensity and passion. <i>Letters: Summer 1926</i> takes the reader into the hearts and minds of three of the twentieth century's greatest poets at a moment of maximum emotional and creative pressure."
15626,7902,My Sister - Life,0810119099,9780810119093,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,10,24,,Northwestern University Press,false,362124,16,757,770,184,11,5:89|4:59|3:21|2:11|1:4|total:184,1922,,,4.18,167,9,"['7902', '3856595']","['Boris Pasternak', 'Bohdan Boychuk']","['4.03', '4.19']",['114120'],['Mark Rudman'],['3.97'],"Boris Pasternak, the Nobel laureate and author of <i>Doctor Zhivago,</i> composed one of the world's great love poems in <i>My Sister—Life.</i> Written in the summer of 1917, the cycle of poems focuses on personal journeys and loves but is permeated by the tension and promise of the impending October Revolution.<br /><br /> Osip Mandelstam wrote: ""To read the poems of Pasternak is to get one's throat clear, to fortify one's breathing. . . . I see Pasternak's <i>My Sister—Life</i> as a collection of magnificent exercises in breathing . . . a cure for tuberculosis."" This English translation, rendered with verve and intelligence by Mark Rudman, is a heady gust that matches the intensity and power of the original Russian text."
8699572,7902,"I capolavori, Volume 1",8806134647,9788806134648,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419964357l/8699572._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419964357l/8699572._SY75_.jpg,,,,ita,,false,6254061,121,801,750,168,12,5:102|4:45|3:18|2:3|1:0|total:168,1621,,,4.46,14,0,"['947', '7902', '18240']","['William Shakespeare', 'Boris Pasternak', 'Giorgio Melchiori']","['3.87', '4.03', '3.78']",['4410533'],['Cesare Vico Lodovici'],['4.23'],Contents: <br />Romeo e Giulietta ; Riccardo II ; Il mercante di Venezia ; Giulio Cesare ; Come vi piace ; La dodicesima notte / traduzione di Cesare Vico Lodovici ; con un saggio di Boris Pasternak ; introduzione di Giorgio Melchiori.
625217,7902,The Last Summer,0140015477,9780140015478,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1960,,,eng,Penguin Books,false,611574,9,472,537,182,24,5:14|4:38|3:66|2:53|1:11|total:182,1934,,,2.95,151,21,"['7902', '6623291', '20051128']","['Boris Pasternak', 'Борис Пастернак', 'Lydia Slater']","['4.03', '4.14', '2.99']",['95778'],['George Reavey'],['4.13'],"Set in Russia during the winter of 1916, Serezha visits his married sister. Tired after a long journey, he falls into a restless sleep and half-remembers, half-dreams the incidents of the last summer of peace before the First World War 'when life appeared to pay heed to individuals'. As tutor in a wealthy, unsettled Moscow household he focuses his intense romanticism on Mrs Arild, his employer's paid companion, while spending his nights with the prostitute Sashka."
