id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
9440364,599188,Romeo e Giulietta,8804499397,9788804499398,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,7,,ita,Mondadori,false,3349450,4899,2708785,7442376,1986909,18642,5:593218|4:614737|3:529591|2:179202|1:70161|total:1986909,1595,,,3.75,769,24,"['947', '2995685', '1588908', '236']","['William Shakespeare', 'Anna Luisa Zazo', 'Paolo Bertinetti', 'Harold Bloom']","['3.87', '3.96', '4.00', '4.10']",['599188'],['Salvatore Quasimodo'],['4.09'],"<b>Testo inglese a fronte</b><br /><br />Ispirato, come molti testi elisabettiani, alla novellistica italiana, <i>Romeo e Giulietta</i> intreccia numerosi elementi nella vicenda dei due innamorati ""nati sotto contraria stella"". Dalla ""morta viva"", che affascinò e ispirò i preromantici e i romantici, al drammatico scontro tra due generazioni - la lotta tra le ragioni dell'odio e le ragioni dell'amore - il dramma si arricchisce di temi la cui complessità va oltre la vicenda d'amore.<br />Tuttavia è questa a fare di <i>Romeo e Giulietta</i> l'opera forse più celebre e più amata di Shakespeare; e nel contrasto tra la purezza, l'appassionata consapevolezza dell'amore (singolarmente quale si esprime nella figura di Giulietta, la prima elle ""grandi innamorate"" di Shakespeare) e l'inesorabile concatenarsi delle circostanze funeste va cercata la grandezza del dramma, la chiave della sua autentica dimensione tragica, annunciata nel Prologo grazie alla contrapposizione dei due termini <i>amore</i> e <i>contraria stella</i>. Qui infatti, forse per la prima volta in modo completo, il linguaggio shakespeariano si fa mirabilmente funzionale alla vicenda, trascorrendo dai preziosismi eufuistici di Romeo innamorato alla semplice immediatezza della passione di Giulietta fino al barocco, drammatico splendore delle scene finali."
18866402,599188,Iliade. Episodi scelti e tradotti da Salvatore Quasimodo,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384897794l/18866402._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384897794l/18866402._SX50_.jpg,1968,,,ita,Mondadori,false,3293141,2688,641708,1312068,339690,6782,5:112612|4:111021|3:82117|2:24633|1:9307|total:339690,-750,,,3.86,2,0,"['903', '260548']","['Homer', 'Giorgio de Chirico']","['3.81', '3.87']",['599188'],['Salvatore Quasimodo'],['4.09'],Con 26 tavole a colori di Giorgio De Chirico.
13511363,599188,Otello,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330895921l/13511363._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330895921l/13511363._SY75_.jpg,2006,10,,ita,Arnoldo Mondadori Editore,false,995103,2083,476793,1178226,302701,6088,5:94615|4:109570|3:74779|2:18797|1:4940|total:302701,1603,,,3.89,5,0,['947'],['William Shakespeare'],['3.87'],['599188'],['Salvatore Quasimodo'],['4.09'],Il dramma della gelosia per eccellenza;una tragedia di grandi sentimenti e di passioni devastanti in cui i sopravvissuti risultano essere i mediocri.<br /><br />Testo originale a fronte.
10197524,599188,Edipo re,8804477822,9788804477822,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559970665l/10197524._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559970665l/10197524._SY75_.jpg,2000,,,ita,Mondadori,false,3098166,693,237271,610983,165020,3132,5:40669|4:56273|3:50020|2:14428|1:3630|total:165020,-429,,,3.70,13,0,"['1002', '1273401']","['Sophocles', 'Gilberto Finzi']","['3.77', '3.88']",['599188'],['Salvatore Quasimodo'],['4.09'],"<p>Considerato fin dall'antichità un capolavoro assoluto, definito da Aristotele un paradigma di favola capace di suscitare un brivido di terrore e un senso di pietà. L'Edipo re è forse il momento più alto dellla tragedia greca in generale e della produzione sofoclea in particolare. Sullo sfondo della drammatica vicenda del re di Tebe, assassino del padre e sposo della madre, si intrecciano motivi di perenne attualità: l'onnipotenza del fato, la ricerca angosciosa della propria origine, la legittimità della giustizia divina, l'inevitabile infelicità della condizione umana. Temi che filtrano dalla poesia attraverso personaggi e situazioni che vengono alla luce, precisando il rapporto fra gli uomini e la vita nel tempo e nel mistero che li circonda. Di quei personaggi e di quelle situazioni la traduzione di Salvatore Quasimodo ricrea la cupa atmosfera, regolando, secondo la sensibilità poetica contemporanea, i toni e i ritmi del complesso linguaggio del grande trageda ellenico.</p>"
9654521,599188,Riccardo III,8804319607,9788804319603,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328445594l/9654521._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328445594l/9654521._SY75_.jpg,2009,,,ita,Mondadori,false,2913597,943,74666,165663,42140,1597,5:14141|4:14827|3:9926|2:2626|1:620|total:42140,1593,,,3.93,143,9,"['947', '599188', '1588908', '66894']","['William Shakespeare', 'Salvatore Quasimodo', 'Paolo Bertinetti', 'Johann Gottfried Herder']","['3.87', '4.09', '4.00', '3.83']",[],[],[],"Testo originale a fronte.<br /><br />Riccardo, fratello di Edoardo IV, aspira alla corona. Uccide il duca di Clarence, suo fratello e ne sposa la vedova Anna. Morto Edoardo IV, diventa reggente in attesa che il figlio e successore del re, compia la maggiore età. Fa però subito rinchiudere il ragazzo con il fratello, duca di York, nella Torre di Londra. Ottiene così il trono e fa uccidere i figli di Edoardo IV. Ripudiata Anna, vuole sposare la nipote Elisabetta, ma il duca di Buckingham si ribella e si schiera col duca di Richmond che muove contro Riccardo. Il duca di Buckingham viene ucciso, ma il duca di Richmond vince in battaglia e Riccardo muore combattendo."
40598891,599188,Poesie,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529512509l/40598891._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529512509l/40598891._SY75_.jpg,1971,,,ita,Einaudi,false,1739475,22,40989,74915,16860,273,5:9968|4:4933|3:1559|2:266|1:134|total:16860,1951,12,1,4.44,1,0,['4026'],['Pablo Neruda'],['4.31'],['599188'],['Salvatore Quasimodo'],['4.09'],"Edizione speciale, con illustrazioni di <b>Renato Guttuso</b> e per la traduzione del poeta <b> Salvatore Quasimodo</b><br /><br />Testo originale a fronte: Spagnolo - Italiano"
9764838,599188,Poesie,8804493216,9788804493211,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388695923l/9764838._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388695923l/9764838._SY75_.jpg,2001,,,ita,Mondadori,false,86110,221,17845,35385,8629,271,5:3717|4:2827|3:1485|2:437|1:163|total:8629,-60,,,4.10,4,0,"['51220', '599188']","['Catullus', 'Salvatore Quasimodo']","['4.06', '4.09']",[],[],[],"Modello letterario di ineguagliabile freschezza, i carmi di Catullo (84 - 54 a.C.) rivivono la loro eleganza e forza emotiva nella traduzione di Quasimodo, nella quale si fondono, in una perfetta resa di forme, il sapiente approccio filosofico e l'intensità lirica."
16102194,599188,Elettra,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350917857l/16102194._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350917857l/16102194._SY75_.jpg,1954,,,,Mondadori,false,2081212,189,14635,31088,8126,225,5:2233|4:2937|3:2366|2:487|1:103|total:8126,-410,,,3.83,9,1,"['1002', '3326695']","['Sophocles', 'Remo Cantoni']","['3.77', '4.10']",['599188'],['Salvatore Quasimodo'],['4.09'],Testo greco a fronte.
9802709,599188,Poesie,8806025503,9788806025502,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402350820l/9802709._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402350820l/9802709._SY75_.jpg,1965,,,ita,Einaudi,false,965315,48,11887,22752,5300,434,5:2684|4:1727|3:693|2:149|1:47|total:5300,1952,,,4.29,16,1,['4026'],['Pablo Neruda'],['4.31'],['599188'],['Salvatore Quasimodo'],['4.09'],"Nato a Parral (Cile) nel 1904, morto a Santiago nel 1973, diplomatico di carriera, esule per lunghi anni, Pablo Neruda ha contrassegnato le diverse fasi del suo discorso di poeta con vitalità, irruenza, e con una ininterrotta tensione.<br />Questa raccolta, che uscì per la prima volta nel 1952, segna l'incontro tra la sua personalità e quella di Salvatore Quasimodo, l'uno e l'altro vigili, in quegli anni, ad una poesia che «testimoniasse» di una condizione dell'uomo calata nel reale. Oggi l'antologia poetica di Pablo Neruda, comprendente poesie di varie epoche e i brani più celebri del <i>Canto general de Chile</i>, ripropone un itinerario di vita e di sentimenti che, intessuto con la storia del nostro secolo, ci fa scoprire colorazioni forti e accese."
13018326,599188,Liriche e frammenti,8807821966,9788807821967,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476639970l/13018326._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476639970l/13018326._SY75_.jpg,,,,ita,,false,1456006,138,11722,18128,4350,307,5:1917|4:1507|3:706|2:177|1:43|total:4350,-600,,,4.17,23,4,['59712'],['Sappho'],['4.21'],"['599188', '4461361']","['Salvatore Quasimodo', 'Ezio Savino']","['4.09', '3.96']","Questo libro raccoglie l'opera superstite di Saffo di Lesbo, poetessa greca vissuta nel VI secolo a.C., in traduzione d'autore. Alcuni dei frammenti sono stati infatti tradotti da Salvatore Quasimodo che li pubblicò nel 1940, riproducendo il rigore e la purezza dell'originale; ha completato il lavoro traducendo i rimanenti il curatore del volume, Ezio Savino, che scrive: ""In questa musica, nella lealtà del messaggio, nel suo credo dell'amore consiste la non mortalità di Saffo, un tesoro del mondo"". L'opera lirica di questa grandissima poetessa greca è tanto legata al suo tempo e al contesto in cui visse e compose quanto svincolata da ogni limite spazio-temporale, autenticamente eterna e immortale per l'armonia dello stile e l'universalità del discorso. In componimenti che esprimono tutta l'immediatezza di sentimenti ed emozioni, Saffo si rivolge a un uditorio di fanciulle in attesa di andare spose, le sue giovani allieve, parlando loro della bellezza, della passione, dell'amore, sia esso nuziale o omoerotico. E lo fa con parole e versi che, seppur frammentari, hanno un'intensità e una forza tali da esercitare un'influenza straordinaria su tutta la tradizione occidentale."
15749416,599188,Le tragedie,8804551011,9788804551010,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342172602l/15749416._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342172602l/15749416._SY75_.jpg,2005,,,ita,Arnoldo Mondadori Editore,false,10079355,131,1291,1769,393,22,5:250|4:101|3:33|2:7|1:2|total:393,1623,,,4.50,35,5,"['947', '18240']","['William Shakespeare', 'Giorgio Melchiori']","['3.87', '3.78']","['599188', '131436']","['Salvatore Quasimodo', 'Agostino Lombardo']","['4.09', '4.09']","Curata da uno dei maggiori studiosi di Shakespeare, Giorgio Melchiori, l'edizione presenta il testo critico inglese a fronte delle traduzioni eseguite da scrittori come Montale, Luzi, Quasimodo, Wilcock o da insigni specialisti. Un ricco apparato di note accompagna ogni volume.<br /><br />Indice:<br />- Presentazione<br />- Cronologia<br />- Prospetto delle opere<br />- Introduzione alle tragedie<br />- Romeo e Giulietta (traduzione di Salvatore Quasimodo)<br />- Otello (traduzione di Salvatore Quasimodo)<br />- Re Lear (traduzione di Giorgio Melchiori)<br />- Macbeth (traduzione di Agostino Lombardo)<br />- Note<br />- Bibliografia"
