id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1355677,275175,Anabasis,0156074060,9780156074063,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,10,21,eng,Mariner Books,false,1345392,23,881,896,229,30,5:80|4:78|3:51|2:11|1:9|total:229,1924,,,3.91,175,21,['275175'],['Saint-John Perse'],['3.87'],['18540'],['T.S. Eliot'],['4.16'],"This internationally famous poem by the 1960 Nobel laureate was introduced to English-language readers in this translation by T. S. Eliot. In this definitive edition, French and English texts appear on facing pages. Preface by T. S. Eliot.<br />"
635547,275175,Éoges and Other Poems,0691097313,9780691097312,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1287388304l/635547._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1287388304l/635547._SY75_.jpg,1956,7,21,eng,Princeton University Press,false,621832,5,167,236,61,5,5:21|4:17|3:18|2:4|1:1|total:61,1956,6,,3.87,55,5,['275175'],['Saint-John Perse'],['3.87'],['3148830'],['Louise Varèse'],['4.34'],"Bilingual: english/french.<br />-<br />Éloges est un recueil de poèmes de Saint-John Perse, composé entre 1904 et 1910 et paru l'année suivante aux éditions de La Nouvelle Revue française. Premier cycle poétique abouti de son auteur – constituant une partie de ce qui sera appelé plus tard le « cycle antillais » –, ce recueil composite pose les éléments caractéristiques du travail d'écriture de Saint-John Perse dans son rapport sensitif au monde, à ses éléments, et en particulier à son île natale, la Guadeloupe qu'il a été contraint de quitter définitivement à l'âge de douze ans et dont il vivra perpétuellement l'exil – sans jamais y retourner."
132755,275175,Word and Image,0691018472,9780691018478,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1983,5,1,,Princeton University Press,false,511503,6,214,210,54,6,5:19|4:15|3:15|2:5|1:0|total:54,1976,4,1,3.89,8,1,"['38285', '574570', '275175']","['C.G. Jung', 'Aniela Jaffé', 'Saint-John Perse']","['4.21', '4.20', '3.87']",[],[],[],"This richly illustrated record of Jung's life and accomplishments, available for the first time in paperback, is an extraordinary collection of documents, photographs, artistic works, and unpublished letters and journal entries, linked by passages from Jung's published writings and by and interpretive commentary written by Aniela Jaffe, his longtime secretary, colleague, and disciple. Containing 205 illustrations (47 in color, including 11 paintings by Jung himself), the book introduces the reader to Jung the man as well as to Jung the psychologist."
1514029,275175,"Amers, suivi de Oiseaux et de Poésie",2070302482,9782070302482,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,1,28,fre,Gallimard,false,16974261,3,341,200,49,5,5:23|4:13|3:8|2:4|1:1|total:49,1963,,,4.08,46,4,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
635387,275175,"Eloges, Gloire des Rois, Anabase, Exil",2070302466,9782070302468,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,10,1,fre,,false,621672,3,94,161,44,2,5:9|4:19|3:9|2:6|1:1|total:44,1998,10,1,3.66,44,2,['275175'],['Saint-John Perse'],['3.87'],[],[],[],"«Palmes... !<br />Alors on te baignait dans l'eau-de-feuilles-vertes ; et l'eau encore était du soleil vert ; et les servantes de ta mère, grandes filles luisantes, remuaient leurs jambes chaudes près de toi qui tremblais...<br />(Je parle d'une haute condition, alors, entre les robes, au règne de tournantes clartés.)<br />Palmes ! et la douceur<br />d'une vieillesse des racines... ! La terre<br />alors souhaita d'être plus sourde, et le ciel plus profond, où des arbres trop grands, las d'un obscur dessein, nouaient un pacte inextricable...<br />(J'ai fait ce songe, dans l'estime : un sûr séjour entre les toiles enthousiastes.)»<br />(extrait de Pour fêter une enfance)."
899071,275175,Selected Poems,0811208559,9780811208550,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1982,11,17,eng,New Directions,false,884257,1,135,143,38,4,5:13|4:11|3:8|2:4|1:2|total:38,1982,11,,3.76,38,4,"['275175', '1577']","['Saint-John Perse', 'Mary Ann Caws']","['3.87', '4.09']",[],[],[],
1483901,275175,Vents Chronique,2070302474,9782070302475,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1968,10,1,fre,Gallimard Education,false,1475053,4,85,143,35,2,5:14|4:12|3:7|2:2|1:0|total:35,1946,,,4.09,33,2,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
12014299,275175,منارات,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412010805l/12014299._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412010805l/12014299._SY75_.jpg,1999,,,ara,دار المدى,false,3405094,5,181,143,40,9,5:11|4:10|3:12|2:5|1:2|total:40,1961,1,1,3.58,28,9,"['275175', '4604488', '1920032']","['Saint-John Perse', 'سان جون بيرس', 'أدونيس']","['3.87', '3.36', '3.63']",[],[],[],“منارات” هي الجزء الأول من الأعمال الشعرية الكاملة لسان جون بيرس الكاتب الفرنسي الحاصل على جائزة نوبل عام 1960 عن بعض كتاباته. “ومنارات” هي من إحدى أعماله الشعرية الكثيرة، ولأهميتها اعتنى أدونيس بترجمتها إلى العربية لطلع القراء العرب على إبداعات هذا الكتاب الفرنسي. ومن أهم عناوين هذا العمل الأدبي نذكر: اللغة التي كانتها الشاعرة، وهذه الأنثى عند الكهان، أيها الغريب، يا من شراعه، يا بحر البعل، يا بحر مأمون، الجنوب، وحوشه، مجاعاته، من سيد النجوم، والملاحة، مدن عالية كانت تستضيء على امتداد وجهها البحري.
23976478,275175,Discursos Premios Nobel: Tomo 1,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,43578816,1,71,107,30,5,5:7|4:9|3:9|2:4|1:1|total:30,2014,10,8,3.57,30,5,"['7547293', '4026', '1285555', '7469', '275175', '957894', '3535', '11562', '13450', '1455']","['Ivan Beltran', 'Pablo Neruda', 'José Saramago', 'Octavio Paz', 'Saint-John Perse', 'Albert Camus', 'William Faulkner', 'Derek Walcott', 'Gabriel García Márquez', 'Ernest Hemingway']","['3.57', '4.31', '4.02', '4.14', '3.87', '4.00', '3.85', '4.02', '3.97', '3.83']",[],[],[],
1483905,275175,Œuvres complètes,2070107361,9782070107360,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,fre,,false,1475057,1,47,86,20,3,5:12|4:4|3:3|2:0|1:1|total:20,,,,4.30,20,3,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
2436634,275175,St. John Perse: Collected Poems (Bollingen Series),0691099499,9780691099491,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1983,8,1,eng,,false,2443822,7,53,80,18,1,5:11|4:5|3:1|2:1|1:0|total:18,1971,,,4.44,13,1,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
