id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
25775268,2147,Vlati trave,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435009288l/25775268._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435009288l/25775268._SY75_.jpg,1969,,,srp,"Izdavačko preduzeće „Rad”, Beograd",false,28117,2123,222073,357332,86695,2484,5:39207|4:26990|3:14376|2:4087|1:2035|total:86695,1892,,,4.12,4,0,"['1438', '3506416']","['Walt Whitman', 'Dušanka Perović']","['4.13', '3.56']","['2147', '1108325', '6153933']","['Ivo Andrić', 'Tin Ujević', 'Tihomir Vučković']","['4.31', '4.41', '4.12']","Whitman is today regarded as America's Homer or Dante, and his work the touchstone for literary originality in the New World. In Leaves of Grass, he abandoned the rules of traditional poetry - breaking the standard metred line, discarding the obligatory rhyming scheme, and using the vernacular. Emily Dickinson condemned his sexual and physiological allusions as `disgraceful', but Emerson saw the book as the `most extraordinary piece of wit and wisdom that America has yet contributed'. A century later it is his judgement of this autobiographical vision of the vigour of the American nation that has proved the more enduring. This is the most up-to-date edition for student use, with full critical apparatus."
3140,2147,"The Bridge on the Drina (Bosnian Trilogy, #1)",0226020452,9780226020457,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391505254l/3140._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391505254l/3140._SY75_.jpg,1977,,,eng,University of Chicago Press,false,6989,145,33801,60138,13886,1004,5:7515|4:4153|3:1655|2:423|1:140|total:13886,1945,,,4.33,9193,520,"['2147', '3246912']","['Ivo Andrić', 'William H. McNeill']","['4.31', '4.15']",['2890739'],['Lovett F. Edwards'],['4.35'],"A vivid depiction of the suffering history has imposed upon the people of Bosnia from the late sixteenth century to the beginning of World War I, <i>The Bridge on the Drina</i> earned Ivo Andric the Nobel Prize for Literature in 1961. <br /><br />A great stone bridge built three centuries ago in the heart of the Balkans by a Grand Vezir of the Ottoman Empire dominates the setting of Andric's stunning novel. Spanning generations, nationalities, and creeds, the bridge stands witness to the countless lives played out upon it: Radisav, the workman, who tries to hinder its construction and is impaled on its highest point; to the lovely Fata, who throws herself from its parapet to escape a loveless marriage; to Milan, the gambler, who risks everything in one last game on the bridge with the devil his opponent; to Fedun, the young soldier, who pays for a moment of spring forgetfulness with his life. War finally destroys the span, and with it the last descendant of that family to which the Grand Vezir confided the care of his pious bequest - the bridge."
11553583,2147,Prokleta avlija,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452219308l/11553583._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452219308l/11553583._SY75_.jpg,,,,,,false,16616414,63,10609,29479,6857,165,5:3502|4:2185|3:927|2:205|1:38|total:6857,1954,,,4.30,5855,81,['2147'],['Ivo Andrić'],['4.31'],[],[],[],"Prokleta avlija/The Damned Yard (Description from Ivo Andrić Foundation website)<br /><br />The novel is written in 1954. Ćamil, a wealthy young man of Smyrna living in the last years of the Ottoman Empire, is fascinated by the story of Džem, ill-fated brother of the Sultan Bajazet, who ruled Turkey in the fifteenth century. Ćamil, in his isolation, comes to believe that he is Džem, and that he shares his evil destiny: he is born to be a victim of the State. Because of his stories about Džem’s ambitions to overthrow his brother, Ćamil is arrested under suspicion of plotting against the Sultan. He is taken to a prison in Istanbul, where he tells his story, to Petar, a monk.<br /><br />Out of these exotic materials, Andrić has constructed a book of great clarity, brevity and interest. No doubt it will be read by some as a political parable about the tyranny of the State, but also as a quite simply story about ill-fortune and human misunderstanding, fear and ignorance. Džem and Ćamil are doomed – and the certainty of their persecution is sometimes relieved, sometimes intensified by the stupidity and fright of the people who cross their ill-starred lives.<br /><br />Construction takes up most of the book’s space: the central story of Džem as related by Ćamil lasts only a chapter or two. For the rest of the time the reader strips layer off layer, as one narrator passes him on the next. There is an interesting passage that helps to explain this method, at the moment when Ćamil starts narrating Džem’s story in the first person. “I” is a word, we are told, which fixes the position of the speaker in such a way that the exercise of will is no longer possible, and the speaker strength is exceeded – strength, presumably, to break out of the identification that all his past actions and thoughts force upon him when he uses the word. “I” is both a confession and an imprisonment. The fact that the novel passes the reader on from one narrator to the next rather suggests that the author is taking constant evasive action, lest he betray himself or his reader into the kind of “personal confession” which seals the fate of Ćamil. What exactly this game of form flirting with meaning signifies, must be left to the individual reader.<br /><br />The movement is centripetal, towards Džem’s story, and then disperses. Details within the story are made to mimic this form. Thus when Peter receives the message telling him of his impending release:<br /><br />“Two younger prisoners...were chasing around using him as the centerpoint of ever narrowing circles. Annoyed, he tried to break away from these exuberant youths when one of them brushed against him and he felt a folded scrap of paper thrust into his hand. The youths continued their chase but now in widening circles...”<br /><br />The reader is led on just such a chase in the course of the novel. The effect of this is to make the plot seem more like a poetic image than an ordinary plot: capable, therefore, of as many meanings as are the images of an allusive poem. Yet the language is simple and direct, not at all “poetic”. The characters are remarkable alive, even in conversation. Karađoz, the governor of the goal, is a spidery authoritarian, who loves to torment the charges he loves. The prisoners “complained about the way one complains about one’s life and curses one’s destiny...it would have been hard for them to imagine life without him”.<br /><br />“The Devil’s Yard” is justified, as all symbolic and figurative novels must be, by the extent to which it touches the emotions. It is extremely moving. Fear, horror, despair, amusement at times – all these indicate that the threat of the meaning has been recognized."
850223,2147,"Bosnian Chronicle Bosnian Trilogy, #2)",1559702362,9781559702362,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391505358l/850223._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391505358l/850223._SY75_.jpg,1993,9,7,eng,Arcade Publishing (NY),false,835735,78,4721,6501,1527,115,5:740|4:512|3:219|2:40|1:16|total:1527,1945,,,4.26,775,55,"['2147', '4486652']","['Ivo Andrić', 'Joseph Hitrec']","['4.31', '4.19']",[],[],[],"Set in the town of Travnik, <i>Bosnian Chronicle</i> presents the struggle for supremacy in a region that stubbornly refuses to submit to any outsider. The era is Napoleanic and the novel, both in its historical scope and psychological subtley, Tolstoyan. In its portray of conflict and fierce ethnic loyalties, the story is also eerily relevant. Ottoman viziers, French consuls, and Austrian plenipotentiaries are consumed by an endless game of diplomacy and double-dealing: expansive and courtly face-to-face, brooding and scheming behind closed doors. As they have for centuries, the Bosnians themselves observe and endure the machinations of greater powers that vie, futilely, to absorb them. Ivo Andric's masterwork is imbued with the richness and complexity of a region that has brought so much tragedy to our century and known so little peace."
6419362,2147,Znakovi pored puta,8607017942,9788607017942,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452219389l/6419362._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452219389l/6419362._SY75_.jpg,2007,,,scr,Prosveta,false,6608509,19,2847,6424,1436,16,5:888|4:389|3:121|2:27|1:11|total:1436,1976,,,4.47,1361,8,['2147'],['Ivo Andrić'],['4.31'],[],[],[],"=Signs Along the Road: The collection of these notes entitled ""Znakovi pored puta""/ ""Signs by the roadside"" as well as ""Sveske""/""Notebooks"", published after Andrić’s death, can be best described as the writer's intellectual diaries. As may be imagined of a man who recoiled so consistently from any exposure of his private life and thoughts, Andrić was equally consistent in his dislike of the diary as a genre, seeing it as a misguided search for permanence.<br /><br />Ova ""knjige mudrosti"", ""vrsta intimnih dnevnika"", koje je Andri pisao celog ivota, smatraju se jedinstvenim u naoj knjievnosti i stoga jer je pisac u njima prvi put nedvosmisleno progovorio o sebi.<br />Dnevnicki u Andricevim Znakovima pored puta jeste kratki tekst koji se moze napisati u toku jednog dana, u kome pisac ispusuje trenutno raspolozenje, vidjenje neke pojave, licnosti, utisak sa puta ili misao koja ga preokupira. Godinama belezene i bez odredjenog reda pisane takve zapise pisac sabira u knjigu koja postaje ogledalo njegove duse, a ne dnevnik. Princip organizacije tekstova u knjizi nije tok vremena, kao sto je u klasicnom dnevniku, vec spontani rad duse koja zivo i osetljivo reaguje na svakodnevne posticaje i preradjuje ih u meditacije i vizije, u snimke predela i ljudi. Spontanost i neobaveznost glavna su odlika takvog, viseg, duhovnog dnevnika kakvi su Znakovi pored puta. Tekst u njima raste i razvija se kao organsko tkivo: jedan fragment naslanja se na drugi, a ovaj na sledeci i tako do u nedogled. Ta ogranicenost i spontano stapanje manjih tekstova u vece celine, delo, jedna je od glavnih odlika Andricevog radnog postupka."
1743453,2147,"Gospođica Bosnian Trilogy, #3)",9997406052,9789997406057,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452219649l/1743453._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452219649l/1743453._SY75_.jpg,,,,,Dereta,false,1741109,40,2933,5849,1395,75,5:613|4:502|3:224|2:48|1:8|total:1395,1945,,,4.19,1017,32,['2147'],['Ivo Andrić'],['4.31'],[],[],[],"<i>Gospođica</i> (The Woman from Sarajevo) by Andrić was originally published in 1945. and is one of the three novels that make up the ""Bosnian Trilogy"". The other two are <i>Bosnian Chronicle</i> and <i>The Bridge on the Drina</i>.<br /><br />The novel is set in the cities of Sarajevo and Belgrade during the first three decades of this century. The places and time are not incidentally chosen. Ivo Andrić is from Bosnia and knows the people and their problems in this unique area. The theme and composition suggest a work of modern classicism. It is the tragic life of a woman disappointed in people and in the world she lives in. She is completely enslaved by money, in which she hopes to find security and revenge in a hateful and insecure world. At the same time she is literally and feverishly following her bankrupt father’s last plea, as she becomes not only thrifty but a real miser in a classical Gogolian style.<br /><br />This novel is dominated by a single character, a spinster named Miss Raika Radaković who is dominated by a single passion, stinginess. The development of this passion is traced through the first third of this century, from the time Miss Raika’s dying father, a ruined merchant, solemnly enjoins his school-girl-daughter to guard with her life the little property he can leave her, until some thirty-five years later when she herself dies, a scrawny old woman, unloved and unlovable, but faithful to her trust. As a moneylender she parlays small insurance legacy after her father into a small fortune. But whatever her wealth at any time, she will spend none of it on herself. For this single-minded greed for money she puts everything else out of her life – love, friendship, concern for other people.<br /> <br />Raika also speculates in currencies during the tumultuous years of the Austro-Hungarian Empire and the uncertain emergence of the new Yugoslav state. A good deal of the power of Andrić’s tale comes through the depiction of this seething historical background, in whose torrent the wretched Raika’s life is washed along like a piece of flotsam.<br /><br />The novel is carefully thought out and fully imagined, with solid passages of description in the nineteenth-century manner and scrupulous attentions to the job of relating the individual life to the broader pattern of social and economical change. With brilliant economy Andrić sketches the stages through which Miss Raika hoards and increases her inheritance: Sarajevo in the era of provincial usury, the economic upheavals and disintegration of the First World War, staid Belgrade headily embarking on the jazz age when the war is over, the pinched depression years during which Miss Raika dies. The requisite drama – the testing of the ruling passion – is present in the form of a young man whose physical resemblance to a beloved uncle long dead touches Miss Raika’s heart enough to make her swerve, though only momentarily, from her objective of never parting with her money.<br /><br /> The chronicle is Andrić’s favorite form, and this novel is no exception, a highly poetic form depicting the past and the present in a meticulous artistic and philosophical manner. Detailed historical analysis serves as a “chain” and always gives a basis for philosophical interpretation."
3551256,2147,"Jelena, žena koje nema",8673463130,9788673463131,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553432968l/3551256._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553432968l/3551256._SY75_.jpg,2003,10,,srp,Dereta,false,3593355,11,1778,4113,938,18,5:532|4:270|3:109|2:19|1:8|total:938,1962,1,1,4.38,926,16,['2147'],['Ivo Andrić'],['4.31'],[],[],[],"Pored naslovne novele u ovaj izbor su uvrštene najbolje priče Iva Andrića; Anikina vremena, Ljubav u kasabi, Ćorkan i švabica, ... i druge koje na najbolji način predstavljaju Andrićev pripovedački opus."
3792086,2147,Most na Žepi,8673463785,9788673463780,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552069119l/3792086._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552069119l/3792086._SY75_.jpg,2004,,,bos,Dereta,false,66860237,3,1123,2948,705,9,5:318|4:236|3:119|2:25|1:7|total:705,,,,4.18,702,8,['2147'],['Ivo Andrić'],['4.31'],[],[],[],"Most na Žepi, je roman koji pored antologijske - Na drini ćuprije, tretira na veoma originalan način opsesivne teme Andrićeve proze – ljude i mostove, komunikaciju i nerazumevanje. Poput Mehmed paše Sokolovića i veliki vezir Jusuf shvata, posle pada u nemilost, da postoji nešto mnogo veće što nadilazi prostu činjenicu vlasti pa i života, nešto što ljude čini besmrtnim. Odlučivši da napravi most na reci Žepi i da premosti provaliju, koja je njegovo rodno selo razdvajala od ostalog sveta, on pokušava da premosti sve one provalije koje se javljaju u ljudima i koje narod Bosne, kao po nekoj zloćudnoj kobi, nosi u sebi. Neimarska studija mosta je studija o vremenu, o prolaznosti i vekovanju.<br /><br />Roman koji pored priče o mostu na reci Žepi, bregovima Istočne Bosne i velikom veziru Jusufu priča večnu priču o ljudima i obalama, stranstvovanjima u sopstvenom identitetu i istorijskoj svesti."
14744256,2147,Aska i vuk,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359193894l/14744256._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359193894l/14744256._SX50_.jpg,1972,,,srp,Prosveta,false,20392933,1,979,2834,644,3,5:374|4:171|3:84|2:13|1:2|total:644,1972,1,1,4.40,644,3,['2147'],['Ivo Andrić'],['4.31'],[],[],[],"=Aska and the Wolf<br />Aska je neobična ovčica iz ovčijeg sveta na strmim Livadama, koja je volela balet i želela da postane poznata balerina. Dok je u baletskoj školi učila svoje prve korake, nije ni slutila da će najvažnija predstava u njenom životu biti igra za život, da će morati da igra kako bi se spasila, što se jednog dana i desilo zbog njene nepažnje i velike radoznalosti."
13606927,2147,Ex Ponto,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386017673l/13606927._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386017673l/13606927._SY75_.jpg,1918,,,srp,Književni jug,false,19202541,4,1069,2767,639,15,5:353|4:179|3:77|2:25|1:5|total:639,1918,,,4.33,628,11,['2147'],['Ivo Andrić'],['4.31'],[],[],[],"Ex Ponto je knjiga stihova u prozi koju je napisao Ivo Andrić 1918. godine. U ovom ranom Andrićevom delu, nazvanom ""razgovorom s dušom"" (Niko Bartulović), stilizovano je lično iskustvo u nastojanju da mu se, u lirskoj sentenci, pridoda značenje filozofsko-poetske istine, a da pritom zadrži fabulativno-narativnu osnovu, na osnovu koje bi se mogla rekonstruisati stanja jednog zatočenika.<br /><br />Ova knjiga pesama u prozi razvrstana je u tri ciklusa: prvi ima 26, drugi 25, a treći 88 tekstova, uz završni ""Epilog"".<br /><br />U strasnom lirskom monologu, pesnik se obračunava sa sobom, pokušava da u tamničkim bdenjima razreši unutrašnju dramu i oslobodi se traume izazvane utamničenjem. Nepravedan pad iza rešetaka u drugi, surov i mučan svet, gde je žrtva „na suvom ukletom sprudu“, dovodi pesnika u stanje da postavlja važna egzistencijlna pitanja i grozničavo razmišlja o svetu i mestu pojedinca u njegovim tragičnim okvirima."
2230670,2147,"Ex Ponto, Nemiri, Lirika",8607010646,9788607010646,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328024621l/2230670._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328024621l/2230670._SX50_.jpg,,,,srp,,false,2236472,9,1040,2707,608,7,5:370|4:162|3:61|2:11|1:4|total:608,1920,,,4.45,587,7,['2147'],['Ivo Andrić'],['4.31'],[],[],[],"=From the Sea, Riots, Lyrics<br />Andrić’s first published works were poems and he continued to write verse intermittenly all his life, altho much of it was unpublished until his death.<br /> His 1st poems appeared in the context of the Young Bosnia movement. The writing of its members is in marked contrast to their robust active personalities. The poems Andrić published before WWI are virtually indistinguishable in tone from much of what his contemporaries were writing. Nevertheless, it's probably true to say that in his case the role of the political activist, however sincerely he played it at the time, was fundamentally unsuited to him. By contrast, however, the prevailing melancholy seemed to match his temperamental reponse to the world.<br /> These early poems point in no particular direction, beyond establishing the free verse form of virtually all of Andrić’s poetry and a tendency to a mournful self-pity which sometimes threatens his personal statements.<br /> The prose poems written during the War represent a personal conffesion &amp; cannot be considered merely the reflection of a literary vogue. “Ex Ponto” (refers to Ovid’s account of his Black Sea exile) was published in 1918; “Unrest” in 1920, when “Ex Ponto” was already reprinted. Thereafter Andrić refused to allow them to be included in any of his collections of his works published before his death. He rejected them because they seemed to him too intimate. But, they're important since they contain ideas &amp; themes which recur in his later works.<br /> The strong emotional colouring was toned down in Andrić’s later prose poems &amp; verse but their form, a combination of aphoristic statements &amp; longer reflective passages, continued to appeal to him. “Ex Ponto” &amp; “Unrest” record his emotional reaction to the circumstances of his early life &amp; the development of a number of themes around the central paradox of his personality &amp; work."
