id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
890,585,Of Mice and Men,0142000671,9780142000670,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX50_.jpg,2002,1,8,eng,Penguin Books,false,40283,472,2589945,7234364,1868162,32619,5:606086|4:655331|3:423337|2:129191|1:54217|total:1868162,1937,,,3.87,1788955,26008,['585'],['John Steinbeck'],['3.93'],[],[],[],"The compelling story of two outsiders striving to find their place in an unforgiving world. <br /><br />Drifters in search of work, George and his simple-minded friend Lennie have nothing in the world except each other and a dream -- a dream that one day they will have some land of their own. Eventually they find work on a ranch in California’s Salinas Valley, but their hopes are doomed as Lennie, struggling against extreme cruelty, misunderstanding and feelings of jealousy, becomes a victim of his own strength. <br /><br />Tackling universal themes such as the friendship of a shared vision, and giving voice to America’s lonely and dispossessed, <i>Of Mice and Men</i> has proved one of Steinbeck’s most popular works, achieving success as a novel, a Broadway play and three acclaimed films."
18114322,585,The Grapes of Wrath,067001690X,9780670016907,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375670575l/18114322._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375670575l/18114322._SY75_.jpg,2014,4,10,eng,Viking,false,2931549,167,526559,2858830,721149,16392,5:290802|4:222439|3:128756|2:49644|1:29508|total:721149,1939,4,14,3.96,359759,4841,['585'],['John Steinbeck'],['3.93'],[],[],[],"The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.<br /><br />First published in 1939, Steinbeck’s Pulitzer Prize-winning epic of the Great Depression chronicles the Dust Bowl migration of the 1930s and tells the story of one Oklahoma farm family, the Joads—driven from their homestead and forced to travel west to the promised land of California. Out of their trials and their repeated collisions against the hard realities of an America divided into Haves and Have-Nots evolves a drama that is intensely human yet majestic in its scale and moral vision, elemental yet plainspoken, tragic but ultimately stirring in its human dignity. A portrait of the conflict between the powerful and the powerless, of one man’s fierce reaction to injustice, and of one woman’s stoical strength, the novel captures the horrors of the Great Depression and probes into the very nature of equality and justice in America. At once a naturalistic epic, captivity narrative, road novel, and transcendental gospel, Steinbeck’s powerful landmark novel is perhaps the most American of American Classics."
4406,585,East of Eden,0142000655,9780142000656,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544744853l/4406._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544744853l/4406._SY75_.jpg,2002,,,eng,Penguin Books,false,2574991,254,857906,1800925,411573,18430,5:235858|4:114984|3:45073|2:10822|1:4836|total:411573,1952,,,4.38,384571,15865,['585'],['John Steinbeck'],['3.93'],[],[],[],"In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.<br /><br />Adam Trask came to California from the East to farm and raise his family on the new rich land. But the birth of his twins, Cal and Aaron, brings his wife to the brink of madness, and Adam is left alone to raise his boys to manhood. One boy thrives nurtured by the love of all those around him; the other grows up in loneliness enveloped by a mysterious darkness.<br /><br />First published in 1952, East of Eden is the work in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the inexplicability of love, and the murderous consequences of love's absence. A masterpiece of Steinbeck's later years, East of Eden is a powerful and vastly ambitious novel that is at once a family saga and a modern retelling of the Book of Genesis.<br /><br />--jacket flap"
5308,585,The Pearl,0142000698,9780142000694,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437234939l/5308._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437234939l/5308._SY75_.jpg,2002,1,8,eng,Penguin Books,false,195832,308,280183,629818,181622,8120,5:33777|4:58565|3:58116|2:21161|1:10003|total:181622,1947,,,3.47,162999,6306,['585'],['John Steinbeck'],['3.93'],[],[],[],"Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comes hope, the promise of comfort and of security…<br /><br />A story of classic simplicity, based on a Mexican folk tale, <i>The Pearl</i> explores the secrets of man’s nature, greed, the darkest depths of evil, and the luminous possibilities of love."
4799,585,Cannery Row,014200068X,9780142000687,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,2,5,eng,Penguin Books,false,824028,192,181354,438885,108667,5122,5:37914|4:43172|3:22473|2:4100|1:1008|total:108667,1945,1,,4.04,97671,3993,['585'],['John Steinbeck'],['3.93'],[],[],[],"<i>Cannery Row</i> is a book without much of a plot. Rather, it is an attempt to capture the feeling and people of a place, the cannery district of Monterey, California, which is populated by a mix of those down on their luck and those who choose for other reasons not to live ""up the hill"" in the more respectable area of town. The flow of the main plot is frequently interrupted by short vignettes that introduce us to various denizens of the Row, most of whom are not directly connected with the central story. These vignettes are often characterized by direct or indirect reference to extreme violence: suicides, corpses, and the cruelty of the natural world.<br /><br />The ""story"" of <i>Cannery Row</i> follows the adventures of Mack and the boys, a group of unemployed yet resourceful men who inhabit a converted fish-meal shack on the edge of a vacant lot down on the Row.<br /><br />Sweet Thursday is the sequel to Cannery Row."
5306,585,Travels with Charley: In Search of America,0142000701,9780142000700,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,2,5,eng,Penguin,false,1024827,149,127220,271244,66522,4967,5:25044|4:25821|3:12294|2:2495|1:868|total:66522,1962,,,4.08,57297,3818,['585'],['John Steinbeck'],['3.93'],[],[],[],"<b>A quest across America, from the northernmost tip of Maine to California’s Monterey Peninsula</b><br /><br />To hear the speech of the real America, to smell the grass and the trees, to see the colors and the light—these were John Steinbeck's goals as he set out, at the age of fifty-eight, to rediscover the country he had been writing about for so many years.<br /><br />With Charley, his French poodle, Steinbeck drives the interstates and the country roads, dines with truckers, encounters bears at Yellowstone and old friends in San Francisco. Along the way he reflects on the American character, racial hostility, the particular form of American loneliness he finds almost everywhere, and the unexpected kindness of strangers."
163977,585,Tortilla Flat,0582461502,9780582461505,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400859671l/163977._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400859671l/163977._SY75_.jpg,2001,7,,eng,Longman Schools Division (a Pearson Education Company),false,890203,184,69753,162151,42339,2284,5:11072|4:16592|3:11619|2:2510|1:546|total:42339,1935,,,3.83,35929,1603,['585'],['John Steinbeck'],['3.93'],[],[],[],"""Steinbeck is an artist; and he tells the stories of these lovable thieves and adulterers with a gentle and poetic purity of heart and of prose."" -- New York Herald Tribune<br /><br />Adopting the structure and themes of the Arthurian legend, Steinbeck created a ""Camelot"" on a shabby hillside above the town of Monterey,California and peopled it with a colorful band of knights. At the center of the tale is Danny, whose house, like Arthur's castle, becomes a gathering place for men looking for adventure, camaraderie, and a sense of belonging. These ""knights"" are <i>paisanos</i>, men of mixed heritage, whose ancestors settled California hundreds of years before. Free of ties to jobs and other complications of the American way of life, they fiercely resist the corrupting tide of honest toil in the surrounding ocean of civil rectitude.<br /><br />As Steinbeck chronicles their deeds--their multiple loves, their wonderful brawls, their Rabelaisian wine-drinking--he spins a tale as compelling and ultimately as touched by sorrow as the famous legends of the Round Table, which inspired him."
8732,585,The Red Pony,,9780141962825,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391231816l/8732._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391231816l/8732._SY75_.jpg,2011,3,3,,Puffin,false,1665907,6,76046,159495,46309,2053,5:8422|4:14518|3:15409|2:5126|1:2834|total:46309,1933,,,3.44,42118,1560,['585'],['John Steinbeck'],['3.93'],[],[],[],"Raised on a ranch in northern California, Jody is well-schooled in the hard work and demands of a rancher's life. He is used to the way of horses, too; but nothing has prepared him for the special connection he will forge with Gabilan, a hot-tempered pony his father gives him. With Billy Buck, the hired hand, Jody tends and trains his horse, restlessly anticipating the moment he will sit high upon Gabilan's saddle. But when Gabilan falls ill, Jody discovers there are still lessons he must learn about the ways of nature and, particularly, the ways of man."
4796,585,The Winter of Our Discontent,0143039482,9780143039488,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,8,26,eng,Penguin Classics,false,2359336,152,78152,147960,37047,1992,5:12268|4:14737|3:7994|2:1642|1:406|total:37047,1961,,,3.99,32526,1545,"['585', '118008']","['John Steinbeck', 'Susan Shillinglaw']","['3.93', '4.00']",[],[],[],"Ethan Allen Hawley, the protagonist of Steinbeck’s last novel, works as a clerk in a grocery store that his family once owned. With Ethan no longer a member of Long Island’s aristocratic class, his wife is restless, and his teenage children are hungry for the tantalizing material comforts he cannot provide. Then one day, in a moment of moral crisis, Ethan decides to take a holiday from his own scrupulous standards.<br /><br />Set in Steinbeck’s contemporary 1960 America, the novel explores the tenuous line between private and public honesty that today ranks it alongside his most acclaimed works of penetrating insight into the American condition. This edition features an introduction and notes by Steinbeck scholar Susan Shillinglaw."
12722,585,The Moon Is Down,0141185538,9780141185538,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327961310l/12722._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327961310l/12722._SY75_.jpg,2000,11,30,eng,Penguin Classics,false,21887652,138,36303,75851,19465,1445,5:5370|4:8050|3:4920|2:916|1:209|total:19465,1942,,,3.90,16098,1014,['585'],['John Steinbeck'],['3.93'],[],[],[],"Taken by surprise, a small coastal town is overrun by an invading army with little resistance. The town is important because it is a port that serves a large coal mine. Colonel Lanser, the head of the invading battalion, along with his staff establishes his HQ in the house of the democratically elected and popular Mayor Orden.<br /><br />As the reality of occupation sinks in and the weather turns bleak, with the snows beginning earlier than usual, the ""simple, peaceful people"" of the town are angry and confused. Colonel Lanser, a veteran of many wars, tries to operate under a veil of civility and law, but in his heart he knows that ""there are no peaceful people"" amongst those whose freedom has been taken away by force. The veil is soon torn apart when Alexander Morden, an erstwhile alderman and ""a free man,"" is ordered to work in the mine. He strikes out at Captain Loft with a pick axe, but Captain Bentick steps into its path and dies of it. After a summary trial, Morden is executed by a firing squad. This incident catalyzes the people of the town and they settle into ""a slow, silent, waiting revenge."" Sections of the railroad linking the port with the mine get damaged regularly, the machinery breaks down often, and the dynamo of the electricity generators gets short circuited. Whenever a soldier relaxes his guard, drinks or goes out with a woman, he is killed. Mayor Orden stands by his people, and tries to explain to Col. Lanser that his goal – ""to break man’s spirit permanently"" – is impossible.<br /><br />The cold weather and the constant fear weighs heavy on the occupying force, many of whom wish the war to end so that they can return home. They realize the futility of the war and that ""the flies have conquered the flypaper."" Some members of the resistance escape to England and ask the English for explosives so that the townspeople can intensify their efforts. English planes parachute-drop small packages containing dynamite sticks and chocolates all around the town. In a state of panic, the army takes the Mayor and his friend Dr. Winter, the town doctor and historian, hostage and lets it be known that any action from resistance will lead to their execution. Mayor Orden knows that nothing can stop his people and that his death is imminent. He tells his wife that while he can be killed, the idea of Mayor (and freedom and democracy) is beyond the reach of any army. Before his execution, Mayor Orden reminds Dr. Winter of the dialogues of Socrates in the Apology, a part he played in the high school play, and tells him to make sure that the debt is repaid to the army, i.e., that the resistance is continued."
