id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
78024,44202,And Quiet Flows the Don,0460878905,9780460878906,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444113702l/78024._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444113702l/78024._SY75_.jpg,1996,,,eng,Dent,false,2591018,75,21348,39879,9821,322,5:4312|4:2950|3:1671|2:618|1:270|total:9821,1934,,,4.06,8175,196,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],"And Quiet Flows the Don or Quietly Flows the Don (Тихий Дон, lit. ""The Quiet Don"") is 4-volume epic novel by Russian writer Mikhail Aleksandrovich Sholokhov. The 1st three volumes were written from 1925 to '32 &amp; published in the Soviet magazine October in 1928–32. The 4th volume was finished in 1940. The English translation of the 1st three volumes appeared under this title in 1934. The novel is considered one of the most significant works of Russian literature in the 20th century. It depicts the lives &amp; struggles of Don Cossacks during WWI, the Russian Revolution &amp; Russian Civil War. In 1965, Sholokhov was awarded the Nobel Prize for Literature for this novel. The authorship of the novel is contested by some literary critics &amp; historians, who believe it wasn't entirely written by Sholokhov."
425891,44202,The Fate of a Man and Early Stories,1410104249,9781410104243,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578588196l/425891._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578588196l/425891._SY75_.jpg,2003,11,1,,Fredonia Books (NL),false,414949,42,2854,6675,1648,88,5:699|4:507|3:301|2:108|1:33|total:1648,1956,,,4.05,1204,40,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],"There is restraint and a trace of sadness in the way Mikhail Sholokov begins his story, as if to warn the reader that it is not an easy tale he has to tell. One postwar spring the author met a tall man with stooping shoulders and big rugged hands. And perhaps for the first and last time soldier Andrei Sokolov told a chance acquaintance the story of his life, told how he endured tortures and sufferings that would have broken many a man of weaker nature... But Sokolov's torn and wounded heart is still eager for life and eager to share life with his little Vanya, orphaned by the war like himself. Sholokov's The Fate of a Man ends on a stern note. Yet as one closes the book one believes that Andrei Sokolov will give all the strength of his generous Russian soul to his adopted son and that the boy will grow at his father's side into another man who can overcome any obstacle if his country calls upon him to do so."
1779002,44202,Тихий Дон (Том #1),,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441740168l/1779002._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441740168l/1779002._SY75_.jpg,2012,11,,rus,Эксмо,false,76927619,87,2682,4477,1077,93,5:492|4:365|3:147|2:43|1:30|total:1077,,,,4.16,290,14,"['44202', '15807606']","['Mikhail Sholokhov', 'Михаил Александрович Шолохов']","['4.08', '4.26']",[],[],[],
15837190,44202,Três Histórias de Guerra,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,Editorial Inova Limitada,false,1762347,50,2684,4396,1232,79,5:225|4:415|3:449|2:121|1:22|total:1232,1938,,,3.57,1,0,"['1455', '44202', '3535']","['Ernest Hemingway', 'Mikhail Sholokhov', 'William Faulkner']","['3.83', '4.08', '3.85']",[],[],[],"Featuring Hemingway's only full-length play, which--like the stories here--grew out of his experiences in and around a besieged Madrid, this volume brilliantly evokes the tumultuous years of the Spanish Civil War. These works, which grew from Hemingway's adventures as a newspaper correspondent in and around besieged Madrid, movingly portray the effects of war on soldiers, civilians, and the correspondents sent to cover it."
23392191,44202,Судьба Человека,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413645656l/23392191._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413645656l/23392191._SY75_.jpg,1957,,,rus,"Gosizdat, Moscow",false,42949770,9,729,1929,455,17,5:235|4:129|3:62|2:23|1:6|total:455,1956,12,31,4.24,415,15,"['44202', '15807606']","['Mikhail Sholokhov', 'Михаил Александрович Шолохов']","['4.08', '4.26']",[],[],[],
78025,44202,"The Don Flows Home to the Sea, Vol 2",1589633504,9781589633506,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,76925826,25,1060,1894,448,40,5:205|4:163|3:61|2:15|1:4|total:448,,,,4.23,300,12,['44202'],['Mikhail Sholokhov'],['4.08'],['2766570'],['Stephen Garry'],['4.10'],
18130914,44202,"Тихий Дон. В двух томах. Том 2. Книги 3, 4",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372200794l/18130914._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372200794l/18130914._SX50_.jpg,1980,,,rus,Художественная литература. Москва,false,76928682,34,728,1596,367,23,5:211|4:95|3:44|2:12|1:5|total:367,,,,4.35,66,2,"['44202', '15807606']","['Mikhail Sholokhov', 'Михаил Александрович Шолохов']","['4.08', '4.26']",[],[],[],
3049498,44202,Virgin Soil Upturned,0140044736,9780140044737,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320925658l/3049498._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320925658l/3049498._SY75_.jpg,1977,,,en-GB,Penguin Books Ltd.,false,59778120,31,871,1518,380,16,5:137|4:149|3:63|2:17|1:14|total:380,1932,,,3.99,89,3,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
254680,44202,"Virgin Soil Upturned, Book 2",5050028205,9785050028204,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323903036l/254680._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323903036l/254680._SY75_.jpg,,,,eng,Raduga Publishers Moscow,false,14157972,19,660,1338,334,8,5:140|4:95|3:71|2:17|1:11|total:334,1935,,,4.01,263,5,['44202'],['Mikhail Sholokhov'],['4.08'],['204616'],['Robert Daglish'],['3.99'],"In HARVEST ON THE DON, Mikhail Sholokhov continues the dramatic story of the impact of revolution on the people of his native Russia. IN AND QUIET FLOWS THE DON and THE DON FLOWS HOME TO THE SEA, Sholokhov tells of the violent and tumultuous days of the revolution and the civil war. In this novel we see the same Don village, Gremyachy Log, whose people have lived for generations according to medieval ritual, torn from the ancient ways. To Gremyachy Log has come Davidov, representative of the Party's drive to revolutionize village agriculture. The peasants see a vision of a better life in the plans of this man. Yet to-the-death opposition lurks just beneath the surface."
23484919,44202,Ve Durgun Akardı Don (Cilt 1),,9799756865704,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448042104l/23484919._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448042104l/23484919._SX50_.jpg,2008,,,tur,Evrensel Basım Yayın,false,76929716,28,767,1280,295,18,5:158|4:94|3:31|2:9|1:3|total:295,1928,,,4.34,74,2,['44202'],['Mikhail Sholokhov'],['4.08'],['5781199'],['Tektaş Ağaoğlu'],['4.41'],
9580336,44202,الدون الهادئ #2,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391352758l/9580336._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391352758l/9580336._SX50_.jpg,1998,,,ara,"دار المدى للثقافة والنشر,المجمع الثقافي أبو ظبي",false,76931015,27,791,1105,261,28,5:114|4:106|3:32|2:6|1:3|total:261,,,,4.23,105,21,"['44202', '14427139']","['Mikhail Sholokhov', 'ميخائيل شولوخوف']","['4.08', '4.06']","['2966407', '4427475', '4427476']","['علي الشوك', 'أمجد حسين', 'غانم حمدون']","['3.84', '4.11', '4.14']",
78038,44202,"Virgin Soil Upturned, Book 1",5050028183,9785050028181,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323724715l/78038._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323724715l/78038._SY75_.jpg,,,,eng,Raduga Publishers Moscow,false,18959650,19,671,1080,269,12,5:110|4:86|3:50|2:13|1:10|total:269,1935,,,4.01,185,3,['44202'],['Mikhail Sholokhov'],['4.08'],['204616'],['Robert Daglish'],['3.99'],"Mikhail Sholokhov is rightly considered both in his own country and abroad the foremost Soviet novelist of his generation. <p>Born in 1905, in a working Cossack family, Sholokhov's most impressionable years were those of the Russian Revolution and Civil War, which he had described with penetrating insight. </p><p>In 1926, he began his great epic of the Civil War And Quiet Flows the Don, and , to use his own words, found himself as a writer in that arduous and joyful creative work. And Quite Flows the Don was completed in 1940. The first book of Virgin Soil Upturned came out in 1932. The second was competed in 1960. In 1957 Sholokhov wrote a story, The Fate of a Man, which has become world famous. Also, he was working on They Fought for Their Country, a novel about Soviet people in the Second World War. Sholokhov is truly a writer of the people. His books have been printed in more than thirty-two million copies and translated into sixty-four languages. </p><p>Through the scene is set in a small Cossack village, Sholokhov's scope is no less great than in his other work, for the fate of his characters is the fate of a whole nation undergoing the greatest social revolution in its history. </p><p>A process of change had been set afoot that was to spread into every corner of Cossack life. Outworn traditions and habits were swept aside, personalities and ideas that had taken generations to form were either broken or made anew and all this in the face of bitter opposition from those who could not or would not change. </p><p>With a telling humanity Sholokhov depicts the faults and strivings, the suffering and laughter both of the fighters for progress with whom he himself has such deep ties, and their opponents. </p><p>This book has a fundamental message for those who wish to understand the stresses and strains of Soviet life from the 1930's to the present day.</p>"
626403,44202,Tales of the Don,0394447913,9780394447919,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,612754,19,557,998,261,22,5:80|4:92|3:62|2:17|1:10|total:261,1925,,,3.82,153,6,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
