id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1920477,39087,Popol-Vuh,950036252X,9789500362528,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,,,spa,Losada,false,1922629,158,9579,16270,4327,284,5:1219|4:1441|3:1205|2:334|1:128|total:4327,1550,,,3.76,7,2,['5158478'],['Anonymous'],['4.15'],['39087'],['Miguel Ángel Asturias'],['3.87'],"El Popol-Vuh (que puede traducirse —popol: comunidad, consejo; vuh: libro— por Libro del Consejo, o de la Comunidad) fue en su origen pintura, memoria, palabra. Con esa forma de tradición oral se conserva hasta mediados del siglo XVI, época en que vuelve a ser escrito por indígena, antiguo sacerdote quizá, en lengua quiché pero con caracteres latinos. Este manuscrito constituye el verdadero original del Popol-Vuh y llega a manos de fray Francisco Ximénez, cura párroco de un pueblecito guatemalteco, a principios del siglo XVIII. La posteridad nunca agradecerá bastante al padre Ximénez el haber no sólo traducido al castellano el original quiché sino también el haber copiado en columnas paralelas el texto indígena. Para dar un testimonio indiscutible de la autenticidad del manuscrito, preservó de ese modo un original que se habría perdido fácilmente. De las más de treinta versiones a todos los idiomas realizados posteriormente, la más famosa es la que bajo la dirección del profesor Georges Raynaud —quien dedicó cuatro décadas al estudio de la lengua y civilización quiché— realizaron dos de sus alumnos de la Escuela de Altos Estudios de París: el mexicano González de Mendoza y el guatemalteco Miguel Ángel Asturias, reciente premio Nobel de Literatura."
73723,39087,The President,0881339512,9780881339512,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565038089l/73723._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565038089l/73723._SY75_.jpg,1997,9,1,eng,Waveland Press,false,71336,107,11098,13257,3322,257,5:1204|4:1202|3:671|2:171|1:74|total:3322,1946,,,3.99,1727,104,['39087'],['Miguel Ángel Asturias'],['3.87'],['547497'],['Frances Partridge'],['3.77'],"Guatemalan diplomat and writer Miguel Angel Asturias (1899–1974) began this award-winning work while still a law student. It is a story of a ruthless dictator and his schemes to dispose of a political adversary in an unnamed Latin American country usually identified as Guatemala. The book has been acclaimed for portraying both a totalitarian government and its damaging psychological effects. Drawing from his experiences as a journalist writing under repressive conditions, Asturias employs such literary devices as satire to convey the government’s transgressions and surrealistic dream sequences to demonstrate the police state’s impact on the individual psyche. Asturias’s stance against all forms of injustice in Guatemala caused critics to view the author as a compassionate spokesperson for the oppressed. My work,” Asturias promised when he accepted the Nobel Prize for Literature, “will continue to reflect the voice of the people, gathering their myths and popular beliefs and at the same time seeking to give birth to a universal consciousness of Latin American problems.”"
73725,39087,Men of Maize,0822955148,9780822955146,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,3,1,,University of Pittsburgh Press,false,2169650,38,3000,2312,575,66,5:234|4:184|3:108|2:33|1:16|total:575,1949,,,4.02,300,21,['39087'],['Miguel Ángel Asturias'],['3.87'],['250521'],['Gerald Martin'],['4.13'],"Social protest and poetry; reality and myth; nostalgia for an uncorrupted, golden past; sensual human enjoyment of the present; 'magic' rather than lineal time, and, above all, a tender, compassionate love for the living, fertile, wondrous land and the struggling, hopeful people of Guatemala.—Saturday Review • Winner of the 1967 Nobel Prize for Literature"
440447,39087,داستان‌های کوتاه امریکای لاتین,9643129497,9789641852940,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525889809l/440447._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525889809l/440447._SY75_.jpg,2007,,,per,نشر نی,false,429251,9,1125,1742,467,29,5:110|4:178|3:131|2:39|1:9|total:467,1996,,,3.73,260,10,"['69766', '36771', '204512', '3231300', '179565', '22458', '38714', '432386', '506579', '1188888', '12551', '25537', '39087', '292054', '5561278', '95937', '39279', '21778', '2118587', '39313', '30195', '37871', '1367127', '22515', '37165', '83131', '1356415', '106196', '109795', '2745872', '1237531', '25575', '508825', '1341292', '25824', '99870', '743642', '12555']","['Roberto González Echevarría', 'Inca Garcilaso de la Vega', 'Catalina de Erauso', 'Esteban Echeverría', 'Ricardo Palma', 'Machado de Assis', 'Horacio Quiroga', 'Lima Barreto', 'Rómulo Gallegos', 'Enrique Amorim', 'Alejo Carpentier', 'María Luisa Bombal', 'Miguel Ángel Asturias', 'Mário de Andrade', 'Juan Bosch', 'João Guimarães Rosa', 'Juan Carlos Onetti', 'Juan Rulfo', 'Juan José Arreola', 'Augusto Roa Bastos', 'Mario Benedetti', 'José Donoso', 'Carlos Fuentes', 'Mario Vargas Llosa', 'Cristina Peri Rossi', 'Rosario Ferré', 'Ramón Pané', 'Bartolomé de las Casas', 'Juana Manuela Gorriti', 'João do Rio', 'Rafael Arévalo Martínez', 'Rubén Darío', 'Luisa Mercedes Levinson', 'Hector A. Murena', 'Julio Cortázar', 'Rosario Castellanos', 'José Balza', 'Reinaldo Arenas']","['3.87', '3.69', '3.56', '3.32', '3.83', '4.13', '4.01', '3.76', '3.79', '3.53', '3.90', '3.83', '3.87', '3.71', '3.88', '4.35', '3.79', '4.10', '3.99', '3.84', '4.10', '3.89', '3.81', '3.97', '3.85', '3.83', '3.54', '3.74', '3.62', '3.99', '3.56', '3.88', '3.55', '3.58', '4.22', '4.03', '3.68', '4.07']",['422353'],['عبدالله کوثری'],['3.79'],دنیای گسترده و حیرت‌آور ادبیات امریکای لاتین تنها به رمان‌هایی که تاکنون خوانده‌ایم و خواهیم خواند محدود نمی‌شود. در این منطقه از جهان داستان کوتاه از دیرباز جایگاهی والا و قابل قیاس با رمان داشته است. آنچه در این مجموعه آمده است، کیفیت استثنایی این داستان‌ها را آشکار می‌کند و دریچه‌ی دیگری است بر دنیایی که هنوز برای مبهوت کردن ما شگفتی‌ها در آستین دارد.<br />این کتاب مجموعه‌ای از داستان‌های کوتاه از نویسندگان امریکای لاتین است که توسط روبرتو گونسالس اچه‌وریا، استاد ادبیات امریکای لاتین و ادبیات تطبیقی دانشگاه ییل برای دانشگاه آکسفورد گردآوری شده است. کتاب سیر تحول داستان کوتاه امریکای لاتین را از دوره‌ی استعمار تا دوران معاصر بر خواننده روشن می‌کند و هر داستان نماینده‌ی خوبی برای هر دوره است.
73724,39087,Leyendas de Guatemala,8420658774,9788420658773,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,71337,35,1193,1464,406,26,5:89|4:145|3:113|2:41|1:18|total:406,1930,,,3.61,293,12,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],"El interes de Miguel angel Asturias encuentra su transposicion literaria en LEYENDAS de GUATEMALA cronica de prodigios fantasticos en la que las leyendas miticas del pueblo maya-quiche se funden con las tradiciones del pasado colonial guatemalteco y las ciudades indigenas de Tikal y Copan se aunan con Santiago y Antigua, fundadas por los espanoles. La batalla entre los espiritus de la tierra y los espiritus divinos es narrada por la prosa evocadora y exuberante del Premio Nobel de Literatura de 1967, colmada de imagenes deslumbrantes. Otras obras de Miguel angel Asturias en esta coleccion: El Senor Presidente"
3047697,39087,Canaima,8489666199,9788489666191,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,1,1,,Fondo de Cultura Economica USA,false,1092864,13,386,757,198,8,5:67|4:56|3:53|2:17|1:5|total:198,1935,,,3.82,1,0,"['3931777', '39087']","['Rmulo Gallegos', 'Miguel Ángel Asturias']","['4.00', '3.87']",[],[],[],"Los estudios criticos publicados en esta edicion, coordinada por Charles Minguet, constituyen un aporte nuevo de la critica literaria galleguiana; responden a las reflexiones que inspira a Franois Delprat a la revision minuciosa que nos ofrece de Canaima. Los estudios aqui reunidos aportan mas luz sobre los procesos creadores de Gallegos. Como lo apuntan los colaboradores: John S. Brushwood, Juan Liscano, Gustavo Guerrero, Maya Schrer, y especialmente Franoise Perus, Canaima presenta, junto con los rasgos tradicionales propios de la produccion novelesca de los anos treinta, nuevos caracteres narrativos que anuncian ya lo que en los anos cincuenta de este siglo se llamara nueva novela."
73727,39087,Mulata,0380585529,9780380585526,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583632079l/73727._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583632079l/73727._SY75_.jpg,1982,6,1,eng,Avon Books,false,997945,19,800,742,196,28,5:72|4:51|3:45|2:15|1:13|total:196,1963,,,3.79,126,17,['39087'],['Miguel Ángel Asturias'],['3.87'],['20114033'],['Gregory Rabasa'],['3.78'],"The plot follows a poor farmer who starts out dissatisfied with his economic state and makes a deal with Tazol, the corn-husk devil, an enigmatic being whose first request of him is that he go to market with his fly open to lead the town's women into temptation (thus the title of the other translation, ""the Mulata and Mr. Fly"")."
650445,39087,مردی که همه چیز، همه چیز، همه چیز داشت,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1984,,,per,دماوند,false,1146526,9,424,665,197,26,5:37|4:51|3:69|2:29|1:11|total:197,1981,2,,3.38,123,14,['39087'],['Miguel Ángel Asturias'],['3.87'],['2787191'],['لیلی گلستان'],['3.89'],"El hombre que lo tenía todo todo todo, Miguel Ángel Asturias<br />عنوان: مردی که همه چیز، همه چیز، همه چیز داشت؛ نویسنده: میگل آن آستوریاس؛ مترجم: لیلی گلستان؛ مشخصات نشر: تهران، دماوند، 1362، در 99 ص؛ موضوع: داستانهای نویسندگان اسپانیایی قرن 20 م"
2688055,39087,Strong Wind,044035997X,9780440359975,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361888998l/2688055._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361888998l/2688055._SY75_.jpg,,,,eng,,false,1922587,23,665,613,168,25,5:40|4:54|3:54|2:15|1:5|total:168,1950,,,3.65,55,4,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],"This is first in this author's series called the Banana Republic books. Asturias is a Guatemalan Nobel Prize winner who ""indicted North American exploitation of a Central American republic."""
145717,39087,The Green Pope,0224005871,9780224005876,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354874414l/145717._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354874414l/145717._SX50_.jpg,1971,,,,Delacorte Press,false,140612,19,463,486,143,18,5:28|4:43|3:43|2:16|1:13|total:143,1954,,,3.40,79,7,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],
145720,39087,Mirror of Lida Sal: Tales Based on Mayan Myths and Guatemalan Legends,0935480838,9780935480832,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,9,1,,Latin American Literary Review Press,false,140617,9,276,454,122,10,5:29|4:41|3:43|2:7|1:2|total:122,1964,,,3.72,70,9,['39087'],['Miguel Ángel Asturias'],['3.87'],['549356'],['Gilbert Alter-Gilbert'],['3.91'],"A never-before-translated collection of stories based on Mayan myth and Guatemalan folklore by the 1967 Nobel Laureate. Brilliantly inventive adaptations of Guatemalan folk tales intermesh the technical virtuosity, incomparable imagination, and profound poetic vision of a giant of twentieth-century literature."
