id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
14028,8550,Snow Country,0679761047,9780679761044,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579982486l/14028._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579982486l/14028._SY75_.jpg,1996,,,eng,Vintage,false,1855151,143,42786,67366,18352,1772,5:4084|4:6681|3:5474|2:1687|1:426|total:18352,1948,,,3.67,13317,1070,['8550'],['Yasunari Kawabata'],['3.75'],['4740'],['Edward G. Seidensticker'],['3.89'],"Nobel Prize recipient Yasunari Kawabata's <i>Snow Country</i> is widely considered to be the writer's masterpiece, a powerful tale of wasted love set amid the desolate beauty of western Japan.<br /><br />At an isolated mountain hot spring, with snow blanketing every surface, Shimamura, a wealthy dilettante meets Komako, a lowly geisha. She gives herself to him fully and without remorse, despite knowing that their passion cannot last and that the affair can have only one outcome. In chronicling the course of this doomed romance, Kawabata has created a story for the ages, a stunning novel dense in implication and exalting in its sadness."
14027,8550,Thousand Cranes,0679762655,9780679762652,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1996,,,eng,Vintage,false,25753548,97,21038,32582,8666,728,5:1996|4:3437|3:2511|2:599|1:123|total:8666,1952,,,3.76,6354,440,['8550'],['Yasunari Kawabata'],['3.75'],['4740'],['Edward G. Seidensticker'],['3.89'],"An alternate cover of this ISBN can be found <a href=""https://www.goodreads.com/book/show/26014635-thousand-cranes"" rel=""nofollow"">here</a>.<br /><br />Nobel Prize winner Yasunari Kawabata’s <i>Thousand Cranes</i> is a luminous story of desire, regret, and the almost sensual nostalgia that binds the living to the dead.<br />  <br /> While attending a traditional tea ceremony in the aftermath of his parents’ deaths, Kikuji encounters his father’s former mistress, Mrs. Ota. At first Kikuji is appalled by her indelicate nature, but it is not long before he succumbs to passion—a passion with tragic and unforeseen consequences, not just for the two lovers, but also for Mrs. Ota’s daughter, to whom Kikuji’s attachments soon extend. Death, jealousy, and attraction convene around the delicate art of the tea ceremony, where every gesture is imbued with profound meaning."
14029,8550,Beauty and Sadness,0679761055,9780679761051,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379601229l/14029._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379601229l/14029._SY75_.jpg,1996,1,30,eng,Vintage,false,1414440,88,21279,29647,7695,682,5:2104|4:3057|3:1945|2:475|1:114|total:7695,1964,,,3.85,5018,320,['8550'],['Yasunari Kawabata'],['3.75'],['435763'],['Howard Hibbett'],['3.82'],"Beauty and Sadness (Japanese: 美しさと哀しみと Utsukushisa to kanashimi to) is a 1964 novel by Japanese Nobel Prize winning author Yasunari Kawabata.<br /><br />Opening on the train to Kyoto, the narrative, in characteristic Kawabata fashion, subtly brings up issues of tradition and modernity as it explores writer Oki Toshio's reunion with a young lover from his past, Otoko Ueno, who is now a famous artist and recluse. Ueno is now living with her protegée and a jealous lover, Keiko Sakami, and the unfolding relationships between Oki, Otoko, and Keiko form the plot of the novel. Keiko states several times that she will avenge Otoko for Oki's abandonment, and the story coalesces into a climactic ending."
14032,8550,House of the Sleeping Beauties and Other Stories,4770029756,9784770029751,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397139224l/14032._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397139224l/14032._SY75_.jpg,2004,2,6,eng,Kodansha International,false,3076515,52,14338,22185,6051,711,5:1429|4:2148|3:1709|2:556|1:209|total:6051,1960,,,3.67,3643,230,"['8550', '35258']","['Yasunari Kawabata', 'Yukio Mishima']","['3.75', '3.93']",['4740'],['Edward G. Seidensticker'],['3.89'],"Nobel prize-winning author Yasunari Kawabata is noted for his combination of a traditional Japanese aesthetic with modernist, often surreal trends. In these three tales, superbly translated by Edward Seidensticker, erotic fantasy is underlaid with longing and memories of past loves.<br /><br />In the title story, the protagonist visits a brothel where elderly men spend a chaste but lecherous night with a drugged, unconscious virgin. As he admires the girl's beauty, he recalls his past womanizing, and reflects on the relentless course of old age. <br /><br />In One Arm, a young girl removes her right arm and gives it to the narrator to take home for the night; a surreal seduction follows as he tries to allay its fears, caresses it, and even replaces his own right arm with it.<br /><br />The protagonist of Of Birds and Beasts prefers the company of his pet birds and dogs to people, yet for him all living beings are beautiful objects which, though they give him pleasure, he treats with casual cruelty.<br /><br />Beautiful yet chilling, richly poetic yet subtly disturbing, these stories make compelling reading and reaffirm Kawabata s status as a world-class writer."
59950,8550,The Sound of the Mountain,0679762647,9780679762645,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1996,5,28,eng,Vintage,false,58337,80,18102,21007,5370,410,5:1650|4:2068|3:1249|2:335|1:68|total:5370,1953,,,3.91,3915,239,['8550'],['Yasunari Kawabata'],['3.75'],['4740'],['Edward G. Seidensticker'],['3.89'],"An alternate cover of this ISBN can be found <a href=""https://www.goodreads.com/book/show/18302742-the-sound-of-the-mountain"" rel=""nofollow"">here</a>.<br /><br />Ogata Shingo is growing old, and his memory is failing him. At night he hears only the sound of death in the distant rumble from the mountain. The relationships which have previously defined his life - with his son, his wife, and his attractive daughter-in-law - are dissolving, and Shingo is caught between love and destruction. Lyrical and precise, <i>The Sound of the Mountain</i> explores in immaculately crafted prose the changing roles of love and the truth we face in ageing."
14034,8550,The Old Capital,1593760329,9781593760328,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,,,eng,Shoemaker & Hoard,false,16124,68,10214,14634,3880,381,5:944|4:1472|3:1153|2:256|1:55|total:3880,1962,,,3.77,2322,168,['8550'],['Yasunari Kawabata'],['3.75'],"['2945032', '6588684']","['J. Martin Holman', 'Vanja Lantz']","['3.93', '3.84']","<i>The Old Capital</i> is one of the three novels cited specifically by the Nobel Committee when they awarded Kawabata the Nobel Prize for Literature in 1968. With the ethereal tone and aesthetic styling characteristic of Kawabata's prose, <i>The Old Capital</i> tells the story of Chieko, the adopted daughter of a Kyoto kimono designer, Takichiro, and his wife, Shige.<br /><br />Set in the traditional city of Kyoto, Japan, this deeply poetic story revolves around Chieko who becomes bewildered and troubled as she discovers the true facets of her past. With the harmony and time-honored customs of a Japanese backdrop, the story becomes poignant as Chieko’s longing and confusion develops.<br />"
13752,8550,The Master of Go,0679761063,9780679761068,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327963687l/13752._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327963687l/13752._SY75_.jpg,1996,5,28,eng,Vintage,false,1255182,46,8698,13840,3603,310,5:949|4:1438|3:960|2:207|1:49|total:3603,1954,,,3.84,2855,209,['8550'],['Yasunari Kawabata'],['3.75'],['4740'],['Edward G. Seidensticker'],['3.89'],"Go is a game of strategy in which two players attempt to surround each other's black or white stones. Simple in its fundamentals, infinitely complex in its execution, Go is an essential expression of the Japanese spirit. And in his fictional chronicle of a match played between a revered and heretofore invincible Master and a younger and more modern challenger, Yasunari Kawabata captured the moment in which the immutable traditions of imperial Japan met the onslaught of the twentieth century."
60498,8550,La casa de las bellas durmientes,8421726080,9788421726082,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413923022l/60498._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413923022l/60498._SX50_.jpg,2004,,,spa,Caralt,false,51881742,70,5445,10812,3001,332,5:545|4:1174|3:908|2:293|1:81|total:3001,1961,11,30,3.60,810,91,['8550'],['Yasunari Kawabata'],['3.75'],['2378616'],['Pilar Giralt Gorina'],['4.14'],
14031,8550,Palm-of-the-Hand Stories,0374530491,9780374530495,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401017356l/14031._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401017356l/14031._SX50_.jpg,2006,11,14,eng,"Farrar, Straus and Giroux",false,1176229,42,11095,9590,2412,208,5:849|4:857|3:537|2:137|1:32|total:2412,1971,,,3.98,1793,127,['8550'],['Yasunari Kawabata'],['3.75'],"['206541', '2945032']","['Lane Dunlop', 'J. Martin Holman']","['4.04', '3.93']","<div>Recipient of the Nobel Prize in Literature in 1968, the novelist Yasunari Kawabata felt the essence of his art was to be found not in his longer works but in a series of short stories--which he called ""Palm-of-the-Hand Stories""--written over the span of his career. In them we find loneliness, love, and the passage of time, demonstrating the range and complexity of a true master of short fiction.<br /></div>"
14030,8550,The Dancing Girl of Izu and Other Stories,1887178945,9781887178945,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328698047l/14030._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328698047l/14030._SY75_.jpg,1998,8,29,eng,Counterpoint,false,524380,48,4859,8288,2196,155,5:534|4:821|3:674|2:145|1:22|total:2196,1926,1,1,3.77,1405,76,['8550'],['Yasunari Kawabata'],['3.75'],['2945032'],['J. Martin Holman'],['3.93'],"Influential Japanese novelist Yasunari Kawabata has constructed an autobiography through his fiction with this new collection of stories that parallel major events and themes in his life. In the lyrical prose that is his signature, these 23 tales reflect Kawabata's keen perception, deceptive simplicity, and the deep melancholy that characterizes much of his work."
83024,8550,The Lake,4770030010,9784770030016,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,7,8,eng,Kodansha,false,80158,26,4589,6214,1705,179,5:386|4:578|3:536|2:159|1:46|total:1705,1954,,,3.64,1172,73,['8550'],['Yasunari Kawabata'],['3.75'],['3883945'],['Reiko Tsukimura'],['3.72'],"This story of a stalker is a unique work by the first Japanese Nobel Prize winner for Literature.<br /><br />The Lake is the history of an obsession. It traces a man's sad pursuit of an unattainable perfection, a beauty out of reach, admired from a distance, unconsummated. Homeless, a fugitive from an ambiguous crime, his is an incurable longing that drives him to shadow nameless women in the street and hide in ditches as they pass above him, beautiful and aloof. For their beauty is not of this world, but of a dream--the voice of a girl he meets in a Turkish bath is ""an angel's,"" the figures of two students he follows seem to ""glide over the green grass that hid their knees."" Reality is the durable ugliness that is his constant companion and is symbolized in the grotesque deformity of the hero's feet. And it is the irreconcilable nature of these worlds that explains the strangely dehumanized, shadowy quality of the eroticism that pervades this novel.<br /><br />In a sense The Lake is a formless novel, a ""happening,"" making it one of the most modern of all Kawabata's works. Just as the hero's interest might be caught by some passing stranger, so the course of the novel swerves abruptly from present to past, memory shades into hallucination, dreams break suddenly into daylight. It is an extraordinary performance of free association, made all the more astonishing for the skill with which these fragments are resolved within the completed tapestry."
