id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
17716,1433597,Waiting for Godot,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327910301l/17716._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327910301l/17716._SY75_.jpg,2011,,,eng,Grove,false,2635502,245,263469,580817,151673,5278,5:50724|4:49186|3:33099|2:12492|1:6172|total:151673,1952,,,3.83,130979,3620,['1433597'],['Samuel Beckett'],['3.88'],[],[],[],"The story revolves around two seemingly homeless men simply waiting for someone—or something—named Godot. Vladimir and Estragon wait near a tree, inhabiting a drama spun of their own consciousness. The result is a comical wordplay of poetry, dreamscapes, and nonsense, which has been interpreted as mankind’s inexhaustible search for meaning. Beckett’s language pioneered an expressionistic minimalism that captured the existential post-World War II Europe. His play remains one of the most magical and beautiful allegories of our time."
12287,1433597,Endgame,0571070671,9780571070671,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452534163l/12287._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452534163l/12287._SY75_.jpg,1989,,,eng,Faber and Faber,false,1164113,65,27336,56539,14725,640,5:4703|4:5054|3:3355|2:1130|1:483|total:14725,1957,1,30,3.84,12240,408,['1433597'],['Samuel Beckett'],['3.88'],[],[],[],"Samuel Beckett was awarded the Nobel Prize for Literature in 1969; his literary output of plays, novels, stories, and poetry has earned him an uncontested place as one of the greatest writers of our time. <i>Endgame</i>, originally written in French and translated into English by Beckett himself, is now considered by many critics to be his greatest single work. A pinnacle of Beckett's characteristic raw minimalism, it is a pure and devastating distillation of the human essence in the face of approaching death."
31929521,1433597,Finnegans Wake,889882002X,9788898820023,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473436343l/31929521._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473436343l/31929521._SX50_.jpg,2016,1,28,ita,Giometti & Antonello,false,322098,3,52561,41596,11338,900,5:3735|4:3093|3:2525|2:989|1:996|total:11338,1939,5,4,3.67,5,1,"['5144', '14222818', '1433597', '4820731']","['James Joyce', 'J. Rodolfo Wilcock', 'Samuel Beckett', 'Edoardo Camurri']","['3.74', '4.00', '3.88', '3.86']",['149895'],['Aldo Tagliaferri'],['3.98'],"Il ""Finnegans Wake"", l'ultima e più ambiziosa opera di James Joyce, che unisce all'estrema e continua sperimentazione linguistica il tentativo di forzare da ogni lato i confini della forma romanzo, vede la luce nel 1939 dopo ben 17 anni di gestazione. ""Il libro - dichiara l'autore - è il sogno del vecchio Finn che, morto, giace disteso lungo il fiume Anna Liffey e osserva la storia dell'Irlanda e del mondo - passato e futuro - scorrergli attraverso la mente come rifiuti sul fiume della vita"". Il racconto di un sogno, dunque, espresso in un linguaggio tanto intraducibile che ancora oggi non è stato possibile fornirne una traduzione integrale in italiano. Negli anni '60 quel poliedrico scrittore che era J. Rodolfo Wilcock, il ""poeta"" Wilcock, plurilingue inventore come lo stesso Joyce, tenta di elaborare un condensato in italiano di quest'opera, una traduzione che risulta ridottissima ma completa, quasi riconducesse quella che lui intitola ""La veglia di Finnegan"" alla perfezione della sua forma embrionale. Nella presente edizione, l'originale di Joyce fa da contrappunto alla versione di Wilcock. Questa è preceduta da un denso saggio di Samuel Beckett, scritto su richiesta dello stesso Joyce al fine di inquadrare la sua poliforme creazione. Chiudono il volume una serie di testi (finora inediti in volume) che Wilcock, nel corso degli anni, ha dedicato alla figura di Joyce. Prefazione di Edoardo Camurri."
54028,1433597,Endgame & Act Without Words,0802150241,9780802150240,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355259078l/54028._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355259078l/54028._SY75_.jpg,1994,1,12,,Grove Press,false,5655853,14,14951,35378,8898,201,5:3473|4:2856|3:1722|2:576|1:271|total:8898,1957,1,1,3.98,8525,168,['1433597'],['Samuel Beckett'],['3.88'],[],[],[],"Samuel Beckett was awarded the Nobel Prize for Literature n 1969; his literary output of plays, novels, stories and poetry has earned him an uncontested place as one of the greatest writers of our time. ""Endgame, "" originally written in French and translated into English by Beckett himself, is considered by many critics to be his greatest single work. A pinnacle of Beckett's characteristic raw minimalism, it is a pure and devastating distillation of the human essence in the face of approaching death."
12279,1433597,"Molloy, Malone Dies, The Unnamable (The Trilogy, #1-3)",0375400702,9780375400704,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414373759l/12279._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414373759l/12279._SY75_.jpg,1997,9,16,eng,Everyman's Library,false,75749,40,24128,34114,7972,351,5:4271|4:2269|3:977|2:297|1:158|total:7972,1958,,,4.28,6819,219,['1433597'],['Samuel Beckett'],['3.88'],[],[],[],"The first novel of Samuel Beckett's mordant and exhilirating midcentury trilogy intoduces us to Molloy, who has been mysteriously incarcerated, and who subsequently escapes to go discover the whereabouts of his mother. In the latter part of this curious masterwork, a certain Jacques Moran is deputized by anonymous authorities to search for the aforementioned Molloy. In the trilogy's second novel, Malone, who might or might not be Molloy himself, addresses us with his ruminations while in the act of dying. The third novel consists of the fragmented monologue - delivered, like the monologues of the previous novels, in a mournful rhetoric that possesses the utmost splendor and beauty - of what might or might not an armless and legless creature living in an urn outside an eating house. Taken together, these three novels represent the high-water mark of the literary movement we call Modernism. Within their linguistic terrain, where stories are taken up, broken off, and taken up again, where voices rise and crumble and are resurrected, we can discern the essential lineaments of our modern condition, and encounter an awesome vision, tragic yet always compelling and always mysteriously invigorating, of consciousness trapped and struggling inside the boundaries of nature."
446542,1433597,Molloy,0802151361,9780802151360,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426904873l/446542._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426904873l/446542._SX50_.jpg,1994,1,12,eng,Grove Press,false,2204679,87,17284,24655,6075,466,5:2497|4:2090|3:1003|2:316|1:169|total:6075,1951,,,4.06,5099,343,['1433597'],['Samuel Beckett'],['3.88'],['3907111'],['Patrick Bowles'],['4.05'],"Molloy, the first of the three masterpieces which constitute Samuel Beckett’s famous trilogy, appeared in French in 1951, followed seven months later by Malone Dies (Malone meurt), and two years later by The Unnamable (L’Innommable). Few works of contemporary literature have been so universally acclaimed as central to their time and to our understanding of the human experience."
104608,1433597,Happy Days,0571066534,9780571066537,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,11,30,eng,Faber & Faber,false,1444147,42,10060,20408,5241,169,5:1764|4:1792|3:1209|2:317|1:159|total:5241,1961,,,3.89,4440,97,['1433597'],['Samuel Beckett'],['3.88'],[],[],[],"In 'Happy Days, ' Beckett pursues his relentless search for the meaning of existence, probing the tenuous relationships that bind one person to another, and each to the universe, to time past and time present."
333314,1433597,Murphy,0802150373,9780802150370,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,1,20,,Grove Press,false,52684,50,11953,17801,4623,318,5:1410|4:1673|3:1096|2:327|1:117|total:4623,1938,,,3.85,3791,222,['1433597'],['Samuel Beckett'],['3.88'],[],[],[],"'Murphy', Samuel Beckett's first published novel, was written in English and published in London in 1938; Beckett himself subsequently translated the book into French, and it was published in France in 1947. The novel recounts the hilarious but tragic life of Murphy in London as he attempts to establish a home and to amass sufficient fortune for his intended bride to join him."
104627,1433597,Krapp's Last Tape & Embers,0571062091,9780571062096,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328427103l/104627._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328427103l/104627._SY75_.jpg,1998,2,16,eng,Faber & Faber,false,805893,6,6124,15955,3936,105,5:1569|4:1349|3:744|2:208|1:66|total:3936,1958,,,4.05,3870,94,['1433597'],['Samuel Beckett'],['3.88'],[],[],[],"In the first of these two plays, an old man records his comments as he listens to a tape recording of his own observations on how life felt when he was 39. <br /><br />In the second, a man walking along the seashore recalls his dead father while other familiar voices speak to him from the past."
54042,1433597,Malone Dies,0802151175,9780802151179,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407860351l/54042._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407860351l/54042._SY75_.jpg,2018,2,20,fre,Grove Press,false,3198398,73,9692,14208,3677,303,5:1222|4:1285|3:749|2:290|1:131|total:3677,1951,,,3.86,2524,132,['1433597'],['Samuel Beckett'],['3.88'],[],[],[],"Written and published in French in 1951, and in Samuel Beckett’s English translation in 1956, <i>Malone Dies</i> is the second of his immediate post-war novels, written during what Beckett later referred to as ‘the siege in the room’.<br /><br />‘Malone’, writes Malone, ‘is what I am called now.’ On his deathbed, whittling away the time with stories and revisions of stories, the octogenarian Malone's account of his condition is contradictory and intermittent, shifting with the vagaries of the passing days: without mellowness, without elegiacs; wittier, jauntier, and capable of darker rages than his precursor Molloy. Malone promises silence, but as a storyteller he delivers irresistibly more."
2766583,1433597,Critical Judgment,0613091779,9780613091770,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,1,5,,Turtleback Books,false,530064,25,5028,10717,2733,104,5:776|4:1120|3:710|2:100|1:27|total:2733,1996,6,1,3.92,1,0,"['110485', '1433597']","['Michael Palmer', 'Samuel Beckett']","['3.84', '3.88']",[],[],[],"From day one Dr. Abby Dolan has felt uncomfortable working in the emergency room of Patience Regional Hospital in tiny Patience, California. Cut off from the sophisticated staff and equipment that backed her up in San Francisco, Abby Dolan wonders if she has what it takes to succeed in a small-town facility with some big-time problems.Abby had moved to Patience to be with her fiance, Josh Wyler, but the Josh she lives with now is a different man--manic, hostile, and prone to blinding headaches. And then one night Josh storms out for good, and Abby is left wondering whether it's the pressures at his new job with manufacturing giant Colstar, or whether Colstar itself is making Josh sick. In the E.R. she is seeing too many patients with unexplainable symptoms--too many to be normal.<br /><br />Abby's suspicions about Colstar are shared by E.R. colleague Dr. Lew Alvarez, whose investigating committee has shrunk, as one by one they succumbed to the company's stranglehold on Patience. Abby is not about to be scared off, but her own in-vestigation reaches a dead end: all the blood samples she sends out for testing come back negative for chemical contamination. Yet Abby is certain the citizens of Patience are slowly being poisoned. The question is whether she will die proving it."
