id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
17125,19771050,One Day in the Life of Ivan Denisovich,0374529523,9780374529529,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574794164l/17125._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574794164l/17125._SY75_.jpg,2005,3,16,eng,"Farrar, Straus and Giroux",false,838042,328,140143,354916,89853,4012,5:29008|4:35100|3:19560|2:4611|1:1574|total:89853,1962,11,,3.95,74555,2573,"['19771050', '192496']","['Aleksandr Solzhenitsyn', 'H.T. Willetts']","['4.05', '3.95']",[],[],[],"<b>The only English translation authorized by Aleksandr Solzhenitsyn </b><br /><br />First published in the Soviet journal <i>Novy Mir</i> in 1962, <i>One Day in the Life of Ivan Denisovich</i> stands as a classic of contemporary literature. The story of labor-camp inmate Ivan Denisovich Shukhov, it graphically describes his struggle to maintain his dignity in the face of communist oppression. An unforgettable portrait of the entire world of Stalin's forced work camps, <i>One Day in the Life of Ivan Denisovich</i> is one of the most extraordinary literary documents to have emerged from the Soviet Union and confirms Solzhenitsyn's stature as ""a literary genius whose talent matches that of Dosotevsky, Turgenev, Tolstoy""--Harrison Salisbury<br /><br />This unexpurgated 1991 translation by H. T. Willetts is the only authorized edition available, and fully captures the power and beauty of the original Russian."
70561,19771050,The Gulag Archipelago 1918–1956 (Abridged),0060007761,9780060007768,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,2,1,eng,HarperCollins,false,2944012,125,77098,79156,18626,1125,5:9033|4:6202|3:2606|2:580|1:205|total:18626,1973,,,4.25,14868,779,"['19771050', '241226']","['Aleksandr Solzhenitsyn', 'Edward E. Ericson Jr.']","['4.05', '4.23']",[],[],[],"Drawing on his own incarceration and exile, as well as on evidence from more than 200 fellow prisoners and Soviet archives, Aleksandr I. Solzhenitsyn reveals the entire apparatus of Soviet repression—the state within the state that ruled all-powerfully. Through truly Shakespearean portraits of its victims—men, women, and children—we encounter secret police operations, labor camps and prisons; the uprooting or extermination of whole populations, the welcome that awaited Russian soldiers who had been German prisoners of war. Yet we also witness the astounding moral courage of the incorruptible, who, defenseless, endured great brutality and degradation. <i>The Gulag Archipelago 1918–1956</i>—a grisly indictment of a regime, fashioned here into a veritable literary miracle—has now been updated with a new introduction that includes the fall of the Soviet Union and Solzhenitsyn's move back to Russia."
254316,19771050,Cancer Ward,0099575515,9780099575511,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328028751l/254316._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328028751l/254316._SY75_.jpg,2003,5,1,eng,Vintage Classics,false,3202343,107,35357,55595,13198,664,5:5932|4:4783|3:1968|2:384|1:131|total:13198,1968,,,4.21,10747,427,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],"['425787', '672777']","['Nicholas Bethell', 'David Burg']","['4.19', '4.19']","One of the great allegorical masterpieces of world literature, <b>Cancer Ward</b> is both a deeply compassionate study of people facing terminal illness and a brilliant dissection of the “cancerous” Soviet police state."
98969,19771050,The First Circle,0810115905,9780810115903,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,11,12,,Northwestern University Press,false,377937,75,19305,29579,7020,300,5:3202|4:2514|3:997|2:215|1:92|total:7020,1968,9,,4.21,6283,225,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],['8539'],['Thomas P. Whitney'],['4.24'],"Set in Moscow during a three-day period in December 1949, 'The First Circle' is the story of the prisoner Gleb Nerzhin, a brilliant mathematician. <br /><br />At the age of thirty-one, Nerzhin has survived the war years on the German front and the postwar years in a succession of Russian prisons and labor camps. <br /><br />His story is interwoven with the stories of a dozen fellow prisoners - each an unforgettable human being - from the prison janitor to the tormented Marxist intellectual who designed the Dnieper dam; of the reigning elite and their conflicted subordinates; and of the women, wretched or privileged, bound to these men. <br /><br />A landmark of Soviet literature, 'The First Circle' is as powerful today as it was when it was first published, nearly thirty years ago."
246422,19771050,"The Gulag Archipelago, 1918-1956: An Experiment in Literary Investigation, Books I-II",0060803320,9780060803322,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565139555l/246422._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565139555l/246422._SX50_.jpg,1974,,,eng,Harper & Row,false,42472998,75,16452,27553,6382,454,5:3318|4:2033|3:826|2:148|1:57|total:6382,1973,,,4.32,4466,240,"['19771050', '6582615', '65974']","['Aleksandr Solzhenitsyn', 'Georgi Plekhanov', 'Leon Trotsky']","['4.05', '4.25', '4.10']",['8539'],['Thomas P. Whitney'],['4.24'],"Volume 1 of the gripping epic masterpiece, Solzhenitsyn's chilling report of his arrest and interrogation, which exposed to the world the vast bureaucracy of secret police that haunted Soviet society"
216512,19771050,"August 1914 (The Red Wheel, #1)",0374519994,9780374519995,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311971738l/216512._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311971738l/216512._SX50_.jpg,,,,eng,,false,900293,22,6891,8911,2270,153,5:709|4:894|3:494|2:135|1:38|total:2270,1971,,,3.93,1890,110,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],['192496'],['H.T. Willetts'],['3.95'],"In the first month of the First World War the Russian campaign against the Germans creaks into gear. Crippled by weak, indecisive leadership the Russian troops battle desperately, even as the inevitability of failure and their own sacrifice dawns. Solzhenitsyn’s astounding work of historical fiction is a portrait of pre-revolutionary Russia, a tragic war story, and an epic novel in the great Russian tradition."
70562,19771050,"The Gulag Archipelago, 1918-1956: An Experiment in Literary Investigation, Books III-IV",006092103X,9780060921033,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565912820l/70562._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565912820l/70562._SY75_.jpg,,,,eng,,false,17436542,61,4658,7621,1710,95,5:1054|4:440|3:170|2:35|1:11|total:1710,1974,,,4.46,1015,37,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],"<p> Drawing on his own incarceration and exile, as well as on evidence from more than 200 fellow prisoners and Soviet archives, Aleksandr I. Solzhenitsyn reveals the entire apparatus of Soviet repression -- the state within the state that ruled all-powerfully. </p><p>Through truly Shakespearean portraits of its victims -- men, women, and children -- we encounter secret police operations, labor camps and prisons; the uprooting or extermination of whole populations, the ""welcome"" that awaited Russian soldiers who had been German prisoners of war. Yet we also witness the astounding moral courage of the incorruptible, who, defenseless, endured great brutality and degradation. <i>The Gulag Archipelago 1918-1956</i> -- a grisly indictment of a regime, fashioned here into a veritable literary miracle -- has now been updated with a new introduction that includes the fall of the Soviet Union and Solzhenitsyn's move back to Russia. </p><p></p>"
1036513,19771050,Matryona's House and Other Stories,0140039856,9780140039856,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1258136285l/1036513._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1258136285l/1036513._SY75_.jpg,1975,10,30,eng,Penguin,false,1022856,31,3472,6650,1703,70,5:533|4:651|3:377|2:108|1:34|total:1703,1963,,,3.90,1030,11,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],['73039'],['Michael Glenny'],['3.99'],"This translation originally published under title: Stories and Prose Poems London: Bodley Head, 1971."
914223,19771050,"The Gulag Archipelago, 1918-1956: An Experiment in Literary Investigation, Books V-VII",0813332915,9780813332918,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565912860l/914223._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565912860l/914223._SY75_.jpg,1997,1,30,,Basic Books,false,17436547,46,3884,6296,1396,93,5:906|4:346|3:110|2:18|1:16|total:1396,1978,,,4.51,879,28,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],"<i>The Gulag Archipelago </i> is Solzhenitsyn's attempt to compile a literary-historical record of the vast system of prisons and labor camps that came into being shortly after the Bolsheviks seized power in Russia in 1917 and that underwent an enormous expansion during the rule of Stalin from 1924 to 1953. Various sections of the three volumes describe the arrest, interrogation, conviction, transportation, and imprisonment of the Gulag's victims by Soviet authorities over four decades. The work mingles historical exposition and Solzhenitsyn's own autobiographical accounts with the voluminous personal testimony of other inmates that he collected and committed to memory during his imprisonment.Upon publication of the first volume of <i>The Gulag Archipelago, </i> Solzhenitsyn was immediately attacked in the Soviet press. Despite the intense interest in his fate that was shown in the West, he was arrested and charged with treason on February 12, 1974, and was exiled from the Soviet Union the following day."
2080190,19771050,In the First Circle (Uncensored),0061479012,9780061479014,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480138459l/2080190._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480138459l/2080190._SY75_.jpg,2009,10,13,eng,Harper Perennial,false,74926302,6,2567,3372,772,131,5:418|4:255|3:70|2:23|1:6|total:772,1968,,,4.37,561,103,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],['3497247'],['Harry Willets'],['4.28'],"The thrilling cold war masterwork by the winner of the Nobel Prize in Literature, published in full for the first time<br /><br />Moscow, Christmas Eve, 1949.The Soviet secret police intercept a call made to the American embassy by a Russian diplomat who promises to deliver secrets about the nascent Soviet Atomic Bomb program. On that same day, a brilliant mathematician is locked away inside a Moscow prison that houses the country's brightest minds. He and his fellow prisoners are charged with using their abilities to sleuth out the caller's identity, and they must choose whether to aid Joseph Stalin's repressive state—or refuse and accept transfer to the Siberian Gulag camps . . . and almost certain death.<br /><br />First written between 1955 and 1958, <em>In the First Circle</em> is Solzhenitsyn's fiction masterpiece. In order to pass through Soviet censors, many essential scenes—including nine full chapters—were cut or altered before it was published in a hastily translated English edition in 1968. Now with the help of the author's most trusted translator, Harry T. Willetts, here for the first time is the complete, definitive English edition of Solzhenitsyn's powerful and magnificent classic."
18160267,19771050,"Fängelseindustrin (Gulag-arkipelagen, #1)",9146120513,9789146120513,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461168394l/18160267._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461168394l/18160267._SY75_.jpg,1974,,,swe,Wahlström & Widstrand,false,42473218,1,1643,2525,605,1,5:309|4:162|3:87|2:24|1:23|total:605,,,,4.17,605,1,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],
