id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
233780,39326,Der Fänger im Roggen,3499108518,9783499108518,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,1,1,ger,Rowohlt Taschenbuch,false,3036731,464,3755418,9994338,2627013,54988,5:896939|4:813212|3:556883|2:226167|1:133812|total:2627013,1951,7,16,3.80,198,8,"['819789', '39326']","['J.D. Salinger', 'Heinrich Böll']","['3.84', '3.87']",[],[],[],"Beim ersten Mal Lesen konnte ich ihn auf Anhieb nicht ausstehen: Holden Caulfield, der Held in Jerome David Salingers <i>Der Fänger im Roggen</i> ging mir mit seinen naseweisen, altklugen Lebensbetrachtungen ziemlich auf den Wecker. Ein paar Jahre später fiel mein Urteil anders aus: Holden durchschaut und schildert in seinem schnodderigen Jugendjargon die oft so verlogene Welt der Erwachsenen. Und weil er merkt, daß er auf der Schwelle zu eben dieser Erwachsenenwelt steht, wehrt er sich dagegen, sich dort einzufügen.<p> So ist er gerade aus dem vierten Internat geflogen, weil seine schulischen Leistungen in fast allen Fächern ungenügend waren. Zurück in New York steigt er zunächst in einem zwielichtigen Hotel ab, da er sich nicht gleich bei seinen Eltern sehen lassen will. Die nun folgenden Begegnungen und Gespräche mit den verschiedensten Leuten machen seine Sensibilität und seine Gefühlsverwirrung deutlich, die er hinter einer coolen Fassade nur sehr unzureichend zu verstecken vermag und gipfelt schließlich in dem berühmt gewordenen Satz ""Ein Pferd ist doch wenigstens menschlich"".</p><p> Holden träumt von einer einsam gelegenen Blockhütte irgendwo im sonnigen Westen, in der er seine Kinder vor den Erwachsenen verstecken möchte. Doch im Gespräch mit seiner kleinen Schwester Phoebe wird deutlich, daß er nicht weiß, was er mit sich und seinem Leben tatsächlich anfangen soll. Und genau das ist es, was Salingers Roman auch fünfzig Jahre nach seinem Erscheinen noch so aktuell sein läßt -- denn diesem Problem müssen sich die Heranwachsenden jeder Generation aufs Neue stellen. <i>--Elisabeth Lang</i></p>"
3714692,39326,Guerra e pace,8804620765,9788804620761,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2012,1,,ita,Mondadori,false,4912783,1686,734179,1035361,251488,10664,5:115226|4:76891|3:40044|2:12208|1:7119|total:251488,1867,,,4.12,46,3,"['128382', '778265', '39326']","['Leo Tolstoy', 'Igor Sibaldi', 'Heinrich Böll']","['4.06', '4.15', '3.87']",[],[],[],"Meditato a partire dal 1863, pubblicato prima a puntate e poi più volte rivisto e riscritto fino alla versione del 1886, Guerra e Pace rappresenta una delle opere più note di Tolstòj e dell'intera letteratura universale.<br />Nelle quasi duemila pagine di altissima scrittura che compongono il libro si narrano le vicende di due famiglie dell'aristocrazia russa, i Bolkònskij e i Ròstov, sullo sfondo della Russia patriarcale e contadina devastata dalle guerre e dall'invasione di Napoleone, ma ancor più sconvolta dall'influsso, borghese e civilissimo, dell'Europa occidentale. Della Grande Russia del XVIII secolo Guerra e Pace è infatti insieme il magnifico epos e la struggente elegia. <br />Un capolavoro che esce dai vincoli artificiosi del romanzo, ampliandosi e trasformandosi aldilà di ogni definizione di genere, diventando di volta in volta romanzo storico, cronaca familiare, trattato storiografico, pamphlet, testo filosofico. Un grande inno alla libertà e alla felicità, un'affascinante partita a scacchi che il conte Tolstòj gioca con il lettore e di cui inventa, pagina dopo pagina, le inedite regole."
875311,39326,Franny und Zooey,3499109069,9783499109065,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1967,1,,ger,Rowohlt Taschenbuch Verlag,false,3118417,151,298088,721526,181394,6287,5:65576|4:63100|3:38972|2:10584|1:3162|total:181394,1961,9,,3.98,76,6,"['819789', '39326', '749968']","['J.D. Salinger', 'Heinrich Böll', 'Annemarie Böll']","['3.84', '3.87', '3.99']",[],[],[],"Das Buch besteht aus zwei Erzählungen, welche miteinander verwoben sind. In der ersten Kurzgeschichte ""Franny"" geht es um die gleichnamige Protaginistin. Sie besucht ihren Freund Lane übers Wochenende. Bei einem gemeinsamen Essen der beiden Studenten entstehen mehrere Diskussionen, in denen klar wird, dass Franny keine Lust mehr auf das College hat. Mehr noch zeigt sie sich eigentlich von alles und jedem angewidert und sieht fast nirgendwo mehr einen Sinn in ihrem Leben. In der zweiten Erzählung ""Zooey"" erfährt der Leser, dass Franny und Zooey die jüngsten, der sieben hochbegabten Glass-Geschwister sind, die in ihrer Kindheit jahrelang regelmäßíg in einer Quiz-Show aufgetreten sind. Dieser frühe Ruhm hatte nicht nur positive Seiten. Die Geschichte knüpft an das Ende der ersten Erzählung an und beginnt damit, dass Mutter Bessie ihren Sohn Zooey eindringlich bittet, sich um Franny zu kümmern, weil diese nach einem Nervenzusammenbruch wieder daheim ist um sich zu erholen. In einem langen Gespräch zwischen den beiden Geschwistern geht es dann nicht nur um Frannys Verzweiflung, sondern auch um ihre Einstellung zum Leben, um die Frage nach Spiritualität und der düsteren Familienvergangenheit."
1165612,39326,Neun Erzählungen,3499110695,9783499110696,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1968,8,,ger,Rowohlt Taschenbuch Verlag,false,1839377,172,208672,541055,129153,4193,5:57457|4:45736|3:20445|2:3976|1:1539|total:129153,1953,4,6,4.19,51,3,"['819789', '39326', '749968', '123174']","['J.D. Salinger', 'Heinrich Böll', 'Annemarie Böll', 'Elisabeth Schnack']","['3.84', '3.87', '3.99', '3.77']",[],[],[],"Die großartigen Erzählungen J.D. Salingers Neben dem ""Fänger im Roggen"" und den vier großen Erzählungen über die Glass-Familie in ""Franny und Zooey"" und ""Hebt an den Dachbalken, Zimmerleute und Seymour eine Einführung"" hat Salinger nur einen Band mit Kurzgeschichten veröffentlicht. Seine ""Neun Erzählungen"" sind ein Glanzlicht der Literatur des 20. Jahrhunderts. Heute so frisch wie bei ihrem ersten Erscheinen in den 1950er-Jahren. Außenseiter und Verstörte, Einzelgänger und Mitglieder der aus ""Franny und Zooey"" vertrauten Glass-Familie bevölkern diese Geschichten. Vor allem Kinder: frühreife und altkluge, weise und naseweise und ein Wunderkind. Salinger schildert ihr Anderssein, ihren Eigensinn, ihre Methoden im Umgang mit Erwachsenen, ihre schmerzlichen und komischen Unternehmungen mit Witz, Melancholie und großer Zärtlichkeit."
69091,39326,The Clown,014018726X,9780140187267,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449680007l/69091._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449680007l/69091._SY75_.jpg,1994,6,1,eng,Penguin Classics,false,2321188,156,39809,81760,20428,1305,5:7394|4:7527|3:4041|2:1093|1:373|total:20428,1963,,,4.00,7573,290,['39326'],['Heinrich Böll'],['3.87'],['39329'],['Leila Vennewitz'],['3.82'],"Acclaimed entertainer Hans Schnier collapses when his beloved Marie leaves him because he won’t marry her within the Catholic Church. The desertion triggers a searing re-examination of his life—the loss of his sister during the war, the demands of his millionaire father and the hypocrisies of his mother, who first fought to “save” Germany from the Jews, then worked for “reconciliation” afterwards."
69880,39326,The Lost Honor of Katharina Blum,0140187286,9780140187281,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338908394l/69880._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338908394l/69880._SY75_.jpg,1994,6,1,eng,Penguin Classics,false,2625359,118,21931,39760,10760,604,5:2261|4:4259|3:3163|2:853|1:224|total:10760,1974,1,,3.70,6306,211,['39326'],['Heinrich Böll'],['3.87'],['39329'],['Leila Vennewitz'],['3.82'],"In an era in which journalists will stop at nothing to break a big story, Henrich Böll's <em>The Lost Honor of Katharina Blum</em> has taken on heightened relevance. <br /><br />A young woman's association with a hunted man makes her the target of a journalist determined to grab the headlines by portraying her as an evil woman. As the attacks on her escalate and she becomes the victim of anonymous threats, Katharina sees only one way out of her nightmare.<br /><br />Turning the mystery genre on its head, the novel begins with the confession of a crime, drawing the reader into a web of sensationalism, character assassination, and the unavoidable eruption of violence."
484436,39326,Draußen vor der Tür,349910170X,9783499101700,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ger,,false,472756,51,6927,16346,4050,105,5:1615|4:1370|3:739|2:248|1:78|total:4050,1947,1,1,4.04,3741,65,"['72654', '39326']","['Wolfgang Borchert', 'Heinrich Böll']","['4.03', '3.87']",[],[],[],Das einzige Drama des früh verstorbenen Dichters ist ein verzweifelter Protestschrei gegen die zerstörerische und verderbnisträchtige Macht des Krieges. Seine Erzählungen und Prosastücke berichten mit sicher akzentuierter Ausdruckskraft von den verheerenden Kriegsfolgen im einzelnen und im gemeinsamen Menschenleben.
69882,39326,Billiards at Half-Past Nine,0140187243,9780140187243,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286280024l/69882._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286280024l/69882._SY75_.jpg,1994,9,1,,Penguin Classics,false,67709,80,9092,13518,3441,194,5:1109|4:1303|3:764|2:204|1:61|total:3441,1959,,,3.93,2436,103,['39326'],['Heinrich Böll'],['3.87'],['3907111'],['Patrick Bowles'],['4.05'],"Heinrich Böll's well-known, vehement opposition to fascism and war informs this moving story of Robert Faehmel. After being drawn into the Second World War to command retreating German forces despite his anti-Nazi feelings, Faehmel struggles to re-establish a normal life at the end of the war. He adheres to a rigorous schedule, including a daily game of billiards. When his routine is breached by an old friend from his past, now a power in German reconstruction, Faehmel is forced to confront bothpublic and private memories."
27558,39326,Group Portrait with Lady,0140187278,9780140187274,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429649502l/27558._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429649502l/27558._SY75_.jpg,1994,,,,Penguin,false,28172,84,8260,11196,2838,185,5:929|4:1075|3:636|2:145|1:53|total:2838,1971,,,3.95,1628,51,['39326'],['Heinrich Böll'],['3.87'],['39329'],['Leila Vennewitz'],['3.82'],"From Nobel Prize winner Heinrich Boll, an inventive &amp; sardonic portrayal of the effects of the Nazi period on a group of ordinary people. Weaving together the stories of a diverse array of characters, Boll explores the often bizarre &amp; always very human courses chosen by people attempting to survive in a world marked by political madness, absurdity &amp; destruction. At the center of his tale is Leni Pfeiffer, a German woman whose secret romance with a Soviet prisoner of war both sustains &amp; threatens her life. As the narrator interviews those who knew Pfeiffer, their stories come together in a dazzling mosaic, rich in satire, yet hinting at the promise of a saner world."
69887,39326,The Train Was on Time,0810111233,9780810111233,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,4,27,,Northwestern University Press,false,718662,44,5068,8602,2239,194,5:577|4:888|3:638|2:115|1:21|total:2239,1949,,,3.84,1191,71,['39326'],['Heinrich Böll'],['3.87'],['39329'],['Leila Vennewitz'],['3.82'],"Heinrich Böll's taut and haunting first novel tells the story of twenty-four-year-old Private Andreas as he journeys on a troop train across the German countryside to the battle on the Eastern front. Trapped, he knows that Hitler has already lost the war ... yet he is suddenly galvanised by the thought that he is on the way to his death.<br /><br />As the train hurtles on, he riffs through prayers and memories, talks with other soldiers about what they've been through, and gazes desperately out the window at his country racing away. With mounting suspense, Andreas is gripped by one thought over all: Is there a way to defy his fate?"
372360,39326,نان سال‌های جوانی,9643620328,9789643620325,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458219839l/372360._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458219839l/372360._SY75_.jpg,2007,,,per,نشر چشمه,false,367328,51,3734,7641,2160,179,5:315|4:806|3:797|2:209|1:33|total:2160,1955,,,3.54,1181,100,['39326'],['Heinrich Böll'],['3.87'],"['1399960', '1599586']","['محمد اسماعیل\u200cزاده', 'Italo Alighiero Chiusano']","['3.85', '3.71']",این کتاب شرح مشقت‌های راوی است در دوران جوانی برای کسب درآمد و نان درآوردن. داستانِ مربوط به سال‌های قحطی و گرسنگی است. سال‌هایی که «فندریش» جوان به «نان» فکر می‌کند و از واژه‌ی «مناسب و ارزان» متنفر است. او که مدام ، به شکلی بیمارگونه در حال وصف گرسنگی خویش است دختری از آشنایانش را می‌بیند که به شهر آمده تا معلم شود. «بل» می‌کوشد تقابل با گرسنگی و تاثیر آن بر احساس و اندیشه را تصویر کند.
