id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
18484167,488659,Jorden runt på 80 dagar,9173484768,9789173484763,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379008454l/18484167._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379008454l/18484167._SX50_.jpg,2010,5,,swe,Bonnier Audio,false,4537271,3154,300082,693697,176531,6428,5:52583|4:70032|3:44373|2:7992|1:1551|total:176531,1872,,,3.93,3,0,"['696805', '771245']","['Jules Verne', 'Peter Haber']","['3.89', '4.40']","['5316437', '4691613', '488659', '6894983']","['Jakob Gunnarsson', 'Henrik Wranér', 'Eyvind Johnson', 'Christina Westman']","['4.04', '3.28', '3.68', '3.67']","Den förmögne gentlemannen Phileas Fogg kommer till sin klubb i sällskap med sin betjänt Passepartout. Innan kvällen är slut har mr Fogg ingått ett vad om att göra en resa jorden runt på åttio dagar. Vadet gäller åttiotusen pund, hälften av hans förmögenhet. Resan startar redan samma kväll och blir en kapplöpning med tiden. Man är tvungen att använda sig av alla sorters kommunikationsmedel: tåg fartyg, häst ja till och med elefanter. Under resan väntar många överraskningar och många hinder, men mr Foggs kallblodighet räddar dem undan den värsta förtreten. Den sista etappen blir den värsta."
7136932,488659,Muren,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436464362l/7136932._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436464362l/7136932._SY75_.jpg,1967,,,swe,Bokförlaget Aldus/Bonniers,false,12776,76,46025,81610,20006,643,5:7309|4:8025|3:3807|2:679|1:186|total:20006,1939,,,4.08,41,0,['1466'],['Jean-Paul Sartre'],['3.99'],"['488659', '5288645']","['Eyvind Johnson', 'Eva Alexanderson']","['3.68', '3.66']","Novellsamlning med fem berättelser, ""Muren"", ""Rummet"", ""Herostratos"", ""Intimitet"" och ""En ledares barndom"". Stämningen är hård och laddad och skriven med en hänsynslöshet i människoteckningen.<br /><br />Titelnovellen översatt av Eyvind Johnson, de övriga av Eva Alexanderson-Lundström."
48907085,488659,Flugorna; Inför lyckta dörrar,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574328197l/48907085._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574328197l/48907085._SY75_.jpg,1946,,,swe,Albert Bonniers förlag,false,49574874,18,14092,37953,9330,221,5:3585|4:3449|3:1766|2:404|1:126|total:9330,1946,,,4.07,1,0,"['1466', '488659']","['Jean-Paul Sartre', 'Eyvind Johnson']","['3.99', '3.68']",[],[],[],
3393647,488659,Strändernas svall,9100105120,9789100105129,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342126297l/3393647._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342126297l/3393647._SY75_.jpg,2004,6,30,swe,Albert Bonniers Förlag,false,3433521,22,803,1070,270,12,5:91|4:98|3:63|2:16|1:2|total:270,1946,,,3.96,216,7,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Penelope och sonen Telemakhos har väntat på Odyssevs i över tjugo år. Medan Odyssevs irrfärder leder honom allt längre bort från ön Ithaka smids ränker hemmavid. Här är Odyssevs jämfört med hjälten i den antika berättelsen helt och fullt människa, en tvivlande hjälte med snett leende och krigsärrade händer. Den trötte resenären som drömmer om ett land där människor inte känner till vapen utan bara brukar jorden. Penelope är en ömsom varm, ömsom av livets villkor hård kvinna som i sin ofrivilliga ensamhet styr och ställer på Ithaka.<br /><br />Strändernas svall är en både munter och melankolisk roman, präglad av detaljrikedom och berättarglädje. Frågor om makt, rätt och den enskilda människans ansvar får här en tidlös gestaltning."
6839502,488659,Nu var det 1914,9100268712,9789100268718,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443565868l/6839502._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443565868l/6839502._SY75_.jpg,1974,,,swe,Bokförlaget Aldus,false,7051107,9,205,398,116,3,5:11|4:45|3:46|2:11|1:3|total:116,1934,,,3.43,99,3,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Han lämnade henne bakom sig, den åldrande kvinnan som tagit hand om hans barndom. Bakom honom låg också myrlandet, berglandet där han skjutit ripor och snarat lekatter. När han gick mellan rälsskenorna, såg han inte om.<br /><br />Olof är tolv år; det är 1914 och han går söderut, mot arbetet och allvaret i de vuxnas liv. Över sommaren jobbar han i ett flottarlag, får valkar i händerna, upplever kamratskap och död. Det är i Norrland, lugnsotens och fattigdomens Norrland. En dag bryter han upp, tar arbete på en tegelfabrik, men vet att det bara är en station på vägen ut...<br /><br />Eyvind Johnsons starkt självbiografiska <i>Nu var det 1914</i> är en lysande skildring av en pojkes mognande till man och en svindlande kärleksförklaring till det norrländska landskapet och dess människor. Ömhet, allvar och humor genomströmmar denna roman."
1078699,488659,The Days of His Grace,0814906818,9780814906811,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387205393l/1078699._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387205393l/1078699._SY75_.jpg,,,,,,false,3433518,16,380,326,85,8,5:20|4:37|3:22|2:6|1:0|total:85,1960,,,3.84,42,3,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Set mostly in northern Italy, close to Aquileia, The Days of His Grace tells the story of the fate of a Langobard family as their homeland falls under the domination of Charlemagne.<br /><br /><i>description from Wikipedia</i>"
966091,488659,Dreams of Roses and Fire,0882548972,9780882548975,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341173497l/966091._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341173497l/966091._SY75_.jpg,1984,2,1,,Hippocrene Books,false,950988,15,261,249,69,5,5:13|4:30|3:16|2:6|1:4|total:69,1949,,,3.61,39,4,['488659'],['Eyvind Johnson'],['3.68'],['1296176'],['Erik J. Friis'],['3.49'],"""In 17th century Loudun, a city already destabilised by prolonged religious conflict and an outbreak of plague, some Ursuline nuns claimed to be possessed of demons. There are public exorcisms and a priest is accused of having sent the demons into the women by witchcraft. The townspeople don't know whether to be amused or frightened.<br />Touching, often humorous, the strength of Eyvind Johnson's writing is such that the voices of the characters linger in the mind long after the book has been put down. As a portrayal of a city in the grip of panic, his novel is reminiscent of Camus's <i>The Plague</i>.""<br /><br /><b>The Guardian</b>"
6839504,488659,"Grupp Krilon (Krilon, #1)",9100564729,9789100564728,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483018784l/6839504._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483018784l/6839504._SY75_.jpg,,,,swe,,false,7051109,4,138,211,57,4,5:16|4:17|3:16|2:7|1:1|total:57,1941,,,3.70,44,3,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
15730553,488659,Stad i ljus,9100572500,9789100572501,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341131764l/15730553._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341131764l/15730553._SY75_.jpg,2000,,,swe,Albert Bonniers Förlag,false,21410176,2,81,132,41,2,5:0|4:15|3:20|2:6|1:0|total:41,1928,,,3.22,40,2,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"En stad i ljus - det är storstaden Paris en 14 juli-natt med dans i gator och gränder. En ung svensk författare väntar på ett rekommenderat brev hemifrån, och hans hunger och hemlöshet ger nya proportioner åt nattens upplevelser av vin och ljus, skratt och musik och kvinnor. <br /><br />Eyvind Johnson föddes 1900 och avled 1976. Han vistades långa tider utomlands, bland annat i Paris, där Stad i ljus utspelar sig, en roman som också först utkom på franska under titeln Lettre recommandée (1927). Den svenska versionen publicerades året därpå. <br /><br />Eyvind Johnson tilldelades Nobelpriset i litteratur 1974. Stad i ljus utges till 100-årsminnet av hans födelse."
12091201,488659,Romanen om Olof,,9789100572273,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,,,swe,Albert Bonniers förlag,false,17059522,2,81,124,33,2,5:9|4:12|3:9|2:1|1:2|total:33,1934,,,3.76,33,2,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Om den unge Olof som lämnar sitt hem för att söka sin plats i världen. Under sin uppväxt, på väg mot sitt mål, kämpar han mot fattigdom inom ett yrkesliv som innebär hårt kroppsarbete. Som 18 åring beslutar han sig för att bege sig till stockholm och pröva lyckan som författare."
12366902,488659,Här har du ditt liv!,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344364848l/12366902._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344364848l/12366902._SY75_.jpg,1969,,,swe,Aldus/Bonniers,false,17347109,2,49,101,28,0,5:4|4:12|3:10|2:1|1:1|total:28,1935,,,3.61,26,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Pojken heter Olof och är femton år. När romanen inleds står han vid sin fars grav tillsammans med sin mor och sina syskon. Det är ett farväl till en tillvaro som han egentligen redan lämnat bakom sig. Olof har vuxit upp hos fosterföräldrar och han har börjat sitt första arbete. På sågverket är arbetsdagarna långa, men de ljusa norrlandskvällarna rymmer också tid för sånger, skrönor, historier. Inom Olof lever visorna, men också drömmen om framtiden, om böckerna som skall öppna världen för honom.<br /><br />Romanen är en fortsättning på den skildring av Olofs uppväxt som Eyvind Johnson påbörjade i Nu var det 1914."
