id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
15645,5031312,Inferno,0812970063,9780812970067,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520255019l/15645._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520255019l/15645._SY75_.jpg,2003,12,9,,Modern Library,false,2377563,1337,310983,540165,134958,4655,5:50643|4:46332|3:28062|2:7515|1:2406|total:134958,1320,,,4.00,107349,2188,['5031312'],['Dante Alighieri'],['4.02'],['275033'],['Anthony M. Esolen'],['4.19'],
6656,5031312,The Divine Comedy,0679433139,9780679433132,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,8,1,eng,Everyman's Library,false,809248,2773,315890,445270,109477,3638,5:44758|4:36160|3:21410|2:5461|1:1688|total:109477,1320,,,4.07,88292,2056,"['5031312', '7333']","['Dante Alighieri', 'Eugenio Montale']","['4.02', '4.07']",['198144'],['Allen Mandelbaum'],['4.06'],"<i>The Divine Comedy</i> describes Dante's descent into Hell with Virgil as a guide; his ascent of Mount Purgatory and encounter with his dead love, Beatrice; and finally, his arrival in Heaven. Examining questions of faith, desire and enlightenment, the poem is a brilliantly nuanced and moving allegory of human redemption. <br /><br />Dante Alighieri was born in Florence in 1265 and belonged to a noble but impoverished family. His life was divided by political duties and poetry, the most of famous of which was inspired by his meeting with Bice Portinari, whom he called Beatrice,including <i>La Vita Nuova</i> and <i>The Divine Comedy</i>. He died in Ravenna in 1321."
50405374,5031312,The Complete Harvard Classics 2020 Edition [newly updated],,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,3000541,1491,96686,228627,50824,880,5:32945|4:12019|3:4611|2:744|1:505|total:50824,1623,,,4.50,0,0,"['947', '12793', '12080', '289513', '4505302', '521142', '237292', '17212', '50964', '9876', '53520', '1002', '973', '14424', '4037220', '16244', '8384103', '12452', '2938140', '6378', '8124', '83945', '1240', '5031312', '903', '16201', '29874', '4624490', '13661', '228089', '51047', '18791', '128382', '3137322', '410680', '18506127', '854076', '1244']","['William Shakespeare', 'Charles Darwin', 'Ralph Waldo Emerson', 'Benjamin Franklin', 'Charles Eliot', 'John Woolman', 'William Penn', 'Marcus Aurelius', 'Francis Bacon', 'John Milton', 'Thomas Browne', 'Sophocles', 'Euripides', 'Adam Smith', 'Miguel de Cervantes Saavedra', 'John Bunyan', 'Izaak Walton', 'Aesop', 'Jacob Grimm', 'Hans Christian Andersen', 'John Dryden', 'Richard Brinsley Sheridan', 'Jack London', 'Dante Alighieri', 'Homer', 'Niccolò Machiavelli', 'Martin Luther', 'Edgar Allan Poe', 'Victor Hugo', 'Honoré de Balzac', 'Alphonse Daudet', 'Guy de Maupassant', 'Leo Tolstoy', 'Fyodor Dostoyevsky', 'Ivan Turgenev', 'Lyman Frank Baum', 'Robert Louis Stevenson', 'Mark Twain']","['3.87', '3.99', '4.07', '3.86', '4.01', '3.65', '3.70', '4.23', '3.61', '3.85', '4.11', '3.77', '3.94', '3.90', '3.87', '4.02', '3.91', '4.05', '4.16', '4.12', '3.91', '3.64', '3.96', '4.02', '3.81', '3.83', '4.13', '4.17', '4.14', '3.80', '3.65', '3.86', '4.06', '4.18', '3.92', '4.03', '3.85', '3.86']",[],[],[],"2020 Edition <br /><br />This book, newly updated, contains now several HTML tables of contents that will make reading a real pleasure! <br /><br />The first table of contents (at the very beginning of the ebook) lists the titles of all novels included in this volume. By clicking on one of those titles you will be redirected to the beginning of that work, where you'll find a new TOC that lists all the chapters and sub-chapters of that specific work. <br /><br />Contents: <br />Compiled and Edited by Charles W. Eliot LL D in 1909, the Harvard Classics is a 51-volume Anthology of classic literature from throughout the history of western civilization. The set is sometimes called ""Eliot's Five-Foot Shelf."" <br />This e-book is all 51 volumes, the equivalent of over 20,000 printed pages in one e-book. It is fully searchable with a completely linked table of contents. <br /><br />+ <br /><br />- All 20 volumes of the 'Harvard Classics Shelf Of Fiction' <br /><br />Each volume is also available separately in the store."
19164,5031312,Purgatorio (La Divina Commedia #2),0195087453,9780195087451,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,4,8,ita,"Oxford University Press, USA",false,2377265,585,46555,84552,21017,717,5:8341|4:6555|3:4648|2:1210|1:263|total:21017,1316,,,4.02,15834,246,['5031312'],['Dante Alighieri'],['4.02'],['11518'],['Robert M. Durling'],['4.02'],Edition bilingue.
32812,5031312,"Paradiso (The Divine Comedy, #3)",0140441050,9780140441055,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1962,7,30,eng,Penguin Classics,false,9771852,220,34593,61602,15581,571,5:6032|4:4577|3:3514|2:1134|1:324|total:15581,1320,,,3.95,11649,226,['5031312'],['Dante Alighieri'],['4.02'],"['8734', '53923']","['Dorothy L. Sayers', 'Barbara Reynolds']","['4.05', '3.95']","Dorothy L. Sayers's landmark translation follows Dante's <i>terza rima</i> stanza's and brings his poetry vividly to life. Her work was completed after her death by Barbara Reynolds, who provides a foreword on the importance of the translation and an introduction on Dante's view of Heaven. This edition also includes a new foreword, updated further reading, notes, appendices, a glossary, diagrams and genealogical tables."
540422,5031312,Vita Nuova,0192839357,9780192839350,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,6,10,eng,Oxford University Press,false,21465411,486,10439,19254,4966,305,5:1645|4:1598|3:1268|2:378|1:77|total:4966,1292,,,3.88,3266,151,['5031312'],['Dante Alighieri'],['4.02'],['11524'],['Mark Musa'],['3.97'],"<i>Vita Nuova</i> (1292-94) is regarded as one of Dante's most profound creations. The thirty-one poems in the first of his major writings are linked by a lyrical prose narrative celebrating and debating the subject of love. Composed upon Dante's meeting with Beatrice and the ""Lord of Love,"" it is a love story set to the task of confirming the ""new life"" inspired by this meeting. With a critical introduction and explanatory notes, this is a new translation of a supreme work which has been read variously as biography, religious allegory, and a meditation on poetry itself."
19154,5031312,The Doré Illustrations for Dante's Divine Comedy,048623231X,9780486232317,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1976,6,1,,Dover Publications,false,20447,10,6734,16799,3915,57,5:2195|4:964|3:533|2:146|1:77|total:3915,1976,6,1,4.29,3853,53,"['290375', '5031312']","['Gustave Doré', 'Dante Alighieri']","['4.16', '4.02']",[],[],[],"Gustave Doré (1832–83) was perhaps the most successful illustrator of the nineteenth century. His Doré Bible was a treasured possession in countless homes, and his best-received works continued to appear through the years in edition after edition. His illustrations for Dante's <i>Divine Comedy </i>constitute one of his most highly regarded efforts and were Doré's personal favorites.<br />The present volume reproduces with excellent clarity all 135 plates that Doré produced for <i>The Inferno, Purgatory, </i>and<i> Paradise. </i>From the depths of hell onto the mountain of purgatory and up to the empyrean realms of paradise, Doré's illustrations depict the passion and grandeur of Dante's masterpiece in such famous scenes as the embarkation of the souls for hell, Paolo and Francesca (four plates), the forest of suicides, Thaïs the harlot, Bertram de Born holding his severed head aloft, Ugolino (four plates), the emergence of Dante and Virgil from hell, the ascent up the mountain, the flight of the eagle, Arachne, the lustful sinners being purged in the seventh circle, the appearance of Beatrice, the planet Mercury, and the first splendors of paradise, Christ on the cross, the stairway of Saturn, the final vision of the Queen of Heaven, and many more.<br />Each plate is accompanied by appropriate lines from the Henry Wadsworth Longfellow translation of Dante's work."
18493676,5031312,Dantes Göttliche Komödie,,9783868733396,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379321492l/18493676._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379321492l/18493676._SX50_.jpg,2011,3,,ger,Knesebeck,false,13203962,6,3127,5446,1552,194,5:360|4:434|3:467|2:218|1:73|total:1552,2010,1,1,3.51,6,3,"['119017', '5031312']","['Seymour Chwast', 'Dante Alighieri']","['3.58', '4.02']",[],[],[],"Ein großer Künstler der Illustration setzt sich in seiner ersten Graphic Novel mit einem der großen Genies des Schriftstellertums auseinander: Seymour Chwast adaptiert Dante Alighieris Göttliche Komödie! In seiner originellen, in moderne Sprache übertragenen Kurzfassung des Klassikers jagt uns Seymour Chwast erst durch die Hölle, dann ins Fegefeuer und schließlich ins Paradies.<br /><br />Die Reise, die zu Luzifer und Gott führt, beginnt an der Hand von Dante, dargestellt als Pfeife rauchender Detektiv aus einem Film noir, und Vergil, einem Briten mit Bowler, der später von der Hollywood-Blondine Beatrice abgelöst wird. Mit viel Humor und eigenwilligen Schwarz-Weiß-Zeichnungen lässt Chwast die wunderbare Verserzählung zu neuem Leben erwachen"
757383,5031312,The Portable Dante,0140231145,9780140231144,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,4,,eng,Penguin Books,false,743496,10,2648,4200,996,94,5:475|4:322|3:154|2:30|1:15|total:996,1947,4,,4.22,632,44,"['5031312', '11524']","['Dante Alighieri', 'Mark Musa']","['4.02', '3.97']",[],[],[],"The scope and fire of Dante's genius in a single volume.<br /><br />Includes ""The Divine Comedy,"" ""The New Life,"" and other selected poems, prose, and letters accompanied by biographical and introductory sections."
34663524,5031312,La divina comedia I,8477583161,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490206498l/34663524._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490206498l/34663524._SX50_.jpg,1993,,,spa,Club internacional del libro,false,55830050,187,2619,3842,942,49,5:381|4:318|3:194|2:34|1:15|total:942,1472,,,4.08,828,43,['5031312'],['Dante Alighieri'],['4.02'],[],[],[],
15646,5031312,Dante's Inferno; Adapted by Marcus Sanders,,9780811842136,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,12,1,,Chronicle Books,false,17484,1,1712,3796,963,85,5:322|4:352|3:218|2:53|1:18|total:963,2003,12,1,3.94,963,85,"['9675', '11512', '5031312']","['Marcus Sanders', 'Sandow Birk', 'Dante Alighieri']","['4.04', '3.98', '4.02']",[],[],[],"<i>An extraordinary new verse translation of Dante’s masterpiece, by poet, scholar, and lauded translator Anthony Esolen</i><br />Of the great poets, Dante is one of the most elusive and therefore one of the most difficult to adequately render into English verse. In the <i>Inferno</i>, Dante not only judges sin but strives to understand it so that the reader can as well. With this major new translation, Anthony Esolen has succeeded brilliantly in marrying sense with sound, poetry with meaning, capturing both the poem’s line-by-line vigor and its allegorically and philosophically exacting structure, yielding an <i>Inferno</i> that will be as popular with general readers as with teachers and students. For, as Dante insists, without a trace of sentimentality or intellectual compromise, even Hell is a work of divine art.<br />Esolen also provides a critical Introduction and endnotes, plus appendices containing Dante’s most important sources—from Virgil to Saint Thomas Aquinas and other Catholic theologians—that deftly illuminate the religious universe the poet inhabited."
