id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1914284,119735,Destruction or love,1575910519,9781575910512,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355990017l/1914284._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355990017l/1914284._SX50_.jpg,2001,5,1,en-US,Susquehanna University Press,false,1916288,14,468,621,156,20,5:54|4:59|3:31|2:10|1:2|total:156,1935,,,3.98,50,4,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],"Destruction or Love is the first complete English translation of one of the major works by Spanish Nobel Laureate Vicente Aleixandre. It conveys to English readers some of the syntactic inventiveness and suggestive imagery of the original, which became a landmark of twentieth-century European literature. Illustrated."
4734876,119735,Antología del grupo poético de 1927,8437600537,9788437600536,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393686485l/4734876._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393686485l/4734876._SY75_.jpg,2017,,,spa,Cátedra,false,4799464,5,246,428,112,11,5:30|4:43|3:30|2:7|1:2|total:112,1975,,,3.82,95,8,"['1009773', '5472783', '34810', '1725418', '211482', '44150', '54952', '4897305', '4620250', '119735', '136719', '1316024', '41668']","['Vicente Gaos', 'Carlos Sahagún', 'Pedro Salinas', 'Jorge Guillén', 'Gerardo Diego', 'Federico García Lorca', 'Rafael Alberti', 'Juan José Domenchina', 'Dámaso Alonso', 'Vicente Aleixandre', 'Luis Cernuda', 'Emilio Prados', 'Manuel Altolaguirre']","['3.83', '3.84', '4.24', '3.83', '3.72', '3.98', '3.79', '3.75', '3.81', '3.92', '4.11', '3.67', '3.78']",[],[],[],"La fecha del tricentenario de la muerte de Góngora dio nombre a una generación poética que supuso una verdadera eclosión de tan alto valor literario que muchos críticos no dudaron en hablar de “un nuevo siglo de oro” de la poesía española. Si bien al principio unía a sus miembros una concepción común del arte deshumanizado, cada uno llegó a crearse su propia personalidad. Basta citar los nombres: Salinas, Guillén, Gerardo Diego, García Lorca, Alberti, Domenchina, Dámaso Alonso, Aleixandre, Prados y Altolaguirre."
65172,119735,Espadas como labios / La destrucción o el amor,8470390384,9788470390388,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1272119916l/65172._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1272119916l/65172._SY75_.jpg,2000,1,1,spa,Castalia,false,63227,1,223,382,91,4,5:38|4:38|3:10|2:5|1:0|total:91,2000,,,4.20,91,4,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],"Espadas como labios, tercer libro de Aleixandre, auna en sus paginas los temas eternos de la poesia: la vida, el amor, la muerte. No se trata de poesia pura, fria, aseptica, sino de poesia calidamente humana. La destruccion o el amor es no solo el libro que revelo la poderosa personalidad de Vicente Aleixandre como poeta, al tiempo que le situo entre los de mayor fuerza y originalidad, sino que es una de sus obras mas fertiles y que mas influencia ha ejercido en poetas de las generaciones posteriores.(Introduccion de Jose Luis Cano)"
1827646,119735,Antología Poética de la Generación del 27,9707310960,9789707310964,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,1,8,spa,Punto de Lectura,false,1827433,2,325,360,99,6,5:26|4:38|3:18|2:7|1:10|total:99,2005,,,3.64,94,6,"['6467901', '34810', '1316024', '136719', '54952', '4897304', '41668', '1725418', '10780', '1959588', '211482', '119735', '4897305', '44150', '4620250']","['Manuel Cifo González', 'Pedro Salinas', 'Emilio Prados', 'Luis Cernuda', 'Rafael Alberti', 'José María Hinojosa', 'Manuel Altolaguirre', 'Jorge Guillén', 'Juan Larrea', 'Mauricio Bacarisse', 'Gerardo Diego', 'Vicente Aleixandre', 'Juan José Domenchina', 'Federico García Lorca', 'Dámaso Alonso']","['3.61', '4.24', '3.67', '4.11', '3.79', '3.71', '3.78', '3.83', '3.75', '3.63', '3.72', '3.92', '3.75', '3.98', '3.81']",[],[],[],"Los poetas de la generación del 27, representados en la presente antología ocupan un puesto de honor en la poesía española del siglo XX.<br /><br />Con anterioridad a ellos, tan solo algunos autores como Juan Ramón Jiménez, Antonio Machado o Miguel de Unamuno, habían obtenido unas cotas de popularidad y de calidad semejantes, y después de ellos, ningún otro ha logrado alcanzar los niveles de protagonismo de esta generación.<br /><br />Es más, su influencia se ha dejado sentir en varios de esos grupos, algunos de cuyos miembros reconocen el magisterio que, en mayor o menor grado, han recibido de los poetas del 27 que aquí se presentan, entre los que se encuentran Federico García Lorca, Luis Cernuda, Vicente Aleixandre, Gerardo Diego, Jorge Guillén, Dámaso Alonso, entre otros."
204903,119735,A Longing for the Light: Selected Poems,155659254X,9781556592546,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,5,1,eng,Copper Canyon Press,false,198290,3,366,314,73,7,5:41|4:17|3:12|2:2|1:1|total:73,1979,,,4.30,64,6,"['119735', '31918']","['Vicente Aleixandre', 'Lewis Hyde']","['3.92', '4.08']",[],[],[],"“For the Nobel Prize to come to Aleixandre now is fitting, not only because of the energy and intensity of his own poetry, but because it comes at this moment in Spanish history.”—<i>The New York Times</i><br /><br /><i>A Longing for the Light</i> is the only available bilingual Spanish-English translation of the poetry of Nobel Laureate Vicente Aleixandre. The collection spans the entirety of Aleixandre’s career—from early surrealist work to his complex and fascinating “dialogues.” It also contains prose interludes, an introduction by editor Lewis Hyde, and a descriptive bibliography.<br /><br />Aleixandre was a member of Spain’s “Generation of 27” and was one of the few writers to remain in Spain during the Spanish Civil War. His passive but staunch political independence kept his writings banned for a decade, but his vivid poems of harmony and commonality would eventually symbolize much of what post-Civil War Spain aspired toward. As Aleixandre wrote in his Nobel lecture: “The poet, the truly determinative poet, is always a revealer; he is, essentially, a seer, a prophet.”<br /><br /><b>From “With All Due Respect”:</b><br /><br /><i>I don’t notice our clothes. Do you?</i><br /><i>Dressed up in three-hundred burlap suits,</i><br /><i>wrapped in my roughest heaviest get-up,</i><br /><i>I maintain a dawn-like dignity and brag of how much I know about nakedness.</i><br /><br /><b>Vicente Aleixandre</b> won the Nobel Prize for Literature in 1977. He died in Madrid in 1984."
1914293,119735,Espadas como labios,847505868X,9788475058689,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,spa,,false,1916297,7,136,294,82,8,5:20|4:22|3:28|2:10|1:2|total:82,1932,,,3.59,64,4,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],"La publicación de <i>Espadas como labios</i> (1932) de Vicente Aleixandre supuso para la lírica vanguardista hispánica el alcance de una de sus experimentaciones más radicales. Supuso también, y en consecuencia, una verdadera ruptura con los modelos de construcción de la subjetividad de la tradición poética española."
204904,119735,Shadow of Paradise,0520082575,9780520082571,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1993,3,3,,University of California Press,false,198291,9,186,294,77,5,5:23|4:23|3:25|2:6|1:0|total:77,1972,1,1,3.82,33,2,"['119735', '732737']","['Vicente Aleixandre', 'Claudio Rodríguez']","['3.92', '3.92']",['724580'],['Hugh A. Harter'],['3.63'],"Begun in 1939, barely four months after the close of the Spanish Civil War, these poems by the Nobel Laureate poet Vicente Aleixandre were written during a period of hardship and despair. In spite of his surroundings Aleixandre created the splendor of the shadow of a lost paradise that consisted of memory, nostalgia, yearning and illusion. This is the first full English version. The original Spanish text is included."
1914294,119735,Historia del Corazon,8423942368,9788423942367,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464712468l/1914294._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464712468l/1914294._SX50_.jpg,,,,,,false,1916298,4,116,243,63,3,5:14|4:31|3:14|2:3|1:1|total:63,1954,,,3.86,41,2,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
1914278,119735,Antología Poética,8420616478,9788420616476,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372950872l/1914278._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372950872l/1914278._SY75_.jpg,,,,,,false,1916282,7,104,226,55,8,5:22|4:19|3:12|2:2|1:0|total:55,1977,4,1,4.11,31,4,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
2478032,119735,Love Poems from Spain and Spanish America,087286183X,9780872861831,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362537309l/2478032._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362537309l/2478032._SY75_.jpg,2001,1,1,,City Lights Publishers,false,2485233,1,50,95,23,3,5:8|4:10|3:5|2:0|1:0|total:23,1986,6,1,4.13,23,3,"['1100936', '263663', '54952', '119735', '8512489', '34575', '500', '136719', '25575', '5406316', '104713', '11046493', '1725418', '105076', '527954', '734779', '36635', '14917594', '35771', '681469', '44150', '34610', '140617', '4026', '284854', '128195', '7469', '34604', '34810', '175807', '97436', '114681']","['Perry Higman', 'Delmira Agustini', 'Rafael Alberti', 'Vicente Aleixandre', 'Emilio Ballagas', 'Gustavo Adolfo Bécquer', 'Jorge Luis Borges', 'Luis Cernuda', 'Rubén Darío', 'Baldomero Fernández Moreno', 'Garcilaso de la Vega', 'Luis de Góngora y Argote', 'Jorge Guillén', 'Nicolás Guillén', 'Miguel Hernández', 'Juana De Ibarbourou', 'Juan Ramón Jiménez', 'Juana Inés de la Cruz', 'Lope de Vega', 'Ramón López Velarde', 'Federico García Lorca', 'Antonio Machado', 'Gabriela Mistral', 'Pablo Neruda', 'Luis Pales Matos', 'Nicanor Parra', 'Octavio Paz', 'Francisco de Quevedo', 'Pedro Salinas', 'Alfonsina Storni', 'César Vallejo', 'Xavier Villaurrutia']","['4.28', '4.07', '3.79', '3.92', '4.12', '4.04', '4.30', '4.11', '3.88', '4.04', '3.89', '3.91', '3.83', '3.99', '4.21', '3.85', '3.82', '4.06', '3.58', '3.92', '3.98', '4.05', '4.00', '4.31', '4.03', '4.26', '4.14', '3.75', '4.24', '3.97', '4.22', '4.23']",[],[],[],"The nearly seventy poems in this bilingual anthology are concerned with many kinds of love: erotic love, sublime love, filial love, maternal love, and love between brother and sister. They also explore feelings of friendship, solidarity, and the altruistic love of all mankind. Ranging in time from the 13th century to the present day, these poems come from diverse traditions and countries—Argentina, Chile, Cuba, Mexico, Nicaragua, Peru, Puerto Rico, Spain, and Uruguay. Includes a concise biographical sketch of each of the poets.<br /><br />Perry Higman is also the author of <i>A Man's Dance</i>.<br /><br /><br />"
1914275,119735,Poemas Paradisiacos,8437601223,9788437601229,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291511493l/1914275._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291511493l/1914275._SY75_.jpg,,,,,,false,1916279,1,38,74,18,1,5:6|4:8|3:4|2:0|1:0|total:18,1977,6,30,4.11,18,1,['119735'],['Vicente Aleixandre'],['3.92'],[],[],[],
