id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
205189,6517,Auto-da-Fé,0374518793,9780374518790,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1984,12,1,eng,"Farrar, Straus and Giroux",false,1940665,104,14801,18484,4554,385,5:1968|4:1434|3:744|2:268|1:140|total:4554,1935,,,4.06,2561,167,['6517'],['Elias Canetti'],['4.00'],['5960462'],['C.V. Wedgwood'],['4.12'],"""Auto-da-Fé"" is the story of Peter Kien, a distinguished, reclusive sinologist living in Vienna between the wars. With masterly precision, Canetti reveals Kien's character, displaying the flawed personal relationships which ultimately lead to his destruction.<br /><br />Manipulated by his illiterate and grasping housekeeper, Therese, who has tricked him into marriage, and Benedikt Pfaff, a brutish concierge, Kien is forced out of his apartment - which houses his great library and one true passion - and into the underworld of the city. In this purgatory he is guided by a chess-playing dwarf of evil propensities, until he is eventually restored to his home. But on his return he is visited by his brother, an eminent psychiatrist who, by an error of diagnosis, precipitates the final crisis...<br /><br />""Auto-da-Fé"" was first published in Germany in 1935 as ""Die Blendung"" (""The Blinding"" or ""Bedazzlement"") and later in Britain in 1947, where the publisher noted Canetti as a 'writer of strongly individual genius, which may prove influential', an observation borne out when the author was awarded the Nobel Prize for Literature in 1981. ""Auto-da-Fé"" still towers as one of the greatest novels of the twentieth century, and Canetti's incisive vision of an insular man battling agianst the outside world is as fresh and rewarding today as when first it appeared in print."
205194,6517,The Voices of Marrakesh: A Record of a Visit,0714525804,9780714525808,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,9,1,eng,Marion Boyars Publishers Ltd,false,1843583,72,3973,6276,1689,165,5:322|4:716|3:516|2:119|1:16|total:1689,1968,,,3.72,815,53,['6517'],['Elias Canetti'],['4.00'],['474235'],['J.A. Underwood'],['3.88'],"Winner of the 1981 Nobel Prize for Literature, Elias Canetti uncovers the secret life hidden beneath Marrakesh’s bewildering array of voices, gestures and faces. In a series of sharply etched scenes, he portrays the languages and cultures of the people who fill its bazaars, cafes, and streets. The book presents vivid images of daily life: the storytellers in the Djema el Fna, the armies of beggars ready to set upon the unwary, and the rituals of Moroccan family life. This is Marrakesh -described by one of Europe’s major literary intellects in an account lauded as ""cosmopolitan in the tradition of Goethe"" by the New York Times. ""A unique travel book,"" according to John Bayley of the <i>London Review of Books.</i>"
79917,6517,Crowds and Power,0374518203,9780374518202,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1984,4,1,eng,"Farrar, Straus and Giroux (Macmillan)",false,2454838,66,7528,5599,1357,94,5:563|4:499|3:217|2:59|1:19|total:1357,1960,,,4.13,969,57,['6517'],['Elias Canetti'],['4.00'],['151287'],['Carol Stewart'],['4.13'],"<i>Crowds and Power</i> is a revolutionary work in which Elias Canetti finds a new way of looking at human history and psychology. Breathtaking in its range and erudition, it explores Shiite festivals and the English Civil war, the finger exercises of monkeys and the effects of inflation in Weimar Germany. In this study of the interplay of crowds, Canetti offers one of the most profound and startling portraits of the human condition."
576154,6517,Die gerettete Zunge: Geschichte einer Jugend,3596220831,9783596220830,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,,,ger,Fischer,false,806963,61,3040,5337,1280,86,5:536|4:500|3:184|2:45|1:15|total:1280,1977,,,4.17,561,22,['6517'],['Elias Canetti'],['4.00'],[],[],[],"This is the first volume of Elias Canetti's autobiography. It provides a searching portrait of Canetti's personal background and creative development as it presents the events, personalities and intellectual forces that shaped the growth of this artist as a young man during his early years in Bulgaria, Manchester, Zurich and Vienna."
6736556,6517,Memorias de un enfermo de nervios,8496867161,9788496867161,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523759584l/6736556._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523759584l/6736556._SY75_.jpg,2008,7,1,spa,Sexto Piso,false,278922,24,4096,2181,535,57,5:217|4:182|3:104|2:24|1:8|total:535,1903,,,4.08,21,4,"['166692', '62357', '10017', '6517']","['Daniel Paul Schreber', 'Roberto Calasso', 'Sigmund Freud', 'Elias Canetti']","['4.08', '4.08', '3.82', '4.00']","['13754876', '14068395', '4917317', '1059001']","['Ramón Alcalde', 'Joaquín Jordá', 'Luis López Ballesteros', 'Horst Vogel']","['4.31', '3.82', '4.20', '4.20']","<p><i>Memorias de un enfermo de nervios</i> es una extraordinaria crónica de uno de los delirios más alucinantes que se hayan registrado en la historia de la humanidad, el del presidente de la corte de apelaciones de Dresde, Daniel Paul Schreber. Relata con detalle y precisión lo sucedido durante su prolongada estancia en el hospital mental de Sonnenstein, cuando tenía la plena convicción de ser víctima de un intento de almicidio por parte de Dios, con la ayuda de su psiquiatra, el Dr. Flechsig. En esta feroz lucha está en juego nada menos que el orden del mundo y el futuro de la humanidad, por lo que el presidente Schreber recurre a cuestiones extremas como transformarse en mujer para así intentar seducir a Dios y poder conjurar el peligro que se cierne sobre su persona. <br />Las <i>Memorias</i> han sido un texto esencial para diversos pensadores y escritores. En esta edición se incluye un ensayo introductorio de Roberto Calasso que permitirá al lector seguir paso a paso el impacto y trayectoria de este excepcional libro; como apéndices aparecen dos importantes textos: «Observaciones psicoanalíticas sobre un caso de paranoia», famoso ensayo de Sigmund Freud en torno a las Memorias, que se erigió como la piedra angular de su teoría de la paranoia, y «El caso Schreber» de Elias Canetti, donde vincula con minucia la paranoica figura del presidente Schreber con la del poderoso por antonomasia.</p>"
950757,6517,The Torch in My Ear,186207304X,9781862073043,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,11,1,,Granta Books (Uk),false,2446262,40,1131,1874,454,30,5:173|4:190|3:70|2:18|1:3|total:454,1980,,,4.13,204,6,['6517'],['Elias Canetti'],['4.00'],[],[],[],"<i>The Torch in My Ear </i>is the account of Canetti's young manhood, of his arrival in Vienna in the early 1920s, of his schooling, and of the beginning of his life as a writer.<br />"
143273,6517,Kafka's Other Trial: The Letters to Felice,0805207058,9780805207057,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1988,4,12,eng,Schocken,false,40239570,29,1599,1493,391,58,5:106|4:151|3:98|2:29|1:7|total:391,1969,,,3.82,193,9,['6517'],['Elias Canetti'],['4.00'],['73086'],['Christopher Middleton'],['4.02'],"Felice Bauer was Kafka's first great love and the inspiration for his first great fiction. Six weeks after they met, he wrote ""The Judgment"" for her in one night of feverish activity. Kafka always inferred to the traumatic, public breaking-off of their engagement as his ""tribunal,"" and indeed he began work on <i>The Trial</i> within a month of that event.<br /><br />Kafka's letters to Felice offer rare insights into the writer's life and art. Elias Canetti's brilliant and sensitive examination of this moving correspondence to shows is the origins of Kafka's voice as a writer and his torment as a man."
205190,6517,The Memoirs of Elias Canetti: The Tongue Set Free/The Torch in My Ear/The Play of the Eyes,0374527148,9780374527143,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,1,5,en-US,Farrar Straus Giroux,false,806933,5,837,1440,329,12,5:177|4:109|3:35|2:6|1:2|total:329,1990,,,4.38,304,10,['6517'],['Elias Canetti'],['4.00'],['10749'],['Joachim Neugroschel'],['3.88'],"A compelling account of the development of a great artist, and a portrait of the tragic character of an entire eraThe uncompromising achievement of Elias Canetti has been matched by few writers this century. Canetti worked brilliantly in many forms, but the three volumes that comprise his autobiography are where his genius is perhaps most evident. The first volume, ""The Tongue Set Free,"" presents the events, personalities, and intellectual forces that fed Canetti's early creative development. ""The Torch in My Ear"" explores his admiration for the first great mentor of his adulthood, Karl Krauss, and also describes his first marriage. The final volume, ""The Play of the Eyes,"" is set in Vienna between 1931 and 1937, with the European catastrophe imminent; here he vividly portrays relationships with Hermann Broch and Robert Musil, among others."
1938099,6517,Das Augenspiel. Lebensgeschichte 1931-37,3596291402,9783596291403,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1988,1,1,ger,Fischer Taschenbuch Verlag,false,1940654,36,618,1073,261,20,5:100|4:102|3:48|2:10|1:1|total:261,1985,,,4.11,117,3,['6517'],['Elias Canetti'],['4.00'],[],[],[],"Mit dem dritten Teil seiner Autobiographie schließt Elias Canetti seine groß angelegte Entwicklungsgeschichte eines Schriftstellers ab. ""Das Augenspiel"" besteht in vielen Passagen aus Beobachtungen und Berichten vom Leben in den Ateliers, Cafes und intellektuellen Zirkeln. Canettis Erinnerungsbuch beschreibt Wien als den bedeutendsten geistigen Kristallisierungspunkt Europas zwischen den beiden Weltkriegen."
1107912,6517,Earwitness: Fifty Characters,0374518920,9780374518929,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,806955,28,450,719,198,16,5:42|4:68|3:66|2:17|1:5|total:198,1974,,,3.63,123,9,['6517'],['Elias Canetti'],['4.00'],['10749'],['Joachim Neugroschel'],['3.88'],"Elias Canetti, winner of the 1981 Nobel Prize for Literature, is one of the major intellectual figures of the twentieth century. <i>Earwitness</i> is one of Canetti's most fascinating works. Instead of writing a novel about the modern world, he chose to portray fifty exemplars of the human species--each a paradigm of a certain kind of behavior. The characters range from ""The Submitter,"" society's victim, through ""The Fun Runner,"" a sort of empty jet-set figure, to such persona as ""The Tablecloth Lunatic,"" a woman who is always angry and is obsessed with cleanliness and order, and ""The Beauty-Newt,"" who believes only in aestheticism. <i>Earwitness</i> is wicked, on-target satire, and is also a very wise work of social portraiture."
265142,6517,The Conscience of Words,0374518815,9780374518813,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,1505201,25,577,622,147,14,5:57|4:70|3:17|2:3|1:0|total:147,1974,,,4.23,79,6,['6517'],['Elias Canetti'],['4.00'],['10749'],['Joachim Neugroschel'],['3.88'],This volume contains essays written by Elias Canetti between the years 1962 and 1974.
