id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
320,13450,One Hundred Years of Solitude,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361l/320._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361l/320._SX50_.jpg,2003,6,24,eng,Harper,false,3295655,698,1458093,2923006,717507,28687,5:342500|4:192668|3:106446|2:44603|1:31290|total:717507,1967,6,5,4.07,590292,17029,['13450'],['Gabriel García Márquez'],['3.97'],['50060'],['Gregory Rabassa'],['4.04'],"The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism."""
9712,13450,Love in the Time of Cholera,140003468X,9781400034680,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536376800l/9712._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536376800l/9712._SY75_.jpg,2003,10,5,eng,Vintage International,false,3285349,109,771175,1531533,391049,19005,5:139445|4:133289|3:77537|2:27763|1:13015|total:391049,1985,,,3.92,330450,13440,['13450'],['Gabriel García Márquez'],['3.97'],['2599'],['Edith Grossman'],['3.87'],"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is heartbroken, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs—yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again."
23878,13450,Chronicle of a Death Foretold,140003471X,9781400034710,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553959324l/23878._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553959324l/23878._SY75_.jpg,2003,10,7,eng,Vintage,false,59137,341,187465,458947,115536,5813,5:36635|4:47102|3:25051|2:5463|1:1285|total:115536,1981,4,,3.97,71897,2880,"['13450', '50060']","['Gabriel García Márquez', 'Gregory Rabassa']","['3.97', '4.04']",[],[],[],"A man returns to the town where a baffling murder took place twenty-seven years earlier, determined to get to the bottom of the story. Just hours after marrying the beautiful Angela Vicario, everyone agrees, Bayardo San Roman returned his bride in disgrace to her parents. Her distraught family forced her to name her first lover; and her twin brothers announced their intention to murder Santiago Nasar for dishonoring their sister.<br /><br />Yet if everyone knew the murder was going to happen, why did no one intervene to try and stop it? The more that is learned, the less is understood, and as the story races to its inexplicable conclusion, an entire society--not just a pair of murderers—is put on trial."
760,13450,Memories of My Melancholy Whores,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1157235969l/760._SX98_SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1157235969l/760._SX50_SY75_.jpg,2006,11,,eng,Vintage International,false,2166510,45,109050,236444,65717,3973,5:12687|4:23623|3:21443|2:6224|1:1740|total:65717,2004,10,19,3.60,32053,1418,['13450'],['Gabriel García Márquez'],['3.97'],['2599'],['Edith Grossman'],['3.87'],"Memories of My Melancholy Whores is Gabriel García Márquez’s first work of fiction in ten years, written at the height of his powers, the Spanish edition of which Ilan Stavans called, “Masterful. Erotic. As hypnotizing as it is disturbing” (Los Angeles Times).<br /><br />On the eve of his ninetieth birthday, our unnamed protagonist–an undistinguished journalist and lifelong bachelor–decides to give himself “the gift of a night of wild love with an adolescent virgin.”<br /><br />The girl, whom an old madam procures for him, is splendidly young, with the silent power of a sleeping beauty. The night of love blossoms into a transforming year. It is a year in which he relives, in a rush of memories, his lifetime of (paid-for) sexual adventures and experiences a revelation that brings him to the edge of dying–not of old age, but, at long last, of uncorrupted love. <br /><br />Memories of My Melancholy Whores is a brilliant gem by the master storyteller."
23876,13450,Of Love and Other Demons,0517405091,9780517405093,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324357590l/23876._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324357590l/23876._SY75_.jpg,1995,5,2,eng,Penguin Group (USA),false,366351,117,95719,212388,53348,2433,5:17073|4:21531|3:11925|2:2305|1:514|total:53348,1994,,,3.98,35738,1142,['13450'],['Gabriel García Márquez'],['3.97'],[],[],[],"On her twelfth birthday, Sierva Maria, the only child of a decaying noble family in an eighteenth-century South American seaport, is bitten by a rabid dog. Believed to be possessed, she is brought to a convent for observation. And into her cell stumbles Father Cayetano Delaura, who has already dreamed about a girl with hair trailing after her like a bridal train. As he tends to her with holy water and sacramental oils, Delaura feels something shocking begin to occur. He has fallen in love, and it isn't long until Sierva Maria joins him in his fevered misery. <br /><br />Unsettling and indelible, <i>Of Love and Other Demons</i> is an evocative, majestic tale of the most universal experiences known to woman and man."
8370435,13450,Pedro Paramo,0802143512,9780802143518,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426921210l/8370435._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426921210l/8370435._SY75_.jpg,2014,1,27,,Grove Press,false,1786290,202,73450,156880,38674,2844,5:15841|4:12852|3:7063|2:2160|1:758|total:38674,1955,3,19,4.06,67,11,"['21778', '13450', '7907']","['Juan Rulfo', 'Gabriel García Márquez', 'Susan Sontag']","['4.10', '3.97', '3.96']",['30209'],['Margaret Sayers Peden'],['3.92'],"A classic of Mexican modern literature about a haunted village.<br /><br />As one enters Juan Rulfo's legendary novel, one follows a dusty road to a town of death. Time shifts from one consciousness to another in a hypnotic flow of dreams, desires, and memories, a world of ghosts dominated by the figure of Pedro Páramo - lover, overlord, murderer.<br /><br />Rulfo's extraordinary mix of sensory images, violent passions and unfathomable mysteries has been a profound influence on a whole generation of Latin American writers including Carlos Fuentes, Mario Vargas Llosa, and Gabriel García Márquez. To read Pedro Páramo today is as overwhelming an experience as when it was first published in Mexico nearly fifty years ago."
37672794,13450,Cuentos,9789875668,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514212485l/37672794._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514212485l/37672794._SY75_.jpg,2016,,,spa,Penguin Random House,false,8238,78,75602,140740,32815,804,5:16392|4:11151|3:4044|2:816|1:412|total:32815,1925,,,4.29,2,1,"['1455', '13450']","['Ernest Hemingway', 'Gabriel García Márquez']","['3.83', '3.97']",['237144'],['Damián Alou'],['3.86'],"Esta edición recupera la recopilación que el propio Hemingway hiciera de todos sus cuentos en 1938, conocida como <i>Los cuarenta y nueve primeros cuentos</i>, donde se encuentran relatos tan magistrales como ""Los asesinos"", ""Las nieves del Kilimanjaro"" o ""Padres e hijos"". El mundo estético y moral de Hemingway se encuentra aquí destilado, seco, sobrio, cegador, latente. La caza, la pesca, el boxeo, la guerra, el alcohol, el deseo o la derrota son algunos de los materiales con que se construye esta obra cuyo aliento perdura con un vigor insospechado."
43223436,13450,Rayuela,8420437484,9788420437484,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546025573l/43223436._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546025573l/43223436._SY75_.jpg,2019,3,21,spa,Alfaguara,false,1794732,227,84573,120470,28418,1950,5:15016|4:7774|3:3663|2:1340|1:625|total:28418,1963,,,4.24,101,20,"['25824', '13450', '3424060', '22515', '1367127', '327133']","['Julio Cortázar', 'Gabriel García Márquez', 'Adolfo Bioy Casares', 'Mario Vargas Llosa', 'Carlos Fuentes', 'Sergio Ramírez']","['4.22', '3.97', '3.98', '3.97', '3.81', '3.79']",[],[],[],"<p>En el contexto de la celebración del VII Congreso Internacional de la Lengua Española en la ciudad argentina de Córdoba en marzo de 2019, esta edición rinde homenaje a uno de los autores en español más importantes de todos los tiempos y a su obra más emblemática, que conmocionó el panorama cultural de su tiempo y que no deja de encontrar lectores hasta nuestros días.<br /><br />La publicación de Rayuela en 1963 supuso una verdadera revolución en la narrativa en lengua castellana: por primera vez, un escritor llevaba hasta las últimas consecuencias la voluntad de transgredir el orden tradicional de una historia y el lenguaje para contarla. Rebosante de ambición literaria y vital, renovadora de las herramientas narrativas, destructora de géneros y convenciones, Rayuela es Cortázar en esencia, con toda su complejidad ética y estética, con su imaginación y su humor.<br /><br />La edición recupera, como complemento a la novela, tres textos magistrales de Gabriel García Márquez, Adolfo Bioy Casares y Carlos Fuentes, autores contemporáneos de Julio Cortázar, que dan cuenta de la dimensión del autor y de la recepción que tuvo la novela en su tiempo. Además, incluye trabajos de los escritores Mario Vargas Llosa y Sergio Ramírez, y de los críticos Julio Ortega, Andrés Amorós, Eduardo Romano y Graciela Montaldo, que muestran la intemporalidad de la propuesta narrativa cortazariana.<br /><br />Incluye, además, por primera vez desde 1983, la reproducción facsimilar del «Cuaderno de bitácora», la libreta en la que Cortázar fue anotando ideas, escenas y personajes de la novela durante el proceso de escritura. Este cuaderno permite, como un juego de los que tanto gustó Cortázar, un diálogo del autor con el lector sobre la novela que traspasa las fronteras del tiempo. De la lectura de esta novela el lector emerge tal vez con otra idea acerca del modo de leer los libros y de ver la vida. Es, sin duda, un mosaico donde toda una época se vio maravillosamente reflejada.</p>"
23875,13450,El coronel no tiene quien le escriba,0307350436,9780307350435,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,2,7,spa,Plaza & Janés,false,40096204,228,46415,112409,29924,1555,5:6973|4:11756|3:8671|2:1983|1:541|total:29924,1961,,,3.76,20092,752,['13450'],['Gabriel García Márquez'],['3.97'],[],[],[],"El coronel no tiene quien le escriba fue escrita por Gabriel García Márquez durante su estancia en París, adonde había llegado como corresponsal de prensa y con la secreta intención de estudiar cine, a mediados de los años cincuenta. El cierre del periódico para el que trabajaba le sumió en la pobreza, mientras redactaba en tres versiones distintas esta excepcional novela, que fue rechazada por varios editores antes de su publicación. Tras el barroquismo faulkneriano de La hojarasca, esta segunda novela supone un paso hacia la ascesis, hacia la economía expresiva, y el estilo del escritor se hace más puro y transparente. Se trata también de una historia de injusticia y violencia: un viejo coronel retirado va al puerto todos los viernes a esperar la llegada de la carta oficial que responda a la justa reclamación de sus derechos por los servicios prestados a la patria. Pero la patria permanece muda..."
5021070,13450,Kisah-Kisah Cinta Ganjil,9799998611,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,9,,ind,Banana Publishing,false,3838,124,41288,87350,22591,1132,5:5878|4:9457|3:5867|2:1142|1:247|total:22591,1970,,,3.87,28,9,"['6343', '6410', '13450', '145348']","['Milan Kundera', 'Alice Munro', 'Gabriel García Márquez', 'Naoya Shiga']","['4.01', '3.92', '3.97', '3.92']",[],[],[],"Edward mendekati Alice dengan tujuan tunggal, menikmati tubuh ranum gadis itu. Tetapi inilah yang<br />justru ditanyakan Alice: “Percayakah kau pada Tuhan?” Celakanya, Tuhan yang abstrak di mata Alice menjadi sosok yang konkret, Tuhan yang melarang perzinahan. Siasat akal bulus Edward bekerja, dan kota kecil di Chekoslowakia pada masa rezim komunis jadi hebohm karenany"
23887,13450,The Autumn of the Patriarch,0060882867,9780060882860,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410136666l/23887._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410136666l/23887._SY75_.jpg,2006,3,14,eng,Harper Perennial Modern Classics,false,6325280,108,41477,67082,17407,1019,5:5373|4:6188|3:4215|2:1189|1:442|total:17407,1975,,,3.85,12527,501,['13450'],['Gabriel García Márquez'],['3.97'],['50060'],['Gregory Rabassa'],['4.04'],"One of Gabriel Garcia Marquez's most intricate and ambitious works, <i>The Autumn of the Patriarch</i> is a brilliant tale of a Caribbean tyrant and the corruption of power.<br /><br />From charity to deceit, benevolence to violence, fear of God to extreme cruelty, the dictator of <i>The Autumn of the Patriarch</i> embodies the best but also the worst of human nature. Gabriel Garcia Marquez, the renowned master of magical realism, vividly portrays the dying tyrant caught in the prison of his own dictatorship. Employing an innovative, dreamlike style, and overflowing with symbolic descriptions, the novel transports the reader to a world that is at once fanciful and vividly real."
