id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
7624,306,Lord of the Flies,0140283331,9780140283334,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624._SY75_.jpg,1999,10,1,eng,Penguin Books,false,2766512,573,485955,8004729,2174135,35610,5:590598|4:733026|3:535304|2:198516|1:116691|total:2174135,1954,9,17,3.68,2071596,26784,['306'],['William Golding'],['3.68'],[],[],[],"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”"
14428,306,The Inheritors,0156443791,9780156443791,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398024984l/14428._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398024984l/14428._SX50_.jpg,1963,9,25,en-US,Mariner Books,false,2766545,60,9011,12466,3534,361,5:769|4:1114|3:1039|2:436|1:176|total:3534,1955,,,3.53,2857,268,['306'],['William Golding'],['3.68'],[],[],[],"When the spring came the people - what was left of them - moved back by the old paths from the sea. But this year strange things were happening, terrifying things that had never happened before. Inexplicable sounds and smells; new, unimaginable creatures half glimpsed through the leaves. What the people didn't, and perhaps never would, know, was that the day of their people was already over.<br /><br />From the author of <i>Lord of the Flies</i>, <i>The Inheritors</i> is a startling recreation of the lost world of the Neanderthals, and a frightening vision of the beginning of a new age."
14431,306,"Rites of Passage (To the Ends of the Earth, #1)",0571209432,9780571209439,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375876979l/14431._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375876979l/14431._SY75_.jpg,2001,,,,Faber and Faber,false,1834097,45,10723,11902,3309,182,5:710|4:1145|3:992|2:334|1:128|total:3309,1980,,,3.60,2829,112,['306'],['William Golding'],['3.68'],[],[],[],"<b>The first volume of William Golding's Sea Trilogy.</b><br /><br />Sailing to Australia in the early years of the nineteenth century, Edmund Talbot keeps a journal to amuse his godfather back in England. Full of wit and disdain, he records the mounting tensions on the ancient, stinking warship where officers, sailors, soldiers and emigrants jostle in the cramped spaces below decks. Then a single passenger, the obsequious Reverend Colley, attracts the animosity of the sailors, and in the seclusion of the fo'castle something happens to bring him into a 'hell of degradation', where shame is a force deadlier than the sea itself."
1041865,306,The Spire,0571225462,9780571225460,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,4,1,eng,Faber & Faber,false,24161742,58,5504,8530,2451,246,5:471|4:774|3:776|2:321|1:109|total:2451,1964,,,3.48,1828,162,['306'],['William Golding'],['3.68'],[],[],[],"Dean Jocelin has a vision: that God has chosen him to erect a great spire on his cathedral. His mason anxiously advises against it, for the old cathedral was built without foundations. Nevertheless, the spire rises octagon upon octagon, pinnacle by pinnacle, until the stone pillars shriek and the ground beneath it swims. Its shadow falls ever darker on the world below, and on Dean Jocelin in particular.<br /><br />From the author of Lord of the Flies, The Spire is a dark and powerful portrait of one man's will, and the folly that he creates."
14429,306,Pincher Martin,015602781X,9780156027816,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876454l/14429._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876454l/14429._SY75_.jpg,2002,,,,Mariner,false,831247,33,4190,6496,1820,153,5:415|4:576|3:545|2:198|1:86|total:1820,1956,,,3.57,1375,93,['306'],['William Golding'],['3.68'],[],[],[],"The sole survivor of a torpedoed destroyer is miraculously cast up on a huge, barren rock in mid-Atlantic. Pitted against him are the sea, the sun, the night cold, and the terror of his isolation. <br /><br />At the core of this raging tale of physical and psychological violence lies Christopher Martin’s will to live as the sum total of his life."
249043,306,Darkness Visible,0374525609,9780374525606,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311970614l/249043._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311970614l/249043._SX50_.jpg,1999,2,15,,"Farrar, Straus and Giroux",false,241317,30,3801,5629,1670,94,5:336|4:507|3:430|2:234|1:163|total:1670,1979,,,3.37,1409,56,['306'],['William Golding'],['3.68'],[],[],[],"A dazzlingly dark novel by the Nobel Laureate.<br /><br />At the height of the London blitz, a naked child steps out of an all-consuming fire. Miraculously saved yet hideously scarred, tormented at school and at work, Matty becomes a wanderer, a seeker after some unknown redemption. Two more lost children await him: twins as exquisite as they are loveless. Toni dabbles in political violence, Sophy in sexual tyranny. As Golding weaves their destinies together, as he draws them toward a final conflagration, his book lights up both the inner and outer darknesses of our time."
274402,306,Free Fall,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,6,1,,Mariner Books,false,1879284,40,3417,3567,977,98,5:246|4:318|3:277|2:98|1:38|total:977,1959,,,3.65,736,54,['306'],['William Golding'],['3.68'],[],[],[],"""I was standing up, pressed back against the wall, trying not to breathe. I got there in the one movement my body made. My body had many hairs on legs and belly and chest and head, and each had its own life; each inherited a hundred thousand years of loathing and fear for things that scuttle or slide or crawl."" from Free Fall<br /><br />Sammy Mountjoy, artist, rises from poverty and an obscure birth to see his pictures hung in the Tate Gallery. Swept into World War II, he is taken as a prisoner-of-war, threatened with torture, then locked in a cell of total darkness to wait. He emerges from his cell like Lazarus from the tomb, seeing infinity in a grain of sand and eternity in an hour. Transfigured by his ordeal, he begins to realize what man can be and what he has gradually made of himself through his own choices. He determines to find the exact point at which the accumulated weight of those choices has deprived him of free will. <br />"
367476,306,The Double Tongue,0374526370,9780374526375,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,10,1,,"Farrar, Straus and Giroux",false,357472,27,1690,2468,710,46,5:113|4:244|3:244|2:86|1:23|total:710,1995,,,3.48,461,23,['306'],['William Golding'],['3.68'],[],[],[],"<i>The Double Tongue</i> is William Golding's last and perhaps most superbly imaginative novel. It is a fictional memoir of an aged prophetess at Delphi, the most sacred oracle of ancient Greece, just prior to Greece's domination by the Roman Empire. As a young girl, Arieka is ugly, unconventional, a source of great shame to her uppity parents, who fear they'll never marry her off. But she is saved by Ionides, the High Priest of the Delphic temple, who detects something of a seer (and a friend) in her and whisks her off to the shrine to become the Pythia - the earthly voice of the god Apollo. Arieka has now spent a lifetime at the mercy of a god, a priest, and her devotees, and has witnessed firsthand the decay of Delphi's fortunes and its influence in the world. Her reflections on the mysteries of the oracle, which her own weird gifts embody, are matched by her feminine insight into the human frailties of the High Priest himself, a true Athenian with a wicked sense of humor, whose intriguing against the Romans brings about humiliation and disaster. This extraordinary short novel, left in draft at the author's death in 1993, is a psychological and historical triumph. Golding has created a vivid and comic picture of ancient Greek society as well as an absolutely convincing portrait of a woman's experience, something rare in the Golding oeuvre. Arieka the Pythia is one of his finest creations.<br />Left in draft at the author's death in 1993, this extraordinary short novel is a psychological and historical triumph. An aged prophetess at Delphi, the most sacred oracle in ancient Greece, looks back over her strange life as the Pythia, the voice of the god Apollo. Golding was the author of Lord of the Flies, and a Nobel Laureate."
14430,306,The Pyramid,0571192521,9780571192526,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,7,22,eng,Faber  Faber,false,16466,26,1773,2459,739,41,5:108|4:202|3:283|2:116|1:30|total:739,1967,1,1,3.33,534,21,['306'],['William Golding'],['3.68'],[],[],[],"Oliver is eighteen and wants to enjoy himself before going to university. But this is the 1920s and he lives in Stilbourne, a small English country town where everyone knows what everyone else is getting up to, and where love, lust and rebellion are closely followed by revenge and embarrassment."
159095,306,The Paper Men,0374526397,9780374526399,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312015154l/159095._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312015154l/159095._SY75_.jpg,1999,12,1,,"Farrar, Straus and Giroux",false,1892841,11,1572,2056,646,68,5:76|4:185|3:219|2:113|1:53|total:646,1984,,,3.18,533,45,['306'],['William Golding'],['3.68'],[],[],[],"English novelist Wilfred Barclay, who has known fame, success, and fortune, is in crisis. He faces a drinking problem slipping over the borderline into alcoholism, a dead marriage, and the incurable itch of middle age lust. But the final, unbearable irritation is American Professor of English Literature Rick L. Tucker, who is implacable in his determinition to become The Barclay Man: authorized biographer, editor of the posthumous papers and the recognized authority."
19601,306,William Golding's Lord of the Flies (Bloom's Guides),0791078787,9780791078785,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329247027l/19601._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329247027l/19601._SY75_.jpg,2004,3,28,,Chelsea House Publications,false,1868964,10,897,1876,499,26,5:130|4:197|3:117|2:32|1:23|total:499,1996,,,3.76,2,0,"['236', '3858381', '306', '75427']","['Harold Bloom', 'Elizabeth Beaudin', 'William Golding', 'Pamela Loos']","['4.10', '2.50', '3.68', '3.71']",[],[],[],"- Comprehensive reading and study guides for some of the world's most important literary masterpieces<br />- Concise critical excerpts provide a scholarly overview of each work<br />- ""The Story Behind the Story"" details the conditions under which the work was written<br />- Each book includes a biographical sketch of the author, a descriptive list of characters, an extensive summary and analysis, and an annotated bibliography"
