id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
26635536,304182,Vítr ve vrbách aneb žabákova dobrodružství,8000009609,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442569371l/26635536._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442569371l/26635536._SX50_.jpg,2001,,,cze,Albatros,false,1061285,2613,309094,679729,170417,5651,5:63351|4:57552|3:37210|2:8832|1:3472|total:170417,1908,10,8,3.99,4,2,"['3843', '14370073', '304182', '575312']","['Kenneth Grahame', 'Míla Grimmichová,', 'Jaroslav Seifert', 'Jindra Čapek']","['3.99', '4.25', '3.87', '3.93']",[],[],[],"Krtek a krysa, dva veselí, dobrosdrdeční braši, se seznámili na začátku jednoho jara a stali se nerozlučnými kamarády. Jejich společným přítelem je Žabák - ale ouvej, s ním je občas opravdu těžké pořízení.<br />Je velmi hodný i družný, trochu sice prostý - ostatně nemůžeme být všichni géniové - především však poněkud rozmazlený, chlubivý a domýšlivý. Bydlí na Žabím hrádku, nejkrásnějším sídle v celém okolí, má moře peněz, přepychové auto a spoustu jiných báječných věcí...<br />Ale protože s ním už není k vydržení a někdy dělá pěkné vylomeniny, rozhodnou se věrní přátelé spolu s Jezevcem přivést Žabáka k rozumu a na lepší cestu.<br />Co všechno musejí podniknout, co se jim při tom přihodí a jak to nakonec dopadne? To ví s jistotou vítr ve vrbách...<br />A také ten, kdo si přečte pohodová, humorná i moudrá dobrodružství pana Žabáka."
13456346,304182,Maminka,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328626045l/13456346._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328626045l/13456346._SX50_.jpg,1986,,,cze,Československý spisovatel,false,18985232,6,566,1310,340,12,5:101|4:119|3:95|2:19|1:6|total:340,1966,1,1,3.85,307,9,"['304182', '5500065']","['Jaroslav Seifert', 'Ludmila Jiřincová']","['3.87', '3.84']",[],[],[],"Nositel Nobelovy ceny za literaturu napsal svou sbírku zpěvné intimní lyriky už jako zralý, zkušený a známý básník v roce 1954. Půvabné vzpomínky na dětský svět a na maminku, která dokázala udělat domov krásným, oslovily nejednu generaci. Prosté a jednoduché verše (např. Maminčina kytice, Mlýnek na kávu, Všední den, Dědečkův pohřeb, Vějíř, Krabice na čaj, Domov... ) opěvují nejen dětství, ale především dobrotu, krásu, práci i únavu maminky a mluví ústy básníka za mnohé z nás. S ilustracemi Jiřího Trnky patří knížka do zlatého fondu české literatury a do pokladnice Albatrosu"
1009079,304182,The Poetry of Jaroslav Seifert,0945774397,9780945774396,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328766084l/1009079._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328766084l/1009079._SY75_.jpg,1998,5,1,en-GB,Catbird Press,false,995205,14,618,710,174,17,5:67|4:66|3:33|2:4|1:4|total:174,1984,1,1,4.08,133,12,"['304182', '209966']","['Jaroslav Seifert', 'George Gibian']","['3.87', '4.25']",['65276'],['Ewald Osers'],['4.14'],"In 1984, Jaroslav Seifert (1901-1986) was the first Czech to win the Nobel Prize for Literature. Although Seifert lived through the many historic turns of his homeland, his was not a political poetry, except in its constant expression of love for his homeland, its beauties and its values. He was the great poet of Prague, of love, of the senses. His work was unpretentious, lyrical yet irreverent, earthy, charming. Seifert was known for the simplicity of his verse, yet his poems are full of surprises, never what at first they seem. They are marked by imagery that is beautiful or comical, by good, deep values, and by love in all its forms. This is a collection of poetry written throughout his life.<br />"
8587988,304182,Na vlnách TSF,8020203605,9788020203601,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356083639l/8587988._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356083639l/8587988._SX50_.jpg,1992,,,cze,Československý spisovatel,false,2245399,4,241,559,145,10,5:42|4:57|3:32|2:11|1:3|total:145,1925,,,3.86,140,7,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],Ovlivněno jeho cestami do SSSR a Francie. Tato sbírka velmi ovlivnila vznikající poetismus.
11486312,304182,Všecky krásy světa,8085876833,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,,,cze,"Eminent, Knižní klub",false,16421512,9,310,521,130,10,5:55|4:39|3:20|2:14|1:2|total:130,1979,,,4.01,77,5,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
1239273,304182,Morový sloup / The Plague Monument,0936570008,9780936570006,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312139091l/1239273._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312139091l/1239273._SY75_.jpg,,,,eng,,false,3041144,8,149,324,88,7,5:18|4:34|3:28|2:6|1:2|total:88,1977,,,3.68,76,7,['304182'],['Jaroslav Seifert'],['3.87'],['1232866'],['Lyn Coffin'],['4.00'],
12664643,304182,أن تكون شاعرًا,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429043393l/12664643._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429043393l/12664643._SY75_.jpg,2007,,,ara,دار المدى,false,17779218,4,220,276,86,26,5:8|4:25|3:33|2:17|1:3|total:86,1983,,,3.21,71,26,"['304182', '3283600']","['Jaroslav Seifert', 'إسكندر حبش']","['3.87', '3.21']",[],[],[],"أن تكون شاعرًا هو الديوان الأخير، من الدواوين الخمسة والعشرين، التي نشرها الشاعر التشيكي ""ياروسلاف سيفرت""، الذي توفي في براغ في 10 كانون الثاني من العام 1986 عن عمر يناهز 84 عامًا.<br /><br />كان كتابه هذا، قد صدر العام 1983، في عدد من النسخ لم تصل إلا لقلة من المعجبين بالشاعر، قبل ذلك بسنة، كانت مذكراته ""كلّ جمال العالم"" قد صدرت في طبعة لم تنجُ مطلقاً من قسوة مقص الرقيب.<br /><br />من هنا، ثمة سؤال يطرح نفسه: لمَ كلّ هذا الحذر تجاه عميد الشعر التشيكي الذي على قول رومان جاكوبسون، صديقه والمعجب به منذ العشرينيات كان قد ""وصل إلى إمتلاك مدهش للتقليد الشفهي والكتابي، للشعر التشيكي، كما وصل إلى أقصى إغراءات الطليعية، بالمعنى الأسمى للكلمة""؟.<br /><br />في شعره كله، كان سيفرت، شاعر الحب: حب الإنسانية، المرأة، الأهل، الأصدقاء، الشعب، الطبيعة، حب العدالة والحقيقة، وهما رمزان تعذب من أجلهما الشعب التشيكي لفترة طويلة، من دون أن يتردد في إراقة دمه، من أجل ذلك.<br /><br />مع ""آن تكون شاعراً""، يعود الشاعر إلى مراهقته، إلى حبه الأول، يتذكر سنوات الحرب السوداء، ليطلق نداءً حاراً للسلام، وكما دواوينه الأخرى (أو القسم الأكبر منها)، نجد أن مدينته براغ حاضرة بقوة في هذا الكتاب، والشاعر يستدعي ويتذكر كل أولئك الذين أغرموا بها قبله، ""موتسارت"" و""ماشا""، فضلاً عن الكتاب والشعراء المعاصرين الذين رحلوا عن الوجود، عبر قصائده هذه، الأخيرة، المليئة بالأحاسيس، يصل سيفرت إلى قمة فنه (على قول الناقدة ""يانا بوشبرغر"") كما يقدم فيها، وداعه للحياة التي طالما أحبها.<br /><br />نقرأ مقطع من قصيدة ""آن تكون شاعراً""... ""علمتني الحياة، منذ زمن طويل... أن أجمل الأشياء... التي يمكنها منحنا إياها: الموسيقى والشعر... إن استثنينا الحب بالطبع... في كتاب مختارات قديم... نشره مستودع كتب صاحب الجلالة الملكية والإمبراطورية... سنة وفاة فرشيكلي... وجدت بحثاً عن الفن الشعري... والمحسنات الأسلوبية... إذ ذاك، وضعت زرّ ورد في كأس... أشعلت شمعة... وبدأت كتابة قصائدي الأولى""."
12801606,304182,Píseň o Viktorce,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317841824l/12801606._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317841824l/12801606._SY75_.jpg,,,,cze,,false,17950009,2,101,186,52,4,5:9|4:17|3:21|2:5|1:0|total:52,,,,3.58,52,4,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
12802026,304182,Nejkrásnější bývá šílená,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317841950l/12802026._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317841950l/12802026._SX50_.jpg,1968,,,cze,Mladá fronta,false,17950450,1,59,158,36,3,5:19|4:14|3:2|2:0|1:1|total:36,1968,,,4.39,36,3,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
17364495,304182,Koncert na ostrove,07208988,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360684701l/17364495._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360684701l/17364495._SX50_.jpg,1988,,,slo,Slovenský spisovateľ,false,24120186,3,57,139,36,3,5:11|4:10|3:14|2:1|1:0|total:36,,,,3.86,32,3,"['304182', '5822983', '6562175']","['Jaroslav Seifert', 'Ján Zambor', 'Jozef Mihalkovič']","['3.87', '3.86', '3.97']",[],[],[],
1009078,304182,The Casting of Bells,0930370260,9780930370268,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,995204,4,107,135,36,6,5:8|4:13|3:13|2:2|1:0|total:36,1967,8,,3.75,29,5,['304182'],['Jaroslav Seifert'],['3.87'],"['459070', '382400']","['Paul Jagasich', ""Tom O'Grady""]","['3.71', '3.72']",This is Seifert's first collection published in English in the U.S.A. (translated from the Czech).
