id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
127499,73177,The Flanders Road,0714539945,9780714539942,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1985,4,30,eng,Calder Publications,false,122792,37,1551,1296,348,45,5:127|4:87|3:73|2:33|1:28|total:348,1960,,,3.72,180,20,"['73177', '14872749']","['Claude Simon', 'John  Fletcher']","['3.59', '3.43']",['27112'],['Richard Howard'],['4.07'],"During the German advance through Belgium into France in 1940, which led to the fall of France, Captain de Reixach is shot dead by a sniper. Three of his dragoons, involved with him in different capacities, remember him and help the reader piece together the realities behind the man and his death.<br /><br />One was a distant relative, one his orderly, and the third who had been a jockey in his stable before the war, had also been his wife's secret lover."
127495,73177,The Trolley,1565848578,9781565848573,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328752611l/127495._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328752611l/127495._SX50_.jpg,2004,2,12,,The New Press,false,122788,15,570,682,222,25,5:24|4:48|3:87|2:46|1:17|total:222,2001,3,15,3.07,111,13,['73177'],['Claude Simon'],['3.59'],['27112'],['Richard Howard'],['4.07'],"Claude Simon, a Nobel Prize–winning author and cultural icon in France, has written a Proustian novel, intermingling the memories of youth and old age. His madeleine is the trolley of the book’s title, the transport that took him to and from school every morning of his childhood. Passing back and forth between vine-covered hills, the trolley punctuates the trivial or cruel events of many lives, while action unfolds at the shore, in the gradually modernizing town, on a tennis court, and in a country villa. Elsewhere, life in all its fragility persists in the pavilions and labyrinthine corridors of a hospital, where our narrator now travels on a wheeled hospital bed, set to begin a new voyage into old age. When coincidences unite the two trajectories, the story becomes a fugue of memory that has delighted critics and made the book an immediate bestseller in France.<br /><br /><br />"
127497,73177,The Grass,0807611565,9780807611562,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1986,1,1,,George Braziller,false,122790,17,407,409,107,11,5:38|4:31|3:22|2:13|1:3|total:107,1958,,,3.82,71,6,['73177'],['Claude Simon'],['3.59'],['27112'],['Richard Howard'],['4.07'],
364275,73177,The Acacia,0394587715,9780394587714,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1307633572l/364275._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1307633572l/364275._SX50_.jpg,1991,4,23,,Pantheon,false,354343,13,370,396,117,12,5:24|4:37|3:29|2:14|1:13|total:117,1989,9,,3.38,40,3,['73177'],['Claude Simon'],['3.59'],['27112'],['Richard Howard'],['4.07'],"La phrase de Claude Simon s'agrippe à la réalité, s'insinue dans les anfractuosités, y décèle les cachettes les plus obscures, mais ce qu'elle découvre toujours, au bout du compte, c'est l'ampleur de l'univers.<br />Ce roman couvre une immense plage d'espace et de temps : de Madagascar jusqu'en Belgique et d'Espagne jusqu'à Moscou, un siècle entier. Mais l'acacia centenaire qui lui donne son nom se dresse, lui, dans le jardin d'une vieille demeure du midi de la France. C'est dans cette maison qu'à la suite d'une bataille perdue un ancêtre s'est jadis suicidé, qu'une femme a vécu sa jeunesse avant de rencontrer et d'épouser, au mépris des convenances, un officier issu d'une famille de paysans jurassiens, c'est de là que ce dernier est parti pour la guerre, un jour d'août 1914, de là aussi que partira son fils, vingt-cinq ans plus tard, pour une autre guerre et où il reviendra après le désastre de 40. Devant la fenêtre par laquelle il aperçoit le feuillage de l'acacia à peine agité par la brise, il commencera un soir à écrire.<br />Reprenant sous un autre angle quelques-uns des thèmes présents dans certains de ses plus grands livres. De <i>L'Herbe</i> aux <i>Géorgiques</i> en passant par <i>La Route des Flandres</i>, <i>Le Palace</i> et <i>Histoire</i>, Claude Simon les fond dans une œuvre complètement originale qui pourrait bien constituer la clé de voûte de l'ensemble."
1783505,73177,The Wind,0807611573,9780807611579,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1986,,,,,false,1782369,12,302,323,92,16,5:23|4:27|3:24|2:10|1:8|total:92,1957,,,3.51,65,11,['73177'],['Claude Simon'],['3.59'],[],[],[],
1084394,73177,Triptych,071453787X,9780714537870,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541885484l/1084394._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541885484l/1084394._SY75_.jpg,1977,1,1,,"Riverrun Press (New York, NY)",false,1071163,6,240,211,57,4,5:17|4:19|3:11|2:7|1:3|total:57,1973,,,3.70,52,3,['73177'],['Claude Simon'],['3.59'],[],[],[],"Three separate stories, about a failed marriage, a child's death, and a summer holiday, are told currently in a structure designed to resemble a three-sided painting."
364270,73177,The Georgics,0714538973,9780714538976,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1989,1,1,,Calder Publications,false,354338,14,226,207,52,7,5:23|4:16|3:6|2:3|1:4|total:52,1981,,,3.98,36,2,['73177'],['Claude Simon'],['3.59'],"['1076133', '14872749']","['Beryl S. Fletcher', 'John  Fletcher']","['4.15', '3.43']","As Simon's experimental anti-war novel begins, a prominent Jacobin and French general, identified only as ""L.S.M.,"" writes home from the front, giving the caretaker of his estate elaborate instructions on how to tend to hedges and horses. This aristocrat cuts a rather ridiculous figure, but that is the point: war turns soldiers into pawns. Patriotism, God, revolution, ideals--all stand mocked before the senseless destruction and evil of state-sanctioned mass murder. Simon intercuts epochs and wars; he makes History a chief character, personified as a fiendish trickster. War's random brutality is viewed from the trenches--we see the Spanish Civil War through the eyes of a young English writer ostensibly modeled on George Orwell; leapfrogging to the French rout of 1940, Simon, who was himself captured by the Germans, thrusts the reader into the midst of blunders and carnage. This difficult novel, for which Simon won the 1985 Nobel Prize for Literature, is encumbered by extremely long and complex sentences, endless paragraphs and a hyper-associative style. A slashing satire on the modern condition, it lets one see the violence and depredation of war as extensions of ""peacetime."""
902771,73177,Conducting Bodies,0394622898,9780394622897,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266715843l/902771._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266715843l/902771._SY75_.jpg,1987,1,1,,Grove Press,false,887944,7,142,177,45,5,5:17|4:14|3:11|2:0|1:3|total:45,1971,,,3.93,40,5,['73177'],['Claude Simon'],['3.59'],['7690'],['Helen R. Lane'],['3.93'],
1084395,73177,The Invitation,0916583902,9780916583903,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1992,8,1,eng,Dalkey Archive Press,false,1071164,8,113,153,45,4,5:8|4:14|3:13|2:8|1:2|total:45,1987,,,3.40,36,4,['73177'],['Claude Simon'],['3.59'],['357466'],['Jim Cross'],['3.49'],"This 1987 novel by Nobel Prize-winner Claude Simon is a sardonic look at glasnost Russia, where recent reforms and improvements carry all the conviction of rouge on a corpse. The narrator is one of fifteen international guests who have been invited on a goodwill tour of the new Soviet Union. Whisked from one staged event to another, from Moscow to Central Asia, enduring hours of rigid Soviet hospitality, the guests react with varying degrees of stupefaction and disgust to a society whose recent renovations ill-disguise a bloody and repressive past. The Invitation is a reminder that although the Cold War may be over, the past cannot and should not be forgotten; the Soviets have a new game to play--diplomacy rather than military force--but Simon voices skepticism in our current era of pro-Soviet sentiment. The chief attraction of The Invitation is Simon's celebrated style: long, convoluted sentences register the narrator's impressions, sometimes dragging with fatigue, but always sharpened with sensuous details and spiked with mordant satire. No one is named, but the reader will see through their identities as easily as the narrator sees through the sham of perestroika. This compact masterpiece of political satire concludes with an afterword by Lois Oppenheim, a noted authority on Simon's work."
127496,73177,The Jardin des Plantes,0810117231,9780810117235,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,11,7,,Northwestern University Press,false,1071167,7,152,133,37,4,5:10|4:11|3:9|2:5|1:2|total:37,1997,9,,3.59,27,2,"['73177', '8339245']","['Claude Simon', 'Роман Осадчук']","['3.59', '4.02']",['168380'],['Jordan Stump'],['4.08'],"Since his 1960 international breakthrough <i>La Route des Flandres</i>, Claude Simon has captivated readers worldwide with his relentless examination of life experience—in particular his own. Breaking from realistic narrative, obsessed with the power and betrayals of memory, <i>The Jardin des Plantes</i> is nothing less than an inquiry into what creates each of us.<br /><br />While Simon admits that there are defining moments in life—eight days of battle during World War II were Simon’s unforgettable experience—<i>The Jardin des Plantes</i> rings with his refusal to be defined by any single event. His thoughts show the complexity, the fabulous chaos, that make up the experience of life for Simon and, he insists, for all thinking human beings. Simon’s memories—whether of everyday minutiae or passages from novels or the staggering experiences of war and death—unreel like films, constantly replaying or stopping and starting according to the whimsical or terrifying nature of his experiences. The juxtapositions may hold meaning or be nothing more than tricks of the mind. What is important is that each memory has a place in his mind and each has an effect on his self and the way he interacts with others."
3186164,73177,Le Palace,0423828703,9780423828702,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,3219058,11,105,87,24,2,5:6|4:8|3:6|2:3|1:1|total:24,1962,,,3.62,10,2,['73177'],['Claude Simon'],['3.59'],[],[],[],"Fiction. THE PALACE, Claude Simon's seventh novel, has its roots in events in Simon's life, in this case the Spanish Civil War, in which he was a participant and a supporter of the republican governernment. Simon sees most things in life as circular, events that recur, and revolutions are no exception. The Spanish war was a political catastrophe and it is the images of destruction, waste and inefficiency that give this novel its power. Simon describes the bureaucratic accumulation of paper which always manages to soak up all violence and every act of revolt and creates poignant pictures of dead dchildren, disillusioned soldiers and students, the betrayal of Catalonia by the Communists, about which George Orwell has also written (in a work that influenced Simon) and the power struggle that splintered the republican side. This powerful narrative is one of the most important examples of the nouveau roman and revolution, a time of confusion and differing views of reality, is a most suitable backg"
