id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
12982154,11563,Розенкранц и Гильденстерн мертвы и другие пьесы,5271272761,9785271272769,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327596757l/12982154._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327596757l/12982154._SY75_.jpg,2010,1,1,rus,"Астрель, Corpus",false,73811,55,132790,316764,78043,1949,5:31907|4:26169|3:14165|2:4256|1:1546|total:78043,1966,,,4.06,13,0,"['293', '2964676', '2743494', '11563', '4146991', '5832043', '5832044']","['Tom Stoppard', 'Том Стоппард', 'Иосиф Бродский', 'Joseph Brodsky', 'Илья Кормильцев', 'Ольга Варшавер', 'Т. Тульчинская']","['4.05', '4.00', '4.45', '4.25', '4.25', '4.37', '4.46']",['19834334'],['Ilya Kormiltsev'],['4.14'],"<i>Hamlet</i> told from the worm's-eye view of two minor characters, bewildered Rosencrantz and Guildenstern. Echoes of <i>Waiting for Godot</i> resound, reality and illusion mix, and where fate leads heroes to a tragic but inevitable end."
217983,11563,A Tomb for Boris Davidovich,1564782735,9781564782731,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494242301l/217983._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494242301l/217983._SY75_.jpg,2001,6,1,eng,Dalkey Archive Press,false,1454313,54,6019,9812,2346,147,5:1034|4:835|3:367|2:91|1:19|total:2346,1976,,,4.18,1650,81,"['127676', '11563', '940746']","['Danilo Kiš', 'Joseph Brodsky', 'William T. Vollmann']","['4.13', '4.25', '4.08']",['3935217'],['Duska Mikic-Mitchell'],['4.22'],"Composed of seven dark tales, <em>A Tomb for Boris Davidovich</em> presents variations on the theme of political and social self-destruction throughout Eastern Europe in the first half of the twentieth century. The characters in these stories are caught in a world of political hypocrisy, which ultimately leads to death, their common fate. Although the stories Kis tells are based on historical events, the beauty and precision of his prose elevates these ostensibly true stories into works of literary art that transcend the politics of their time."
320601,11563,Watermark,0374523827,9780374523824,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316638375l/320601._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316638375l/320601._SY75_.jpg,1993,6,1,eng,"Farrar, Straus and Giroux",false,1306728,46,4858,7899,1923,221,5:824|4:642|3:323|2:108|1:26|total:1923,1989,,,4.11,1116,112,['11563'],['Joseph Brodsky'],['4.25'],[],[],[],"In this brief, intense, gem-like book, equal parts extended autobiographical essay and prose poem, Brodsky turns his eye to the seductive and enigmatic city of Venice. A mosaic of 48 short chapters—each recalling a specific episode from one of his many visits there (Brodsky spent his winters in Venice for nearly 20 years)—<i>Watermark</i> associatively and brilliantly evokes one city's architectural and atmospheric character. In doing so, the book also reveals a subject—and an author—readers have never before seen."
12816961,11563,Zaślubiny Kadmosa z Harmonią,8360318719,9788360318713,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317987748l/12816961._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317987748l/12816961._SY75_.jpg,2010,1,,pol,Czuły Barbarzyńca Press,false,594061,49,5635,7134,1679,176,5:862|4:499|3:227|2:56|1:35|total:1679,1988,,,4.25,6,0,"['62357', '11563', '4016475']","['Roberto Calasso', 'Joseph Brodsky', 'Stanisław Kasprzysiak']","['4.08', '4.25', '3.72']",[],[],[],"Roberto Calasso (ur. w 1941 roku we Florencji), wybitny włoski pisarz i eseista, wydawca, dyrektor wydawnictwa Adelphi. Zaślubiny Kadmosa z Harmonią to świeże, odkrywcze spojrzenie na mity greckie, na rzeczy, które się nie zdarzyły, ale są zawsze; poruszająca opowieść o korowodzie zaskakująco bliskich mitycznych zjaw, o ludzkim przerażeniu i fascynacji tajemnicą, jaką jest świat."
320598,11563,Collected Poems in English,0374528381,9780374528386,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312003966l/320598._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312003966l/320598._SY75_.jpg,2002,4,1,eng,"Farrar, Straus and Giroux",false,987846,3,2470,4391,998,32,5:598|4:252|3:107|2:31|1:10|total:998,2000,4,1,4.40,983,30,['11563'],['Joseph Brodsky'],['4.25'],[],[],[],"One of the greatest and grandest advocates of the literary vocation, Joseph Brodsky truly lived his life as a poet, and for it earned eighteen months of internal exile at hard labor, expulsion from his native country, and the Nobel Prize in Literature.<br /><br />Here, collected for the first time, are all the poems he published in English, from his earliest collaborations with Derek Walcott, Richard Wilbur, Howard Moss, and Anthony Hecht to the moving farewell poems he wrote near the end of his life. With nearly two hundred poems, several of them never before published in book form, this is the essential volume of Brodsky's work."
320599,11563,Less Than One: Selected Essays,0374520550,9780374520557,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312061979l/320599._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312061979l/320599._SX50_.jpg,1987,5,1,eng,"Farrar, Straus and Giroux",false,1306727,33,2876,4205,959,53,5:542|4:286|3:99|2:22|1:10|total:959,1986,,,4.38,739,27,['11563'],['Joseph Brodsky'],['4.25'],[],[],[],"This collection of essays thrusts Brodsky--heretofore known more for his poetry and translations--into the forefront of the ""Third Wave"" of Russian emigre writers. His insights into the works of Dostoyevsky, Mandelstam, Platonov, as well as non-Russian poets Auden, Cavafy and Montale are brilliant. While the Western popularity of many other Third Wavers has been stunted by their inability to write in English, Brodsky consumed the language to attain a ""closer proximity"" to poets such as Auden. The book, which won a National Book Critics Circle Award, opens and closes with revealing autobiographical essay."
106459,11563,Hope Against Hope,0375753168,9780375753169,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,3,30,eng,Modern Library,false,102617,27,4430,3628,828,83,5:463|4:250|3:91|2:16|1:8|total:828,1970,,,4.38,708,56,"['61637', '157732', '11563']","['Nadezhda Mandelstam', 'Clarence Brown', 'Joseph Brodsky']","['4.36', '3.97', '4.25']",['923847'],['Max Hayward'],['4.06'],"The story of the poet Osip Mandelstam, who suffered continuous persecution under Stalin, but whose wife constantly supported both him and his writings until he died in 1938. Hope Against Hope was first published in English in 1970. It is Nadezhda Mandelstam's memoir of her life with Osip, who was first arrested in 1934 and died in Stalin's Great Purge of 1937-38. Hope Against Hope is a vital eyewitness account of Stalin's Soviet Union and one of the greatest testaments to the value of literature and imaginative freedom ever written. But it is also a profound inspiration--a love story that relates the daily struggle to keep both love and art alive in the most desperate of circumstances."
692480,11563,A Part of Speech,0374516332,9780374516338,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316636598l/692480._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316636598l/692480._SY75_.jpg,1978,,,,Farrar Straus Giroux,false,678818,16,1180,2364,528,17,5:338|4:125|3:49|2:11|1:5|total:528,1978,,,4.48,412,10,['11563'],['Joseph Brodsky'],['4.25'],[],[],[],"<div><i>A Part of Speech</i> contains poems from the years 1965-1978, translated by various hands.<br /></div>"
320600,11563,On Grief and Reason: Essays,0374525099,9780374525095,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311970792l/320600._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311970792l/320600._SY75_.jpg,1997,4,10,en-US,"Farrar, Straus and Giroux",false,311337,18,2164,1958,460,41,5:224|4:159|3:54|2:17|1:6|total:460,1995,,,4.26,343,31,['11563'],['Joseph Brodsky'],['4.25'],[],[],[],"On Grief and Reason is the second volume of Joseph Brodsky's essays, and the first to be published since he was awarded the Nobel Prize in Literature in 1987. In addition to his Nobel lecture, the volume includes essays on the condition of exile, the nature of history, the art of reading, and the idea of the poet as an inveterate Don Giovanni, as well as a homage to Marcus Aurelius and an appraisal of the case of the double agent Kim Philby (the last two were selected for inclusion in the annual Best American Essays volume). The title essay is a consideration of the poetry of Robert Frost, and the book also includes a fond appreciation of Thomas Hardy, a ""Letter to Horace"", a close reading of Rilke's poem ""Orpheus. Eurydice. Hermes"", and a memoir of Stephen Spender. Among the other essays are Mr. Brodsky's open letter to Czech President Vaclav Havel and his ""immodest proposal"" for the future of poetry, an address he delivered while serving as U.S. Poet Laureate."
613740,11563,To Urania: Poems,0374523339,9780374523336,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637788l/613740._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637788l/613740._SX50_.jpg,1992,4,1,,"Farrar, Straus and Giroux",false,600193,11,620,1291,298,12,5:156|4:99|3:32|2:8|1:3|total:298,1987,,,4.33,253,7,['11563'],['Joseph Brodsky'],['4.25'],[],[],[],"Combining two books of verse that were first published in his native Russian, <i>To Urania</i> was Brodsky's third volume to appear in English. Published in 1988, the year after he was awarded the Nobel Prize in Literature, this collection features pieces translated by the poet himself and others, as well as poems written originally in English.<br /><br />Auden once characterized Brodsky as ""a traditionalist . . . interested in what lyric poets of all ages have been interested in . . . encounters with nature . . . reflections upon the human condition, death, and the meaning of existence."" Reading the poems in <i>To Urania</i>--by turns cerebral, caustic, comic, and celebratory--we appreciate firsthand a great lyric poet's variety and achievement."
6221047,11563,Конец прекрасной эпохи,1930308086,9781930308084,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451351758l/6221047._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451351758l/6221047._SY75_.jpg,2000,,,rus,Slovo,false,6401746,5,291,904,197,4,5:136|4:48|3:9|2:1|1:3|total:197,1977,,,4.59,179,3,"['11563', '2743494']","['Joseph Brodsky', 'Иосиф Бродский']","['4.25', '4.45']",[],[],[],Сборник издан впервые в 1977 г. американским издательством `Ардис`. В сборник вошли стихотворения 1964 - 1971 гг. <br /> <br />Содержание <br /> Конец прекрасной эпохи. Стихотворения 1964 - 1971 Стихи c. 1-118 <br />Алфавитный указатель Справочные Материалы c. 119-121 <br /> <br />Составители:<br />Лев Лосев<br />Владимир Марамзин
