id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
2364284,5835922,أولاد حارتنا,9770915343,9789770915349,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,5,1,ara,دار الشروق,false,14413597,53,58850,90780,22136,2606,5:10031|4:6962|3:3232|2:1170|1:741|total:22136,1959,,,4.10,19268,2257,"['5835922', '4273240']","['Naguib Mahfouz', 'نجيب محفوظ']","['3.93', '4.00']",[],[],[],رواية<br /><br />يجلس الجبلاوي في بيته الكبير المحاط بالحدائق واﻷسوار العالية ومن حوله أحفاده الذين يتنازعون للحصول على وقفه، ويقوم الفتوات بابعاد هؤلاء عن جنته اﻷرضية، حيث استقرت ذريته خارج أسوار البيت الكبير، وبالرغم من فقرهم الا انهم لم يكفو عن الدعاء بأن ينزل الجبلاوي اليهم ويترك عزلته ويوزع تركته ويخلصهم من بطش الفتوات فيسود الخير على الجميع، ويظهر في كل جيل هذا المخلص والذي يتعلق به الناس وينتفضو معه ضد الفتوات، ولكن الجشع والجهل يرجعهم في اخر المطاف الى ما كانت عليه الاوضاع ويبقى الفقر والمعاناة مصيرهم الذي لا مفر منه.<br />يصف محفوظ في هذه الرواية الرائعة القهر وشوق الناس إلى الخلاص من أنفسهم، وكيف ان المبادئ يمكن أن تتغير بتأرجح النفوس البشرية، وكيف ان الاعمال الخيرة تقع تحت يد الفساد والمفسدين.<br />تعد هذه الرواية من أشهر روايات اﻷديب الراحل وأكثرها إشكالية وقد نوهت اﻷكاديمية السويدية بها عندما منحت نجيب محفوظ جائزة نوبل للآداب.
762134,5835922,Palace Walk,0385264666,9780385264662,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327882172l/762134._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327882172l/762134._SY75_.jpg,1990,,,eng,Anchor,false,748227,63,36530,58600,14063,1451,5:6065|4:5154|3:2152|2:511|1:181|total:14063,1956,,,4.17,7825,751,['5835922'],['Naguib Mahfouz'],['3.93'],"['420688', '3964509']","['William M. Hutchins', 'Olive E. Kenny']","['4.10', '4.12']","Volume I of the masterful <i>Cairo Trilogy</i>. A national best-seller in both hardcover and paperback, it introduces the engrossing saga of a Muslim family in Cairo during Egypt's occupation by British forces in the early 1900s."
5295735,5835922,الحرافيش,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347915841l/5295735._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347915841l/5295735._SY75_.jpg,2006,,,ara,دار الشروق,false,7087982,30,35335,58035,13287,1715,5:7538|4:3784|3:1445|2:354|1:166|total:13287,1977,,,4.37,11242,1376,"['5835922', '4273240']","['Naguib Mahfouz', 'نجيب محفوظ']","['3.93', '4.00']",[],[],[],ﻳﺼﻒ ﻟﻨﺎ ﻧﺠﻴﺐ ﻣﺤﻔﻮﻅ ﺳﻌﻲ ﺍﻟﻨﻔﺲ ﺍﻟﺒﺸﺮﻳﺔ ﺍﻟﺪﺍﺋﻢ ﺍﻟﻰ ﺍﻟﺨﻼﺹ ﻭﺗﻤﺮﺩﻫﺎ ﻋﻠﻰ ﻧﻔﺴﻬﺎ ﺍﻟﺘﻲ ﺍﺭﺗﻀﺖ ﺑﺎﻟﻮﺍﻗﻊ ﺍﻟﻤﺮﻳﺮ، ﻓﺘﺤﺜﻬﺎ ﺩﺍﺋﻤﺎ ﺍﻟﻰ ﺍﻟﺨﻼﺹ، ﻭﺍﻟﺨﺮﻭﺝ ﻣﻦ ﻧﻔﻖ ﺍﻟﻨﻔﺲ ﺍﻟﻤﻈﻠﻢ، ﻭﻟﻜﻨﻬﺎ ﺗﺼﻄﺪﻡ ﺩﺍﺋﻤﺎ ﺑﺤﺐ ﺍﻟﺪﻧﻴﺎ ﻭﺍﻏﻮﺍﺋﺎﺗﻬﺎ ﺍﻟﻼﻣﺤﺪﻭﺩﺓ ﻭﻫﻨﺎ ﻳﻜﻮﻥ ﻣﻔﺘﺮﻕ ﺍﻟﻄﺮﻕ ﺍﻟﺬﻱ ﺗﺨﺘﺎﺭ ﻓﻴﻪ ﺍﻟﻨﻔﺲ ﺍﻣﺎ ﺍﻟﺴﻴﺮ ﻋﻠﻰ ﺧﻄﻰ ﺍﻟﺼﺎﻟﺤﻴﻦ ﺍﻷﻭﺍﺋﻞ ﺃﻭ ﺍﻟﺤﻴﺎﺩ ﻋﻦ ﻃﺮﻳﻘﻬﻢ ﻭﺍﻳﺜﺎﺭ ﺷﻬﻮﺍﺗﻬﺎ ﺍﻟﺪﺍﺧﻠﻴﺔ، ﻛﻤﺎ ﻳﺼﻒ ﻟﻨﺎ ﺍﻟﺨﻨﻮﻉ ﻭﺍﻟﺬﻝ ﺍﻟﺬﻱ ﻳﺼﻴﺐ ﺍﻟﻨﻔﺲ ﻣﻦ ﺟﺮﺍﺀ ﻳﺄﺳﻬﺎ ﻣﻦ ﺧﻼﺻﻬﺎ، ﻭﺟﻬﻠﻬﺎ ﺑﺄﻥ ﺍﻟﺨﻼﺹ ﺍﻟﺤﻘﻴﻘﻲ ﻫﻮ ﺍﻟﻨﺎﺑﻊ ﻣﻦ ﺩﺍﺧﻠﻬﺎ ﻻ ﺍﻟﻤﺴﻠﻂ ﻋﻠﻴﻬﺎ ﻣﻦ ﺍﻟﺨﺎﺭﺝ ﻓﻬﻮ ﺧﻼﺹ ﺯﺍﺋﻒ ﺳﺮﻋﺎﻥ ﻣﺎ ﻳﺘﺒﺨﺮ ﻭﻳﺬﻫﺐ ﺭﻳﺤﻪ ﻭﺗﺒﻘﻰ ﺍﻟﻨﻔﺲ ﻓﻲ ﻇﻠﻤﺎﺗﻬﺎ ﺗﺒﻜﻲ ﻋﻠﻰ ﻣﺎﺽ ﻗﺪ ﺗﻮﻟﻰ ﻭﺫﻛﺮﻳﺎﺕ ﻟﻦ ﺗﻌﻮﺩ. كل ذلك في ملحمة رائعة يظهر فيها تعاقب اﻷجيال على مدى قرنين من الزمان من خلال عشر قصص لطالما كانت نبعا للسينما المصرية تنهل منه.
5499,5835922,Midaq Alley,0385264763,9780385264761,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,12,1,eng,Anchor Books,false,1679431,74,18034,33721,8760,903,5:2262|4:3639|3:2266|2:464|1:129|total:8760,1947,,,3.85,4891,451,['5835922'],['Naguib Mahfouz'],['3.93'],['77997'],['Trevor Le Gassick'],['3.80'],"Never has Nobel Prize-winner Naguib Mahfouz's talent for rich and luxurious storytelling been more evident than in <i>Midaq Alley</i>, which centers around the residents of one of the hustling, teeming back alleys of Cairo. From Zaita the cripple-maker to Kirsha the café owner with a taste for young boys and drugs, to Abbas the barber who mistakes greed for love, to Hamida who sells her soul to escape the alley, these characters vividly evoke the sights, sounds and smells of Cairo. Long after one finishes reading, the smell of fresh bread lingers, as does the image of the men gathering at the café for their nightly ritual. The universality and timelessness of this book cannot be denied."
4591499,5835922,قصر الشوق,9770914983,9789770914984,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508131681l/4591499._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508131681l/4591499._SY75_.jpg,2006,3,1,ara,دار الشروق,false,66038227,56,17291,30432,7207,583,5:3243|4:2648|3:1063|2:183|1:70|total:7207,1957,,,4.22,3029,294,"['5835922', '4273240']","['Naguib Mahfouz', 'نجيب محفوظ']","['3.93', '4.00']",[],[],[],بعد وفاة فهمى ابن السيد أحمد عبدالجواد، تمر خمس سنوات، ويخرج الأب إلى الحياة. لقد انتقلت بناته بعد زواجهن إلى حى قصر الشوق بالجمالية خلال العشرينات من هذا القرن، حيث ولدت زنوبة فى بيت العالمة زبيدة ولم يلتفت إليها السيد عبد الجواد وقد ترك حياة الليل، يقرر عبد الجواد العودة إلى منزل زبيدة العالمة ويفاجأ بأن طفلة الأمس زنوبة قد كبرت وأصبحت فتاة. توقع زنوبة السيد عبد الجواد فى حبها وتقنعه بشراء عوامة لها، ولكنها فى نفس الوقت تحب ياسين ابنه دون ان تعرف حقيقة الصلة بينهما وتتزوجه بعد أن تهجر السيد أحمد وتدخل أسرتهم كزوجة محترمة لابنه. أما كمال، فيحب عايدة أخت صديقه لكنها ترفض الزواج منه وتتركه يكفر بالمبادئ والمثل التى لطالما آمن بها، بعد أن تعايره بفقره وتتزوج من أحد أصدقائهم الأثرياء.
4002165,5835922,السكرية,9770914975,9789770914977,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508131100l/4002165._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508131100l/4002165._SY75_.jpg,2005,,,ara,دار الشروق,false,66038058,55,14881,25761,6065,619,5:2841|4:2128|3:891|2:166|1:39|total:6065,1957,,,4.25,2520,340,['5835922'],['Naguib Mahfouz'],['3.93'],[],[],[],الجزء الثالث من ثلاثية القاهرة، وهي سلسلة مكونة من ثلاث روايات حائزة على جائزة نوبل للأدب. الثلاثية تعتبر أفضل رواية عربية في تاريخ الأدب العربي حسب اتحاد كتاب العرب.
5954935,5835922,اللص والكلاب,9770915149,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,,,ara,دار الشروق,false,791896,45,13761,25694,7069,778,5:1394|4:2648|3:2248|2:609|1:170|total:7069,1961,,,3.63,3147,364,"['5835922', '5835922']","['Naguib Mahfouz', 'Naguib Mahfouz']","['3.93', '3.93']",[],[],[],"لم يقدم نجيب محفوظ من خلال ""اللص والكلاب"" شخصية إنسان عادي انحرفت به الظروف إلى السرقة، بل شخصية واحد من ذوي العقول المريضة بالتفكير العنيف الذي يجعله يكره ويتمرد ويفكر في الانتقام دائمًا. وهو أيضًا لم يحترف السرقة إلا ومعه فكرة تبرر له هذه السرقة وتفسرها تفسيرًا كاملًا.<br />تلعب المصادفة السيئة دورها في مأساة البطل ""سعيد مهران""، حيث يحاول أن يقتل أعداءه انتقامًا من خيانتهم له، فيوفق في القتل ولكن الأعداء يفلتون منه ويصاب الأبرياء بالسوء. وهكذا يقع البطل في سوء حظ مرير لا مهرب منه، حتى تحل به الكارثة الأخيرة دون أن تشفي روحه ودون أن يُخدش الذين صنعوا مأساته من البداية."
5500,5835922,Arabian Nights and Days,0385469012,9780385469012,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403189316l/5500._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403189316l/5500._SY75_.jpg,1995,,,eng,Anchor,false,8919,59,17878,25508,6223,829,5:2598|4:2175|3:1044|2:280|1:126|total:6223,1980,1,1,4.10,2716,214,['5835922'],['Naguib Mahfouz'],['3.93'],['155401'],['Denys Johnson-Davies'],['3.90'],"A renowned Nobel Prize-winning novelist refashions the classic tales of Scheherazade in his own imaginative, spellbinding style. Here are genies and flying carpets, Aladdin and Sinbad, Ali Baba, and many other familiar stories, made new by the magical pen of the acknowledged dean of Arabic letters."
6122468,5835922,ثرثرة فوق النيل,9770915890,9789770915899,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,,,ara,دار الشروق,false,7088001,39,14817,24647,6462,674,5:1868|4:2372|3:1561|2:475|1:186|total:6462,1966,,,3.81,5392,555,"['5835922', '4273240']","['Naguib Mahfouz', 'نجيب محفوظ']","['3.93', '4.00']",[],[],[],لم يُبدع الإنسان ما هو أصدق من المهزلة.
5954846,5835922,بداية ونهاية,9770915874,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515950099l/5954846._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515950099l/5954846._SY75_.jpg,2006,,,ara,دار الشروق,false,7087998,33,16923,24446,5992,493,5:2305|4:2280|3:1086|2:222|1:99|total:5992,1949,,,4.08,5136,399,"['5835922', '4273240']","['Naguib Mahfouz', 'نجيب محفوظ']","['3.93', '4.00']",[],[],[],"قد يلفت انتباهك اسم الرواية ""بداية ونهاية ""، ويتركك حائرًا متسائلًا، بداية ماذا؟ ونهاية ماذا؟ وسرعان ما ستتبدد تلك التّساؤلات من خلال سير الأحداث، فتدرك أنّ اسم الرّواية يختصر قصّتنا في كلمتين، ويضعها في إطار مُتقن، رسم كاتبنا من خلاله أحداث قصّته، موضّحا أنّ النّهاية لتلك القصّة ما هي إلّا المصير المحتوم لبدايتنا، فالبداية كانت بالموت والنّهاية مع الموت، وما بينهما ما هو إلّا مجموعة من التّفاصيل والأحداث تتناول شخصيّات القصّة و تضحياتها، كيف بدأت كلّ منها؟ وكيف انتهت؟ هذا ما سيعرضه لنا الكاتب بإتقان محكم ونسيج متقن، فقد صال وجال في بحور اللّغة وألوانها، ممّا لن يدع مجالا للشّكّ في نفسك بأنّ ما ينقله هو صورة طبق الأصل لواقع نحياه، وستجد نفسك وقد ارتبطت بأبطاله وألفتهم، حتى بتّ تحيا معهم، فمصابهم مصابنا، وحزنهم حزننا، بكينا كما بكوا، وضحكنا حين ضحكوا."
3495914,5835922,حديث الصباح والمساء,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1987,,,ara,مكتبة مصر,false,3537523,23,17382,23350,5819,611,5:2330|4:1858|3:1146|2:345|1:140|total:5819,1987,,,4.01,5339,485,"['5835922', '4273240']","['Naguib Mahfouz', 'نجيب محفوظ']","['3.93', '4.00']",[],[],[],"هى رواية كل كائن وإنسان على وجه الأرض... نفس البداية والنهاية.. لا يختلف فيها صبى عن رجل عن امرأة عن فتاة مهما اختلفت وتباينت الأحداث. فهذا ""أحمد عطا المراكيبي"" العملاق ذو الجسم الطويل المنبسط .. يباشر الأعمال ويتولى المهام ويرجع في نهاية المطاف مثقل الأجفان ويسلم روحه منتصف الليل ، وأيضا ""حليم عبد العظيم داود"" ولد في أحضان الترف والغنى وهزمه المرض الذي أسلمه إلى الموت.. و"" صديقة "" ، ""رشوانة"" ، "" معاوية"" ، ""بليغ"".. وغيرهم ممن استعرض حياتهم في هذا الكتاب المبدع ونجيب محفوظ"" وكان من خلال تصويره لهم يصور حياة البشر أجمعين .. ويعلنها عالية واضحة لا فرار منها .. يعلن أن الحياة كما تبدأ بصرخة وليد تنتهى بشهقة الموت.. فهذه القصص جمعت من الأهل والأقارب و الآباء والأبناء ما يترجم هذه الفكرة ويجسدها أمام قارئ الراوية.. و في بساطة الفكرة وتكرار أحداثها مع شخصها.. كان عمق الفلسفة وإصرارها التى أرادها أديب نوبل .. أنها ليست قصة بعض الأشخاص وإنما هى قصة الحياة والموت والفلسفة التي تصدر منها والبلاغة التي تصيغ حبات الأحداث ودرر الكلم في مزيج أخرج من المعتاد شرابا جديدا لن نمل الإستمتاع به رشفة رشفة.<br /><br />تحميل رواية حديث الصباح والمساء لنجيب محفوظ من هذا الرابط<br /><a target=""_blank"" href=""http://goo.gl/IGK2St"" rel=""nofollow"">http://goo.gl/IGK2St</a>"
