id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
29408532,34773,Cantar de Mio Cid,8422625628,9788422625629,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456996023l/29408532._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456996023l/29408532._SY75_.jpg,1988,,,spa,Círculo de Lectores,false,477,279,13479,30370,8745,363,5:1753|4:2537|3:2947|2:1108|1:400|total:8745,1140,,,3.47,6,0,"['5158478', '393949']","['Anonymous', 'Ramón Menéndez Pidal']","['4.15', '3.62']",['34773'],['Camilo José Cela'],['3.70'],"Poema épico, se trata del texto más representativo del arte de los juglares españoles de la edad media. El poema fue escrito por primera vez en 1110, inmediatamente después de sucedidos los hechos a los que se refiere. El poema, dividido en tres partes o cantares, narra el injusto destierro y las aventuras del Cid, Rodrigo Díaz de Vivar. El tema del deshonor y la recuperación de la honra, constituyen el eje central de la obra que describe la mentalidad y los valores éticos de la época. Muchos de los personajes y hechos que nos muestra están atestiguados lo cual le confiere un gran valor histórico."
71549,34773,The Family of Pascual Duarte,1564783596,9781564783592,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,4,1,eng,Dalkey Archive Press,false,1403524,119,13404,29854,7987,532,5:1944|4:3040|3:2173|2:625|1:205|total:7987,1942,10,,3.74,3235,131,"['34773', '34771']","['Camilo José Cela', 'Anthony Kerrigan']","['3.70', '4.42']",[],[],[],
61773,34773,La colmena,8420634395,9788420634395,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402830817l/61773._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402830817l/61773._SY75_.jpg,,,,spa,,false,1176253,113,11302,20788,5520,234,5:1458|4:2060|3:1413|2:430|1:159|total:5520,1951,,,3.77,4501,120,['34773'],['Camilo José Cela'],['3.70'],[],[],[],"La estructura externa está compuesta de seis capítulos y un epílogo. Cada capítulo consta de un número variable de secuencias de corta extensión, que desarrollan episodios que están mezclados con otros que ocurren simultáneamente. De esta manera el argumento se rompe en multitud de pequeñas anécdotas. Lo importante es la suma de las mismas, que conforma un conjunto de vidas cruzadas, como las celdas de una colmena.<br /><br />El marco espacio-temporal es muy preciso: Madrid en unos días del año 1943, en plena posguerra. La historia se basa en un espacio novelesco reducido pero con bastantes personajes que intervienen poco en el transcurso de la obra y dan una visión social coral. De entre los trescientos personajes que aparecen, escasean tanto los de las clases más acomodadas como los de la clase obrera y sectores marginados, predominando la clase media baja, la pequeña burguesía venida a menos, cuyas ilusiones y proyectos de futuro son engañosos y cuyas miradas «jamás descubren horizontes nuevos», en una vida relatada como una «mañana eternamente repetida». La novela aparece como primera parte de una serie que había de llevar el título de «Caminos inciertos».<br /><br />La voluntad de reflejar con exactitud la realidad no supone la absoluta neutralidad del autor, que interviene de dos formas contradictorias. En la mayoría de los casos utiliza la técnica objetivista, es decir, se limita a mostrar, a describir desde fuera, sin penetrar en el interior de los personajes. Otras veces, sin embargo, adopta una actitud omnisciente y comenta con ironía las actitudes de los personajes."
911325,34773,Journey to the Alcarria: Travels through the Spanish Countryside,0871133792,9780871133793,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394820907l/911325._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394820907l/911325._SY75_.jpg,1994,1,21,eng,Atlantic Monthly Press,false,1135095,34,1810,2267,636,54,5:127|4:206|3:223|2:59|1:21|total:636,1948,,,3.56,273,21,"['34773', '34784']","['Camilo José Cela', 'Paul Ilie']","['3.70', '3.68']",['9485985'],['Frances M. López-Morillas'],['3.67'],"Awarded the 1989 Nobel Prize for Literature, Camilo José Cela has long been recognized as one of the preeminent Spanish writers of the twentieth century. Journey to the Alcarria is the best known of his vagabundajes, Cela’s term for his books of travels, sketchbooks of regions or provinces. The Alcarria is a territory in New Castile, northeast of Madrid, surrounding most of the Guadalajara province. The region is high, rocky, and dry, and is famous for its honey.<br /><br />Cela himself is “the traveler,” an urban intellectual wandering from village to village, through farms and along country roads, in search of the Spanish character. Cela relishes his encounters with the simple, honest people of the Spanish countryside—the blushing maid in the tavern, the small-town shopkeeper with airs of grandeur lonely for companionship, the old peasant with his donkey who freely shares his bread and blanket with the stranger. These vignettes are narrated in a fresh, clear prose that is wonderfully evocative. As the New York Times wrote, Cela is “an outspoken observer of human life who built his reputation on portray­ing what he observed in a direct colloquial style.”<br />"
1034505,34773,Mazurka for Two Dead Men,0811212777,9780811212779,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,9,1,spa,New Directions Publishing Corporation,false,1020831,29,1112,1314,356,44,5:109|4:98|3:98|2:32|1:19|total:356,1983,,,3.69,172,14,['34773'],['Camilo José Cela'],['3.70'],[],[],[],
1034504,34773,Christ Versus Arizona,1564783413,9781564783417,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323215669l/1034504._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323215669l/1034504._SX50_.jpg,2007,9,1,,Dalkey Archive Press,false,1020834,7,553,595,162,16,5:45|4:51|3:42|2:16|1:8|total:162,1988,2,,3.67,112,12,['34773'],['Camilo José Cela'],['3.70'],[],[],[],"Christ versus Arizona turns on the events in 1881 that surrounded the shootout at the OK Corral, where Wyatt Earp, Doc Holliday, and Virgil and Morgan Earp fought the Clantons and the McLaurys. Set against a backdrop of an Arizona influenced by the Mexican Revolution and the westward expansion of the United States, the story is a bravura performance by the 1989 Nobel Prize-winning author. A monologue by the naive, unreliable, and uneducated Wendell L. Espana, the book weaves together hundreds of characters and a torrent of interconnected anecdotes, some true, some fabricated. Wendell s story is a document of the vast array of ills that welcomed the dawning of the twentieth century, ills that continue to shape our world in the new millennium."""
2425631,34773,Pabellón de reposo,8423304388,9788423304387,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422631034l/2425631._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422631034l/2425631._SY75_.jpg,1990,2,,spa,Ediciones Destino,false,2432818,10,271,574,161,23,5:30|4:56|3:53|2:19|1:3|total:161,1943,,,3.57,138,16,['34773'],['Camilo José Cela'],['3.70'],[],[],[],"<p>En <i>Pabellón de reposo</i> se narra la vida de un grupo de hombres y mujeres en un sanatorio para tuberculosos. Unos y otros, echados en sus <i>chaise-longues</i>, languidecen atentos a cuanto pasa a su alrededor. Las relaciones y los afectos, pero también las susceptibilidades y las obsesiones se consolidan más y más a medida que la enfermedad avanza y la novela transcurre. Aunque todos se saben actores de la misma tragedia, el mundo interior que cada uno lleva dentro de sí, las cosas que dejaron para venir al pabellón, los separa y aísla. Camilo José Cela se recrea en esbozarnos sus vidas pasadas en contraste con la obligada inercia presente. Con expert maestría ensambla los pormenores de cada personaje, adelgazando en el transcurso de la novella los hilos de su existencia, separándola de lo contingente. Frente al mundo elemental, pero dinámico, de <i>La familia de Pascual Duarte</i> se alza el refinado microcosmos de <i>Pabellón de reposo</i>, con sus páginas tiernas y desgarradas de novella redonda, perfecta, clásica.</p><p>Camilo José Cela nació en 1916 en Iria Flavia, pequeña aldea de la provincial de La Coruña, de padre español y madre inglesa. Desde 1957 es miembro de la Real Academia Española de la Lengua. Fruto de sus andanzas por los caminos de España son sus magníficos libros de viajes, entre los que destacan <i>Viaje a la Alcarria</i> y <i>Judíos, moros y cristianos</i>. En 1942 se situó en la primera línea de la narrative española con <i>La familia de Pascual Duarte</i>, libro al que siguieron, entre otros, <i>Pabellón de reposo, El gallego y su cuadrilla, La colmena, Mrs. Caldwell habla con su hijo, Nuevo retablo de Don Cristobita, Las compañías convenientes y otros fingimientos y cegueras, San Camilo, 1936, Oficio de tinieblas 5</i> y <i>Mazurca para dos muertos</i>. Con <i>La rosa</i> inició un ciclo dedicado a sus memorias, que llevan el título general de <i>La cucaña</i>. En 1987 recibió el Premio Príncipe de Asturias de las letras y en 1989 se le ha otorgado el Premio Nobel de Literatura.</p>"
1034521,34773,Café de artistas y otros cuentos,8420646210,9788420646213,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1290374436l/1034521._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1290374436l/1034521._SY75_.jpg,,,,spa,Alianza Cien,false,1020847,7,260,493,148,5,5:20|4:42|3:58|2:23|1:5|total:148,1953,,,3.33,120,4,['34773'],['Camilo José Cela'],['3.70'],[],[],[],
1188265,34773,Mrs. Caldwell Speaks to Her Son,0801497833,9780801497834,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567002688l/1188265._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567002688l/1188265._SY75_.jpg,1990,12,12,,Cornell University Press,false,60087,18,228,399,113,18,5:23|4:35|3:36|2:17|1:2|total:113,1953,,,3.53,65,11,['34773'],['Camilo José Cela'],['3.70'],[],[],[],"<i>Del prólogo de Jorge C. Trulock</i><br /><br />[En esta novela, el autor se encierra en...] un pequeño cerebro,, el de una mujer inglesa, ¿victoriana?, que ha perdido a su hijo, al que tanto quería, del que estaba enamorada. Mrs. Caldwell ha perdido a su hijo Eliacim en las procelosas aguas del Mar Egeo; era marino. Lamadre, viuda huérfana también de su desdichado hijo, que tuvo la estúpida imprudencia de morir ahogado.<br /><br />La mujer fue escribiendo a salto de mata los doscientos doce capítulos según un recuerdo, un olor, un deseo, una palabra; cualquier cosa, siempre le traía la imagen de su hijo. [...]<br /><br />Entre líneas, por detrás de todo surge con intensidad una emoción poética contenida pero arrolladora [...]"
61741,34773,San Camilo 1936,2020159120,9782020159128,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,fre,Seuil,false,60050,14,322,394,103,9,5:37|4:29|3:21|2:14|1:2|total:103,1969,,,3.83,82,6,['34773'],['Camilo José Cela'],['3.70'],"['1692727', '167175']","['Claude Bourguignon', 'Claude Couffon']","['3.99', '3.72']","Widely regarded as one of the best works by the winner of the 1989 Nobel Prize for Literature, San Camilo, 1936 appears here for the first time in English translation. One of Spain’s most popular writers, Camilo José Cela is recognized for his experiments with language and with difficult subject matter. In San Camilo, 1936, first published in 1969, these concerns converge in a fascinating narrative that is as challenging as it is rewarding, as troubling as it is compelling.A story of history as it happens, by turns confusing and startingly clear, echoing with news and rumors, defined by grand gestures and intimate pauses, the novel leads the reader into the ordinary life of extraordinary times. Beginning on the eve of the Spanish Civil War, San Camilo, 1936 follows a twenty-year-old student’s attempts to sort out his private affairs (sex, money, career) in the midst of the turmoil overtaking his country. In vivid and richly textured prose that distinguishes Cela’s work, the emotional reality of civil war takes on a vibrant immediacy that is humorous, tender, and ultimately transforming as a young man tries to come to terms with the historical moment he inhabits—and hopes to survive. Readers new to Cela will find in this novel ample reason for the author’s growing reputation among audiences worldwide."
12561912,34773,سحب عابرة,2843053218,9782843053214,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,,,ara,دار المدى للثقافة و النشر,false,17565903,3,324,347,119,27,5:10|4:22|3:46|2:30|1:11|total:119,1945,,,2.92,107,25,"['34773', '5187118', '3271922']","['Camilo José Cela', 'علي أشقر', 'كاميلو خوسيه ثيلا']","['3.70', '3.07', '3.39']",[],[],[],مجموعة قصصية
