id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
30739104,7469,O Amante de Lady Chatterley,9896415986,9789896415983,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466708915l/30739104._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466708915l/30739104._SY75_.jpg,2016,5,,por,Relógio D'Água Editores,false,3249302,971,196162,334965,95675,4829,5:18073|4:30647|3:31811|2:11435|1:3709|total:95675,1928,,,3.50,11,1,"['17623', '7469', '3309212']","['D.H. Lawrence', 'Octavio Paz', 'António R. Salvador']","['3.59', '4.14', '3.57']",[],[],[],"A história da relação entre Constance Chatterley e Mellors, o guarda de caça do seu marido inválido, é o romance mais controverso de Lawrence e talvez o seu texto mais comovente sobre o amor. <br />Escrevendo para libertar as gerações que, a seu ver, consideravam o sexo um simples constrangimento ou ato mecânico, Lawrence disse sobre este livro: «Trabalhei sempre o mesmo tema, encarar a relação sexual não como algo vergonhoso, mas válido e precioso. Penso que neste romance fui mais longe do que em qualquer outro. Para mim, é uma obra bonita, terna e frágil, tal como a nudez.»<br /><br />«A sua religião foi a do começo, um começo que não é o dos antropólogos que estudam as sociedades primitivas; é o começo diário, esse primeiro dia que, cada dia, os amantes inventam.»<br />Octavio Paz em «A Religião Solar de D. H. Lawrence»<br /><br />«Na guerra interminável entre homens e mulheres, Lawrence luta em ambos os lados.»<br />Harold Bloom"
2359276,7469,Las enseñanzas de don Juan,9505573715,9789505573714,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,10,,,Fondo de Cultura Económica,false,2029104,135,62502,142277,36109,1054,5:12887|4:12193|3:7916|2:2209|1:904|total:36109,1968,,,3.94,87,6,"['8088', '7469', '35892']","['Carlos Castañeda', 'Octavio Paz', 'Walter Goldschmidt']","['4.04', '4.14', '3.81']",['1117913'],['Juan Tovar'],['4.06'],"""Como Lázaro vuelto de la tumba"" (dijo algún crítico), un antropólogo narra la primera etapa del aprendizaje que lo convertirá en ""hombre de conocimientos"" bajo la guía de un brujo yaqui. Con diversos medios, don Juan sumerge a su discípulo en una ""realidad no ordinaria"", tan objetiva como la cotidiana, pero totalmente distinta, inexplicable para nuestros esquemas de pensamiento pero no para la sabiduría antigua que el maestro transmite con impecable coherencia lógica y poética.<br /><br />Así, al tiempo que socava la ""descripción del mundo"" en que Castaneda ha creído, don Juan propone otra -vasta, maravillosa, terrible- y, con lecciones prácticas, enseña a habitarla desde el nivel más inmediato. Conforme pierde defensas, el aprendiz va experimentando el estado de ser al que lo llevan las enseñanzas, la ""vida de guerrero"", y sucumbe ante el primer enemigo de un hombre de conocimiento: el temor."
52036164,7469,Rastløshedens bog,,9788797104613,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,983806,38,56016,87727,19684,1886,5:12521|4:4676|3:1695|2:541|1:251|total:19684,1982,6,,4.46,5,0,"['7816', '19585457', '19585458', '7469']","['Fernando Pessoa', 'Ingemai Larsen', 'Ferdinand Ahm Krag', 'Octavio Paz']","['4.25', '4.00', '3.83', '4.14']",['14055498'],['Mone Hvass'],['4.10'],"Fernando Pessoa was many writers in one. He attributed his prolific writings to a wide range of alternate selves, each of which had a distinct biography, ideology. and horoscope. When he died in 1935, Pessoa left behind a trunk filled with unfinished and unpublished writings, among which were the remarkable pages that make up his posthumous masterpiece, <b>The Book of Disquiet</b>, an astonishing work that, in George Steiner's words, ""gives to Lisbon the haunting spell of Joyce's Dublin or Kafka's Prague.""Published for the first time some fifty years after his death, this unique collection of short, aphoristic paragraphs comprises the ""autobiography"" of Bernardo Soares, one of Pessoa's alternate selves. Part intimate diary, part prose poetry, part descriptive narrative, captivatingly translated by Richard Zenith, <b>The Book of Disquiet</b> is one of the greatest works of the twentieth century.<br />"
451354,7469,El spleen de París,9681656733,9789681656737,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,spa,,false,2910864,247,20573,44113,10264,353,5:5202|4:3359|3:1344|2:276|1:83|total:10264,1869,,,4.30,34,1,"['13847', '4432829', '7469']","['Charles Baudelaire', 'Carlos Eduardo Turón', 'Octavio Paz']","['4.21', '4.31', '4.14']",['4432828'],['Margarita Michelena'],['4.13'],"Set in a modern, urban Paris, the prose pieces in this volume constitute a further exploration of the terrain Baudelaire had covered in his verse masterpiece, <em>The Flowers of Evil</em>: the city and its squalor and inequalities, the pressures of time and mortality, and the liberation provided by the sensual delights of intoxication, art, and women. Published posthumously in 1869, <em>Paris Spleen</em> was a landmark publication in the development of the genre of prose poetry—a format which Baudelaire saw as particularly suited for expressing the feelings of uncertainty, flux, and freedom of his age—and one of the founding texts of literary modernism."
11702,7469,The Labyrinth of Solitude and Other Writings,080215042X,9780802150424,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,1,12,eng,Grove Press,false,14112,72,27481,41636,10044,493,5:4338|4:3463|3:1735|2:381|1:127|total:10044,1950,,,4.15,5237,157,['7469'],['Octavio Paz'],['4.14'],"['884338', '3855014']","['Lysander Kemp', 'Yara Milos']","['4.11', '4.20']","Octavio Paz has long been acknowledged as Mexico's foremost writer and critic. In this international classic, Paz has written one of the most enduring and powerful works ever created on Mexico and its people, character, and culture. Compared to Ortega y Gasset's The Revolt of the Masses for its trenchant analysis, this collection contains his most famous work, ""The Labyrinth of Solitude,"" a beautifully written and deeply felt discourse on Mexico's quest for identity that gives us an unequalled look at the country hidden behind ""the mask."" Also included are ""The Other Mexico,"" ""Return to the Labyrinth of Solitude,"" ""Mexico and the United States,"" and ""The Philanthropic Ogre,"" all of which develop the themes of the title essay and extend his penetrating commentary to the United States and Latin America."
9697067,7469,Justine o le sventure della virtù,8817006130,9788817006132,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366792518l/9697067._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366792518l/9697067._SY75_.jpg,2005,,,ita,BUR Rizzoli,false,13268607,422,24984,39023,11445,846,5:2147|4:3391|3:3632|2:1553|1:722|total:11445,1787,,,3.41,16,1,"['2885224', '7469']","['Marquis de Sade', 'Octavio Paz']","['3.44', '4.14']",[],[],[],"Specchio di virtù e di devozione religiosa, Justine racconta alla sorella Juliette, dopo una lunga separazione, le proprie disavventure. La narrazione si trasforma in un vertiginoso viaggio tra frati licenziosi, impenitenti falsari, losche mezzane, aristocratici viziosi: un percorso iniziatico attraverso l'esperienza del libertinaggio, che si snoda circolarmente in discorsi, classificazioni ed enumerazioni. Pubblicato anonimo nel 1791 e subito dichiarato fuorilegge, <i>Justine</i> fu sottratto all'oblio cui lo destinava '""inferno"" della Biblioteca Nazionale di Parigi negli anni Trenta e consegnato alla tradizione letteraria del Novecento. Da allora artisti, scrittori e filosofi hanno trovato in Sade un modello di stile e di pensiero, per la straordinaria novità dei congegni narrativi e per l'inedito trattamento del tema dell'utopia: un'utopia, come argomenta Octavio Paz nel brillante saggio introduttivo, che funziona al rovescio."
9670055,7469,"Sendas de Oku (Biblioteca Breve De Bolsillo, Serie Mayor #43)",8432238457,9788432238451,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402816189l/9670055._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402816189l/9670055._SY75_.jpg,,,,spa,,false,169669,69,8565,13351,3228,316,5:1371|4:1107|3:597|2:124|1:29|total:3228,1702,,,4.14,8,2,['62257'],['Matsuo Bashō'],['4.15'],"['7469', '8306411']","['Octavio Paz', 'Eikichi Hayashiya']","['4.14', '4.21']","Basho escribió cinco diarios de viaje, verdaderos cuadernos de bocetos, impresiones y apuntes. Estos diarios son ejemplos perfectos de un género en boga en la época de Basho y del cual él es uno de los grandes maestros: el haibun, texto en prosa que rodea, como si fuesen islotes, a un grupo de haikú. Poemas y pasajes en prosa se completan y recíprocamente se iluminan. El mejor de estos cinco diarios de viajes es, según la opinión general, Oku no Hosomichi. En ese breve cuaderno hecho de veloces dibujos verbales y súbitas alusiones –signos de inteligencia que el autor cambia con el lector– la poesía se mezcla a la reflexión, el humor a la melancolía, la anécdota a la contemplación. Es difícil leer un libro –y más aún cuando casi todo su aroma se ha perdido en la traducción– que no nos ofrece asidero alguno y que se despliega ante nuestros ojos como una sucesión de paisajes. Quizá haya que leerlo como se mira al campo: sin prestar mucha atención al principio, recorriendo con mirada distraída la colina, los árboles, el cielo y su rincón de nubes, las rocas... De pronto nos detenemos ante una piedra cualquiera de la que no podemos apartar la vista y entonces conversamos, por un instante sin medida, con las cosas que nos rodean. En este libro de Basho no pasa nada, salvo el sol, la lluvia, las nubes, unas cortesanas, una niña, otros peregrinos. No pasa nada, excepto la vida y la muerte."
11701,7469,"The Collected Poems, 1957-1987",0811211738,9780811211734,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,4,17,eng,New Directions Publishing Corporation,false,14111,10,6663,12720,2959,53,5:1488|4:973|3:413|2:64|1:21|total:2959,1987,,,4.30,2907,47,"['7469', '7468']","['Octavio Paz', 'Eliot Weinberger']","['4.14', '4.31']",['41588'],['Elizabeth Bishop'],['4.20'],"Nobel Laureate Octavio Paz is incontestably Latin America's foremost poet. The Collected Poems of Octavio Paz is a landmark bilingual gathering of all the poetry he has published in book form since 1952, the year of his premier long poem, Sunstone (Piedra de Sol)―here translated anew by Eliot Weinberger―made its appearance. This is followed by the complete texts of Days and Occasions (Días Hábiles), Homage and Desecrations (Homenaje y Profanaciones), Salamander (Salamandra), Solo for Two Voices (Solo a Dos Voces), East Slope (Ladera Este), Toward the Beginning (Hacza el Comienzo), Blanco, Topoems (Topoemas), Return (Vuelta), A Draft of Shadows (Pasado en Claro), Airborn (Hijos del Aire), and Paz's most recent collection, A Tree Within (Árbol Adentro).<br /><br />With additional translations by Elizabeth Bishop, Paul Blackburn, Lysander Kemp, Denise Levertov, John Frederick Nims, and Charles Tomlinson."
3777808,7469,Massacre in Mexico,0670461377,9780670461370,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433144796l/3777808._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433144796l/3777808._SY75_.jpg,1975,8,22,,Viking Books,false,57623,14,5997,10095,2471,164,5:999|4:861|3:468|2:109|1:34|total:2471,1971,2,,4.09,3,1,"['32135', '7469']","['Elena Poniatowska', 'Octavio Paz']","['3.86', '4.14']",['88274'],['Helen Lane'],['3.78'],"""A heartbreaking chronicle. . .<br />A week before the world's youth began competing in the 1968 Olympics in Mexico City, an estimated 325 Mexican boys and girls, among some 10,000 students gathered in peaceful protest against earlier police repression, were shot and bayoneted to death in cold blood by Army troops and police. That tragedy, which makes the campus killings at Kent State and Jackson State in 1970 pale by comparison, is told here- by Elena Poniatowska in a heartbreaking chronicle. Mexico's leading poet, Octavio Paz, who resigned in protest as Ambassador to India, sets the historic context before Poniatowska launches into her reporting, a massive chronicle that builds to the night of the Tlatelolco massacre in an accumulation of skillfully crosscut eyewitness accounts by surviving students, parents, iournalists, professors, priests, police, soldiers, shocked bystanders. Helen Lane's idiomatic translation is superb. . ."" —<i>Publishers Weekly</i>"
244996,7469,Chuang-Tzu,8478443657,9788478443659,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367638292l/244996._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367638292l/244996._SX50_.jpg,1998,5,,,Siruela,false,49575648,115,7508,8617,1973,118,5:1108|4:555|3:250|2:47|1:13|total:1973,-350,,,4.37,16,3,"['149093', '149093']","['Zhuangzi', 'Zhuangzi']","['4.27', '4.27']",['7469'],['Octavio Paz'],['4.14'],"<p>«En 1957», escribe Octavio Paz, «hice algunas traducciones de breves textos de clásicos chinos. El formidable obstáculo de la lengua no me detuvo y, sin respeto por la filología, traduje del inglés y del francés. Me pareció que esos textos debían traducirse al español no sólo por su belleza –construcciones a un tiempo geométricas y aéreas, fantasías templadas siempre por una sonrisa irónica– sino también porque cada uno de ellos destila, por decirlo así, sabiduría. Me movió un impulso muy natural: compartir el placer que había experimentado al leerlos... Creo que Chuang-Tzu», como los otros poetas que recoge esta breve antología, «no sólo es un filósofo notable sino un gran poeta. Es el maestro de la paradoja y del humor, puentes colgantes entre el concepto y la iluminación sin palabras».</p>"
11707,7469,The Double Flame: Love and Eroticism,0156003651,9780156003650,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332342076l/11707._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332342076l/11707._SY75_.jpg,1996,6,1,eng,Harcourt,false,237343,34,3156,4816,1143,91,5:499|4:434|3:172|2:31|1:7|total:1143,1993,,,4.21,612,30,['7469'],['Octavio Paz'],['4.14'],['88274'],['Helen Lane'],['3.78'],"In this series of essays Octavio Paz explores the intimate connection between sex, eroticism, and love in literature throughout the ages. Rich in scope, The Double Flame examines everything from taboo to repression, Carnival to Lent, Sade to Freud, original sin to artificial intelligence. “Brimming with insight, thoughtfulness, and sincerity” (Kirkus Reviews). Translated by Helen Lane.<br />"
