id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
28008683,6669,Kwiaty zła,8308025315,9788308025315,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448809512l/28008683._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448809512l/28008683._SX50_.jpg,1994,,,pol,Wydawnictwo Literackie,false,2089235,1001,106988,198341,46569,1318,5:23284|4:14789|3:6398|2:1473|1:625|total:46569,1857,6,25,4.26,4,0,['13847'],['Charles Baudelaire'],['4.21'],"['3248883', '14717849', '14717850', '14717851', '1934339', '1380465', '2930254', '14717852', '8444436', '6519686', '4539134', '4465390', '5287494', '1058344', '84259', '3282325', '2917159', '14717853', '14717854', '7017000', '8190846', '3044340', '14717855', '6669', '4633607', '2894496', '14717856', '14717857', '14717858', '14717859', '15092733']","['Zbigniew Bieńkowski', 'Jerzy Brzozowski', 'Stanisław Korab-Brzozowski', 'Bolesław Wieniawa-Długoszowski', 'Wiktor Gomulicki', 'Mieczysław Jastrun', 'Ireneusz Kania', 'Roman Kołoniecki', 'Feliks Konopka', 'Czesław Jastrzębiec-Kozłowski', 'Antoni Lange', 'Maria Leśniewska', 'Jerzy Litwiniuk', 'Tadeusz Lubelski', 'Czesław Miłosz', 'Artur Międzyrzecki', 'Zenon Przesmycki', 'Zofia Trzeszczkowska', 'Jan Opęchowski', 'Bronisława Ostrowska', 'Marian Piechal', 'Seweryn Pollak', 'Włodzmierz Słobodnik', 'Wisława Szymborska', 'Józef Waczków', 'Adam Ważyk', 'Ewa Wende', 'Bohdan Wydżga', 'Marianna Zajączkowska-Abrahamowicz', 'Kazimiera Zawistowska', 'Andrzej   Nowak']","['4.00', '4.20', '4.25', '4.00', '3.03', '4.36', '3.98', '4.07', '3.92', '4.35', '3.23', '3.81', '3.57', '4.02', '4.19', '3.98', '3.83', '3.78', '4.25', '3.97', '4.40', '3.88', '4.25', '4.32', '4.06', '4.00', '4.25', '4.25', '4.25', '3.76', '3.50']","Przekłady wielu współczesnych i dawnych tłumaczy Baudelaire'a, zebrane w tym tomie, składają się na pierwszą po II wojnie światowej kompletną polską edycję ""Kwiatów zła"".<br /><br />Tylko parę zbiorów wierszy zdobyło większą sławę w dziejach światowej liryki: ""Pieśni"" Horacego, ""Sonety do Laury"" Petrarki... Legenda Baudelaire'a ogniskuje w sobie, jak napisał Eliot w 1930 roku, ""najmocniej oddziałujący archetyp poety współczesnej epoki"", na równi z legendą Rimbauda.<br /><br />""Kwiaty zła"" były jednocześnie spóźnioną kulminacją francuskiego romantyzmu i progiem współczesnej wrażliwości poetyckiej. W najszerszym odbiorze aż do końca ubiegłego wieku słynne były jednak z powodów ubocznych: towarzyszyła im aura skandalu, pamiętano o procesie sądowym, okaleczającym dzieło na długie lata.<br /><br />Dzisiaj o sile oddziaływania tej poezji nie przesądzają już jej bluźniercze akcenty i czarny erotyzm. Baudelaire wcześnie przeczuł naszą epokę: czyż jego poczucie grzechu pierworodnego, świadomość zawieszenia w bezmiarze ułomnego świata nie ma w istocie tych samych korzeni co ""poczucie tragiczności życia"" Unamuna, ""la nausée"" Sartre'a, ""życie w niewygodzie"" Camusa?"
10203,6669,View With a Grain of Sand: Selected Poems,0156002167,9780156002165,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,5,26,eng,Mariner Books,false,12929,16,10648,16995,3921,261,5:2121|4:1200|3:438|2:114|1:48|total:3921,1995,,,4.33,3517,215,['6669'],['Wisława Szymborska'],['4.32'],"['22578', '90800']","['Stanisław Barańczak', 'Clare Cavanagh']","['4.12', '4.34']","In these one-hundred poems Wisława Szymborska portrays a world of astonishing diversity and richness, in which nature is wise and prodigal and fate unpredictable, if not mischevious. With acute irony tempered by a generous curiousity, she documents life's improbability as well as its transient beauty."
10205,6669,Poems New and Collected,0156011468,9780156011464,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327732968l/10205._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327732968l/10205._SY75_.jpg,2000,11,16,eng,Mariner Books,false,12930,9,6351,12258,2768,142,5:1583|4:868|3:259|2:36|1:22|total:2768,1998,1,1,4.43,2588,121,['6669'],['Wisława Szymborska'],['4.32'],['90800'],['Clare Cavanagh'],['4.34'],"Described by Robert Hass as ""unquestionably one of the great living European poets"" and by Charles Simic as ""one of the finest poets living today,"" Szymborska mesmerizes her readers with poetry that captivates their minds and captures their hearts. This is the book that her many fans have been anxiously awaiting - the definitive, complete collection of poetry by the Nobel Prize-winning poet, including 164 poems in all, as well as the full text of her Nobel acceptance speech of December 7, 1996, in Stockholm. Beautifully translated by Stanislaw Bara«nczak and Clare Cavanagh, who won a 1996 PEN Translation Prize for their work, this volume is a must-have for all readers of poetry.<br />"
7929177,6669,Here,054736461X,9780547364612,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,10,26,eng,Houghton Mifflin Harcourt,false,11250053,22,2726,5525,1302,151,5:586|4:497|3:178|2:32|1:9|total:1302,2009,1,1,4.24,859,92,['6669'],['Wisława Szymborska'],['4.32'],"['22578', '90800']","['Stanisław Barańczak', 'Clare Cavanagh']","['4.12', '4.34']","An exciting collection of poems by Wislawa Szymborska. When <i>Here</i> was published in Poland, reviewers marveled, “How is it that she keeps getting better?” These twenty-seven poems, as rendered by prize-winning translators Clare Cavanagh and Stanislaw Baranczak, are among her greatest work. Whether writing about her teenage self, microscopic creatures, or the upsides to living on Earth, she remains a virtuoso of form, line, and thought. <br /><br />From the title poem: <br /><br />I can’t speak for elsewhere, <br />but here on Earth we’ve got a fair supply of everything. <br />Here we manufacture chairs and sorrows, <br />scissors, tenderness, transistors, violins, teacups, dams, and quips . . . <br /><br />Like nowhere else, or almost nowhere, <br />you’re given your own torso here, <br />equipped with the accessories required <br />for adding your own children to the rest. <br />Not to mention arms, legs, and astonished head. <br /><br /><br /><br /><br /><br /><br /><br /><br />"
3064481,6669,Chwila,8324002278,9788324002276,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,1,,pol,Znak,false,3095462,17,875,2367,545,50,5:277|4:184|3:79|2:4|1:1|total:545,2002,,,4.34,343,11,['6669'],['Wisława Szymborska'],['4.32'],[],[],[],"Wisława Szymborska jak wiadomo nie rozpieszcza swoich czytelników i wielbicieli. Na nowy tomik kazała im czekać aż dziewięć lat, ukazuje się on w sześć lat po Nagrodzie Nobla i żeby skończyć z arytmetyką liczy dwadzieścia trzy wiersze. Tym większym wszakże jest wydarzeniem: każdy z utworów, który wytrzymał proces wielokrotnej destylacji i surową krytyczną selekcję, jest krystalicznie czystym, precyzyjnym i zwartym minitraktatem: filozoficznym, metafizycznym, egzystencjalnym, mówi o sprawach najważniejszych w sposób skłaniający do odkrywczych medytacji i przemyśleń."
10208,6669,Miracle Fair: Selected Poems,0393323854,9780393323856,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362957171l/10208._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362957171l/10208._SX50_.jpg,2002,11,17,eng,W. W. Norton  Company,false,949474,4,1531,2367,534,50,5:316|4:152|3:52|2:9|1:5|total:534,2001,5,1,4.43,488,47,"['6669', '84259']","['Wisława Szymborska', 'Czesław Miłosz']","['4.32', '4.19']",['3854368'],['Joanna Trzeciak'],['4.43'],"Winner of the Heldt Prize for Translation. A new translation of the Nobel Prize-winning Polish poet, with an introduction by Czeslaw Milosz. This long-awaited volume samples the full range of Wislawa Szymborska's major themes: the ironies of love, the wonders of nature's beauty, and the illusory character of art. Szymborska's voice emerges as that of a gentle subversive, self-deprecating in its wit, yet graced with a gift for coaxing the extraordinary out of the ordinary."
134145,6669,People on a Bridge,0948259701,9780948259708,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,12,31,,Dufour Editions,false,129234,9,1107,2201,532,59,5:207|4:210|3:98|2:15|1:2|total:532,1986,,,4.14,278,23,['6669'],['Wisława Szymborska'],['4.32'],['77385'],['Adam Czerniawski'],['4.08'],"Dufour Editions, an independent publisher and distributor for more than forty years, has an established reputation as a fine literary house. International poetry has always been outstanding in the list, which initially began with some of Thomas Kinsella's and John Montague's first books from the prestigious Dolmen Press.Since those early days, the complete poetry list has grown to include prize-winning poets from twenty-nine countries. Many of the poets have toured and been interviewed in the U.S. Some are Nobel Prize winners. This catalog introduces some highly regarded poets from publishers whose lists are being distributed in the U.S. and Canada for the first time.<br /><br />The rewards in publishing poetry are sometimes sublime, as opposed to commercial, but reader response over the years has justified our commitment. The strength of the list is evidenced on this page, on which we salute recent prize-winners whose books are currently being read throughout the world."
10800181,6669,النهاية والبداية وقصائد أخرى,,9782843051043,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426376591l/10800181._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426376591l/10800181._SX50_.jpg,1998,,,ara,دار المدى للثقافة و النشر - المجمع الثقافي بأبو ظبي,false,15713090,19,1310,1948,489,108,5:164|4:196|3:91|2:33|1:5|total:489,1993,,,3.98,258,86,"['6669', '4716314', '5288579']","['Wisława Szymborska', 'فيسوافا شيمبورسكا', 'هاتف الجنابي']","['4.32', '3.76', '3.56']",[],[],[],
9712751,6669,La gioia di scrivere. Tutte le poesie (1945-2009),8845924009,9788845924002,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327679763l/9712751._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327679763l/9712751._SY75_.jpg,2009,,,ita,Adelphi,false,14601270,1,1142,1833,398,31,5:272|4:101|3:20|2:4|1:1|total:398,,,,4.61,398,31,"['6669', '4826119']","['Wisława Szymborska', 'Pietro Marchesani']","['4.32', '4.36']",['5819751'],['Laura Rescio'],['4.48'],"Nell'arco di poco più di un decennio - da quel non troppo lontano 1996 in cui fu insignita del Premio Nobel per la letteratura - Wislawa Szymborska è diventata un autore di culto anche in Italia. Né questo vasto successo deve meravigliare. Grazie a un'impavida sicurezza di tocco, la Szymborska sa infatti affrontare temi proibiti perché troppo battuti - l'amore, la morte e la vita in genere, anche e soprattutto nelle sue manifestazioni più irrilevanti - e trasformarli in versi di colloquiale naturalezza e (ingannevole) semplicità. Il volume raduna l'intera produzione poetica della Szymborska, inclusa la recentissima raccolta ""Qui"", apparsa in Polonia nel 2009."
12902036,6669,Poemas,8535919570,9788535919578,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318893178l/12902036._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318893178l/12902036._SX50_.jpg,2011,,,por,Companhia das Letras,false,18056391,6,663,1748,377,25,5:261|4:98|3:16|2:1|1:1|total:377,1989,1,1,4.64,357,23,"['6669', '7905385']","['Wisława Szymborska', 'Regina Przybycien']","['4.32', '4.63']",[],[],[],"Aos 88 anos, Wislawa Szymborska vive desde menina em Cracóvia, cidade situada às margens do Vístula, no sul da Polônia. O fato de ter permanecido a vida inteira no mesmo lugar diz muito sobre essa poeta conhecida por sua reserva e extrema timidez. Contudo, embora os fatos de sua vida tenham permanecido privados, quase secretos, seus poemas viajam pelo mundo. Não são tantos: sua obra inteira consiste em cerca de 250 poemas cuja função, como declarou a poeta no discurso de Oslo, é perguntar, buscar o sentido das coisas.<br />Com sua poesia indagadora, Szymborska foi chamada “poeta filosófica”, ou “poeta da consciência do ser”. No Brasil, teve poemas esparsos publicados em jornais e revistas ao longo dos anos, mas esta edição da Companhia das Letras, com seleção, introdução e tradução de Regina Przybycien, é a primeira oportunidade que tem o leitor brasileiro de lê-la em português. A coletânea de 44 poemas é uma belíssima apresentação à obra dessa importante poeta contemporânea."
134142,6669,Monologue of a Dog,0151012202,9780151012206,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876792l/134142._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876792l/134142._SY75_.jpg,2005,11,1,eng,Houghton Mifflin,false,129231,3,1029,1738,406,58,5:182|4:169|3:45|2:7|1:3|total:406,2005,11,7,4.28,397,57,"['6669', '438']","['Wisława Szymborska', 'Billy Collins']","['4.32', '4.16']","['22578', '90800']","['Stanisław Barańczak', 'Clare Cavanagh']","['4.12', '4.34']","<div>From a writer whom Charles Simic calls ""one of the finest poets living"" comes a collection of witty, compassionate, contemplative, and always surprising poems. Szymborska writes with verve about everything from love unremembered to keys mislaid in the grass. The poems will appear, for the first time, side by side with the Polish originals, in a book to delight new and old readers alike.<br /><br />EVERYTHING<br />Everything-<br />a bumptious, stuck-up word.<br />It should be written in quotes.<br />It pretends to miss nothing,<br />to gather, hold, contain, and have.<br />While all the while it's just<br />a shred of a gale.<br /><br /></div>"
