id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
7215394,1285555,Ana Karenine,8497896343,9788497896344,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260983231l/7215394._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260983231l/7215394._SY75_.jpg,2004,,,por,Mediasat Group,false,2507928,2186,299390,2574216,635690,22732,5:263104|4:208400|3:113137|2:34636|1:16413|total:635690,1877,,,4.05,54,5,['128382'],['Leo Tolstoy'],['4.06'],['1285555'],['José Saramago'],['4.02'],"Publicado entre 1875 e 1877, ""Ana Karenine"" é um dos melhores romances psicológicos de literatura moderna e um excelente exemplo do Realismo. Nele é-nos oferecido um exaustivo retrato da sociedade russa do sec XIX. Um ambiente rígido e conservador, o corte com as normas estabelecidas é sempre encoberto com grandes doses de hipocrisia. Assim, o amor adulto que Ana, uma bela e apaixonada aristrocata, sente pelo jovem Conde Alejo Wronsky, terá que ser escondido da sociedade conservadora da época. A história, localizada no tempo dos czares de grandes desigualdades sociais, descreve um terrível drama doméstico no qual o amor se desenrola sujeito ás regras que uma sociedade antiquada estabelece para os seus membros. Assim, Alejo Alejandrovitch, o marido de Ana, tratará de a impedir por todos os meios que esta rompa o seu matrimónio e se case novamente, obrigando-a a viver a sua relação em segredo, pois prefere ser infeliz deste modo a enfrentar o rude golpe que provocaria uma separação entre os seus contemporâneos. Os pensamentos mais íntimos das personagens e a luta interna conm que Ana se debate, entre obedecer ao seu coração ou à sua cabeça, aproximam-nos do seu dilema pessoal e reflectem os valores morais e sociais que regiam a antiga Rússia e que, mesmo hoje em dia, se podem considerar actuais. Não obstante, o problema suscitado em Ana Karenine, e que converteu a sua heroína numa personagem-chave da literatura universal, foi em grande parte superado pela sociedade moderna mais liberal."
172492,1285555,Don Quijote de la Mancha (Edición para secundaria),9587043111,9789587043112,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365961202l/172492._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365961202l/172492._SX50_.jpg,2005,4,1,,Alfaguara,false,121842,728,522480,768565,198344,7545,5:68345|4:63020|3:46456|2:14869|1:5654|total:198344,1615,,,3.87,37,0,"['4037220', '100564', '1285555']","['Miguel de Cervantes Saavedra', 'Milagros Rodríguez Cáceres', 'José Saramago']","['3.87', '4.25', '4.02']",[],[],[],"El objetivo de esta edición es, por una parte, servir de iniciación a aquellos que se acercan por primera vez a esta monumental novela mediante la unión de pasajes. Y por otro lado, ayudar al lector de Secundaria y Bachillerato a entenderlo mejor, gracias a sus notas al pie y a un anexo sobre la obra, Cervantes y su tiempo, opiniones sobre el Quijote, un cuadro cronológico y una cuidada bibliografía. <br />"
40495148,1285555,Blindness,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528481068l/40495148._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528481068l/40495148._SY75_.jpg,2013,8,23,eng,Mariner Books,true,3213039,287,370304,766834,185991,15166,5:79535|4:65889|3:28210|2:8616|1:3741|total:185991,1995,,,4.12,13924,817,['1285555'],['José Saramago'],['4.02'],[],[],[],"<b>From Nobel Prize–winning author José Saramago, a magnificent, mesmerizing parable of loss</b><br /><br />A city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations, and assaulting women. There is one eyewitness to this nightmare who guides her charges—among them a boy with no mother, a girl with dark glasses, a dog of tears—through the barren streets, and their procession becomes as uncanny as the surroundings are harrowing. As <i>Blindness</i> reclaims the age-old story of a plague, it evokes the vivid and trembling horrors of the twentieth century, leaving readers with a powerful vision of the human spirit that's bound both by weakness and exhilarating strength."
3018539,1285555,Death with Interruptions,0151012741,9780151012749,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327937800l/3018539._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327937800l/3018539._SY75_.jpg,2008,10,1,eng,Houghton Mifflin,false,317973,132,75651,134363,33580,3536,5:11697|4:13060|3:6555|2:1705|1:563|total:33580,2008,,,4.00,16325,1301,['1285555'],['José Saramago'],['4.02'],['24758'],['Margaret Jull Costa'],['3.74'],"Nobel Prize-winner Jose Saramago's brilliant new novel poses the question what happens when the grim reaper decides there will be no more death? On the first day of the new year, no one dies. This, of course, causes consternation among politicians, religious leaders, morticians, and doctors. Among the general public, on the other hand, there is initially mass celebration. Flags are hung out on balconies; people dance in the streets. They have achieved the great goal of humanity: eternal life. Then reality hits home—families are left to care for the permanently dying; life-insurance policies become meaningless; and funeral parlors are reduced to arranging burials for pet dogs, cats, hamsters, and parrots. <br /><br />Death sits in her chilly apartment, where she lives alone with scythe and filing cabinets and contemplates her experiment: What if no one ever died again? What if she, death with a small ""d,"" became human and were to fall in love?"
28859,1285555,The Gospel According to Jesus Christ,186046095X,9781860460951,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519393758l/28859._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519393758l/28859._SY75_.jpg,1999,12,26,eng,Harvill Press,false,2338253,153,49555,98095,22867,1392,5:11602|4:7414|3:2978|2:622|1:251|total:22867,1991,,,4.29,14128,540,['1285555'],['José Saramago'],['4.02'],['1739'],['Giovanni Pontiero'],['4.10'],"This is a skeptic' s journey into the meaning of God and of human existence. At once an ironic rendering of the life of Christ and a beautiful novel, Saramago' s tale has sparked intense discussion about the meaning of Christianity and the Church as an institution. Translated by Giovanni Pontiero.<br />"
36124230,1285555,Uroens bok,8252543782,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503697284l/36124230._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503697284l/36124230._SX50_.jpg,2004,,,nor,De Norske Bokklubbene AS,false,983806,38,56021,87727,19684,1887,5:12521|4:4676|3:1695|2:541|1:251|total:19684,1982,6,,4.46,0,0,"['7816', '1285555']","['Fernando Pessoa', 'José Saramago']","['4.25', '4.02']",['2872135'],['Christian Rugstad'],['3.84'],"Uroens bok åpner med en henvendelse til leseren der en sørgmodig forteller benekter at han har noe å si oss: ""Jeg gir deg denne boken fordi den er vakker og verdiløs. (...) Jeg har lagt hele min sjel i denne boken, skjønt jeg tenkte ikke på den mens jeg skrev, bare på meg som er trist og deg som er ingen."" Likevel har denne melankolikeren Bernardo Soares valgt å tale til oss gjennom 425 fragmenter som brer seg over 450 sider i en manisk, feberhet og poetisk monolog. Selvopptatt, og samtidig selvutslettende, utforsker fortelleren sitt sjelsliv, sin hverdag på kontoret, sin lengsel etter kjærlighet, men også sin redsel for kjødet og verden utenfor vinduet. Hovedpersonen i Uroens bok har vendt seg vekk fra samfunnet og bekjent seg fullt og helt til litteraturen. Har vi så noe å lære av en innadvendt, selvopptatt kontorist?"
7011225,1285555,Caim,972212076X,9789722120760,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408538386l/7011225._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408538386l/7011225._SY75_.jpg,2009,10,19,por,Editorial Caminho,false,7256442,104,33365,74115,18854,1715,5:5726|4:7649|3:4208|2:994|1:277|total:18854,2009,10,18,3.93,9687,453,['1285555'],['José Saramago'],['4.02'],[],[],[],"Neste novo romance, o vencedor do prêmio Nobel José Saramago reconta episódios bíblicos do Velho Testamento sob o ponto de vista de Caim, que, depois de assassinar seu irmão, trava um incomum acordo com deus e parte numa jornada que o levará do jardim do Éden aos mais recônditos confins da criação.<br />Se, em O Evangelho segundo Jesus Cristo, José Saramago nos deu sua visão do Novo Testamento, neste Caim ele se volta aos primeiros livros da Bíblia, do Éden ao dilúvio, imprimindo ao Antigo Testamento a música e o humor refinado que marcam sua obra. Num itinerário heterodoxo, Saramago percorre cidades decadentes e estábulos, palácios de tiranos e campos de batalha, conforme o leitor acompanha uma guerra secular, e de certo modo involuntária, entre criador e criatura. No trajeto, o leitor revisitará episódios bíblicos conhecidos, mas sob uma perspectiva inteiramente diferente.<br />Para atravessar esse caminho árido, um deus às turras com a própria administração colocará Caim, assassino do irmão Abel e primogênito de Adão e Eva, num altivo jegue, e caberá à dupla encontrar o rumo entre as armadilhas do tempo que insistem em atraí-los. A Caim, que leva a marca do senhor na testa e portanto está protegido das iniquidades do homem, resta aceitar o destino amargo e compactuar com o criador, a quem não reserva o melhor dos julgamentos. Tal como o diabo de O Evangelho, o deus que o leitor encontra aqui não é o habitual dos sermões: ao reinventar o Antigo Testamento, Saramago recria também seus principais protagonistas, dando a eles uma roupagem ao mesmo tempo complexa e irônica, cujo tom de farsa da narrativa só faz por acentuar."
47667,1285555,Seeing,0156032732,9780156032735,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,4,9,eng,Mariner Books,false,1090709,118,41295,66761,17524,1533,5:4674|4:6813|3:4441|2:1220|1:376|total:17524,2004,3,,3.81,9039,655,"['1285555', '24758']","['José Saramago', 'Margaret Jull Costa']","['4.02', '3.74']",[],[],[],"On election day in the capital, it is raining so hard that no one has bothered to go out to vote. The politicians are growing jittery. Should they reschedule the elections for another day? Around three o' clock, the rain finally stops. Promptly at four, voters rush to the polling stations, as if they had been ordered to appear.<br /><br />But when the ballots are counted, more than 70 percent are blank. The citizens are rebellious. A state of emergency is declared. But are the authorities acting too precipitously? Or even blindly? The word evokes terrible memories of the plague of blindness that hit the city four years before, and of the one woman who kept her sight. Could she be behind the blank ballots? A police superintendent is put on the case.<br /><br />What begins as a satire on governments and the sometimes dubious efficacy of the democratic system turns into something far more sinister. A singular novel from the author of Blindness."
2528,1285555,All the Names,0156010593,9780156010597,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327955213l/2528._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327955213l/2528._SX50_.jpg,2001,10,5,eng,Mariner Books,false,1030699,115,31890,62864,16136,1207,5:4722|4:6412|3:3849|2:906|1:247|total:16136,1997,,,3.90,11146,747,['1285555'],['José Saramago'],['4.02'],['24758'],['Margaret Jull Costa'],['3.74'],"Senhor José is a low-grade clerk in the city's Central Registry, where the living and the dead share the same shelf space. A middle-aged bachelor, he has no interest in anything beyond the certificates of birth, marriage, divorce, and death, that are his daily routine. But one day, when he comes across the records of an anonymous young woman, something happens to him. Obsessed, Senhor José sets off to follow the thread that may lead him to the woman-but as he gets closer, he discovers more about her, and about himself, than he would ever have wished.<br /><br />The loneliness of people's lives, the effects of chance, the discovery of love-all coalesce in this extraordinary novel that displays the power and art of José Saramago in brilliant form.<br /><br />"
2530,1285555,Baltasar and Blimunda,0156005204,9780156005203,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483229660l/2530._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483229660l/2530._SX50_.jpg,1998,10,16,eng,Mariner Books,false,1517,132,27148,59449,15143,751,5:5091|4:5526|3:3190|2:984|1:352|total:15143,1982,,,3.93,6269,289,['1285555'],['José Saramago'],['4.02'],['1739'],['Giovanni Pontiero'],['4.10'],"From the recipient of the 1998 Nobel Prize in Literature, a “brilliant...enchanting novel” (New York Times Book Review) of romance, deceit, religion, and magic set in eighteenth-century Portugal at the height of the Inquisition. National bestseller. Translated by Giovanni Pontiero.<br /><br />When King and Church exercise absolute power what happens to the dreams of ordinary people? In early eighteenth century Lisbon, Baltasar, a soldier who has lost a hand in battle, falls in love with Blimunda, a young girl with strange visionary powers. From the day that he follows her home from the auto-da-fe where her mother is condemned and sent into exile, the two are bound body and soul by a love of unassailable strength. A third party shares their supper that evening: Padre Bartolemeu Lourenço, whose fantasy is to invent a flying machine. As the inquisition rages and royalty and religion clash, they pursue his impossible, not to mention heretical, dream of flight."
54120,1285555,The Double,0151010404,9780151010400,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876706l/54120._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876706l/54120._SY75_.jpg,2004,10,4,eng,Houghton Mifflin Harcourt,false,895682,107,31673,54801,14057,1127,5:4013|4:5799|3:3264|2:767|1:214|total:14057,2002,,,3.90,7817,509,['1285555'],['José Saramago'],['4.02'],['24758'],['Margaret Jull Costa'],['3.74'],"Tertuliano Maximo Afonso is a history teacher in a secondary school. He is divorced, involved in a rather one-sided relationship with a bank clerk, and he is depressed. To lift his depression, a colleague suggests he rent a certain video. Tertuliano watches the film and is unimpressed. During the night, noises in his apartment wake him. He goes into the living room to find that the VCR is replaying the video, and as he watches in astonishment, he sees an actor who looks exactly like him - or, more specifically, exactly like the man he was five years before, moustachioed and fuller in the face. He sleeps badly.<br /><br />Against his own better judgement, Tertuliano decides to pursue his double. As he establishes the man's identity, what begins as a whimsical story becomes a dark meditation on identity and, perhaps, on the crass assumptions behind cloning - that we are merely our outward appearance rather than the sum of our experiences."
