id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
7624502,749461,1984,3763228551,9783763228553,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340109498l/7624502._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340109498l/7624502._SY75_.jpg,,,,ger,Büchergilde Gutenberg,false,153313,1485,4597605,12303187,2942180,65096,5:1373395|4:964597|3:429393|2:114850|1:59945|total:2942180,1949,6,8,4.18,56,0,"['3706', '410686', '749461', '7182211', '8788', '101894']","['George Orwell', 'Iring Fetscher', 'Günter Grass', 'Adolf Muschg', 'Erich Fromm', 'Heinz Ludwig Arnold']","['4.07', '3.92', '3.83', '3.38', '4.09', '3.90']",[],[],[],"Among the seminal texts of the 20th century, <i>Nineteen Eighty-Four</i> is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmare vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life--the ubiquity of television, the distortion of the language--and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written."
35743,749461,The Tin Drum,0099483505,9780099483502,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327945103l/35743._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327945103l/35743._SY75_.jpg,2005,,,eng,Vintage,false,922581,245,72837,148249,37458,1683,5:14141|4:12601|3:6939|2:2546|1:1231|total:37458,1959,,,3.96,29655,942,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],On his third birthday Oskar decides to stop growing. Haunted by the deaths of his parents and wielding his tin drum Oskar recounts the events of his extraordinary life; from the long nightmare of the Nazi era to his anarchic adventures in post-war Germany.
17833469,749461,Berlín Alexanderplatz,8490065098,9788490065099,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366482002l/17833469._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366482002l/17833469._SY75_.jpg,2013,3,15,spa,RBA Libros,false,1473268,133,23658,25919,6735,417,5:2270|4:2240|3:1439|2:506|1:280|total:6735,1929,,,3.85,16,4,"['45706', '3296562', '749461']","['Alfred Döblin', 'Miguel Sáenz', 'Günter Grass']","['3.82', '4.21', '3.83']",[],[],[],"Siguiendo el sinuoso deambular de Franz Biberkopf, un ex convicto decidido a rehabilitarse y a llevar una vida honrada, por el bullicioso Berlín de entreguerras, el lector se adentrará en el mapa moral y geográfico de la ciudad en los años previos a la llegada al poder del Partido Nazi. En esta ambiciosa novela, se ofrece una visión de la realidad descompuesta en diversos planos que se reflejan aquí en un relato casi naturalista donde muchas veces la voz del narrador omnisciente se confunde con la del protagonista y se insertan en ella, literalmente, fragmentos de la vida real, como anuncios, folletos publicitarios, canciones de moda o cartas reales.<br /><br /><b>Berlín Alexanderplatz</b> concentra la asfixiante atmósfera de la Alemania que precedió al nazismo y constituye una imaginativa e inteligente parábola sobre la alienación del hombre y la angustia con la que se enfrenta a las grandes urbes."
46285,749461,Cat and Mouse,0749394803,9780749394806,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328697700l/46285._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328697700l/46285._SY75_.jpg,1997,,,,Vintage,false,1063118,118,10697,18079,5110,269,5:915|4:1817|3:1664|2:530|1:184|total:5110,1961,,,3.54,3361,138,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],"<i>An alternate cover for this isbn can be found <a href=""https://www.goodreads.com/book/show/33948566-cat-and-mouse"" rel=""nofollow"">here</a>.</i><br /><br />To compensate for his unusually large Adam’s apple—source of both discomfort and distress—fourteen year old Joachim Mahlke turns himself into athlete and ace diver. Soon he is known to his peers and his nation as “The Great Mahlke”. But to his enemies, he remains a target. He is different and doomed in a country scarred by the war.<br /><br /><i>Cat and Mouse </i>was first published in 1961, two years after Gunter Grass’ controversial and applauded masterpiece, <i>The Tin Drum</i>. Once again Grass turns his attention on Danzig. With a subtle blend of humour and power, <i>Cat and Mouse </i>ostensibly relates the rise of Mahlke from clown to hero. But Mahlke’s outlandish antics hide the darkness at the heart of a nation torn by Nazi violence, the war, and its aftermath."
24077,749461,Crabwalk,0156029707,9780156029704,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328874815l/24077._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328874815l/24077._SY75_.jpg,2004,4,5,,Mariner Books,false,1319913,65,5832,10318,2931,187,5:585|4:969|3:901|2:338|1:138|total:2931,2002,4,1,3.52,1794,101,['749461'],['Günter Grass'],['3.83'],['15736'],['Krishna Winston'],['3.73'],"Günter Grass has been wrestling with Germany's past for decades now, but no book since <i>The Tin Drum</i> has generated as much excitement as this engrossing account of the sinking of the <i>Wilhelm Gustloff</i>. A German cruise ship turned refugee carrier, it was attacked by a Soviet submarine in January 1945. Some 9,000 people went down in the Baltic Sea, making it the deadliest maritime disaster of all time. <br />Born to an unwed mother on a lifeboat the night of the attack, Paul Pokriefke is a middle-aged journalist trying to piece together the tragic events. While his mother sees her whole existence in terms of that calamitous moment, Paul wishes their life could have been less touched by the past. For his teenage son, who dabbles in the dark, far-right corners of the Internet, the <i>Gustloff</i> embodies the denial of Germany's wartime suffering. <br />""Scuttling backward to move forward,"" <i>Crabwalk</i> is at once a captivating tale of a tragedy at sea and a fearless examination of the ways different generations of Germans now view their past.<br /><br />Winner of the Nobel Prize<br />"
35740,749461,Peeling the Onion,0151014779,9780151014774,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876844l/35740._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876844l/35740._SY75_.jpg,2007,6,25,,Houghton Mifflin Harcourt,false,736274,61,4079,5939,1558,165,5:424|4:597|3:392|2:110|1:35|total:1558,2006,,,3.81,974,101,['749461'],['Günter Grass'],['3.83'],['66349'],['Michael Henry Heim'],['3.96'],"In this extraordinary memoir, Nobel Prize-winning author Gunter Grass remembers his early life, from his boyhood in a cramped two-room apartment in Danzig through the late 1950s, when <i>The Tin Drum</i> was published. <br /><br />During the Second World War, Grass volunteered for the submarine corps at the age of fifteen but was rejected; two years later, in 1944, he was instead drafted into the Waffen-SS. Taken prisoner by American forces as he was recovering from shrapnel wounds, he spent the final weeks of the war in an American POW camp. After the war, Grass resolved to become an artist and moved with his first wife to Paris, where he began to write the novel that would make him famous.<br /><br />Full of the bravado of youth, the rubble of postwar Germany, the thrill of wild love affairs, and the exhilaration of Paris in the early fifties, <i>Peeling the Onion</i> -- which caused great controversy when it was published in Germany -- reveals Grass at his most intimate."
214993,749461,Dog Years,015626112X,9780156261128,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1989,10,16,eng,Mariner Books,false,1164945,62,5090,5663,1479,81,5:467|4:527|3:327|2:81|1:77|total:1479,1963,,,3.83,1213,54,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],"A novel set in three parts, beginning in the 1920s and ending in the 1950s, that follows the lives of two friends from the prewar years in Germany through an apocalyptic period and its startling aftermath. Translated by Ralph Manheim. A Helen and Kurt Wolff Book<br />"
775155,749461,The Flounder,0156319357,9780156319355,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382942559l/775155._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382942559l/775155._SX50_.jpg,1989,,,,Mariner,false,1420991,60,3722,5351,1417,85,5:443|4:466|3:314|2:136|1:58|total:1417,1977,,,3.78,1082,61,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],"It all begins in the Stone Age, when a talking fish is caught by a fisherman at the very spot where millennia later Grass's home town, Danzig, will arise. Like the fish, the fisherman is immortal, and down through the ages they move together. As Grass blends his ingredients into a powerful brew, he shows himself at the peak of his linguistic inventiveness. Translated by Ralph Manheim. A Helen and Kurt Wolff Book<br />"
35738,749461,My Century,0571203124,9780571203123,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,,,eng,Faber & Faber,false,833531,65,3054,4713,1359,105,5:215|4:437|3:507|2:169|1:31|total:1359,1999,,,3.47,799,52,['749461'],['Günter Grass'],['3.83'],['66349'],['Michael Henry Heim'],['3.96'],"In negenennegentig verhalen geeft Günter Grass (1927) een beeld van deze eeuw, van 1900 tot 1999. Over elk jaar geeft de ik-figuur een verslag van of commentaar op kleine en grote gebeurtenissen van deze eeuw, beschrijvingen van belangrijke en onbelangrijke personen. Het boek is geen roman (zoals Geert Mak, 'De eeuw van mijn vader') maar een verhalenbundel, met afzonderlijke ooggetuigenverslagen over elk jaar. De lezer krijgt een buitengewoon boeiend en afwisselend beeld van de twintigste eeuw. Zeer goed te lezen, prima vertaald door Jan Gielkens en mooi uitgevoerd.<br /><br />MIJN EEUW is een boek vol verhalen, negenennegentig om precies te zijn: negenennegentig verhalen over de negenennegentig afgelopen jaren van de ten einde lopende eeuw. Door de ogen van telkens weer andere mensen vertelt Günter Grass over grote gebeurtenissen en ogenschijnlijke onbenulligheden, over technische uitvindingen en wetenschappelijke ontdekkingen, sportieve en culturele prestaties, grootheidswaan, vervolging en moord, oorlog en catastrofen, en over telkens weer een nieuw begin. Met elkaar leveren deze verhalen een levendig en verrassend afgerond beeld op van deze gruwelijke, fantastische eeuw."
23129858,749461,City Lights Pocket Poets Anthology,0872866793,9780872866799,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413517342l/23129858._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413517342l/23129858._SX50_.jpg,2015,6,30,eng,City Lights Publishers,false,343531,3,1812,3000,721,49,5:310|4:250|3:134|2:21|1:6|total:721,1995,,,4.16,51,12,"['29970', '54952', '105076', '4026', '44150', '34610', '130267', '4261', '232241', '36915', '15435', '150560', '107564', '229453', '86816', '5598142', '1200713', '209633', '749461', '17384', '128195', '151220', '3176907', '24320', '18436935', '17439', '80892', '329405', '422595', '709603', '70675', '3253', '5424911']","['Lawrence Ferlinghetti', 'Rafael Alberti', 'Nicolás Guillén', 'Pablo Neruda', 'Federico García Lorca', 'Antonio Machado', 'Kenneth Patchen', 'Allen Ginsberg', 'Marie Ponsot', 'Denise Levertov', 'William Carlos Williams', 'Gregory Corso', 'Jacques Prévert', 'Robert Duncan', 'Paul Celan', 'Helmut Heißenbüttel', 'Walter Höllerer', 'Heinz Piontek', 'Günter Grass', 'Hans Magnus Enzensberger', 'Nicanor Parra', 'Robert Nichols', 'Andrei Voznesensky', 'Yevgeny Yevtushenko', 'Semyon Kirsanov', 'Malcolm Lowry', ""Frank O'Hara"", 'Philip Lamantia', 'Bob Kaufman', 'Janine Pommy-Vega', 'Charles Upton', 'Pablo Picasso', 'Robert Bly']","['4.16', '3.79', '3.99', '4.31', '3.98', '4.05', '4.26', '4.04', '4.21', '4.13', '4.13', '4.06', '4.21', '4.20', '4.34', '4.04', '4.02', '4.00', '3.83', '4.08', '4.26', '4.12', '4.14', '3.92', '4.08', '3.79', '4.24', '4.18', '4.17', '4.15', '4.17', '4.08', '4.04']",[],[],[],"""Printer's ink is the greatest explosive.""—Lawrence Ferlinghetti<br /><br />Lawrence Ferlinghetti founded the City Lights publishing house sixty years ago in 1955, launching the press with his now legendary Pocket Poets Series. First in the series was <i>Pictures of the Gone World</i>—the only book of his own poems that Ferlinghetti would ever publish at City Lights. Within a year, he had brought out two more volumes, translations by Kenneth Rexroth and then poems by Kenneth Patchen. But it was the success and scandal of number four, <i>Howl &amp; Other Poems</i> by Allen Ginsberg (1956), that put City Lights on the map, positioning the Pocket Poets Series at the forefront of the literary counterculture.<br /><br />A landmark sixtieth anniversary retrospective, this edition is a must-have collection, an invaluable distillation of the energetic, iconoclastic, and still fresh body of work represented in the ongoing series. Ferlinghetti has selected three poems from each of the sixty volumes, including the work of Ginsberg, Jack Kerouac, Gregory Corso, Pier Paolo Pasolini, Andrei Voznesensky, Vladimir Mayakovsky, Julio Cortázar, Frank O'Hara, Marie Ponsot, Denise Levertov, Diane di Prima, Robert Duncan, Phillip Lamantia, Malcolm Lowry, and many more of the Pocket Poets Series innovative, influential, and often groundbreaking American and international poets.<br /><br />Ferlinghetti provides a fresh introduction that looks back at the inspiration for the series, why certain poets were included, and who were the ones that got away. His behind-the-scenes, personal anecdotes provide priceless insights that shed new light on his vision and his editorial practices at a time when the Pocket Poets Series was shaping the contours of poetry's avant-garde."
23123776,749461,Alabardas,,9789720046956,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409334647l/23123776._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409334647l/23123776._SX50_.jpg,2014,9,23,por,Porto Editora e Fundação José Saramago,false,42263627,17,1387,2517,695,100,5:120|4:271|3:240|2:49|1:15|total:695,2014,8,27,3.62,376,46,"['1285555', '749461', '545764', '2010188']","['José Saramago', 'Günter Grass', 'Roberto Saviano', 'Fernando Gómez Aguilera']","['4.02', '3.83', '3.78', '3.62']","['2877802', '2877828']","['Helena Pitta', 'Regina Valente']","['3.86', '3.72']","Aquando do seu falecimento, em 2010, José Saramago deixou escritas trinta páginas daquele que seria o seu próximo romance; trinta páginas onde estava já esboçado o fio argumental, perfilados os dois protagonistas e, sobretudo, colocadas as perguntas que interessavam à sua permanente e comprometida vocação de agitar consciências.<br /><br />Saramago escreve a história de Artur Paz Semedo, um homem fascinado por peças de artilharia, empregado numa fábrica de armamento, que leva a cabo uma investigação na sua própria empresa, incitado pela ex-mulher, uma mulher com carácter, pacifista e inteligente. A evolução do pensamento do protagonista permite-nos refletir sobre o lado mais sujo da política internacional, um mundo de interesses ocultos que subjaz à maior parte dos conflitos bélicos do século xx.<br /><br />Dois outros textos – de Fernando Gómez Aguilera e Roberto Saviano – situam e comentam as últimas palavras do Prémio Nobel português, cuja força as ilustrações de um outro Nobel, Günter Grass, sublinham.1ª ed."
97606,749461,The Rat,015675830X,9780156758307,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382941618l/97606._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382941618l/97606._SY75_.jpg,1989,5,5,,Mariner Books,false,1598774,42,1961,2419,702,43,5:139|4:206|3:226|2:91|1:40|total:702,1986,,,3.45,523,31,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],A female rat engages the narrator in a series of dialogues—convincingly demonstrating to him that the rats will inherit a devastated earth. Dreams alternate with reality in this story within a story within a story. Translated by Ralph Manheim. A Helen and Kurt Wolff Book
