id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
45961,25708,Soul Mountain,0060936231,9780060936235,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,10,23,eng,Harper Perennial,false,45123,81,12793,15053,4198,495,5:1046|4:1342|3:1075|2:495|1:240|total:4198,1989,,,3.59,3360,374,['25708'],['Gao Xingjian'],['3.54'],['194394'],['Mabel Lee'],['3.56'],"In 1983, Chinese playwright, critic, fiction writer, and painter Gao Xingjian was diagnosed with lung cancer and faced imminent death. But six weeks later, a second examination revealed there was no cancer -- he had won ""a reprieve from death."" Faced with a repressive cultural environment and the threat of a spell in a prison farm, Gao fled Beijing and began a journey of 15,000 kilometers into the remote mountains and ancient forests of Sichuan in southwest China. The result of this epic voyage of discovery is <i>Soul Mountain</i>.<br /><br />Bold, lyrical, and prodigious, <i>Soul Mountain</i> probes the human soul with an uncommon directness and candor and delights in the freedom of the imagination to expand the notion of the individual self."
972789,25708,Buying a Fishing Rod for My Grandfather,0060575557,9780060575557,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,2,3,,Harper,false,1147269,46,2374,3856,1192,171,5:131|4:335|3:469|2:197|1:60|total:1192,1989,,,3.23,693,77,['25708'],['Gao Xingjian'],['3.54'],['194394'],['Mabel Lee'],['3.56'],"Novelist, playwright, essayist, and short-story writer Gao Xingjian is that rare breed of artist able to express himself with equal grace in almost any form of literature. In 2000 he was awarded the Nobel Prize in recognition of his astonishing talents. The collection <em>Buying a Fishing Rod for My Grandfather</em> offers this author's own selection and arrangement of his shorter fiction.<br /><br />Written between 1983 and 1990, these beautifully translated stories take as their themes the fragility of love and life, and the haunting power of memory. In ""The Temple"" the narrator's acute and mysterious anxiety overshadows the ""delirious happiness"" of an outing with his new wife on their honeymoon. In ""The Cramp"" a man narrowly escapes drowning in the sea, only to find that no one even noticed his absence. In ""The Accident"" a bus hits a cyclist and, as in stop-action film, the chaotic aftermath gives way to a calm, ordinary street corner with no trace of the previous drama. In the title story the narrator attempts to ""unburden myself of homesickness"" only to find himself lost in a labyrinth of childhood memories. Everywhere in this collection are powerful psychological portraits of characters whose unarticulated hopes and fears betray the never-ending presence of the past in their present lives.<br /><br />Gao Xingjian has shown a mastery of the epic form in his novels <em>Soul Mountain</em> and <em>One Man's Bible.</em> In <em>Buying a Fishing Rod for My Grandfather, </em>he brings the same passion and precision to the short story."
142822,25708,One Man's Bible,0060936266,9780060936266,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,9,16,,Harper Perennial,false,137769,53,2949,3639,986,111,5:244|4:351|3:264|2:96|1:31|total:986,1999,4,,3.69,711,70,['25708'],['Gao Xingjian'],['3.54'],['194394'],['Mabel Lee'],['3.56'],"<b>The Barnes &amp; Noble Review</b><br />Like another Nobel Prize winner, <a href=""http://search.barnesandnoble.com/booksearch/results.asp?author_last=Solzhenitsyn&amp;author_first=Aleksandr&amp;match=exact&amp;options=and"" rel=""nofollow"">Aleksandr Solzhenitsyn</a>, Gao Xingjian, China's leading novelist and playwright, mixes autobiographical details with fictional techniques to create indelible portraits of daily life under a harsh, dehumanizing political regime. In <i>One Man's Bible,</i> Gao gives us a profound meditation on a life marked by personal and political trauma.<p> <br />The nameless narrator of the novel -- which begins in contemporary Hong Kong -- is clearly Gao himself. In the intimate aftermath of a sexual encounter, Gao revisits the central moments of his life, traveling, in memory, to the Beijing of his childhood, a childhood scarred at the age of ten by his mother's accidental drowning. From emblematic moments like this, Gao's memory ranges across time and space, gradually illuminating the nature of life before, during, and after China's disastrous Cultural Revolution.</p><p> Gao Xingjian is one of the most eloquent, authoritative voices of 20th-century China, and his personal, political, and aesthetic musings shine a light on a world that very few Westerners have ever truly understood. Ultimately, through his honesty and his artistry, Gao locates the common ground connecting us all in this memorable, universal novel about ""the perplexities of being human."" <br /><i>Bill Sheehan</i></p>"
487981,25708,The Columbia Anthology of Modern Chinese Literature,0231138415,9780231138413,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,1,1,eng,Columbia University Press,false,476254,5,400,446,105,6,5:46|4:42|3:14|2:3|1:0|total:105,1995,,,4.25,90,6,"['1351345', '203371', '5773912', '589037', '7509399', '4669112', '272559', '5773913', '5346250', '4449191', '1795259', '971296', '149049', '7812569', '8623268', '5773914', '5773915', '722078', '206544', '25708', '321663', '5773916', '1054259', '5773910', '121407', '3976026', '1061280', '3900286', '1113373', '5753087', '192095', '80637', '7258959', '5481722', '2737512', '346757', '5773918', '3462700', '5773919', '4833374', '5773920', '93509', '513404', '2130760', '5773921', '523870', '984644', '1046382', '5458838', '110226', '5506092']","['Joseph S.M. Lau', 'Howard Goldblatt', 'Ruowang Wang', 'Yingzhen Chen', 'Xun Lu', 'Pai Hsien-yung', 'Huang Chunming', 'Zhenhe Wang', '桐华 (Tong Hua)', 'Li Ang', 'Zengqi Wang', 'Wang Meng', 'Ba Jin', 'Chen Ruoxi', 'Xi Xi', 'Shaojun Ye', 'Yuan Qiongqiong', 'Li Rui', 'Xue Can', 'Gao Xingjian', 'Han Shaogong', 'Cun Chen', 'Heng Liu', 'Zhecun Shi', 'Mo Yan', 'Chu Tienwen', 'Dachun Zhang', 'Yu Dafu', 'Qingwen Zheng', 'Tie Ning', 'Yu Hua', 'Su Tong', 'Qiu Miaojin', 'Wang Anyi', 'Zhang Tianyi', 'Alai', 'Sue Chun', 'Xu Zhimo (徐志摩)', 'Yiduo Wen', 'Mao Dun', 'Jinfa Li', 'Lao She', 'Shen Congwen', 'Shuhua Ling', 'He Lai', 'Ding Ling', ""Cheng Ch'ing-Wen"", 'Zuxiang Wu', 'Xiao Hong', 'Eileen Chang', 'Wu Zhuoliu']","['4.21', '3.75', '4.22', '4.23', '3.96', '4.19', '4.05', '4.22', '4.26', '3.81', '4.22', '3.81', '3.83', '4.03', '4.14', '4.22', '4.20', '4.03', '4.22', '3.54', '3.96', '4.22', '4.16', '4.22', '3.72', '3.94', '4.22', '3.94', '4.22', '3.31', '4.10', '3.54', '3.80', '3.79', '4.13', '3.71', '4.22', '4.05', '4.22', '3.79', '4.22', '3.88', '3.97', '4.22', '4.22', '3.80', '4.15', '4.22', '4.22', '3.80', '3.94']",[],[],[],"<i>The Columbia Anthology of Modern Chinese Literature</i> has long been a definitive resource for Chinese literature in translation, offering a complete overview of twentieth-century writing from China, Taiwan, and Hong Kong, and making inroads into the twenty-first century as well. In this new edition Joseph S. M. Lau and Howard Goldblatt have selected fresh works from familiar authors and have augmented the collection with poetry, stories from the colonial period in Taiwan, literature by Tibetan authors, samplings from the People's Republic of China during the Cultural Revolution, stories by post-Mao authors Wang Anyi and Gao Xingjian, literature with a homosexual theme, and examples from the modern ""cruel youth"" movement. Lau and Goldblatt have also updated their notes and their biographies of featured writers and poets. Now fully up to date, this critical resource more than ever provides readers with a thorough introduction to Chinese society and culture."
980272,25708,The Other Shore: Plays,9622018629,9789622018624,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,1,21,,Chinese University Press,false,200939,6,354,412,121,9,5:25|4:40|3:29|2:13|1:14|total:121,2000,1,14,3.40,113,8,['25708'],['Gao Xingjian'],['3.54'],['20116086'],['Gilbert C. F. Fong'],['3.41'],"When Gao Xingjian won the Nobel Prize for Literature in 2000, he became the only Chinese writer to achieve such international acclaim. The Chinese University Press is the first publisher of his work in the English language. Indeed, The Other Shore is one of the few works by the author available in English today. <i>The Other Shore: Plays by Gao Xingjian</i> contains five of Gao's most recent works: <i>The Other Shore</i> (1986), <i>Between Life and Death</i> (1991), <i>Dialogue and Rebuttal</i> (1992), <i>Nocturnal Wanderer</i> (1993), and <i>Weekend Quartet</i> (1995). With original imagery and in beautiful language, these plays illuminate the realities of life, death, sex, loneliness, and exile. The plays also show the dramatist's idea of the tripartite actor, a process by which the actor neutralizes himself and achieves a disinterested observation of his self in performance. An introduction by the translator describes the dramatist and his view on drama."
207606,25708,The Case for Literature,030012421X,9780300124217,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328870363l/207606._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328870363l/207606._SY75_.jpg,2007,3,20,,Yale University Press,false,200937,9,213,212,59,5,5:13|4:22|3:16|2:3|1:5|total:59,2001,3,28,3.59,47,4,['25708'],['Gao Xingjian'],['3.54'],['194394'],['Mabel Lee'],['3.56'],
439621,25708,The Bus Stop,9575223586,9789575223588,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385090755l/439621._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385090755l/439621._SX50_.jpg,2001,10,1,zho,Lian He Wen Xue,false,428442,3,123,160,47,2,5:5|4:23|3:10|2:4|1:5|total:47,1988,1,1,3.40,46,2,['25708'],['Gao Xingjian'],['3.54'],[],[],[],
165705,25708,Snow in August,9629961016,9789629961015,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324356794l/165705._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324356794l/165705._SX50_.jpg,2004,10,27,,Chinese University Press,false,2221652,4,155,124,43,4,5:5|4:8|3:15|2:7|1:8|total:43,2000,,,2.88,37,4,['25708'],['Gao Xingjian'],['3.54'],['3916268'],['Gilbert Chee Fun Fong'],['2.85'],"From Gao Xingjian, a winner of the 2000 Nobel Prize for Literature, comes a -major drama about life.<br /><br /><i>Snow in August</i> blends Eastern and Western cultures. In form, there are elements of Shakespearean and Greek tragedy, but in spirit, it embodies a uniquely Eastern sensibility.---Gao Xingjian<br /><br /><br /><br /><i>Snow in August</i> is based on the life of Huineng (AD 633-713), the Sixth Patriarch of Zen Buddhism in Tang Dynasty China. Packed with the myriad sights and sounds of both the Eastern and Western theatrical traditions, the play exudes wonder and mysticism. The many <i>koan</i> cases and the story of Huineng's enlightenment afford the audience fascinating vignettes of Gao's vision of life and existence [w an awareness of the Void and the need for a personal peace with oneself."
207607,25708,Return to Painting,0060513543,9780060513542,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,9,3,eng,Harper Perennial,false,200938,2,128,93,27,0,5:8|4:7|3:6|2:1|1:5|total:27,2002,9,1,3.44,23,0,['25708'],['Gao Xingjian'],['3.54'],['710027'],['Nadia Benabid'],['3.66'],"<p>Gao Xingjian's introduction to his sumptuous collection of watercolour art is a strongly worded manifesto, a rallying cry for a return to the art of painting.</p><p> The art world needs, he claims, to rediscover the simplicity, beauty and clarity of the brushstroke. Focusing on 'conceptual games' and ideology he envisages bringing about the death of art, closing down the limitless possibilities of expression that painting reveals. His manifesto targets those artists whose high concept 'art' brings them infamy but does not produce inspirational art to be enjoyed by all.</p><p> It is a persuasive argument on its own terms but set alongside his simple but timeless and completely stunning, classic watercolours, the effect is intensified. Intricate in their detail, haunting in tone, universal in scope, Gao's paintings alone are justification for why we need to look again at the power of a painting and reject the trends obsessing the contemporary art world.</p><p> </p>"
28256370,25708,Dijual: Keajaiban,,9786023910496,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450668666l/28256370._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450668666l/28256370._SX50_.jpg,2015,12,21,ind,Irchisod,false,48295181,1,55,90,25,12,5:0|4:16|3:8|2:1|1:0|total:25,,,,3.60,25,12,"['25708', '14856517', '1728', '1305302', '3358958', '5835922']","['Gao Xingjian', 'Khayriyah Ibrahim as-Saqqaf', 'Orhan Pamuk', 'R.K. Narayan', 'Tia Setiadi', 'Naguib Mahfouz']","['3.54', '3.60', '3.76', '4.00', '3.67', '3.93']",[],[],[],"“Kalau si perempuan yang jatuh cinta lebih dulu, pasti selalu sial.”<br />—Di Sebuah Taman, Gao Xingjian<br /><br />Ayahku menaruhku di pangkuannya, dan dalam waktu yang lama kami pun memandang ke luar jendela bersama. Ujung-ujung pohon sipres yang berdiri antara kami dan bangunan apartemen di depan kami mulai bergoyang diembus angin. Aku suka cara ayahku menghidu.<br />—Memandang ke Luar Jendela, Orhan Pamuk<br /><br />“Apa yang bisa kita lakukan dengan sesosok makhluk yang kembali kepada hukumannya dengan begitu sukarela?”<br />—Anjing Buta, R.K. Narayan<br /><br />Selamat menikmati suguhan karya 9 pengarang besar Asia dalam buku ini. Saya memperoleh “rasa” yang lebih-kurang sama. Ini merupakan indikasi bahwa hasil terjemahan Tia Setiadi akurat tidak hanya pada tataran bahasa. —Bernard Batubara, penulis."
30764333,25708,Cinta Semanis Racun: 99 Cerita dari 9 Penjuru Dunia,,9786023911820,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467079323l/30764333._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467079323l/30764333._SX50_.jpg,2016,8,1,ind,DIVA Press,false,51320717,1,84,87,21,3,5:5|4:14|3:2|2:0|1:0|total:21,,,,4.14,21,3,"['5031025', '1219904', '3137322', '4750', '5144', '5223', '1367127', '2238', '72039', '13450', '7469', '55397', '25708', '121407', '609209', '34065', '3354', '128382', '15405109', '500', '15405110']","['Anton Chekhov', 'Anton Kurnia', 'Fyodor Dostoyevsky', 'Émile Zola', 'James Joyce', 'Franz Kafka', 'Carlos Fuentes', 'Isabel Allende', 'Roberto Bolaño', 'Gabriel García Márquez', 'Octavio Paz', 'Nadine Gordimer', 'Gao Xingjian', 'Mo Yan', 'Horacio Castellanos Moya', 'Etgar Keret', 'Haruki Murakami', 'Leo Tolstoy', 'Liliana Blum', 'Jorge Luis Borges', 'Jorge Cortazar']","['3.96', '3.68', '4.18', '3.93', '3.74', '3.89', '3.81', '3.97', '3.98', '3.97', '4.14', '3.57', '3.54', '3.72', '3.79', '3.98', '3.96', '4.06', '3.93', '4.30', '4.14']",[],[],[],"Antologi ini memuat 99 cerpen terjemahan karya 99 pengarang terkemuka dari pelbagai penjuru dunia dan zaman, dari sastrawan klasik semacam Leo Tolstoy hingga pengarang masa kini berusia awal 40-an serupa Liliana Blum. Lebih dari dua per tiganya, tepatnya 74 di antara 99 cerpen, pernah dipublikasikan sebelumnya di 20 media cetak nasional dan daerah. <br /><br />Dalam antologi ini, kita bisa membaca pula jejak pencapaian para pengarang terkemuka di berbagai belahan dunia dan zaman. Dari para empu Eropa seperti Anton Chekov, Fyodor Dostoyevsky, Emile Zola, James Joyce, dan Franz Kafka hingga para maestro Amerika Latin semacam Jorge Luis Borges, Jorge Cortazar, Carlos Fuentes, Isabel Allende, dan Roberto Bolano. Tak ketinggalan juga para kampiun Nobel Sastra serupa Gabriel Garcia Marquez, Octavio Paz, Nadine Gordimer, Gao Xingjian, dan Mo Yan. Suara-suara utama masa kini dalam pentas sastra dunia antara lain diwakili oleh Horacio Castellanos Moya (pengarang Honduras yang disebut-sebut World Literature Today layak meraih Nobel Sastra), Etgar Keret (penulis Israel yang menarik perhatian dunia), dan Haruki Murakami (novelis laris yang berkali-kali menjadi kandidat pemenang Nobel Sastra).<br /><br />Aku segera menyelesaikan dinding itu. Kurapatkan batu terakhir pada tempatnya. Lalu aku merekatkannya dengan semen. Terakhir, aku menumpuk belulang menutupi dinding baru itu. Hingga setengah abad tak seorang pun mengusik mereka. Beristirahat dengan damai! --Anggur Amontillado, Edgar Allan Poe"
