id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
29566591,26496,A tragédia születése,9631423417,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458569366l/29566591._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458569366l/29566591._SX50_.jpg,2003,,,,Magvető,false,3036434,314,37375,49843,12504,437,5:4402|4:4534|3:2736|2:657|1:175|total:12504,1871,,,3.99,5,0,"['1938', '26496']","['Friedrich Nietzsche', 'Imre Kertész']","['4.05', '3.94']",[],[],[],"1872-ben jelent meg először a fiatal klasszika filológus professzor, a későbbi „démoni” filozófus egyik legfontosabb, leghíresebb munkája, A Tragédia születése. Szigorúan véve ókortörténeti tárgyú szakmunka, a korában is, ma is kardinálisan fontos kérdés (hogyan született meg a görög tragédia?) megoldásának kísérlete, de már megjelenése idején látszott, hogy jóval több szakmunkánál (ilyenként egyébként a korszak és minden idők egyik legnagyobb klasszika filológusa, Wilamowitz-Moellendorf zúzta ízzé-porrá kritikájában). Tény, hogy történelmi-filológiai szempontból nézve A tragédia születése megalapozatlan hipotézisek halmazának tűnik, hogy szerzője meg sem kísérli benne alaptételeinek a szakma szabályai szerint való nyomós bizonyítását, hogy koncepcióként, „megoldási keretként” is messze eltér és szembenáll mind a múlt, mind a jelen század kutatási eredményeivel. Csakhogy egy másik síkon, pontosabban egyszerre több síkon is, alapvető felismeréseket tartalmaz. Mindenekelőtt vitairatként. Mert, jóllehet formáját tekintve semmiképp sem az, valójában az egész kis könyv monumentális vitairat, kétségbevonása a winckelmanni-goethei klasszikus görögség-felfogásnak és nagyerejű rámutatás egy mélyebb, összetettebb és – filozófiai szempontból legalábbis – reálisabb görögség-képre. Mert, és ez a legfeltűnőbb, legismertebb vonása a műnek, Nietzsche benne egy új görögség-képet posztulál, a fehér márványszobrok, a klasszikus idill mögött felmutat egy tragikus, a sötét erőkkel állandóan számoló, az apollónival szemben dionüszoszinak nevezett görögséget is, sőt e két „világ” egybepatakzásából eredezteti a görögség leginkább létmagyarázó műfaját, a tragédiát is. A filozófiai kritika viszont éppen ezt a dualizmust, egyáltalán az őstípusok elméletét, az irracionális-szellemtörténeti koncepciót támadja, lényegében a mű megszületése óta napjainkig. Ugyanakkor lehetetlen nem meggyőződni arról, hogy ami pozitívumot, új felismerést, gyökeresen eredetit a modern vallástörténet, mitológia-kutatás, archetípus-elmélet hozott, az lényegében Nictzschének erre a könyvére vezethető vissza. Bővelkedik persze a mű egyéb felismerésekben is, elsősorban esztétikaiakban, műfajelméletiekben."
318335,26496,Fatelessness,1400078636,9781400078639,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,12,7,,Vintage International,false,309125,122,19357,32193,7913,660,5:2929|4:3127|3:1411|2:361|1:85|total:7913,1975,,,4.07,4290,329,['26496'],['Imre Kertész'],['3.94'],['1527652'],['Tim Wilkinson'],['3.96'],"At the age of 14 Georg Koves is plucked from his home in a Jewish section of Budapest and without any particular malice, placed on a train to Auschwitz. He does not understand the reason for his fate. He doesn’t particularly think of himself as Jewish. And his fellow prisoners, who decry his lack of Yiddish, keep telling him, “You are no Jew.” In the lowest circle of the Holocaust, Georg remains an outsider.<br /><br />The genius of Imre Kertesz’s unblinking novel lies in its refusal to mitigate the strangeness of its events, not least of which is Georg’s dogmatic insistence on making sense of what he witnesses–or pretending that what he witnesses makes sense. Haunting, evocative, and all the more horrifying for its rigorous avoidance of sentiment, Fatelessness is a masterpiece in the traditions of Primo Levi, Elie Wiesel, and Tadeusz Borowski."
47184,26496,Kaddish for an Unborn Child,1400078628,9781400078622,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,11,9,,Vintage,false,418050,56,3538,5158,1352,122,5:395|4:490|3:322|2:112|1:33|total:1352,1990,,,3.82,861,61,['26496'],['Imre Kertész'],['3.94'],['1527652'],['Tim Wilkinson'],['3.96'],"The first word in this mesmerizing novel by the winner of the Nobel Prize for Literature is “No.” It is how the novel’s narrator, a middle-aged Hungarian-Jewish writer, answers an acquaintance who asks him if he has a child. It is the answer he gave his wife (now ex-wife) years earlier when she told him she wanted one. The loss, longing and regret that haunt the years between those two “no”s give rise to one of the most eloquent meditations ever written on the Holocaust. <br /><br />As Kertesz’s narrator addresses the child he couldn’t bear to bring into the world he ushers readers into the labyrinth of his consciousness, dramatizing the paradoxes attendant on surviving the catastrophe of Auschwitz. <b>Kaddish for the Unborn Child</b> is a work of staggering power, lit by flashes of perverse wit and fueled by the energy of its wholly original voice. <br />Translated by Tim Wilkinson"
318337,26496,Liquidation,140007505X,9781400075058,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,10,25,,Vintage,false,309127,37,2328,3759,994,111,5:247|4:394|3:262|2:71|1:20|total:994,2003,1,,3.78,659,69,['26496'],['Imre Kertész'],['3.94'],['1527652'],['Tim Wilkinson'],['3.96'],"Imre Kertesz’s savagely lyrical and suspenseful new novel traces the continuing echoes the Holocaust and communism in the consciousness of contemporary Eastern Europe.<br /><br />Ten years after the fall of communism, a writer called B. commits suicide, devastating his circle and deeply puzzling his friend Kingsbitter. For among B.’s effects, Kingsbitter finds a play that eerily predicts events after his death. Why did B.–who was born at Auschwitz and miraculously survived–take his life? As Kingsbitter searches for the answer –and for the novel he is convinced lies hidden among his friend’s papers–Liquidation becomes an inquest into the deeply compromised inner life of a generation. The result is moving, revelatory, and haunting."
1397735,26496,Detective Story,0307266443,9780307266446,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879396l/1397735._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879396l/1397735._SX50_.jpg,2008,1,22,eng,Knopf,false,1387909,31,1423,2569,733,126,5:99|4:274|3:268|2:82|1:10|total:733,1977,,,3.50,469,77,['26496'],['Imre Kertész'],['3.94'],['1527652'],['Tim Wilkinson'],['3.96'],"As readers, we are accustomed to reading stories of war and injustice from the victims’ point of view, sympathizing with their plight. In <i>Detective Story,</i> the tables have been turned, leaving us in the mind of a monster, as Nobel Laureate Imre Kertész plunges us into a story of the worst kind, told by a man living outside morality.<br /><br />Now in prison, Antonio Martens is a torturer for the secret police of a recently defunct dictatorship. He requests and is given writing materials in his cell, and what he has to recount is his involvement in the surveillance, torture, and assassination of Federigo and Enrique Salinas, a prominent father and son whose principled but passive opposition to the regime left them vulnerable to the secret police. Preying on young Enrique’s aimless life, the secret police began to position him as a subversive and then targeted his father. Once this plan was set into motion, any means were justified to reach the regime’s chosen end—the destruction of an entire liberal class.<br /><br />Inside Martens’s mind, we inhabit the rationalizing world of evil and see firsthand the inherent danger of inertia during times of crisis. A slim, explosive novel of justice railroaded by malevolence, <i>Detective Story</i> is a warning cry for our time."
897053,26496,Fiasco,849613606X,9788496136069,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328544854l/897053._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328544854l/897053._SY75_.jpg,,,,,,false,882243,31,1000,1124,316,43,5:67|4:101|3:101|2:35|1:12|total:316,1988,,,3.56,178,17,['26496'],['Imre Kertész'],['3.94'],[],[],[],"Novela estática, de iniciación, en la que una sutil pátina de humor melancólico recorre de punta a punta una acción que se despliega como un juego de muñecas rusas, nos dibuja un paisaje de tono kafkiano en el que la realidad y la ficción se entrelazan en un personaje que vive, en el plúmbeo y denso ambiente dictatorial del estalinismo, la experiencia de escribir a contracorriente."
49526163,26496,A szemjáték (Emlékezések #3),9630755432,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1940654,36,618,1073,261,20,5:100|4:102|3:48|2:10|1:1|total:261,1985,,,4.11,1,0,['6517'],['Elias Canetti'],['4.00'],"['26496', '18675022']","['Imre Kertész', 'Zoltán Halasi']","['3.94', '5.00']","This is the third volume of Elias Canetti's autobiography, following ""The Tongue Set Free"" and ""The Torch in My Ear"". It is set in Vienna between 1931 and 1937, at a time when the European catastrophe was already clear to anyone with eyes to see. The book is both a portrait of its time and an intellectual and spiritual autobiography. Canetti describes his relationships with Herman Broch, Robert Musil, Fritz Wortruba, the composer Alban Berg, and Alma Mahler."
2031769,26496,"Yo, Otro. Crónica del Cambio",8495359901,9788495359902,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,spa,,false,882241,30,502,1027,269,28,5:76|4:104|3:62|2:18|1:9|total:269,1990,,,3.82,117,6,['26496'],['Imre Kertész'],['3.94'],[],[],[],"¿Es el yo algo inamovible, o está sujeto al cambio? ¿Es quizás un fluir constante? Imre Kertész, superviviente de Auschwitz que vivió el stalinismo y el kadarismo en Hungría, reflexiona -en un viaje existencial al través de varias ciudades europeas- acerca de las tranformaciones que necesariamente afectan a las fibras más profundas del individuo. Nos hallamos ante la búsqueda de un yo anterior, perdido, y en el intento de comprensión de los cambios que éste ha padecido que hoy presentamos, Kertész nos guía, a través de las grandes voces de la literatura y el pensamiento occidental, por la historicidad del yo desde la Segunda Guerra Mundial hasta nuestros días."
16071857,26496,Dossier K: A Memoir,1612192025,9781612192024,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355955485l/16071857._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355955485l/16071857._SY75_.jpg,2013,5,7,,Melville House,false,2949343,23,599,937,241,22,5:65|4:96|3:69|2:10|1:1|total:241,2006,,,3.89,149,12,"['26496', '1527652']","['Imre Kertész', 'Tim Wilkinson']","['3.94', '3.96']",[],[],[],"<b>The first and only memoir from the Nobel Prize–winning author, in the form of an illuminating, often funny, and often combative interview—with himself</b><br /><br /><i>Dossier K.</i> is Imre Kertész’s response to the hasty biographies and profiles that followed his 2002 Nobel Prize for Literature—an attempt to set the record straight. <br /><br />The result is an extraordinary self-portrait, in which Kertész interrogates himself about the course of his own remarkable life, moving from memories of his childhood in Budapest, his imprisonment in Nazi death camps and the forged record that saved his life, his experiences as a censored journalist in postwar Hungary under successive totalitarian communist regimes, and his eventual turn to fiction, culminating in the novels—such as <i>Fatelessness</i>, <i>Fiasco</i>, and <i>Kaddish for an Unborn Child</i>—that have established him as one of the most powerful, unsentimental, and imaginatively daring writers of our time. <br /><br />In this wide-ranging and provocative book, Kertész continues to delve into the questions that have long occupied him: the legacy of the Holocaust, the distinctions drawn between fiction and reality, and what he calls “that wonderful burden of being responsible for oneself.”"
6615304,26496,The Union Jack,1933633875,9781933633879,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,1,19,eng,Melville House,false,6809386,25,566,780,231,48,5:37|4:68|3:82|2:33|1:11|total:231,1991,,,3.38,131,28,['26496'],['Imre Kertész'],['3.94'],['1527652'],['Tim Wilkinson'],['3.96'],"<b>""It was...unnecessary for me to fret about who the murderer was: Everybody was.""</b><br /><br />A haunting, never-before-translated, autobiographical novella by the 2002 Nobel Prize winner.<br /><br /> An unnamed narrator recounts a simple anecdote, his sighting of the Union Jack—the British Flag—during the Hungarian Revolution of 1956, in the few days preceding the uprising's brutal repression by the Soviet army. In the telling, partly a digressive meditation on ""the absurd order of chance,"" he recalls his youthful self, and the epiphanies of his intellectual and spiritual awakening—an awakening to a kind of radical subjectivity. In his Nobel address Kertesz remembered:<br /><br /> ""I, on a lovely spring day in 1955, suddenly came to the realization that there exists only one reality, and that is me, my own life, this fragile gift bestowed for an uncertain time, which had been seized, expropriated by alien forces, and circumscribed, marked up, branded—and which I had to take back from 'History', this dreadful Moloch, because it was mine and mine alone...""<br /><br /><b>The Contemporary Art of the Novella</b> series is designed to highlight work by major authors from around the world. In most instances, as with Imre Kertész, it showcases work never before published; in others, books are reprised that should never have gone out of print. It is intended that the series feature many well-known authors and some exciting new discoveries. And as with the original series, The Art of the Novella, each book is a beautifully packaged and inexpensive volume meant to celebrate the form and its practitioners."
2412600,26496,The Pathseeker,1933633530,9781933633534,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,4,1,,Melville House,false,2419777,8,485,541,152,17,5:27|4:54|3:52|2:15|1:4|total:152,1977,,,3.56,128,16,['26496'],['Imre Kertész'],['3.94'],[],[],[],"<b>""There's no such thing as chance...only injustice.""</b><br /><br />From the winner of the Nobel Prize for Literature for “writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history...""<br /><br /> The acclaimed Hungarian Holocaust survivor Imre Kertész continues his investigation of the malignant methodologies of totalitarianism in a major work of fiction.<br /><br /> In a mysterious middle–European country, a man identified only as “the commissioner” undertakes what seems to be a banal trip to a nondescript town with his wife—a brief detour on the way to a holiday at the seaside—that turns into something ominous. Something terrible has happened in the town, something that no one wants to discuss. With his wife watching on fearfully, he commences a perverse investigation, rudely interrogating the locals, inspecting a local landmark with a frightening intensity, traveling to an outlying factory where he confronts the proprietors ... and slowly revealing a past he's been trying to suppress.<br /><br /> In a limpid translation by Tim Wilkinson, this haunting tale lays bare an emotional and psychological landscape ravaged by totalitarianism in one of Kertsz's most devastating examinations of the responsibilities of and for the Holocaust."
