id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
16791832,128607,Die Enden der Parabel,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355551023l/16791832._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355551023l/16791832._SX50_.jpg,1989,,,,Rowohlt,false,866393,79,142351,138044,34481,3042,5:15871|4:9132|3:5094|2:2495|1:1889|total:34481,1973,2,28,4.00,0,0,['235'],['Thomas Pynchon'],['3.85'],"['128607', '665157']","['Elfriede Jelinek', 'Thomas Piltz']","['3.53', '3.41']","Winner of the 1973 National Book Award, Gravity's Rainbow is a postmodern epic, a work as exhaustively significant to the second half of the 20th century as Joyce's Ulysses was to the first. Its sprawling, encyclopedic narrative and penetrating analysis of the impact of technology on society make it an intellectual tour de force."
219879,128607,The Piano Teacher,0802118062,9780802118066,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328823912l/219879._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328823912l/219879._SY75_.jpg,2004,11,30,,Grove Press,false,2179325,118,24792,31797,9019,850,5:2157|4:2868|3:2241|2:1064|1:689|total:9019,1983,,,3.53,5265,428,"['128607', '10749']","['Elfriede Jelinek', 'Joachim Neugroschel']","['3.53', '3.88']",[],[],[],"<i>The Piano Teacher,</i> the most famous novel of Elfriede Jelinek, who was awarded the 2004 Nobel Prize in Literature, is a shocking, searing, aching portrait of a woman bound between a repressive society and her darkest desires.<br />Erika Kohut is a piano teacher at the prestigious and formal Vienna Conservatory, who still lives with her domineering and possessive mother. Her life appears to be a seamless tissue of boredom, but Erika, a quiet thirty-eight-year-old, secretly visits Turkish peep shows at night to watch live sex shows and sadomasochistic films. Meanwhile, a handsome, self-absorbed, seventeen-year-old student has become enamored with Erika and sets out to seduce her. She resists him at first, but then the dark passions roiling under the piano teacher's subdued exterior explode in a release of sexual perversity, suppressed violence, and human degradation.<br /><br />Celebrated throughout Europe for the intensity and frankness of her writings and awarded the Heinrich Böll Prize for her outstanding contribution to German letters, Elfriede Jelinek is one of the most original and controversial writers in the world today. <i>The Piano Teacher</i> was made into a film, released in the United States in 2001, was awarded the Grand Jury Prize at Cannes."
36252376,128607,Wittgensteins Mätresse: Roman,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,1278359,20,21743,20092,5048,611,5:1909|4:1766|3:888|2:334|1:151|total:5048,1988,5,1,3.98,0,0,"['10747', '128607', '4339']","['David Markson', 'Elfriede Jelinek', 'David Foster Wallace']","['3.99', '3.53', '4.13']",['1780503'],['Sissi Tax'],['4.33'],"Die Künstlerin Kate hält sich für den letzten Menschen auf Erden. Doch gab es sie wirklich – jene Apokalypse, die nur sie allein verschont hat? Oder ist Kate wahnsinnig?"
301828,128607,Les amantes,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328010273l/301828._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328010273l/301828._SY75_.jpg,1995,7,1,fre,Seuil,false,292892,45,4196,7377,2016,205,5:512|4:677|3:547|2:188|1:92|total:2016,1975,,,3.66,737,42,['128607'],['Elfriede Jelinek'],['3.53'],['74887'],['Martin Chalmers'],['3.91'],"Quel est le destin d’une ouvrière, ou plutôt comment échapper à son destin quand on est ouvrière ? Le plus simple : le mariage. Encore faut-il choisir avec circonspection son futur époux et se garder des séductions du sexe. L’amante doit apprendre à gérer son corps jeune et attrayant, son seul bien, et ne pas rêver à l’amour idéal des romans-photos. À travers le « bon exemple » de Brigitte et le « mauvais exemple » de Paula, Elfride Jelinek, l’iconoclaste, fait voler en éclats une spécialité autrichienne : l’idylle. Paru en 1975, Les Amantes est rapidement devenu le livre de référence de toute une génération. L’absence de majuscules, le style syncopé, l’ironie jubilatoire et le pessimise profond tiraient le lecteur allemand de la torpeur et des certitudes où l’avait plongé le miracle économique. Parodie de plusieurs courants littéraires : Bildungsroman mais aussi Heimatroman (roman populaire exaltant le terroir), Les Amantes malmenait au passage les archétypes d’une gauche en retard d’une utopie."
301834,128607,"Wonderful, Wonderful Times",1852421681,9781852421687,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,6,1,eng,Serpent's Tail,false,292898,44,2662,4182,1114,113,5:297|4:415|3:276|2:83|1:43|total:1114,1980,,,3.75,602,61,['128607'],['Elfriede Jelinek'],['3.53'],['255721'],['Michael Hulse'],['4.04'],"“Isto é brutalidade contra uma pessoa indefesa, e, por isso, desnecessária, diz Sophie, e puxa pelos cabelos do homem, que jazia no chão em desalinho, com tanta força que lhos arranca. O desnecessário é precisamente o melhor, diz Rainer, que ainda quer lutar. Foi assim que combinámos.”<br /><br />Viena, final dos anos 50. Um homem está a dar um passeio num parque. Ele vai ser espancado por um grupo de adolescentes, não por causa do seu dinheiro – ele até tem algum –, não por causa de algo que possa ter feito, mas porque os jovens assim o decidiram; eles são arrogantes e violentos, e são-no por prazer. Esta arrogância é a forma que eles encontraram para reagir perante o cadáver em putrefacção que é a Áustria, onde toda a gente tem um esqueleto no armário recheado de antecedentes nazis, perversões sexuais e ódio aos estrangeiros."
301829,128607,Lust,1852421835,9781852421830,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328705088l/301829._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328705088l/301829._SY75_.jpg,1992,3,15,eng,Serpent's Tail,false,1691556,44,3113,4142,1254,121,5:237|4:332|3:381|2:182|1:122|total:1254,1989,,,3.30,938,69,['128607'],['Elfriede Jelinek'],['3.53'],['255721'],['Michael Hulse'],['4.04'],"In a quaint Austrian ski resort, things are not quite what they seem. Hermann, the manager of a paper mill, has decided that sexual gratification begins at home. Which means Gerti - his wife and property. Gerti is not asked how she feels about the use Hermann puts her to. She is a receptacle into which Hermann pours his juices, nastily, briefly, brutally. The long-suffering and battered Gerti thinks she has found her saviour and love in Michael, a student who rescues her after a day of vigorous use by her husband. But Michael is on his way up the Austrian political ladder, and he is, after all, a man."
52290356,128607,Nemačka jesen,,9788685639395,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,3008829,29,2164,3406,827,78,5:301|4:356|3:141|2:25|1:4|total:827,1946,,,4.12,1,0,"['37103', '128607']","['Stig Dagerman', 'Elfriede Jelinek']","['3.99', '3.53']",['8328230'],['Milena Podolšak'],['3.79'],"In late 1946, Stig Dagerman was assigned by the Swedish newspaper Expressen to report on life in Germany immediately after the fall of the Third Reich. First published in Sweden in 1947, German Autumn, a collection of the articles written for that assignment, was unlike any other reporting at the time. While most Allied and foreign journalists spun their writing on the widely held belief that the German people deserved their fate, Dagerman disagreed and reported on the humanness of the men and women ruined by the war—their guilt and suffering. Dagerman was already a prominent writer in Sweden, but the publication and broad reception of German Autumn throughout Europe established him as a compassionate journalist and led to the long-standing international influence of the book.<br /><br />Presented here in its first American edition with a compelling new foreword by Mark Kurlansky, Dagerman’s essays on the tragic aftermath of war, suffering, and guilt are as hauntingly relevant today amid current global conflict as they were sixty years ago."
301830,128607,Greed,1583227571,9781583227572,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,4,3,,Seven Stories Press,false,1805377,29,1341,1305,387,44,5:88|4:103|3:103|2:51|1:42|total:387,2000,9,12,3.37,253,25,['128607'],['Elfriede Jelinek'],['3.53'],['74887'],['Martin Chalmers'],['3.91'],"<b>From the Nobel Prize-winning author ....</b><br /><br /><i>Greed </i>is the story of Kurt Janisch, an ambitious but frustrated country policeman, and the lonely women he seduces. It is a thriller set amid the mountains and small towns of southern Austria, where the investigation of a dead girl's body in a lake leads to the discovery of more than a single crime. In<br />her signature style, Jelinek chronicles the exploitative nature of relations between men and women, and the cruelties of everyday life."
11852183,128607,Everybody Talks About the Weather . . . We Don't: The Writings of Ulrike Meinhof,160980046X,9781609800468,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355856237l/11852183._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355856237l/11852183._SX50_.jpg,2011,1,4,,Seven Stories Press,true,2416795,6,719,895,224,17,5:70|4:95|3:49|2:8|1:2|total:224,2008,5,1,4.00,0,0,"['348054', '983009', '205473', '4987822', '128607']","['Ulrike Marie Meinhof', 'Karin Bauer', 'Luise von Flotow', 'Bettina Rohl', 'Elfriede Jelinek']","['4.05', '4.08', '3.74', '3.78', '3.53']",[],[],[],"No other figure embodies revolutionary politics and radical chic quite like Ulrike Meinhof, who formed, with Andreas Baader and Gudrun Ensslin, the Red Army Faction (RAF), also known as the Baader–Meinhof Gang, notorious for its bombings and kidnappings of the wealthy in the 1970s. But in the years leading up to her leap into the fray, Meinhof was known throughout Europe as a respected journalist, who informed and entertained her loyal readers with monthly magazine columns.<br />What impels someone to abandon middle-class privilege for the sake of revolution? In the 1960s, Meinhof began to see the world in increasingly stark terms: the United States was emerging as an unstoppable superpower, massacring a tiny country overseas despite increasingly popular dissent at home; and Germany appeared to be run by former Nazis. Never before translated into English, Meinhof's writings show a woman increasingly engaged in the major political events and social currents of her time. In her introduction, Karin Bauer tells Meinhof's mesmerizing life story and her political coming-of-age; Nobel Prize–winning author Elfriede Jelinek provides a thoughtful reflection on Meinhof's tragic failure to be heard; and Meinhof ’s daughter—a relentless critic of her mother and of the Left—contributes an afterword that shows how Meinhof's ghost still haunts us today."
1956230,128607,Die Kinder der Toten,349803328X,9783498033286,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459626531l/1956230._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459626531l/1956230._SY75_.jpg,1995,,,ger,Rowohlt,false,3157432,8,398,414,114,4,5:34|4:37|3:21|2:11|1:11|total:114,1995,,,3.63,90,4,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],"Ein österreichisches Dorf, die Pension Alpenrose. Unter den Gästen befinden sich zwei Frauen und ein Mann, vor denen ""die Hunde nicht anschlagen"", die mal zu leben scheinen, mal tot sind: Zombies. Sie schänden Leichname, kastrieren Autofahrer, feiern grausige Orgien - Vampire, die ihr Leben von den Lebenden zurückfordern. - Eine barocke Todesallegorie gegen Geschichtsverdrängung und Todesvergessenheit."
10412662,128607,Winterreise: ein Theaterstück,3498032364,9783498032364,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328216160l/10412662._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328216160l/10412662._SY75_.jpg,2011,1,15,ger,Rowohlt,false,15316864,12,200,333,95,5,5:19|4:27|3:35|2:11|1:3|total:95,2011,,,3.51,64,3,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],"""MAN VERLÄUFT SICH IMMER SELBST IM ENTSCHEIDENDEN MOMENT.""<br /><br />Ausgehend von Franz Schuberts berühmtem Liederzyklus, durchwandert das «Ich» in Elfriede Jelineks Winterreise den Wahnwitz unserer Gegenwart, um schließlich in der eigenen Vergangenheit anzukommen. Entstanden ist dabei eines von Jelineks persönlichsten und anrührendsten Werken überhaupt.<br /><br />«Was Jelinek virtuos vorführt, sind die Abgründe unseres Sprechens, ist das beredte Verschweigen, das Darüberhinwegreden, die Fertigkeit, sich die Wahrheit diskutierend und scheinbar reflektierend vom Leib zu halten – ja: sich dem Schmerz zu entziehen.»<br />Süddeutsche Zeitung über Jelineks Rechnitz (Der Würgeengel)"
