id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
74090,1197,The Birthday Party,0571160786,9780571160785,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,3,,eng,Faber & Faber,false,71685,27,15149,32895,8750,270,5:2349|4:3158|3:2282|2:711|1:250|total:8750,1957,,,3.76,8381,215,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Stanley Webber is visited in his boarding house by strangers, Goldberg and McCann. An innocent-seeming birthday party for Stanley turns into a nightmare.<br /><br /><b>The Birthday Party</b> was first performed in 1958 and is now a modern classic. Produced and studied throughout the world."
334731,1197,The Homecoming,0802151051,9780802151056,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,1,11,eng,Grove Press,false,491264,23,11734,27233,7290,259,5:2048|4:2481|3:1825|2:658|1:278|total:7290,1964,1,1,3.74,6745,208,['1197'],['Harold Pinter'],['3.79'],[],[],[],"In an old and slightly seedy house in North London there lives a family of men: Max, the aging but still aggressive patriarch; his younger, ineffectual brother Sam; and two of Max's three sons, neither of whom is married -- Lenny, a small-time pimp, and Joey, who dreams of success as a boxer. Into this sinister abode comes the eldest son, Teddy, who, having spent the past six years teaching philosophy in America, is now bringing his wife, Ruth, home to visit the family she has never met. As the play progresses, the younger brothers make increasingly outrageous passes at their sister-in-law until they are practically making love to her in front of her stunned but strangely aloof husband.<br />"
98264,1197,Betrayal,0571160824,9780571160822,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,10,,eng,Faber & Faber,false,94722,37,11107,25657,6476,300,5:2258|4:2314|3:1425|2:357|1:122|total:6476,1978,,,3.96,5429,209,['1197'],['Harold Pinter'],['3.79'],[],[],[],"<i>Betrayal</i> is Pinter's latest full-length play since the enormous success of <i>No Man's Land</i>. The play begins in 1977, with a meeting between adulterous lovers, Emma and Jerry, two years after their affair has ended. During the nine scenes of the play, we move back in time, through the states of their affair, with the play ending in the house of Emma and Robert, her husband, who is Jerry's best friend.<br /><br />The classic dramatic scenario of the love triangle is manifest in a mediation on the themes of marital infidelity, duplicity, and self-deception. Pinter writes a world that simultaneously glorifies and debases love."
25092164,1197,Victory,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2015,2,28,eng,BBC Radio Publishers,false,2378764,420,9040,12140,3156,272,5:892|4:1207|3:798|2:199|1:60|total:3156,1915,,,3.85,3,2,"['3345', '1197', '27287']","['Joseph Conrad', 'Harold Pinter', 'Richard Eyre']","['3.50', '3.79', '3.98']",[],[],[],"Heyst was not conscious of either friends or of enemies. It was the very essence of his life to be a solitary achievement, accomplished not by hermit-like withdrawal with its silence and immobility, but by a system of restless wandering, by the detachment of an impermanent dweller amongst changing scenes."
96530,1197,The Caretaker,0822201844,9780822201847,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391637117l/96530._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391637117l/96530._SX50_.jpg,1962,12,1,,Dramatists Play Service,false,2457841,21,5469,11388,3079,114,5:761|4:1105|3:832|2:286|1:95|total:3079,1960,7,21,3.70,2682,84,['1197'],['Harold Pinter'],['3.79'],[],[],[],"This play was first performed in 1960. Harold Pinter specializes in the tragicomedy of the breakdown of communication, broadly in the tradition of the theatre of the absurds and this is demonstrated in both The Caretaker and The Birthday Party."
240258,1197,The Dumb Waiter,2729847936,9782729847937,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430104346l/240258._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430104346l/240258._SX50_.jpg,1998,5,5,eng,Ellipses Marketing,false,232740,10,4394,9723,2596,84,5:658|4:960|3:702|2:211|1:65|total:2596,1957,,,3.75,2350,72,['1197'],['Harold Pinter'],['3.79'],[],[],[],"One of his most recognized and acclaimed plays, Harold Pinter’s “The Dumb Waiter” is a humorous and provocative story of two hit men as they wait in a basement for their next assignment. Told through Pinter’s unmistakable wit and poignant pauses, “The Dumb Waiter” is recognized for its exceptional writing and subtle character development."
88119,1197,The Birthday Party & The Room,0802151140,9780802151148,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337855847l/88119._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337855847l/88119._SY75_.jpg,1994,1,20,,Grove Press,false,85045,5,1666,3975,1025,38,5:318|4:376|3:240|2:70|1:21|total:1025,1961,,,3.88,977,30,['1197'],['Harold Pinter'],['3.79'],[],[],[],"In <i>The Birthday Party</i>, a musician who escapes to a dilapidated boarding house, where he falls victim to the shadowy, ritualized violence of two men who have followed him from his sinister past.In <i>The Room</i>, a derelict boarding house again becomes the scene of a visitation from the past when a blind man suddenly arrives to deliver a mysterious message.<br /> Both plays are invested with the elements that make Pinter's work unique: the disturbing familiarity of the dialogue, the subtle characterization, and the abrupt mood and power shifts among the characters, which can be by turns terrifying, moving, and wildly funny."
74082,1197,"Complete Works, Vol. 1: The Birthday Party / The Room / The Dumb Waiter / A Slight Ache / A Night Out / The Black and White / The Examination",0802150969,9780802150967,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,1,18,en-US,Grove Press,false,71677,10,1952,3918,938,42,5:421|4:321|3:149|2:35|1:12|total:938,1976,,,4.18,771,30,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Harold Pinter has long been acknowledged as one of the most influential playwrights in contemporary theatre; his arresting and original works have left a lasting imprint on the development of the stage and screen while delighting audiences around the world.<br /> This, the first of four volumes, contains his first five plays, including <i>The Birthday Party</i> (1958), his first full-length drama; as well as two short stories<i>The Black and White</i> and <i>The Examination</i>both written before Pinter turned to the theatre. Pinter's exacting and complex use of language and the features that mark his ""comedies of menace"" are clearly realized in these plays and stories. His speech <i>Writing for the Theatre</i> introduces the volume and establishes the context for these early years."
595590,1197,Old Times,0571225632,9780571225637,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408923171l/595590._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408923171l/595590._SY75_.jpg,2004,7,1,eng,Faber  Faber,false,758239,10,1462,3389,897,57,5:239|4:332|3:235|2:70|1:21|total:897,1971,,,3.78,781,40,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Like Pinter's earlier plays, <i>Old Times</i> deals with bare essentials. There are only three characters: a man named Deeley, his wife Kate, and Anna, a friend of Kate's whom they have not seen for twenty years. Beneath the surface of their taut, witty conversation lurks suggestions of darkness, until the present is overwhelmed with intimations of some frightening past. �"
428815,1197,No Man's Land,0571160883,9780571160884,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,11,19,en-GB,Faber  Faber,false,1765743,18,1331,2640,707,65,5:179|4:248|3:209|2:55|1:16|total:707,1975,1,1,3.73,616,46,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Do Hirst and Spooner really know each other, or are they performing an elaborate charade? The ambiguity - and the comedy - intensify with the arrival of Briggs and Foster. All four inhabit a no-man's-land between time present and time remembered, between reality and imagination."
240257,1197,The Caretaker & The Dumb Waiter,080215087X,9780802150875,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398195780l/240257._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398195780l/240257._SY75_.jpg,1994,1,18,eng,Grove Press,false,522528,4,926,2165,557,26,5:170|4:207|3:136|2:35|1:9|total:557,1960,1,18,3.89,492,16,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Jacket description.back: In all of Pinter's plays, seemingly ordinary events become charged with profound, if elusive, meaning, haunting pathos, and wild comedy. In The Caretaker, a tramp finds lodging in the derelict house of two brothers; in The Dumbwaiter, a pair of gunmen wait for the kill in a decayed lodging house. Harold Pinter gradually exposes the inner strains and fear of his characters, alternating hilarity and character to create and almost unbearable edge of tension."
