id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
32067,7728,Lady Chatterley's Lover,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425007748l/32067._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425007748l/32067._SY75_.jpg,2006,10,31,eng,Penguin Classics,false,3249302,971,196180,334989,95682,4829,5:18074|4:30650|3:31812|2:11437|1:3709|total:95682,1928,,,3.50,47271,1713,"['17623', '7728', '157127']","['D.H. Lawrence', 'Doris Lessing', 'Chester Brown']","['3.59', '3.65', '3.58']",[],[],[],"One of the most extraordinary literary works of the twentieth century, Lady Chatterley's Lover was banned in England and the United States after its initial publication in 1928. The unexpurgated edition did not appear in America until 1959, after one of the most spectacular legal battles in publishing history.<br /><br />With her soft brown hair, lithe figure and big, wondering eyes, Constance Chatterley is possessed of a certain vitality. Yet she is deeply unhappy; married to an invalid, she is almost as inwardly paralyzed as her husband Clifford is paralyzed below the waist. It is not until she finds refuge in the arms of Mellors the game-keeper, a solitary man of a class apart, that she feels regenerated. Together they move from an outer world of chaos towards an inner world of fulfillment."
953871,7728,A Hero of Our Time,184391106X,9781843911067,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328728995l/953871._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328728995l/953871._SY75_.jpg,2004,11,1,,Hesperus Press,false,166902,410,78555,188606,45915,1441,5:19946|4:14770|3:8220|2:2157|1:822|total:45915,1840,,,4.11,20,0,"['15538', '7728']","['Mikhail Lermontov', 'Doris Lessing']","['4.12', '3.65']",['26615'],['Hugh Aplin'],['3.85'],"In its adventurous happenings, its abductions, duels, and sexual intrigues, <i>A Hero of Our Time</i> looks backward to the tales of Sir Walter Scott and Lord Byron, so beloved by Russian society in the 1820s and '30s. In the character of its protagonist, Pechorin, the archetypal Russian antihero, Lermontov's novel looks forward to the subsequent glories of a Russian literature that it helped, in great measure, to make possible."
141077,7728,The Kreutzer Sonata,0812968239,9780812968231,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560711982l/141077._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560711982l/141077._SY75_.jpg,2003,9,9,,Modern Library,false,2266654,369,36543,71166,18255,1143,5:5594|4:6951|3:4291|2:1100|1:319|total:18255,1889,,,3.90,13900,673,"['128382', '7728']","['Leo Tolstoy', 'Doris Lessing']","['4.06', '3.65']",['4673743'],['Isai Kamen'],['3.92'],"When Marshal of the Nobility Pozdnyshev suspects his wife of having an affair with her music partner, his jealousy consumes him and drives him to murder. Controversial upon publication in 1890, <i>The Kreutzer Sonata</i> illuminates Tolstoy’s then-feverish Christian ideals, his conflicts with lust and the hypocrisies of nineteenth-century marriage, and his thinking on the role of art and music in society.<br /><br />In her Introduction, Doris Lessing shows how relevant <i>The Kreutzer Sonata</i> is to our understanding of Tolstoy the artist, as well as to feminism and literature. This Modern Library Paperback Classic also contains Tolstoy’s <i>Sequel to the Kruetzer Sonata</i>."
24100,7728,The Golden Notebook,006093140X,9780060931407,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367457541l/24100._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367457541l/24100._SY75_.jpg,1999,2,3,eng,Harper Perennial Modern Classics,false,99441,117,67510,70413,18743,1610,5:5769|4:6136|3:4200|2:1786|1:852|total:18743,1962,,,3.76,16185,1244,['7728'],['Doris Lessing'],['3.65'],[],[],[],"Anna is a writer, author of one very successful novel, who now keeps four notebooks. In one, with a black cover, she reviews the African experience of her earlier year. In a red one she records her political life, her disillusionment with communism. In a yellow one she writes a novel in which the heroine relives part of her own experience. And in the blue one she keeps a personal diary. Finally, in love with an American writer and threatened with insanity, Anna tries to bring the threads of all four books together in a golden notebook."
546644,7728,The Fifth Child,0679721827,9780679721826,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327937534l/546644._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327937534l/546644._SY75_.jpg,2010,11,17,eng,Vintage International,false,3366225,97,26576,51016,14328,1471,5:2647|4:5196|3:4521|2:1470|1:494|total:14328,1988,,,3.56,10828,1001,['7728'],['Doris Lessing'],['3.65'],[],[],[],"Doris Lessing's contemporary gothic horror story—centered on the birth of a baby who seems less than human—probes society's unwillingness to recognize its own brutality.<br /><br />Harriet and David Lovatt, parents of four children, have created an idyll of domestic bliss in defiance of the social trends of late 1960s England. While around them crime and unrest surge, the Lovatts are certain that their old-fashioned contentment can protect them from the world outside—until the birth of their fifth baby. Gruesomely goblin-like in appearance, insatiably hungry, abnormally strong and violent, Ben has nothing innocent or infant-like about him. As he grows older and more terrifying, Harriet finds she cannot love him, David cannot bring himself to touch him, and their four older children are afraid of him. Understanding that he will never be accepted anywhere, Harriet and David are torn between their instincts as parents and their shocked reaction to this fierce and unlovable child whose existence shatters their belief in a benign world."
130115,7728,The Grass Is Singing,0002257556,9780002257558,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358325519l/130115._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358325519l/130115._SY75_.jpg,2000,3,6,eng,Flamingo,false,1401383,84,23742,39536,10336,955,5:2614|4:4344|3:2519|2:674|1:185|total:10336,1950,,,3.83,7745,646,['7728'],['Doris Lessing'],['3.65'],[],[],[],"Set in South Africa under white rule, Doris Lessing's first novel is both a riveting chronicle of human disintegration and a beautifully understated social critique. <br /><br />Mary Turner is a self-confident, independent young woman who becomes the depressed, frustrated wife of an ineffectual, unsuccessful farmer. Little by little the ennui of years on the farm work their slow poison, and Mary's despair progresses until the fateful arrival of an enigmatic and virile black servant, Moses. Locked in anguish, Mary and Moses -- master and slave -- are trapped in a web of mounting attraction and repulsion. Their psychic tension explodes in an electrifying scene that ends this disturbing tale of racial strife in colonial South Africa.<br /><br /><i>The Grass Is Singing</i> blends Lessing's imaginative vision with her own vividly remembered early childhood to recreate the quiet horror of a woman's struggle against a ruthless fate."
1020222,7728,The Forgotten Soldier: The true story of a young German soldier on the Russian front,1842122398,9781842122396,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371148925l/1020222._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371148925l/1020222._SX50_.jpg,2000,12,7,eng,Weidenfeld & Nicolson/Orion Publishing Group Ltd.,false,98639,54,16360,36475,8324,471,5:4706|4:2437|3:916|2:184|1:81|total:8324,1967,,,4.38,8,1,"['59053', '7728']","['Guy Sajer', 'Doris Lessing']","['4.38', '3.65']",[],[],[],"This book recountsthe horror of World War II on the eastern front, as seen through the eyes of a teenaged German soldier. At first an exciting adventure, young Guy Sajer’s war becomes, as the German invasion falters in the icy vastness of the Ukraine, a simple, desperate struggle for survival against cold, hunger, and above all the terrifying Soviet artillery. As a member of the elite Gross Deutschland Division, he fought in all the great battles from Kursk to Kharkov.<br /><br />His German footsoldier’s perspective makes The Forgotten Soldier a unique war memoir, the book that the Christian Science Monitor said ""may well be the book about World War II which has been so long awaited."" Now it has been handsomely republished as a hardcover containing fifty rare German combat photos of life and death at the eastern front. The photos of troops battling through snow, mud, burned villages, and rubble-strewn cities depict the hardships and destructiveness of war. Many are originally from the private collections of German soldiers and have never been published before. This volume is a deluxe edition of a true classic."
47323,7728,The Fatal Eggs,1843914115,9781843914112,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328848460l/47323._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328848460l/47323._SY75_.jpg,2005,8,1,eng,Hesperus Press,false,46365,83,11971,26830,7087,309,5:1762|4:2670|3:2104|2:477|1:74|total:7087,1923,,,3.79,4973,128,"['3873', '7728', '17014442']","['Mikhail Bulgakov', 'Doris Lessing', 'Михаил Булгаков']","['4.23', '3.65', '4.26']",['26615'],['Hugh Aplin'],['3.85'],"As the turbulent years following the Russian revolution of 1917 settle down into a new Soviet reality, the brilliant and eccentric zoologist Persikov discovers an amazing ray that drastically increases the size and reproductive rate of living organisms. At the same time, a mysterious plague wipes out all the chickens in the Soviet republics. The government expropriates Persikov's untested invention in order to rebuild the poultry industry, but a horrible mix-up quickly leads to a disaster that could threaten the entire world.<br /><br />This H. G. Wells-inspired novel by the legendary Mikhail Bulgakov is the only one of his larger works to have been published in its entirety during the author's lifetime. A poignant work of social science fiction and a brilliant satire on the Soviet revolution, it can now be enjoyed by English-speaking audiences through this accurate new translation.<br /><br />Includes annotations and afterword."
50155219,7728,Das Eis-Schloss,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,1713959,73,13226,18282,4639,599,5:1540|4:1735|3:993|2:292|1:79|total:4639,1963,,,3.94,27,1,"['79875', '7728']","['Tarjei Vesaas', 'Doris Lessing']","['3.98', '3.65']",['545645'],['Hinrich Schmidt-Henkel'],['3.75'],"Commonly seen as the legendary Norwegian writer's masterpiece, this story tells the tale of Siss and Unn, two friends who have only spent one evening in each other's company. But so profound is this evening between them that when Unn inexplicably disappears, Siss's world is shattered. The Ice Palace is written in prose of a lyrical economy that ranks among the most memorable achievements of modern literature."
707060,7728,The Good Terrorist,0586090045,9780586090046,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358325562l/707060._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358325562l/707060._SY75_.jpg,,,,eng,,false,2769827,56,7636,11851,3220,282,5:649|4:1300|3:935|2:265|1:71|total:3220,1985,,,3.68,2492,167,['7728'],['Doris Lessing'],['3.65'],[],[],[],"<i>The Good Terrorist</i> follows Alice Mellings, a woman who transforms her home into a headquarters for a group of radicals who plan to join the IRA. As Alice struggles to bridge her ideology and her bourgeois upbringing, her companions encounter unexpected challenges in their quest to incite social change against complacency and capitalism. With a nuanced sense of the intersections between the personal and the political, Nobel Laureate Doris Lessing creates in <i>The Good Terrorist</i> a compelling portrait of domesticity and rebellion."
371316,7728,The Memoirs of a Survivor,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327304482l/371316._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327304482l/371316._SY75_.jpg,1995,,,eng,Flamingo,false,361279,51,6279,9509,2646,234,5:570|4:902|3:804|2:269|1:101|total:2646,1974,,,3.59,1990,149,['7728'],['Doris Lessing'],['3.65'],[],[],[],"In a beleaguered city where rats and roving gangs terrorize the streets, where government has broken down and meaningless violence holds sway, a woman -- middle-aged and middle-class -- is brought a twelve-year-old girl and told that it is her responsibility to raise the child. <br /><br />This book, which the author has called ""an attempt at autobiography,"" is that woman's journal -- a glimpse of a future only slightly more horrendous than our present, and of the forces that alone can save us from total destruction."
